,Rank,"Player (yrs, age)",Games Started,Throws
153,152.,Jesse Haines+ (19),387,R
154,155.,Stan Coveleski+ (14),385,R
155,156.,Ervin Santana (15),384,R
156,157.,Bronson Arroyo (16),383,R
157,157.,Larry French (14),383,L
158,159.,Al Leiter (19),382,L
159,160.,Jim Clancy (15),381,R
160,160.,Aaron Harang (14),381,R
161,160.,Joe McGinnity+ (10),381,R
162,163.,Dan Haren (13),380,R
163,163.,Rick Rhoden (16),380,R
164,165.,Mike Cuellar (15),379,L
165,165.,Bill Lee (14),379,R
166,165.,Randy Wolf (16),379,L
167,168.,Burt Hooton (15),377,R
168,168.,Derek Lowe (17),377,R
169,168.,Jake Peavy (15),377,R
170,168.,Brad Radke (12),377,R
171,172.,Dutch Leonard (20),375,R
172,173.,Hal Newhouser+ (17),374,L
173,174.,Tim Belcher (14),373,R
174,174.,Lew Burdette (18),373,R
175,176.,Clark Griffith+ (21),372,R
176,177.,Red Ames (17),371,R
177,177.,Danny Darwin (21),371,R
178,177.,Bret Saberhagen (16),371,R
179,180.,Bullet Joe Bush (17),370,R
180,180.,Silver King (10),370,R
181,182.,Bob Buhl (15),369,R
182,182.,Bill Doak (16),369,R
183,184.,Kevin Gross (15),368,R
184,184.,Jim Lonborg (15),368,R
185,184.,"Max Scherzer (13, 35)",368,R
186,184.,George Uhle (17),368,R
187,188.,Dolf Luque (20),367,R
188,189.,Steve Renko (15),365,R
189,190.,Ron Darling (13),364,R
190,190.,Scott Erickson (15),364,R
191,190.,Vern Law (16),364,R
192,193.,Floyd Bannister (15),363,L
193,193.,Doc White (13),363,L
194,195.,Tommy Bridges (16),362,R
195,196.,Eddie Cicotte (14),361,R
196,196.,Dennis Eckersley+ (24),361,R
197,198.,Rudy May (16),360,L
198,198.,Jim Slaton (16),360,R
199,200.,Bruce Hurst (15),359,L
200,201.,Freddy Garcia (15),357,R
201,202.,John Candelaria (19),356,L
202,202.,Mel Stottlemyre (11),356,R
203,204.,Bump Hadley (16),355,R
204,204.,Mike Hampton (16),355,L
205,204.,Mike Krukow (14),355,R
206,207.,Babe Adams (19),354,R
207,207.,Brickyard Kennedy (12),354,R
208,207.,"Clayton Kershaw (13, 32)",354,L
209,207.,Kevin Tapani (13),354,R
210,211.,Bill Dinneen (12),352,R
211,211.,Aaron Sele (15),352,R
212,213.,Ryan Dempster (16),351,R
213,213.,"Rick Porcello (12, 31)",351,R
214,215.,Bob Lemon+ (15),350,R
215,216.,Dazzy Vance+ (16),349,R
216,217.,Dave Stewart (16),348,R
217,218.,Bill Hutchison (9),346,R
218,218.,Charlie Leibrandt (14),346,L
219,218.,Sam McDowell (15),346,L
