,Rank,"Player (yrs, age)",Games Started,Throws
703,701.,Teddy Higuera (9),205,L
704,701.,Chris Tillman (10),205,R
705,706.,Jersey Bakley (6),204,R
706,706.,Jim Colborn (10),204,R
707,706.,"Gerrit Cole (8, 29)",204,R
708,706.,Scott Feldman (13),204,R
709,706.,"Corey Kluber (10, 34)",204,R
710,706.,Max Lanier (14),204,L
711,706.,Hugh McQuillan (10),204,R
712,706.,Mike Smithson (8),204,R
713,714.,Jason Bere (11),203,R
714,714.,Reggie Cleveland (13),203,R
715,714.,Tom Gordon (21),203,R
716,714.,Jimmy Haynes (10),203,R
717,714.,Joey Jay (13),203,R
718,714.,Ron Kline (17),203,R
719,714.,Mark Mulder (9),203,L
720,714.,Mark Redman (10),203,L
721,714.,Tom Underwood (11),203,L
722,714.,Ed Willett (10),203,R
723,724.,James Baldwin (11),202,R
724,724.,Tex Carleton (8),202,R
725,724.,Kelvim Escobar (12),202,R
726,724.,Neal Heaton (12),202,L
727,724.,Dontrelle Willis (9),202,L
728,729.,Adam Eaton (10),201,R
729,729.,Jim McGlothlin (9),201,R
730,729.,Lynn McGlothen (11),201,R
731,729.,Melido Perez (9),201,R
732,729.,Al Smith (12),201,L
733,734.,Kris Benson (9),200,R
734,734.,Bill Bernhard (9),200,R
735,734.,Jeremy Bonderman (9),200,R
736,734.,John Buzhardt (11),200,R
737,734.,Phil Douglas (9),200,R
738,734.,"Kyle Gibson (8, 32)",200,R
739,734.,Sterling Hitchcock (13),200,L
740,734.,Billy Hoeft (15),200,L
741,742.,Henry Boyle (6),199,R
742,742.,John Curtis (15),199,L
743,742.,Cory Lidle (9),199,R
744,742.,Billy O'Dell (13),199,L
745,742.,Joe Oeschger (12),199,R
746,747.,Jim Bagby (10),198,R
747,747.,Dan Casey (7),198,L
748,747.,"Patrick Corbin (8, 30)",198,L
749,747.,Duke Esper (9),198,L
750,747.,Ben McDonald (9),198,R
751,747.,Brandon Webb (7),198,R
752,747.,Bill Wight (12),198,L
753,754.,Chad Billingsley (9),197,R
754,754.,Mark Clark (10),197,R
755,754.,"Mike Fiers (10, 35)",197,R
756,754.,Brandon McCarthy (13),197,R
757,754.,Jon Niese (9),197,L
758,754.,Eddie Smith (10),197,L
759,760.,Gavin Floyd (13),196,R
760,760.,Rick Langford (11),196,R
761,762.,"Trevor Bauer (9, 29)",195,R
762,762.,Sheriff Blake (10),195,R
763,762.,"Carlos Carrasco (11, 33)",195,R
764,762.,Colby Lewis (11),195,R
765,762.,"Oliver Perez (18, 38)",195,L
766,762.,Jack Scott (12),195,R
767,768.,Len Barker (11),194,R
768,768.,Marco Estrada (12),194,R
769,768.,Josh Fogg (9),194,R
770,768.,Jim Shaw (9),194,R
771,772.,Tiny Bonham (10),193,R
772,772.,Paul Foytack (11),193,R
773,772.,Dave Mlicki (10),193,R
774,772.,Pascual Perez (11),193,R
775,772.,Bob Porterfield (12),193,R
776,772.,Allan Sothoron (11),193,R
777,778.,"Danny Duffy (10, 31)",192,L
778,778.,Cal Eldred (14),192,R
779,778.,Jack Knott (11),192,R
780,778.,Jim Merritt (11),192,L
781,778.,Hank O'Day+ (7),192,R
782,778.,"Jake Odorizzi (9, 30)",192,R
783,778.,Bill Walker (10),192,L
784,778.,C.J. Wilson (11),192,L
785,786.,Bill Duggleby (8),191,R
786,786.,Tom Griffin (14),191,R
787,786.,Monte Pearson (10),191,R
788,789.,Chuck Dobson (9),190,R
789,789.,Bill Hart (8),190,R
790,789.,Willie Mitchell (11),190,L
791,789.,Bill Voiselle (9),190,R
792,789.,Rick Waits (12),190,L
793,794.,Dick Drago (13),189,R
794,794.,George Haddock (7),189,R
795,794.,Dave Koslo (12),189,L
796,794.,Mat Latos (9),189,R
797,794.,George Pipgras (11),189,R
798,799.,Ralph Branca (12),188,R
799,799.,Andrew Cashner (10),188,R
800,799.,Jaime Garcia (10),188,L
801,799.,"Sonny Gray (8, 30)",188,R
802,799.,Harry McIntire (9),188,R
803,799.,Bud Norris (10),188,R
804,799.,Vern Ruhle (13),188,R
805,806.,Dave Bush (9),187,R
806,806.,Doug Rau (9),187,L
807,806.,Nate Robertson (9),187,L
808,806.,Elam Vangilder (11),187,R
809,810.,"Brett Anderson (12, 32)",186,L
810,810.,Roger Craig (12),186,R
811,810.,Dave Davenport (6),186,R
812,810.,Don Gullett (9),186,L
813,810.,Jose Guzman (8),186,R
814,810.,Firpo Marberry (14),186,R
815,810.,Jumbo McGinnis (6),186,
816,810.,Armando Reynoso (12),186,R
817,810.,Gerry Staley (15),186,R
818,810.,Pete Vuckovich (11),186,R
819,820.,Fred Goldsmith (7),185,R
820,820.,Al Hollingsworth (11),185,L
821,820.,Guy Morton (11),185,R
822,820.,Bob Rhoads (8),185,R
823,820.,George Suggs (8),185,R
824,820.,Craig Swan (12),185,R
825,826.,Joe Bowman (11),184,R
826,826.,Ken Brett (14),184,L
827,826.,Ernie Broglio (8),184,R
828,826.,Spud Chandler (11),184,R
829,826.,Al Jackson (10),184,L
830,826.,Justin Masterson (8),184,R
831,826.,Walt Masterson (14),184,R
832,833.,"Jacob deGrom (7, 32)",183,R
833,833.,Ken Heintzelman (13),183,L
834,833.,Orval Overall (7),183,R
835,833.,"Tanner Roark (8, 33)",183,R
836,833.,Ed Stein (8),183,R
837,838.,Jim Beattie (9),182,R
838,838.,"Yu Darvish (8, 33)",182,R
839,838.,Oral Hildebrand (10),182,R
840,838.,Buck Ross (10),182,R
841,838.,Jack Russell (15),182,R
842,838.,Steve Sparks (9),182,R
843,838.,George Winter (8),182,R
844,845.,Lloyd Brown (12),181,L
845,845.,Luke Hamlin (9),181,R
846,845.,Art Houtteman (12),181,R
847,845.,"Mike Minor (9, 32)",181,L
848,845.,Pat Ragan (11),181,R
849,850.,Dustin Hermanson (12),180,R
850,850.,Jason Jennings (9),180,R
851,850.,Ed Killian (8),180,L
852,850.,Carlos Silva (9),180,R
853,850.,Jake Weimer (7),180,L
854,855.,Ed Figueroa (8),179,R
855,855.,Mickey Haefner (8),179,L
856,855.,Cliff Melton (8),179,L
857,855.,Lee Richmond (6),179,L
858,855.,Ryan Vogelsong (12),179,R
859,855.,Bob Weiland (12),179,L
860,855.,Carl Weilman (8),179,L
861,862.,Mike Bielecki (14),178,R
862,862.,Tomo Ohka (10),178,R
863,862.,Sloppy Thurston (9),178,R
864,862.,Kerry Wood (14),178,R
865,866.,Jimmy Callahan (13),177,R
866,866.,Willard Nixon (9),177,R
867,866.,Pol Perritt (10),177,R
868,866.,Nels Potter (12),177,R
869,870.,Ed Crane (9),176,R
870,870.,Terry Larkin (6),176,R
871,870.,David Palmer (10),176,R
872,870.,Pete Schourek (11),176,L
873,874.,José Contreras (11),175,R
874,874.,Matt Keough (9),175,R
875,876.,Danny Cox (11),174,R
876,876.,"Kyle Hendricks (7, 30)",174,R
877,876.,Ed Siever (7),174,L
878,879.,Al Demaree (8),173,R
879,879.,George McQuillan (10),173,R
880,879.,"Masahiro Tanaka (7, 31)",173,R
881,882.,Scott Baker (10),172,R
882,882.,LaMarr Hoyt (8),172,R
883,882.,Ray Kolp (12),172,R
884,882.,Cy Morgan (10),172,R
885,886.,Harry Harper (10),171,L
886,886.,Don Larsen (14),171,R
887,886.,Diego Segui (15),171,R
888,886.,Bobby Shantz (16),171,L
889,886.,Jaret Wright (11),171,R
890,891.,Tommy Byrne (13),170,L
891,891.,"Wei-Yin Chen (8, 34)",170,L
892,891.,Scott Elarton (10),170,R
893,891.,Charlie Ferguson (4),170,R
894,891.,Russ Ford (7),170,R
895,891.,Dick Fowler (10),170,R
896,891.,Glen Hobbie (8),170,R
897,891.,Wiley Piatt (6),170,L
898,899.,Ewell Blackwell (10),169,R
899,899.,Ed Doheny (9),169,L
900,899.,Zach Duke (15),169,L
901,899.,"Nathan Eovaldi (9, 30)",169,R
902,899.,Fred Hutchinson (11),169,R
903,899.,Pat Jarvis (8),169,R
904,899.,Jack Kralick (9),169,L
905,899.,Paul Minner (10),169,L
906,899.,"Martin Perez (9, 29)",169,L
907,899.,Ed Seward (6),169,R
908,899.,Bill Stoneman (8),169,R
909,910.,George Hemming (8),168,R
910,910.,Al Maul (15),168,R
911,910.,Ray Scarborough (10),168,R
912,910.,Bill Travers (9),168,L
913,914.,"Chase Anderson (7, 32)",167,R
914,914.,Tony Armas (10),167,R
915,914.,Al Benton (14),167,R
916,914.,Cy Blanton (9),167,R
917,914.,Bob Bruce (9),167,R
918,914.,Art Fromme (10),167,R
919,914.,Lew Krausse (12),167,R
920,914.,Shaun Marcum (9),167,R
921,914.,Jim Nash (7),167,R
922,923.,Alex Ferguson (10),166,R
923,923.,Joe Genewich (9),166,R
924,923.,Mark Hendrickson (10),166,L
925,923.,Joe Magrane (8),166,L
926,923.,Ray Washburn (10),166,R
927,928.,Buster Brown (9),165,R
928,928.,Otto Hess (10),165,L
929,928.,Don Mossi (12),165,L
930,928.,Bob Muncrief (12),165,R
931,928.,Bill Swift (11),165,R
932,933.,Bobby Bolin (13),164,R
933,933.,Ricky Bones (11),164,R
934,933.,Omar Daal (11),164,L
935,933.,Dixie Davis (10),164,R
936,933.,"Kevin Gausman (8, 29)",164,R
937,933.,"Rich Hill (16, 40)",164,L
938,933.,Bill Krueger (13),164,L
939,933.,Randy Lerch (11),164,L
940,933.,Erskine Mayer (8),164,R
941,933.,Johnny Morrison (10),164,R
942,943.,Joe Benz (9),163,R
943,943.,Ben Cantwell (11),163,R
944,943.,Hugh Daily (6),163,R
945,943.,Phil Knell (6),163,L
946,943.,Dennis Lamp (16),163,R
947,943.,Pete Smith (11),163,R
948,943.,Matt Young (10),163,L
949,950.,Ted Gray (9),162,L
950,950.,Phil Marchildon (9),162,R
951,950.,Doc McJames (6),162,R
952,950.,Bob Shirley (11),162,L
953,950.,Lee Viau (5),162,R
954,950.,Curt Young (11),162,L
955,956.,Nick Altrock (19),161,L
956,956.,Britt Burns (8),161,L
957,956.,Vean Gregg (8),161,L
958,956.,Scott Karl (6),161,L
959,956.,Johnny Klippstein (18),161,R
960,956.,Steve McCatty (9),161,R
961,956.,Red Munger (10),161,R
962,956.,Johnny Niggeling (9),161,R
963,956.,Irv Young (6),161,L
964,965.,Ken Chase (8),160,L
965,965.,Rich Harden (9),160,R
966,965.,Josh Johnson (9),160,R
967,965.,Bob Moose (10),160,R
968,969.,Al Fitzmorris (10),159,R
969,969.,Jakie May (14),159,L
970,969.,Hank Wyse (8),159,R
971,972.,Ned Garvin (7),158,R
972,972.,Greg Hibbard (6),158,L
973,972.,"Michael Wacha (8, 28)",158,R
974,972.,Kaiser Wilhelm (9),158,R
975,972.,Smoky Joe Wood (14),158,R
976,977.,Brian Bohanon (12),157,L
977,977.,Warren Hacker (12),157,R
978,977.,Ed Halicki (7),157,R
979,977.,Mike Norris (10),157,R
980,977.,"Robbie Ray (7, 28)",157,L
981,977.,Ben Sanders (5),157,R
982,977.,Pete Schneider (6),157,R
983,984.,Ted Blankenship (9),156,R
984,984.,"Alex Cobb (9, 32)",156,R
985,984.,Art Ditmar (9),156,R
986,984.,Tex Hughson (8),156,R
987,984.,Joe Mays (7),156,R
988,984.,Mickey McDermott (12),156,L
989,990.,Daniel Cabrera (6),155,R
990,990.,Bill Carrick (5),155,R
991,990.,Jack Harshman (10),155,L
992,990.,Johnny Lush (7),155,L
993,990.,Frank Owen (8),155,R
994,990.,Tom Seaton (6),155,R
995,996.,Moe Drabowsky (17),154,R
996,996.,Pat Zachry (10),154,R
997,998.,Fred Beebe (7),153,R
998,998.,Ownie Carroll (9),153,R
999,998.,Jim Devlin (5),153,R
1000,998.,Ted Lewis (6),153,R
1001,998.,Gene Packard (8),153,L
1002,998.,Jesse Petty (7),153,L
1003,998.,Paul Wilson (7),153,R
