,Rank,"Player (yrs, age)",Assists as 1B,Throws
0,1.,Eddie Murray+ (21),1865,R
1,2.,Todd Helton (17),1726,L
2,3.,Jeff Bagwell+ (15),1704,R
3,4.,Keith Hernandez (17),1682,L
4,5.,Mark Grace (16),1665,L
5,6.,"Joey Votto (14, 36)",1593,R
6,7.,Rafael Palmeiro (20),1587,L
7,8.,"Albert Pujols (20, 40)",1582,R
8,9.,George Sisler+ (15),1529,L
9,10.,Wally Joyner (16),1470,L
10,11.,Mickey Vernon (20),1448,L
11,12.,Fred McGriff (19),1447,L
12,13.,John Olerud (17),1418,L
13,14.,Adrian Gonzalez (15),1391,L
14,15.,Andres Galarraga (19),1376,R
15,16.,Derrek Lee (15),1367,R
16,17.,Fred Tenney (17),1363,L
17,18.,Eric Karros (14),1359,R
18,19.,Bill Buckner (22),1351,L
19,19.,Chris Chambliss (17),1351,R
20,21.,Norm Cash (17),1317,L
21,22.,Jake Beckley+ (20),1316,L
22,23.,Joe Judge (20),1301,L
23,24.,Will Clark (15),1294,L
24,25.,Ed Konetchy (15),1292,R
25,26.,Gil Hodges (18),1281,R
26,27.,Stuffy McInnis (19),1238,R
27,28.,Jimmie Foxx+ (20),1222,R
28,28.,Willie McCovey+ (22),1222,L
29,30.,Charlie Grimm (20),1214,L
30,31.,Joe Kuhel (18),1163,L
31,32.,Tino Martinez (16),1159,R
32,33.,Wally Pipp (15),1152,L
33,34.,George Scott (14),1132,R
34,35.,Jake Daubert (15),1128,L
35,36.,Paul Konerko (18),1111,R
36,37.,Bill Terry+ (14),1108,L
37,38.,Don Mattingly (14),1104,L
38,39.,George Burns (16),1094,R
39,40.,Lou Gehrig+ (17),1087,L
40,41.,Vic Power (12),1078,R
41,42.,George McQuinn (12),1074,L
42,43.,Carlos Delgado (17),1064,R
43,43.,Pete O'Brien (12),1064,L
44,45.,"Anthony Rizzo (10, 30)",1054,L
45,46.,Hal Chase (15),1049,L
46,46.,Kent Hrbek (14),1049,R
47,48.,Mark McGwire (16),1042,R
48,49.,Johnny Mize+ (15),1032,R
49,50.,Steve Garvey (19),1026,R
50,51.,Mike Hargrove (12),1022,L
51,52.,Lu Blue (13),1016,L
52,52.,J.T. Snow (16),1016,L
53,54.,Orlando Cepeda+ (17),1012,R
54,55.,Frank McCormick (13),1001,R
55,56.,Cecil Cooper (17),1000,L
56,56.,Lyle Overbay (14),1000,L
57,58.,Cap Anson+ (27),983,R
58,59.,Elbie Fletcher (12),975,L
59,60.,Mark Teixeira (14),966,R
60,61.,Rudy York (13),963,R
61,62.,Bill White (13),960,L
62,63.,Dolph Camilli (12),957,L
63,64.,Harry Davis (22),950,R
64,65.,Richie Sexson (12),944,R
65,66.,Tony Perez+ (23),936,R
66,67.,Adam LaRoche (12),935,L
67,68.,Ferris Fain (9),927,L
68,69.,Justin Morneau (14),921,R
69,70.,Carlos Pena (14),906,L
70,71.,Bill Skowron (14),903,R
71,72.,Lee May (18),894,R
72,73.,Joe Adcock (17),879,R
73,74.,"Eric Hosmer (10, 30)",872,L
74,75.,High Pockets Kelly+ (16),861,R
75,76.,Boog Powell (17),859,R
76,77.,Roger Connor+ (18),857,L
77,78.,"Paul Goldschmidt (10, 32)",856,R
78,79.,Fred Merkle (16),847,R
79,80.,George Stovall (12),846,R
80,81.,Fred Luderus (12),843,R
81,82.,Ryan Howard (13),828,L
82,83.,John Mayberry (15),827,L
83,84.,Donn Clendenon (12),819,R
84,84.,Jason Thompson (11),819,L
85,86.,Jim Bottomley+ (16),814,L
86,86.,Earl Torgeson (15),814,L
87,88.,Ernie Banks+ (19),809,R
88,89.,Ted Kluszewski (15),799,L
89,89.,Willie Upshaw (10),799,L
90,91.,Dan McGann (12),798,R
91,92.,Jim Spencer (15),797,L
92,93.,Phil Cavarretta (22),796,L
93,94.,Jack Fournier (15),788,R
94,95.,"Freddie Freeman (11, 30)",787,R
95,96.,Sid Bream (12),786,L
96,97.,Ed Kranepool (18),779,L
