,Rank,"Player (yrs, age)",Fielding % as C,Throws
0,1.,Chris Snyder (10),.9976,R
1,2.,"Tucker Barnhart (7, 29)",.9970,R
2,3.,A.J. Ellis (11),.9968,R
3,4.,Ryan Hanigan (11),.9958,R
4,4.,Mike Redmond (13),.9958,R
5,6.,"Jason Castro (10, 33)",.9956,R
6,7.,Damian Miller (11),.9952,R
7,8.,Joe Mauer (15),.9951,R
8,8.,"James McCann (7, 30)",.9951,R
9,8.,"Mike Zunino (8, 29)",.9951,R
10,11.,A.J. Pierzynski (19),.9950,R
11,12.,"Salvador Perez (9, 30)",.9949,R
12,12.,"Buster Posey (11, 33)",.9949,R
13,14.,"Yadier Molina (17, 37)",.9948,R
14,14.,Dan Wilson (14),.9948,R
15,16.,Lenny Webster (12),.9947,R
16,17.,"Alex Avila (12, 33)",.9946,R
17,17.,"Chris Iannetta (14, 37)",.9946,R
18,19.,"Tyler Flowers (12, 34)",.9944,R
19,19.,Chris Hoiles (10),.9944,R
20,21.,Brad Ausmus (18),.9943,R
21,21.,Mike Matheny (13),.9943,R
22,23.,Bengie Molina (13),.9941,R
23,23.,"Kurt Suzuki (14, 36)",.9941,R
24,25.,"Yasmani Grandal (9, 31)",.9940,R
25,25.,Jose Molina (15),.9940,R
26,25.,"Wilson Ramos (11, 32)",.9940,R
27,25.,Brian Schneider (13),.9940,R
28,29.,"Robinson Chirinos (9, 36)",.9939,R
29,29.,Yorvit Torrealba (13),.9939,R
30,31.,Henry Blanco (16),.9938,R
31,32.,Carlos Ruiz (12),.9936,R
32,32.,Jason Varitek (15),.9936,R
33,34.,Charles Johnson (12),.9935,R
34,35.,Darrin Fletcher (14),.9934,R
35,36.,Bill Freehan (15),.9933,R
36,36.,Brent Mayne (15),.9933,R
37,38.,Johnny Estrada (8),.9931,R
38,39.,Russell Martin (14),.9930,R
39,39.,Todd Pratt (14),.9930,R
40,41.,Rod Barajas (14),.9929,R
41,41.,"Matt Wieters (12, 34)",.9929,R
42,43.,Bob Melvin (10),.9928,R
43,44.,"Yan Gomes (9, 32)",.9927,R
44,44.,Elston Howard (14),.9927,R
45,44.,Victor Martinez (16),.9927,R
46,47.,"Jonathan Lucroy (11, 34)",.9926,R
47,47.,"Martin Maldonado (10, 33)",.9926,R
48,47.,Brian McCann (15),.9926,R
49,50.,Ron Hassey (14),.9925,R
50,50.,Javy Lopez (15),.9925,R
51,50.,"J.T. Realmuto (7, 29)",.9925,R
52,50.,Jim Sundberg (16),.9925,R
53,54.,Joe Azcue (11),.9924,R
54,54.,Mike LaValliere (12),.9924,R
55,56.,Doug Mirabelli (12),.9923,R
56,56.,Rick Wilkins (11),.9923,R
57,58.,Michael Barrett (12),.9922,R
58,58.,Duffy Dyer (14),.9922,R
59,60.,Sherm Lollar (18),.9921,R
60,60.,Geovany Soto (13),.9921,R
61,62.,John Buck (11),.9919,R
62,62.,Tony Eusebio (9),.9919,R
63,62.,Ron Karkovice (12),.9919,R
64,62.,Mike Macfarlane (13),.9919,R
65,66.,"Drew Butera (11, 36)",.9918,R
66,66.,Buddy Rosar (13),.9918,R
67,66.,Dave Valle (13),.9918,R
68,69.,Josh Bard (10),.9917,R
69,69.,"Jeff Mathis (16, 37)",.9917,R
70,69.,Tom Pagnozzi (12),.9917,R
71,69.,Jorge Posada (17),.9917,R
72,73.,Johnny Edwards (14),.9916,R
73,73.,Tom Haller (12),.9916,R
74,73.,Derek Norris (6),.9916,R
75,76.,Mike Lieberthal (14),.9914,R
76,76.,Eddie Perez (11),.9914,R
77,76.,Frankie Pytlak (12),.9914,R
78,79.,Gary Bennett (13),.9913,R
79,79.,Ivan Rodriguez+ (21),.9913,R
80,81.,Lance Parrish (19),.9912,R
81,82.,Jerry Grote (16),.9911,R
82,82.,Bill Haselman (13),.9911,R
83,82.,Mike Ryan (11),.9911,R
84,82.,Mickey Tettleton (14),.9911,R
85,82.,Ernie Whitt (15),.9911,R
86,87.,Kirt Manwaring (13),.9909,R
87,87.,Jim Pagliaroni (11),.9909,R
88,89.,Gary Carter+ (19),.9908,R
89,89.,Jason LaRue (12),.9908,R
90,89.,Scott Servais (11),.9908,R
91,92.,Joe Girardi (15),.9907,R
92,92.,Nick Hundley (12),.9907,R
93,94.,Johnny Bench+ (17),.9905,R
94,94.,"Welington Castillo (10, 33)",.9905,R
95,94.,Francisco Cervelli (13),.9905,R
96,94.,Ronny Paulino (8),.9905,R
97,94.,Tony Pena (18),.9905,R
98,94.,Matt Walbeck (11),.9905,R
99,100.,Paul Lo Duca (11),.9904,R
100,100.,Charlie O'Brien (15),.9904,R
101,100.,David Ross (15),.9904,R
102,103.,Randy Hundley (14),.9903,R
103,104.,Rick Cerone (18),.9902,R
104,104.,Aaron Robinson (8),.9902,R
105,104.,John Romano (10),.9902,R
106,107.,Jerry May (10),.9901,R
107,107.,Jeff Torborg (10),.9901,R
108,109.,Bruce Benedict (12),.9900,R
109,109.,Ramon Castro (13),.9900,R
110,109.,Einar Diaz (11),.9900,R
111,109.,Ramon Hernandez (15),.9900,R
112,109.,Chad Kreuter (16),.9900,R
113,114.,Marc Hill (14),.9899,R
114,114.,Dioner Navarro (13),.9899,R
115,116.,Earl Battey (13),.9898,R
116,116.,Elrod Hendricks (12),.9898,R
117,116.,Jason Kendall (15),.9898,R
118,116.,Tim McCarver (21),.9898,R
119,116.,Matt Nokes (11),.9898,R
120,116.,Kelly Shoppach (9),.9898,R
121,122.,Paul Bako (12),.9897,R
122,122.,Miguel Montero (13),.9897,R
123,124.,Jim Hegan (17),.9896,R
124,124.,Mike Napoli (12),.9896,R
125,126.,Sandy Alomar (20),.9895,R
126,126.,Gerald Laird (13),.9895,R
127,126.,Joe Torre+ (18),.9895,R
128,126.,Red Wilson (10),.9895,R
129,130.,Gene Desautels (13),.9894,R
130,130.,John Flaherty (14),.9894,R
131,130.,Mike Piazza+ (16),.9894,R
132,130.,John Roseboro (14),.9894,R
133,134.,Brian Downing (20),.9893,R
134,134.,Toby Hall (9),.9893,R
135,134.,Hal Smith (7),.9893,R
136,137.,Jorge Fabregas (9),.9892,R
137,137.,Joe Oliver (13),.9892,R
138,137.,Butch Wynegar (13),.9892,R
139,140.,Del Crandall (16),.9891,R
140,140.,Ellie Rodriguez (9),.9891,R
141,142.,Dick Brown (9),.9889,R
142,142.,Darren Daulton (14),.9889,R
143,142.,Jarrod Saltalamacchia (12),.9889,R
144,145.,Terry Steinbach (14),.9888,R
145,146.,Tom Lampkin (13),.9887,R
146,147.,Yogi Berra+ (19),.9886,R
147,147.,Greg Myers (18),.9886,R
148,149.,Ray Berres (11),.9885,R
149,150.,Frank House (10),.9884,R
150,150.,Miguel Olivo (13),.9884,R
151,152.,Ray Mueller (14),.9882,R
152,152.,Russ Nixon (12),.9882,R
153,152.,Mike Stanley (15),.9882,R
154,152.,B.J. Surhoff (19),.9882,R
155,156.,Roy Campanella+ (10),.9881,R
156,156.,Mike Difelice (13),.9881,R
157,156.,Mike Fitzgerald (10),.9881,R
158,156.,Brook Fordyce (10),.9881,R
159,156.,Buck Rodgers (9),.9881,R
