,Rank,"Player (yrs, age)",Putouts as RF (s.1901),Throws
175,176.,Ty Cobb+ (24),1102,R
176,177.,Carl Reynolds (13),1091,R
177,178.,Sam Mele (10),1083,R
178,179.,"Gregory Polanco (7, 28)",1082,L
179,180.,Leon Roberts (11),1078,R
180,181.,Randy Winn (13),1076,R
181,182.,Lee Lacy (16),1071,R
182,183.,Jesus Alou (15),1064,R
183,184.,Al Zarilla (10),1062,R
184,185.,Lou Clinton (8),1059,R
185,186.,Harry Lumley (7),1052,L
186,187.,Del Ennis (14),1045,R
187,188.,Candy Maldonado (15),1035,R
188,189.,Roy Cullenbine (10),1029,R
189,190.,Von Hayes (12),1020,R
190,191.,Moises Alou (17),1015,R
191,192.,Mike Marshall (11),1013,R
192,193.,Dick Porter (6),1010,R
193,194.,Carlos Beltran (20),1002,R
194,194.,Richard Hidalgo (9),1002,R
195,196.,Jim Eisenreich (15),995,L
196,197.,Bob Kennedy (16),988,R
197,198.,Jacque Jones (10),987,L
198,199.,Nate Schierholtz (8),983,R
199,200.,Ron Fairly (21),981,L
200,201.,Hubie Brooks (15),968,R
201,201.,Jose Cruz (19),968,L
202,203.,Willie Keeler+ (19),965,L
203,204.,Jay Johnstone (20),961,R
204,205.,Leroy Stanton (9),954,R
205,206.,Bob Meusel (11),951,R
206,207.,"Matthew Joyce (13, 35)",950,R
207,207.,"Stephen Piscotty (6, 29)",950,R
208,209.,Frank Baumholtz (10),938,L
209,210.,Jose Cruz (12),936,R
210,211.,Jerry Morales (15),929,R
211,212.,"Max Kepler (6, 27)",928,L
212,213.,Vada Pinson (18),926,L
213,214.,George Browne (12),924,R
214,215.,Ben Chapman (15),918,R
215,216.,Roy Johnson (10),913,R
216,217.,Curtis Granderson (16),906,R
217,217.,Richie Zisk (13),906,R
218,219.,Chet Lemon (16),902,R
219,219.,Dave Robertson (9),902,L
220,221.,Hosken Powell (6),900,L
221,222.,"George Springer (7, 30)",896,R
222,223.,Jeremy Hermida (8),895,R
223,224.,Jose Cardenal (18),894,R
224,225.,Earl Webb (7),892,R
225,226.,Beau Bell (7),883,R
226,227.,Danny Bautista (12),876,R
227,227.,Jim Rivera (10),876,L
228,229.,Keith Moreland (12),874,R
229,230.,George Vukovich (6),872,R
230,231.,Marlon Byrd (15),871,R
231,232.,"Nomar Mazara (5, 25)",868,L
232,233.,Ryan Ludwick (12),866,L
233,234.,"J.D. Martinez (10, 32)",859,R
234,235.,Lou Finney (15),858,R
235,236.,Shoeless Joe Jackson (13),857,R
236,237.,Chili Davis (19),853,R
237,238.,Braggo Roth (8),848,R
238,239.,Jim Lemon (12),846,R
239,240.,Mark Kotsay (17),845,L
240,241.,Harry Rice (10),843,R
241,242.,Matt Stairs (19),841,R
242,243.,Will Venable (9),840,L
243,244.,Oscar Gamble (17),837,R
244,245.,Frank Demaree (12),832,R
245,246.,"Matt Kemp (15, 35)",828,R
246,247.,Ron Swoboda (9),827,R
247,248.,Jay Gibbons (9),811,L
248,249.,Danny Moeller (7),810,R
249,250.,George Watkins (7),807,R
250,251.,Gary Matthews (16),804,R
251,252.,Ben Grieve (9),803,R
252,253.,Gerardo Parra (11),800,L
253,254.,George Selkirk (9),798,R
254,255.,"Adam Eaton (9, 31)",797,L
255,255.,Danny Murphy (16),797,R
256,257.,Kirk Gibson (17),794,L
257,258.,Pat Sheridan (9),790,R
258,259.,Frank Howard (16),788,R
259,260.,Xavier Nady (12),785,R
260,261.,Kosuke Fukudome (5),782,R
261,261.,Willie McGee (18),782,R
262,263.,Greg Gross (17),781,L
263,264.,Socks Seybold (9),779,R
264,265.,Ivan Calderon (10),770,R
265,266.,Alex Ochoa (8),769,R
266,267.,George Case (11),767,R
267,267.,Elmer Flick+ (13),767,R
268,269.,Andy Pafko (17),759,R
269,270.,Glenallen Hill (13),758,R
270,271.,Stan Javier (17),756,R
271,271.,Greasy Neale (8),756,R
272,273.,George Burns (15),755,R
273,274.,"Steven Souza Jr. (6, 31)",754,R
274,275.,Jeffrey Hammonds (13),752,R
275,275.,Jack Smith (15),752,L
276,277.,Eddie Murphy (11),751,R
277,278.,Nori Aoki (6),749,R
278,279.,John Stone (11),743,R
279,279.,Gee Walker (15),743,R
280,281.,Ben Zobrist (14),738,R
281,282.,Joel Youngblood (14),737,R
282,283.,Bob Elliott (15),731,R
283,284.,Bernie Carbo (12),729,R
284,285.,Bobby Darwin (9),725,R
285,286.,Bill Barrett (9),714,R
286,287.,Ellis Burks (18),710,R
287,288.,Frank Welch (9),708,R
288,289.,Wally Westlake (10),702,R
289,290.,Cody Ross (12),697,L
290,291.,Geoff Jenkins (11),694,R
291,291.,Merv Rettenmund (13),694,R
292,291.,Jim Wynn (15),694,R
293,294.,"Aaron Judge (5, 28)",692,R
294,295.,George Altman (9),690,R
295,296.,Mike Anderson (9),685,R
296,296.,Matt Mieske (8),685,R
297,298.,Charlie Moore (15),682,R
298,299.,Ben Oglivie (16),678,L
299,300.,Harry Simpson (8),675,R
300,301.,"Nicholas Castellanos (8, 28)",672,R
301,301.,Larry Parrish (15),672,R
302,303.,Charlie Spikes (9),667,R
303,304.,Troy O'Leary (11),666,L
304,304.,Shane Victorino (12),666,R
305,306.,Walt Moryn (8),657,R
306,306.,Billy Williams+ (18),657,R
307,308.,Wilbur Good (11),656,L
308,308.,Seth Smith (11),656,L
309,310.,Glenn Braggs (7),654,R
310,311.,Dave May (12),653,R
311,312.,Gabe Kapler (12),641,R
312,313.,Eric Anthony (9),638,L
313,314.,Gino Cimoli (10),633,R
314,314.,Randy Moore (10),633,R
315,316.,Junior Felix (6),632,R
316,317.,Joe Cunningham (12),631,L
317,318.,Doc Gessler (8),626,L
318,319.,Tommy Harper (15),624,R
319,320.,Lee Thomas (8),622,R
320,321.,Cy Williams (19),616,L
321,322.,Ken Henderson (16),615,R
322,322.,Ryan Sweeney (9),615,L
323,324.,Roger Cedeno (11),611,R
324,325.,Doc Miller (5),610,L
325,325.,Jim Piersall (17),610,R
326,327.,Warren Cromartie (10),603,L
327,328.,"Mitch Haniger (4, 29)",596,R
328,328.,Herbie Moran (7),596,R
329,328.,Carlos Quentin (9),596,R
330,331.,Jerry Martin (11),588,R
331,331.,Dustan Mohr (7),588,R
332,333.,Randy Bush (12),586,L
333,334.,Lee Walls (10),583,R
334,335.,Jack Rothrock (11),581,R
335,336.,Lance Berkman (15),578,L
336,336.,Karim Garcia (10),578,L
337,336.,Nemo Leibold (13),578,R
338,339.,David DeJesus (13),576,L
339,340.,Jim Hickman (13),571,R
340,340.,Bobby Tolan (13),571,L
341,342.,John Vander Wal (14),570,L
342,343.,Dusty Baker (19),568,R
343,344.,Mike Lum (15),567,L
344,345.,Gene Hermanski (9),566,R
345,346.,Chris Denorfia (10),564,R
346,347.,Bud Metheny (4),562,L
347,348.,Mark Teahen (7),557,R
348,349.,"Domingo Santana (7, 27)",555,R
349,349.,Joe Schultz (11),555,R
350,351.,Ralph Garr (13),554,R
351,351.,Bill Hinchman (10),554,R
352,353.,Joe Lahoud (11),552,L
353,354.,"Charlie Blackmon (10, 33)",549,L
354,355.,Pat Mullin (10),547,R
355,356.,Carmelo Castillo (10),545,R
356,357.,Dick Kokos (5),544,L
357,358.,Franklin Gutierrez (12),543,R
358,358.,Rick Miller (15),543,L
359,358.,Mitch Webster (13),543,L
360,361.,Gus Williams (5),541,L
361,362.,Ira Flagstead (13),539,R
362,362.,Johnny Moore (10),539,R
363,362.,Jimmy Welsh (6),539,R
364,365.,Carl Everett (14),538,R
365,366.,Emil Brown (10),537,R
366,367.,Albert Belle (12),536,R
367,367.,Wally Moon (12),536,R
368,367.,Brandon Moss (11),536,R
369,370.,Cozy Dolan (9),534,L
370,371.,R.J. Reynolds (8),531,R
371,372.,Kirby Puckett+ (12),528,R
