,Rank,"Player (yrs, age)",Sit. Wins Saved (WPA/LI),Throws
0,1.,Roger Clemens (24),73.27,R
1,2.,Greg Maddux+ (23),61.71,R
2,3.,Lefty Grove+ (17),58.66,L
3,4.,Pedro Martinez+ (18),52.80,R
4,5.,Randy Johnson+ (22),50.85,L
5,6.,Tom Seaver+ (20),48.01,R
6,7.,Warren Spahn+ (21),46.98,L
7,8.,"Clayton Kershaw (13, 32)",45.56,L
8,9.,Don Sutton+ (23),43.00,R
9,10.,Carl Hubbell+ (16),42.13,L
10,11.,Mike Mussina+ (18),41.83,R
11,12.,Curt Schilling (20),40.63,R
12,13.,John Smoltz+ (21),40.13,R
13,14.,Bob Feller+ (18),39.65,R
14,15.,Nolan Ryan+ (27),38.91,R
15,16.,Pete Alexander+ (20),38.84,R
16,17.,Jim Palmer+ (19),38.47,R
17,18.,Gaylord Perry+ (22),38.32,R
18,19.,Bob Gibson+ (17),37.24,R
19,20.,"Justin Verlander (16, 37)",36.69,R
20,21.,Kevin Brown (19),36.06,R
21,22.,Red Ruffing+ (22),35.97,R
22,23.,Bert Blyleven+ (22),34.91,R
23,24.,Roy Halladay+ (16),34.60,R
24,25.,Dazzy Vance+ (16),33.72,R
25,26.,Mariano Rivera+ (19),33.62,R
26,27.,Tom Glavine+ (22),32.33,L
27,28.,Whitey Ford+ (16),32.01,L
28,29.,Juan Marichal+ (16),31.58,R
29,30.,Sandy Koufax+ (12),31.32,L
30,31.,"Zack Greinke (17, 36)",30.76,R
31,32.,Tim Hudson (17),30.15,R
32,33.,Steve Carlton+ (24),29.98,L
33,34.,Bret Saberhagen (16),29.91,R
34,35.,Fergie Jenkins+ (19),29.88,R
35,36.,Dolf Luque (20),28.49,R
36,37.,Lefty Gomez+ (14),28.44,L
37,38.,Ted Lyons+ (21),28.30,R
38,39.,Johan Santana (12),27.33,L
39,40.,Don Drysdale+ (14),26.89,R
40,41.,Walter Johnson+ (21),26.77,R
41,42.,Eppa Rixey+ (21),26.76,L
42,43.,Stan Coveleski+ (14),26.72,R
43,44.,David Cone (17),26.61,R
44,45.,Billy Pierce (18),26.59,L
45,46.,Hoyt Wilhelm+ (21),26.53,R
46,47.,"Max Scherzer (13, 35)",26.37,R
47,48.,Robin Roberts+ (19),25.95,R
48,49.,Dennis Eckersley+ (24),25.80,R
49,50.,"Chris Sale (10, 31)",25.04,L
50,51.,Andy Pettitte (18),24.81,L
51,52.,Jimmy Key (15),24.52,L
52,53.,Wilbur Cooper (15),24.47,L
53,54.,Lon Warneke (15),24.30,R
54,55.,Dave Stieb (16),24.00,R
55,56.,Luis Tiant (19),23.94,R
56,57.,Steve Rogers (13),23.62,R
57,58.,Charlie Root (17),23.31,R
58,59.,Roy Oswalt (13),23.25,R
59,60.,Bob Lemon+ (15),23.23,R
60,61.,Dizzy Dean+ (12),23.09,R
61,62.,CC Sabathia (19),22.70,L
62,63.,Harry Brecheen (12),22.45,L
63,64.,Freddie Fitzsimmons (19),22.31,R
64,65.,"David Price (12, 34)",22.11,L
65,66.,Kevin Appier (16),22.06,R
66,67.,Tommy Bridges (16),21.97,R
67,68.,Andy Messersmith (12),21.15,R
68,69.,Urban Shocker (13),21.08,R
69,70.,Early Wynn+ (23),21.04,R
70,71.,Jim Bunning+ (17),20.94,R
71,72.,"Felix Hernandez (15, 34)",20.81,R
72,73.,Waite Hoyt+ (21),20.71,R
73,74.,Red Faber+ (20),20.42,R
74,75.,Orel Hershiser (18),20.32,R
75,76.,"Cole Hamels (15, 36)",20.30,L
76,77.,Ron Guidry (14),19.85,L
77,78.,"Jacob deGrom (7, 32)",19.76,R
78,79.,Trevor Hoffman+ (18),19.33,R
79,80.,Carl Mays (15),19.03,R
80,81.,Mark Buehrle (16),18.99,L
81,82.,David Wells (21),18.98,L
82,83.,Mel Harder (20),18.90,R
83,84.,Bob Shawkey (15),18.87,R
84,85.,Mort Cooper (11),18.85,R
85,86.,Eddie Rommel (13),18.64,R
86,87.,Herb Pennock+ (22),18.55,L
87,88.,"Corey Kluber (10, 34)",18.46,R
88,89.,Cliff Lee (13),18.38,L
89,90.,Hal Newhouser+ (17),18.29,L
90,91.,Tommy John (26),18.26,L
91,92.,Spud Chandler (11),18.04,R
92,93.,Billy Wagner (16),17.91,L
93,94.,"Adam Wainwright (15, 38)",17.83,R
94,95.,Larry French (14),17.65,L
95,96.,Paul Derringer (15),17.54,R
96,96.,Bucky Walters (19),17.54,R
97,98.,Johnny Allen (13),17.35,R
98,99.,Firpo Marberry (14),17.27,R
99,100.,Dwight Gooden (16),17.21,R
100,101.,Jerry Koosman (19),17.19,L
101,102.,Phil Niekro+ (24),16.95,R
102,102.,"Stephen Strasburg (11, 31)",16.95,R
103,104.,Schoolboy Rowe (15),16.80,R
104,105.,Red Lucas (16),16.63,R
105,106.,"Jon Lester (15, 36)",16.56,L
106,107.,Mike Garcia (14),16.51,R
107,107.,Rick Reuschel (19),16.51,R
108,109.,Max Lanier (14),16.48,L
109,110.,Vida Blue (17),16.35,L
110,111.,Jon Matlack (13),16.12,L
111,112.,Dennis Martinez (23),16.11,R
112,113.,Burt Hooton (15),16.01,R
113,114.,Tiny Bonham (10),15.84,R
114,115.,Joe Nathan (16),15.75,R
115,116.,Art Nehf (15),15.63,L
116,117.,Jack Quinn (23),15.55,R
117,118.,Dutch Leonard (20),15.47,R
118,119.,Rollie Fingers+ (17),15.14,R
119,120.,Gary Nolan (10),15.01,R
120,121.,John Tudor (12),14.90,L
121,122.,Mike Cuellar (15),14.89,L
122,123.,Wes Ferrell (15),14.86,R
123,124.,Virgil Trucks (17),14.84,R
124,125.,Rich Gossage+ (22),14.80,R
125,126.,Chuck Finley (17),14.79,L
126,127.,Jesse Haines+ (19),14.76,R
127,128.,Francisco Rodriguez (16),14.70,R
128,129.,Catfish Hunter+ (15),14.63,R
129,129.,Bob Welch (17),14.63,R
130,131.,John Candelaria (19),14.58,L
131,132.,Tom Gordon (21),14.51,R
132,132.,"Kyle Hendricks (7, 30)",14.51,R
133,134.,Don Newcombe (10),14.28,R
134,135.,"Madison Bumgarner (12, 30)",14.16,L
135,136.,Tom Henke (14),13.89,R
136,137.,Kent Tekulve (16),13.87,R
137,138.,Hal Schumacher (13),13.84,R
138,139.,Babe Adams (19),13.71,R
139,140.,Jim Perry (17),13.69,R
140,141.,Chris Carpenter (15),13.68,R
141,142.,Jake Peavy (15),13.66,R
142,143.,"Gerrit Cole (8, 29)",13.58,R
143,144.,Dean Chance (11),13.42,R
144,145.,Larry Jackson (14),13.41,R
145,146.,"Johnny Cueto (13, 34)",13.39,R
146,146.,Brad Radke (12),13.39,R
147,148.,Sid Fernandez (15),13.37,L
148,149.,Jonathan Papelbon (12),13.36,R
149,150.,Josh Beckett (14),13.28,R
150,151.,Brandon Webb (7),13.27,R
151,152.,Milt Pappas (17),13.25,R
152,153.,Eddie Cicotte (14),13.07,R
153,154.,Joe Dobson (14),13.05,R
154,154.,Tug McGraw (19),13.05,L
155,156.,Claude Passeau (13),12.94,R
156,157.,Pat Malone (10),12.92,R
157,158.,"Kenley Jansen (11, 32)",12.91,R
158,159.,Stu Miller (16),12.90,R
159,160.,Thornton Lee (16),12.88,L
160,161.,Jesse Orosco (24),12.87,L
161,162.,Jack Morris+ (18),12.81,R
162,163.,Vic Raschi (10),12.76,R
163,164.,Eddie Lopat (12),12.72,L
164,165.,Lee Smith+ (18),12.68,R
165,166.,Frank Viola (15),12.63,L
166,167.,Curt Davis (13),12.62,R
167,168.,Matt Cain (13),12.50,R
168,169.,Dan Quisenberry (12),12.46,R
169,170.,Mel Stottlemyre (11),12.45,R
170,171.,Michael Jackson (17),12.44,R
171,171.,J.R. Richard (10),12.44,R
172,171.,Javier Vazquez (14),12.44,R
173,174.,Jose Rijo (14),12.42,R
