,Rank,"Player (yrs, age)",Double Plays Grounded Into,Bats
922,917.,Andy Etchebarren (15),84,R
923,917.,Rafael Furcal (14),84,B
924,917.,Dave Martinez (16),84,L
925,917.,Gorman Thomas (13),84,R
926,917.,Al Todd (11),84,R
927,917.,Bill Virdon (12),84,L
928,929.,Richie Ashburn+ (15),83,L
929,929.,Mark Belanger (18),83,R
930,929.,Barry Bonnell (10),83,R
931,929.,Jim Busby (13),83,R
932,929.,Billy Cox (11),83,R
933,929.,Bob Dillinger (6),83,R
934,929.,Carl Everett (14),83,B
935,929.,Billy Gardner (10),83,R
936,929.,Dave Henderson (14),83,R
937,929.,Bobby Higginson (11),83,L
938,929.,Glenn Hubbard (12),83,R
939,929.,"Chris Iannetta (14, 37)",83,R
940,929.,Eddie Joost (17),83,R
941,929.,Fred Kendall (12),83,R
942,929.,Danny Litwhiler (11),83,R
943,929.,Mike Morse (13),83,R
944,929.,Russ Nixon (12),83,L
945,929.,Wes Parker (9),83,B
946,929.,Mike Redmond (13),83,R
947,929.,Jerry Remy (10),83,L
948,949.,Miguel Cairo (17),82,R
949,949.,Nate Colbert (10),82,R
950,949.,John Ellis (13),82,R
951,949.,Jacoby Ellsbury (11),82,L
952,949.,Ray Fosse (12),82,R
953,949.,Damaso Garcia (11),82,R
954,949.,Jerry Hairston (16),82,R
955,949.,Darryl Hamilton (13),82,L
956,949.,Billy Hitchcock (9),82,R
957,949.,Julio Lugo (12),82,R
958,949.,Kirt Manwaring (13),82,R
959,949.,Mel Ott+ (22),82,L
960,949.,Johnny Pesky (10),82,L
961,949.,Jose Reyes (16),82,B
962,949.,Brian Roberts (14),82,B
963,949.,Buck Rodgers (9),82,B
964,949.,Gee Walker (15),82,R
965,949.,Bill White (13),82,L
966,967.,Ed Bailey (14),81,L
967,967.,Marty Barrett (10),81,R
968,967.,Phil Bradley (8),81,R
969,967.,"Bryce Harper (9, 27)",81,L
970,967.,Monte Irvin+ (8),81,R
971,967.,Austin Jackson (9),81,R
972,967.,"Jed Lowrie (12, 36)",81,B
973,967.,Jose Pagan (15),81,R
974,967.,Bubba Phillips (10),81,R
975,967.,Billy Ripken (12),81,R
976,967.,Juan Samuel (16),81,R
977,967.,Bob Skinner (12),81,L
978,967.,Paul Sorrento (11),81,L
979,967.,Ellis Valentine (10),81,R
980,967.,Ozzie Virgil (11),81,R
981,967.,Dixie Walker (18),81,L
982,967.,Mark Whiten (11),81,B
983,984.,Johnny Berardino (11),80,R
984,984.,Mike Blowers (11),80,R
985,984.,Dolph Camilli (12),80,L
986,984.,Greg Colbrunn (13),80,R
987,984.,Glenn Davis (10),80,R
988,984.,Johnny Estrada (8),80,B
989,984.,Rich Gedman (13),80,L
990,984.,Toby Hall (9),80,R
991,984.,Jay Johnstone (20),80,L
992,984.,Buddy Kerr (9),80,R
993,984.,George Metkovich (10),80,L
994,984.,Les Moss (13),80,R
995,984.,Dioner Navarro (13),80,B
996,984.,Rich Rollins (10),80,R
997,984.,Paul Schaal (11),80,R
998,984.,John Stearns (11),80,R
999,984.,Johnny Wyrostek (11),80,L
1000,984.,Joel Youngblood (14),80,R
