,Rank,"Player (yrs, age)",Total Zone Runs as SS (s.1953),Throws
0,1.,Ozzie Smith+ (19),239,R
1,2.,Mark Belanger (18),238,R
2,3.,Cal Ripken Jr.+ (21),176,R
3,4.,Luis Aparicio+ (18),149,R
4,5.,Omar Vizquel (24),130,R
5,6.,Troy Tulowitzki (13),122,R
6,7.,Rey Sanchez (15),112,R
7,8.,"Andrelton Simmons (9, 30)",110,R
8,9.,Ozzie Guillen (16),99,R
9,10.,Roy McMillan (16),88,R
10,11.,Ron Hansen (15),87,R
11,11.,J.J. Hardy (13),87,R
12,13.,Greg Gagne (15),81,R
13,13.,Alan Trammell+ (20),81,R
14,15.,Adam Everett (11),80,R
15,16.,Ed Brinkman (15),77,R
16,17.,Jack Wilson (12),76,R
17,18.,"Nick Ahmed (7, 30)",72,R
18,19.,Bert Campaneris (19),71,R
19,20.,Mike Bordick (14),69,R
20,21.,Tony Kubek (9),66,R
21,22.,Clint Barmes (13),65,R
22,22.,Bucky Dent (12),65,R
23,24.,Ernie Banks+ (19),62,R
24,24.,Gary Disarcina (12),62,R
25,26.,Rico Petrocelli (13),60,R
26,27.,Royce Clayton (17),59,R
27,28.,Brendan Ryan (10),58,R
28,29.,Johnny Logan (13),57,R
29,30.,"Brandon Crawford (10, 33)",56,R
30,30.,Yunel Escobar (11),56,R
31,30.,"Francisco Lindor (6, 26)",56,R
32,30.,Rey Ordóñez (9),56,R
33,34.,"Elvis Andrus (12, 31)",53,R
34,34.,Dal Maxvill (14),53,R
35,36.,Dick Groat (14),51,R
36,36.,Jose Valentin (16),51,R
37,38.,Frank Duffy (10),50,R
38,38.,Bill Russell (18),50,R
39,38.,John Valentin (11),50,R
40,41.,Rick Burleson (13),49,R
41,41.,Cesar Izturis (13),49,R
42,43.,Dave Concepcion (19),48,R
43,43.,Rafael Furcal (14),48,R
44,45.,Mike Benjamin (13),47,R
45,46.,Tim Foli (16),44,R
46,47.,Chico Carrasquel (10),43,R
47,47.,Scott Fletcher (15),43,R
48,47.,Dick Schofield (14),43,R
49,50.,Tony Fernandez (17),42,R
50,51.,"Trevor Story (5, 27)",40,R
51,52.,Jimmy Rollins (17),38,R
52,53.,Gene Alley (11),36,R
53,53.,Paul Janish (9),36,R
54,55.,Nomar Garciaparra (14),34,R
55,55.,Bud Harrelson (16),34,R
56,57.,Craig Counsell (16),33,R
57,58.,"Zack Cozart (9, 34)",32,R
58,59.,Juan Uribe (16),31,R
59,60.,Larry Bowa (16),30,R
60,60.,"Carlos Correa (6, 25)",30,R
61,60.,Hal Lanier (10),30,R
62,63.,Chris Speier (19),29,R
63,63.,Garry Templeton (16),29,R
64,65.,Benji Gil (8),28,R
65,65.,Barry Larkin+ (19),28,R
66,65.,Jhonny Peralta (15),28,R
67,65.,Addison Russell (5),28,R
68,69.,Alex Grammas (10),27,R
69,70.,Neifi Perez (12),26,R
70,71.,"Orlando Arcia (5, 25)",25,R
71,71.,Rafael Belliard (17),25,R
72,71.,Leo Cardenas (16),25,R
73,71.,David Eckstein (10),25,R
74,71.,Manuel Lee (11),25,R
75,71.,Robin Yount+ (20),25,R
76,77.,Jim Fregosi (18),24,R
77,77.,Ray Oyler (6),24,R
78,77.,"Corey Seager (6, 26)",24,R
79,80.,Cliff Pennington (11),23,R
80,80.,Jose Uribe (10),23,R
81,82.,Pee Wee Reese+ (16),22,R
82,82.,"Miguel Rojas (7, 31)",22,R
83,84.,Alvaro Espinoza (12),21,R
84,84.,Kiko Garcia (10),21,R
85,84.,David Howard (9),21,R
86,84.,"Jean Segura (9, 30)",21,R
87,84.,George Strickland (10),21,R
88,89.,Mike Aviles (10),20,R
89,89.,"Jordy Mercer (9, 33)",20,R
90,91.,Jose Hernandez (15),19,R
91,91.,John McDonald (16),19,R
92,93.,Jerry Adair (13),18,R
93,93.,Alex Rodriguez (22),18,R
94,95.,"José Iglesias (9, 30)",17,R
95,95.,Angel Salazar (5),17,R
96,95.,Walt Weiss (14),17,R
97,98.,Tony Batista (11),16,R
98,98.,Tim Bogar (9),16,R
99,98.,"Paul DeJong (4, 26)",16,R
100,98.,Gil McDougald (10),16,R
101,98.,Freddie Patek (14),16,R
102,103.,Dale Berra (11),15,R
103,103.,Todd Cruz (6),15,R
104,103.,"Didi Gregorius (9, 30)",15,R
105,103.,"Pete Kozma (7, 32)",15,R
106,103.,Dickie Thon (15),15,R
107,108.,"Willy Adames (3, 24)",14,R
108,108.,Rocky Bridges (11),14,R
109,108.,Danny Espinosa (8),14,R
110,108.,Woodie Held (14),14,R
111,108.,Pokey Reese (8),14,R
112,113.,Bob Bailor (11),13,R
113,113.,Mike Gallego (13),13,R
114,113.,Alex Gonzalez (16),13,R
115,113.,Willy Miranda (9),13,R
116,113.,"JT Riddle (4, 28)",13,R
117,118.,Eddie Kasko (10),12,R
118,118.,Dick Schofield (19),12,R
119,120.,"Javier Baez (7, 27)",11,R
120,120.,"Ryan Goins (8, 32)",11,R
121,120.,Billy Hunter (6),11,R
122,120.,Omar Infante (15),11,R
123,120.,Felix Martinez (5),11,R
124,120.,Jeff Reboulet (12),11,R
125,120.,Ramon Santiago (13),11,R
126,127.,Alex Cora (14),10,R
127,127.,"J.P. Crawford (4, 25)",10,R
128,127.,"Luis Cruz (5, 36)",10,R
129,127.,Bobby Grich (17),10,R
130,127.,Sam Khalifa (3),10,R
131,127.,Bobby Wine (12),10,R
132,133.,Larry Brown (12),9,R
133,133.,Tim Cullen (7),9,R
134,133.,Craig Grebeck (12),9,R
135,133.,"Adeiny Hechavarria (9, 31)",9,R
136,133.,Jose Oquendo (12),9,R
137,133.,Tony Pena (4),9,R
138,133.,Andre Robertson (5),9,R
139,133.,Randy Velarde (16),9,R
140,133.,Zoilo Versalles (12),9,R
141,133.,Ron Wotus (2),9,R
142,143.,Jerry Dybzinski (6),8,R
143,143.,Gil Garrido (6),8,R
144,143.,"Niko Goodrum (4, 28)",8,R
145,143.,Solly Hemus (11),8,R
146,143.,Mick Kelleher (11),8,R
147,143.,Phil Rizzuto+ (13),8,R
148,143.,Jerry Snyder (7),8,R
149,150.,Jim Anderson (6),7,R
150,150.,Milt Bolling (7),7,R
151,150.,Alex Cintron (9),7,R
152,150.,Fred Manrique (9),7,R
153,150.,Bill Pecota (9),7,R
154,150.,Greg Pryor (10),7,R
155,150.,Craig Reynolds (15),7,R
156,150.,Woody Woodward (9),7,R
157,158.,Manny Alexander (11),6,R
158,158.,Darwin Barney (8),6,R
159,158.,Onix Concepcion (7),6,R
160,158.,Al Dark (14),6,R
161,158.,Sammy Esposito (10),6,R
162,158.,Craig Gerber (1),6,R
163,158.,Alex Gonzalez (13),6,R
164,158.,Tony Graffanino (13),6,R
165,158.,Mendy Lopez (7),6,R
166,158.,Tommy Matchick (6),6,R
167,158.,Jayson Nix (7),6,R
168,158.,Tony Rodriguez (1),6,R
169,158.,Rich Severson (2),6,R
170,158.,Wayne Tolleson (10),6,R
171,158.,Wilson Valdez (7),6,R
172,158.,Jorge Velandia (8),6,R
173,174.,"Hanser Alberto (5, 27)",5,R
174,174.,Alfredo Amezaga (9),5,R
175,174.,Tom Brookens (12),5,R
176,174.,Wayne Causey (11),5,R
177,174.,Harry Chappas (3),5,R
178,174.,Joe DeMaestri (11),5,R
179,174.,Sam Dente (9),5,R
180,174.,Pedro Florimon (8),5,R
181,174.,"Erik Gonzalez (5, 28)",5,R
182,174.,Khalil Greene (7),5,R
183,174.,Houston Jimenez (4),5,R
184,174.,Pat Meares (9),5,R
185,174.,Joe Millette (2),5,R
186,174.,Pablo Ozuna (7),5,R
187,174.,Mike Phillips (11),5,R
188,174.,Bob Saverine (6),5,R
189,174.,"Andrew Velazquez (3, 25)",5,R
190,191.,Edgardo Alfonzo (12),4,R
191,191.,Sandy Alomar (15),4,R
192,191.,Rich Aurilia (15),4,R
193,191.,Jeff Bianchi (4),4,R
194,191.,"Alex Bregman (5, 26)",4,R
195,191.,Alberto Callaspo (10),4,R
196,191.,Travis Fryman (13),4,R
197,191.,Luis Hernandez (5),4,R
198,191.,Aaron Ledesma (5),4,R
199,191.,Johnny Lipon (9),4,R
200,191.,"Ketel Marte (6, 26)",4,R
201,191.,Mario Mendoza (9),4,R
202,191.,Don Money (16),4,R
203,191.,Kevin Nicholson (1),4,R
204,191.,Al Pedrique (3),4,R
205,191.,Justin Sellers (4),4,R
206,191.,Andy Stankiewicz (7),4,R
207,191.,Tom Tresh (9),4,R
208,191.,"Cole Tucker (2, 23)",4,R
209,191.,Maury Wills (14),4,R
210,211.,Mike Baxes (2),3,R
211,211.,Jay Bell (18),3,R
212,211.,Dave Berg (7),3,R
213,211.,Dusty Coleman (2),3,R
214,211.,Ed Crosby (6),3,R
215,211.,Ivan De Jesus (4),3,R
216,211.,"Wilmer Difo (6, 28)",3,R
217,211.,Ken Dowell (1),3,R
218,211.,Thomas Field (4),3,R
219,211.,Ron Gardenhire (5),3,R
220,211.,Brian Giles (6),3,R
221,211.,Kelly Gruber (10),3,R
222,211.,Maicer Izturis (11),3,R
223,211.,Chipper Jones+ (19),3,R
224,211.,Billy Klaus (11),3,R
225,211.,Wayne Krenchicki (8),3,R
226,211.,Scott Leius (9),3,R
227,211.,Placido Polanco (16),3,R
228,211.,Rico Rossy (4),3,R
229,211.,Donnie Sadler (8),3,R
230,211.,Marco Scutaro (13),3,R
231,211.,Kevin Sefcik (7),3,R
232,211.,Luis Sojo (13),3,R
233,211.,Coot Veal (6),3,R
234,211.,Rafael Ynoa (3),3,R
235,236.,Ricky Adams (3),2,R
236,236.,Chuck Baker (3),2,R
237,236.,"Bo Bichette (2, 22)",2,R
238,236.,Aaron Boone (12),2,R
239,236.,Ray Boone (13),2,R
240,236.,Orlando Cabrera (15),2,R
241,236.,Ron Campbell (3),2,R
242,236.,Billy Consolo (10),2,R
243,236.,Mark DeRosa (16),2,R
244,236.,John Donaldson (6),2,R
245,236.,"Santiago Espinal (1, 25)",2,R
246,236.,"Kyle Farmer (4, 29)",2,R
247,236.,Owen Friend (5),2,R
248,236.,Jim Gantner (17),2,R
249,236.,"Greg Garcia (7, 30)",2,R
250,236.,Jesse Garcia (7),2,R
251,236.,Edgar Gonzalez (2),2,R
