,Rank,"Player (yrs, age)",Base-Out Runs Added (RE24),Bats
621,622.,"Xander Bogaerts (8, 27)",91.678,R
622,623.,Steve Braun (15),91.651,L
623,624.,"Chris Davis (13, 34)",91.489,L
624,625.,Ian Kinsler (14),91.333,R
625,626.,Jo-Jo Moore (12),91.038,L
626,627.,Claudell Washington (17),90.998,L
627,628.,"Carlos Correa (6, 25)",90.879,R
628,629.,Heinie Groh (16),90.681,R
629,630.,Dave Bancroft+ (16),90.607,B
630,631.,Jerry Lynch (13),89.958,L
631,632.,Rondell White (15),89.213,R
632,633.,Mike Andrews (8),89.198,R
633,634.,Freddie Lindstrom+ (13),89.114,R
634,635.,Hal Morris (13),89.083,L
635,636.,Bubbles Hargrave (12),88.981,R
636,637.,Doug DeCinces (15),88.566,R
637,638.,Tom Haller (12),88.354,L
638,639.,Johnny Frederick (6),88.309,L
639,640.,Chris Hoiles (10),88.299,R
640,641.,Rico Petrocelli (13),88.263,R
641,642.,"Brett Gardner (13, 36)",88.182,L
642,643.,Seth Smith (11),88.154,L
643,644.,Buddy Lewis (11),87.984,L
644,645.,Torii Hunter (19),87.724,R
645,646.,Larry Parrish (15),87.718,R
646,647.,Jesse Barfield (12),87.573,R
647,648.,Tim Wallach (17),87.032,R
648,649.,Tim McCarver (21),86.820,L
649,650.,Sam Leslie (10),86.505,L
650,651.,Gus Zernial (11),86.450,R
651,652.,Chet Laabs (11),86.436,R
652,653.,Lyman Bostock (4),86.260,L
653,654.,Jeff Cirillo (14),86.188,R
654,655.,Wally Schang (19),85.883,B
655,656.,"Jay Bruce (13, 33)",85.788,L
656,657.,Trot Nixon (12),85.557,L
657,658.,"Trea Turner (6, 27)",85.401,R
658,659.,Gary Redus (13),85.336,R
659,660.,"Kyle Seager (10, 32)",85.275,L
660,661.,"DJ LeMahieu (10, 31)",85.109,R
661,662.,Glenn Wright (11),84.923,R
662,663.,Howie Kendrick (15),84.855,R
663,664.,Terry Puhl (15),84.821,L
664,665.,Bake McBride (11),84.688,L
665,666.,Curt Walker (12),84.416,L
666,667.,Ryan Ludwick (12),84.388,R
667,668.,Harry Hooper+ (17),83.939,L
668,669.,Johnny Mostil (10),83.904,R
669,670.,Jason Kendall (15),83.869,R
670,671.,Joe Ferguson (14),83.617,R
671,672.,Elston Howard (14),83.519,R
672,673.,"Jason Kipnis (10, 33)",83.467,L
673,674.,Tony Fernandez (17),83.255,B
674,675.,Johnny Moore (10),83.209,L
675,676.,"Trevor Story (5, 27)",83.171,R
676,677.,Garry Maddox (15),82.898,R
677,678.,Jim Russell (10),82.688,B
678,679.,Kendrys Morales (13),82.641,B
679,680.,Luke Easter (6),82.227,L
680,681.,"Adam Eaton (9, 31)",81.956,L
681,682.,Casey Stengel+ (14),81.903,L
682,683.,B.J. Surhoff (19),81.836,L
683,684.,"David Peralta (7, 32)",81.723,L
684,685.,Jack Cust (10),81.557,L
685,686.,Wally Westlake (10),80.782,R
686,687.,Bill Buckner (22),80.225,L
687,688.,Earl Webb (7),80.135,L
688,689.,Dave Hollins (12),79.957,B
689,690.,David Segui (15),79.859,B
690,691.,Willie Montanez (14),79.851,L
691,692.,Matty Alou (15),79.804,L
692,693.,Bill Mueller (11),79.714,B
693,694.,Jim Lemon (12),79.662,R
694,695.,"Ronald Acuna Jr. (3, 22)",79.356,R
695,696.,Jim Hickman (13),79.310,R
696,697.,"Khris Davis (8, 32)",79.189,R
697,698.,"Pablo Sandoval (13, 33)",79.177,B
698,699.,Ron LeFlore (9),79.169,R
699,700.,Juan Samuel (16),78.830,R
700,701.,Corey Hart (11),78.481,R
701,702.,Ken Phelps (11),78.393,L
702,703.,Yasiel Puig (7),77.793,R
703,704.,Woodie Held (14),77.761,R
704,705.,Kevin Millar (12),77.679,R
705,706.,Eddie Joost (17),77.675,R
706,707.,"Wil Myers (8, 29)",77.396,R
707,708.,Mike Marshall (11),77.340,R
708,709.,Charlie Jamieson (18),77.316,L
709,710.,Mark Reynolds (13),77.227,R
710,711.,Angel Pagan (11),77.204,B
711,712.,Allen Craig (6),77.156,R
712,713.,Todd Zeile (16),77.088,R
713,714.,Willard Marshall (11),76.926,L
714,715.,Javy Lopez (15),76.762,R
715,716.,David DeJesus (13),76.683,L
716,717.,Bernard Gilkey (12),76.092,R
717,718.,Babe Young (8),76.043,L
718,719.,Candy Maldonado (15),76.009,R
719,720.,Nellie Fox+ (19),75.844,L
720,721.,Max West (7),75.589,L
721,722.,Harvey Hendrick (11),74.634,L
722,723.,Phil Weintraub (7),74.298,L
723,724.,Jimmie Hall (8),74.153,L
724,725.,Robby Thompson (11),74.151,R
725,726.,Home Run Baker+ (13),74.116,L
726,727.,Steve Henderson (12),73.647,R
727,728.,Billy Johnson (9),73.566,R
728,729.,Bob Fothergill (12),73.367,R
729,730.,Frank Catalanotto (14),73.257,L
730,731.,Martin Prado (14),72.837,R
731,732.,Russell Martin (14),72.736,R
732,733.,Ray Durham (14),72.686,B
733,734.,Dale Long (10),72.584,L
734,735.,Brooks Robinson+ (23),72.498,R
735,736.,Ed Konetchy (15),72.486,R
736,737.,David Freese (11),72.169,R
737,738.,Henry Rodriguez (11),72.044,L
738,739.,Joe Foy (6),71.830,R
739,740.,Kevin Bass (14),71.784,B
740,741.,Melky Cabrera (15),71.500,B
741,742.,"Rhys Hoskins (4, 27)",71.453,R
742,743.,Garret Anderson (17),71.222,L
743,744.,Frank Demaree (12),71.179,R
744,745.,Ben Grieve (9),71.142,L
745,746.,Tony Cuccinello (15),71.095,R
746,747.,Chuck Hinton (11),71.029,R
747,748.,Jimmy Dykes (22),70.956,R
748,749.,Mike Cameron (17),70.857,R
749,750.,Lyle Overbay (14),70.828,L
750,751.,Dick Wakefield (9),70.735,L
751,752.,Luke Scott (9),70.672,L
752,753.,"Asdrubal Cabrera (14, 34)",70.665,B
753,754.,Brian Jordan (15),70.620,R
754,755.,"Yasmani Grandal (9, 31)",70.381,B
755,756.,Bip Roberts (12),70.361,B
756,757.,Marcus Giles (7),70.270,R
757,758.,George Bell (12),70.267,R
758,759.,Braggo Roth (8),70.254,R
759,760.,John Wockenfuss (12),69.962,R
760,761.,Mike Lowell (13),69.865,R
761,762.,Rick Reichardt (11),69.815,R
762,763.,Hal Chase (15),69.546,R
763,764.,Derek Bell (11),69.519,R
764,765.,Albie Pearson (9),69.354,L
765,766.,"Max Muncy (5, 29)",69.273,L
766,767.,Jim King (11),69.268,L
767,768.,Miguel Montero (13),69.103,L
768,769.,Joe Carter (16),69.047,R
769,770.,Ron Blomberg (8),68.905,L
770,771.,Mike Ivie (11),68.785,R
771,772.,"Nicholas Castellanos (8, 28)",68.554,R
772,773.,Dmitri Young (13),68.539,B
773,774.,Shannon Stewart (14),68.463,R
774,775.,George Altman (9),68.393,L
775,776.,Pinky Whitney (12),68.152,R
776,777.,Willie Kirkland (9),67.960,L
777,778.,Willie Aikens (8),67.910,L
778,779.,John Jaso (9),67.862,L
779,780.,Tom Herr (13),67.841,B
780,781.,Bobby Estalella (9),67.562,R
781,782.,Lucas Duda (10),67.474,L
782,782.,Mel Hall (13),67.474,L
783,784.,Milton Bradley (12),67.270,B
784,785.,Jay Johnstone (20),66.971,L
785,786.,Kelly Johnson (11),66.826,L
786,787.,Rance Mulliniks (16),66.731,L
787,788.,Cookie Lavagetto (10),66.680,R
788,789.,Eric Karros (14),66.570,R
789,790.,Corey Koskie (9),66.477,L
790,791.,John Vander Wal (14),66.234,L
791,792.,Ellis Valentine (10),65.789,R
792,793.,Don Demeter (11),65.720,R
793,794.,Mark Loretta (15),65.614,R
794,795.,Roberto Kelly (14),65.572,R
795,796.,Gene Richards (8),65.527,L
796,797.,Bill Bruton (12),65.361,L
797,798.,"Josh Bell (5, 27)",65.285,B
798,799.,Babe Phelps (11),65.281,L
799,800.,Hector Lopez (12),65.208,R
800,801.,Debs Garms (12),65.151,L
801,802.,Goody Rosen (6),65.133,L
802,803.,"AJ Pollock (9, 32)",65.129,R
803,804.,Jeff King (11),64.778,R
804,805.,Don Money (16),64.586,R
805,806.,"Luke Voit (4, 29)",64.585,R
806,807.,Bobby Avila (11),64.566,R
807,808.,Jake Daubert (15),64.405,L
808,809.,Ed Bouchee (7),64.348,L
809,810.,Greg Walker (9),64.233,L
810,811.,Don Lock (8),64.201,R
811,812.,Chase Headley (12),64.040,B
812,813.,"Tommy Pham (7, 32)",63.835,R
813,814.,"Corey Dickerson (8, 31)",63.537,L
814,815.,Gates Brown (13),63.282,L
815,816.,Melvin Mora (13),63.248,R
816,817.,Solly Hemus (11),62.995,L
817,818.,"Matthew Joyce (13, 35)",62.533,L
818,819.,Cody Ross (12),62.504,R
819,820.,Walt Moryn (8),62.358,L
820,821.,Rafael Furcal (14),62.140,B
821,822.,Lou Piniella (18),61.977,R
822,823.,Jorge Orta (16),61.943,L
823,824.,Bill Melton (10),61.498,R
824,825.,Al Bumbry (14),61.489,L
825,826.,Denny Walling (18),61.355,L
826,827.,Lloyd Waner+ (18),60.804,L
827,828.,George Crowe (9),60.765,L
828,829.,John Valentin (11),60.746,R
829,830.,"Brandon Nimmo (5, 27)",60.630,L
830,831.,Mike Morse (13),60.136,R
831,832.,"Kole Calhoun (9, 32)",60.114,L
832,833.,George Watkins (7),59.999,L
833,834.,Del Pratt (13),59.750,R
834,835.,Lenny Green (12),59.470,L
835,836.,David Murphy (10),59.361,L
836,837.,Jackie Brandt (11),59.307,R
837,838.,Ken Henderson (16),59.149,B
838,839.,Greg Gross (17),59.077,L
839,840.,Ruppert Jones (12),58.761,L
840,841.,Dion James (11),58.727,L
841,842.,Baby Doll Jacobson (11),58.625,R
842,843.,Larry Doyle (14),58.533,L
843,844.,Sandy Amoros (7),58.493,L
844,845.,Brian Roberts (14),58.442,B
845,846.,Scott Hatteberg (14),58.424,L
846,847.,Tillie Walker (13),58.363,R
847,848.,Ed Charles (8),58.186,R
848,849.,Jack Tobin (13),58.121,L
849,850.,Joe Hauser (6),57.773,L
850,851.,Johnny Lindell (12),57.765,R
851,852.,Otto Velez (11),57.692,R
852,853.,Tony Solaita (7),57.577,L
853,854.,Devon White (17),57.533,B
854,855.,Fred Whitfield (9),57.423,L
855,856.,Jason Kubel (10),57.361,L
856,857.,Gordy Coleman (9),57.305,L
857,858.,Sid Bream (12),57.299,L
858,859.,Nick Esasky (8),57.218,R
859,860.,Gene Hermanski (9),57.086,L
860,861.,Wayne Garrett (10),56.981,L
861,862.,"Chris Taylor (7, 29)",56.920,R
862,863.,Marlon Byrd (15),56.552,R
863,864.,Gary Roenicke (12),56.272,R
864,865.,Terry Pendleton (15),56.124,B
865,866.,Al Zarilla (10),55.429,L
866,867.,Mike Aldrete (10),55.371,L
867,868.,Ollie Brown (13),54.973,R
868,869.,Frank Brower (5),54.666,L
869,870.,Rich Rollins (10),54.275,R
870,871.,Hubie Brooks (15),54.239,R
871,872.,Larry Gardner (17),54.187,L
872,873.,Freddy Sanchez (10),54.153,R
873,874.,"Jose Martinez (5, 31)",53.992,R
874,875.,Al Dark (14),53.744,R
875,876.,"Matt Olson (5, 26)",53.676,L
876,877.,Cal Abrams (8),53.574,L
877,878.,Rip Radcliff (10),53.539,L
878,879.,Lloyd Moseby (12),53.321,L
879,880.,Sherm Lollar (18),53.243,R
880,881.,Joe Collins (10),53.232,L
881,882.,Alex Johnson (13),53.081,R
882,883.,"Andrew Benintendi (5, 25)",52.949,L
883,883.,Danny Litwhiler (11),52.949,R
884,885.,Hersh Martin (6),52.741,B
885,886.,"Stephen Piscotty (6, 29)",52.690,R
886,887.,Al Ferrara (8),52.630,R
887,888.,Stan Lopata (13),52.611,R
888,889.,Mike Hegan (12),52.604,L
889,890.,Keith Moreland (12),52.081,R
890,891.,Randy Ready (13),52.065,R
891,892.,"Francisco Lindor (6, 26)",52.046,B
892,893.,Jermaine Dye (14),51.864,R
893,894.,Gorman Thomas (13),51.598,R
894,895.,"Chris Iannetta (14, 37)",51.363,R
895,896.,Dusty Cooke (8),51.357,L
896,897.,Jack Hiatt (9),51.343,R
897,898.,Smead Jolley (4),51.237,L
898,899.,Dom Dallessandro (8),51.217,L
899,900.,"Jake Lamb (7, 29)",51.115,L
900,901.,Pete Fox (13),50.960,R
901,902.,Jim Lefebvre (8),50.875,B
902,903.,Delino DeShields (13),50.615,L
903,904.,"Jed Lowrie (12, 36)",50.587,B
904,905.,John Lowenstein (16),50.529,L
905,906.,Johnny Rizzo (5),50.425,R
906,907.,Dave May (12),50.331,L
907,908.,Dick Gernert (11),50.211,R
908,909.,Gary Ward (12),49.899,R
909,910.,Happy Felsch (6),49.754,R
910,911.,Dan Ford (11),49.646,R
911,912.,Earl Sheely (9),49.634,R
912,913.,Travis Fryman (13),49.499,R
913,914.,Vic Power (12),49.439,R
914,915.,"Brian Anderson (4, 27)",49.421,R
915,916.,Vince DiMaggio (10),49.363,R
916,917.,Tommie Agee (12),49.205,R
917,918.,Johnny Wyrostek (11),49.193,L
918,919.,Dave Nilsson (8),49.092,L
919,920.,"Jeff McNeil (3, 28)",49.041,L
920,921.,Bubba Trammell (7),48.999,R
921,922.,Garrett Atkins (8),48.845,R
922,923.,Pete O'Brien (12),48.844,L
923,924.,Don Padgett (8),48.749,L
924,925.,"Matt Chapman (4, 27)",48.650,R
925,926.,Roy Smalley (13),48.626,B
926,927.,Jim Pagliaroni (11),48.576,R
927,928.,Dick Porter (6),48.571,L
928,929.,Bob Robertson (11),48.242,R
929,930.,Edgar Renteria (16),48.216,R
930,931.,Les Fleming (7),48.153,L
931,932.,Jim Leyritz (11),48.056,R
932,933.,Milt Thompson (13),48.022,L
933,934.,Don Lenhardt (5),47.951,R
934,935.,Bobby Brown (8),47.610,L
935,936.,Ron Swoboda (9),47.488,R
936,937.,"Josh Reddick (12, 33)",47.344,L
937,938.,Bill North (11),47.215,B
938,939.,Mitch Webster (13),46.856,B
939,940.,"Rafael Devers (4, 23)",46.734,L
940,941.,Gary Geiger (12),46.668,L
941,942.,Walton Cruise (10),46.640,L
942,943.,Ken McMullen (16),46.601,R
943,944.,"Matt Adams (9, 31)",46.491,L
944,945.,"Mark Canha (6, 31)",46.438,R
945,946.,Phil Garner (16),46.121,R
946,947.,Lee Lacy (16),45.891,R
947,948.,Greg Colbrunn (13),45.539,R
948,949.,Ken Harrelson (9),45.492,R
949,950.,Morgan Ensberg (8),45.269,R
950,951.,Randy Winn (13),45.152,B
951,952.,"Jorge Soler (7, 28)",45.113,R
952,953.,Larry Rosenthal (8),45.073,L
953,954.,Ping Bodie (9),45.042,R
954,955.,Rickie Weeks (14),44.981,R
955,956.,Harry Anderson (5),44.845,L
956,957.,"J.T. Realmuto (7, 29)",44.815,R
957,958.,Russ Wrightstone (9),44.733,L
958,959.,"Miguel Sano (6, 27)",44.422,R
959,960.,"Ozzie Albies (4, 23)",44.276,B
960,961.,Greg Brock (10),44.268,L
961,962.,Scooter Gennett (7),43.971,L
962,963.,Adam Jones (14),43.858,R
963,964.,Travis Jackson+ (15),43.811,R
964,965.,Justin Bour (6),43.794,L
965,966.,Terry Moore (11),43.632,R
966,967.,Freddy Leach (10),43.520,L
967,968.,Les Mann (16),43.423,R
968,969.,"Todd Frazier (10, 34)",43.132,R
969,970.,Shanty Hogan (13),42.927,R
970,971.,"Fernando Tatis Jr. (2, 21)",42.798,R
971,972.,Sam Jethroe (4),42.770,B
972,973.,Al Martin (11),42.723,L
973,974.,Austin McHenry (5),42.666,R
974,975.,Smoky Joe Wood (14),42.650,R
975,976.,Jim Landis (11),42.551,R
976,977.,"Ian Desmond (11, 34)",42.327,R
977,978.,Glenallen Hill (13),42.244,R
978,979.,Gary Thomasson (9),42.113,L
979,980.,Placido Polanco (16),42.019,R
980,981.,"Pete Alonso (2, 25)",41.866,R
981,982.,Don Hoak (11),41.608,R
982,983.,Joel Youngblood (14),41.235,R
983,984.,Johnny Ray (10),41.070,B
984,985.,Andy Seminick (15),41.049,R
985,986.,Vic Davalillo (16),40.963,L
986,987.,Duke Sims (11),40.947,L
987,988.,Paul Schaal (11),40.946,R
988,989.,"Lorenzo Cain (11, 34)",40.860,R
989,990.,Daniel Nava (7),40.853,B
990,991.,Ralph Garr (13),40.844,L
991,992.,Charlie Hollocher (7),40.797,L
992,993.,Tommy McCraw (13),40.745,L
993,994.,Carmelo Martinez (9),40.420,R
994,995.,Deron Johnson (16),40.415,R
995,996.,Andy High (13),40.372,L
996,997.,"Robbie Grossman (8, 30)",40.217,B
997,998.,Jim Dwyer (18),40.199,L
998,999.,Reb Russell (9),40.067,L
