,Rank,"Player (yrs, age)",Base-Out Runs Added (RE24),Bats
69,70.,Vladimir Guerrero+ (16),442.018,R
70,71.,Matt Holliday (15),435.852,R
71,72.,Jack Clark (18),425.422,R
72,73.,Chuck Klein+ (17),424.705,L
73,74.,Rusty Staub (23),421.152,L
74,75.,Kiki Cuyler+ (18),418.112,R
75,76.,Enos Slaughter+ (19),418.077,L
76,77.,Paul Molitor+ (21),417.768,R
77,78.,Boog Powell (17),415.536,L
78,79.,Arky Vaughan+ (14),415.360,L
79,80.,Carlos Beltran (20),414.135,B
80,81.,Bob Johnson (13),413.272,R
81,82.,Bill Terry+ (14),410.975,L
82,83.,Hank Greenberg+ (13),408.830,R
83,84.,Keith Hernandez (17),408.501,L
84,85.,Reggie Smith (17),407.275,B
85,86.,John Olerud (17),405.617,L
86,87.,Goose Goslin+ (18),403.174,L
87,88.,Tony Perez+ (23),402.754,R
88,89.,Darrell Evans (21),397.810,L
89,90.,Minnie Minoso (17),396.721,R
90,91.,Yogi Berra+ (19),396.227,L
91,92.,Dave Parker (19),392.438,L
92,93.,"Ryan Braun (14, 36)",391.908,R
93,94.,Mark Grace (16),391.801,L
94,95.,Bobby Bonds (14),390.811,R
95,96.,Orlando Cepeda+ (17),389.216,R
96,97.,Derek Jeter+ (20),387.085,R
97,98.,Sammy Sosa (18),385.362,R
98,99.,Frank Howard (16),385.041,R
99,100.,Dwight Evans (20),384.180,R
100,101.,Moises Alou (17),383.795,R
101,102.,"Paul Goldschmidt (10, 32)",380.290,R
102,103.,Joe Torre+ (18),377.859,R
103,104.,Ernie Banks+ (19),376.580,R
104,105.,Charlie Keller (13),376.367,L
105,106.,Mark Teixeira (14),372.815,B
106,107.,Craig Biggio+ (20),371.948,R
107,108.,Harry Heilmann+ (17),369.951,R
108,109.,"Freddie Freeman (11, 30)",369.730,L
109,110.,Ralph Kiner+ (10),367.290,R
110,111.,Larry Doby+ (13),366.525,L
111,112.,Luis Gonzalez (19),364.776,L
112,113.,Adrian Gonzalez (15),362.700,L
113,114.,Dolph Camilli (12),358.881,L
114,115.,Darryl Strawberry (17),358.103,L
115,116.,Joe Mauer (15),358.081,L
116,117.,Augie Galan (16),356.695,B
117,118.,Jim Bottomley+ (16),354.090,L
118,119.,Johnny Bench+ (17),351.646,R
119,120.,Harold Baines+ (22),348.185,L
120,121.,Jim Edmonds (17),347.251,L
121,122.,Ron Santo+ (15),346.398,R
122,123.,Prince Fielder (12),345.897,L
123,124.,Bill Dickey+ (17),345.352,L
124,125.,Jim Wynn (15),343.385,R
125,126.,Mickey Cochrane+ (13),343.172,L
126,127.,Dale Murphy (18),339.059,R
127,128.,Jeff Kent (17),337.009,R
128,129.,Albert Belle (12),334.448,R
129,130.,Barry Larkin+ (19),333.969,R
130,131.,Tommy Henrich (11),332.400,L
131,132.,Scott Rolen (17),330.018,R
132,133.,Hack Wilson+ (12),327.327,R
133,134.,Jackie Robinson+ (10),326.664,R
134,135.,Ryne Sandberg+ (16),325.234,R
135,136.,Chase Utley (16),324.581,L
136,137.,Babe Herman (13),324.332,L
137,138.,Ellis Burks (18),324.042,R
138,139.,Andres Galarraga (19),323.683,R
139,140.,Roberto Alomar+ (17),322.856,B
140,141.,Ryan Klesko (16),321.887,L
141,142.,Frankie Frisch+ (19),321.885,B
142,143.,Ted Simmons+ (21),321.278,B
143,144.,Gil Hodges (18),321.252,R
144,145.,"Andrew McCutchen (12, 33)",320.330,R
145,146.,Bob Watson (19),318.112,R
146,147.,Greg Luzinski (15),317.431,R
147,148.,Rocky Colavito (14),316.546,R
148,149.,Pedro Guerrero (15),316.417,R
149,150.,Tony Oliva (15),315.849,L
150,151.,David Wright (14),314.955,R
151,152.,Jose Cruz (19),311.567,L
152,153.,Bob Elliott (15),310.870,R
153,154.,Ken Singleton (15),310.704,B
154,155.,Dixie Walker (18),308.886,L
155,156.,Eric Davis (17),307.306,R
