,Rank,"Player (yrs, age)",Plate Appearances,Bats
0,1.,Pete Rose (24),15890,B
1,2.,Carl Yastrzemski+ (23),13992,L
2,3.,Hank Aaron+ (23),13941,R
3,4.,Rickey Henderson+ (25),13346,R
4,5.,Ty Cobb+ (24),13103,L
5,6.,Cal Ripken Jr.+ (21),12883,R
6,7.,Eddie Murray+ (21),12817,B
7,8.,Stan Musial+ (22),12721,L
8,9.,Barry Bonds (22),12606,L
9,10.,Derek Jeter+ (20),12602,R
10,11.,Craig Biggio+ (20),12504,R
11,12.,Willie Mays+ (22),12497,R
12,13.,"Albert Pujols (20, 40)",12394,R
13,14.,Dave Winfield+ (22),12358,R
14,15.,Robin Yount+ (20),12249,R
15,16.,Alex Rodriguez (22),12207,R
16,17.,Paul Molitor+ (21),12167,R
17,18.,Adrian Beltre (21),12130,R
18,19.,Eddie Collins+ (25),12087,L
19,20.,Rafael Palmeiro (20),12046,L
20,21.,Tris Speaker+ (22),12020,L
21,22.,Omar Vizquel (24),12013,B
22,23.,Brooks Robinson+ (23),11782,R
23,24.,Honus Wagner+ (21),11756,R
24,25.,Frank Robinson+ (21),11744,R
25,26.,George Brett+ (21),11625,L
26,27.,Al Kaline+ (22),11597,R
27,28.,Reggie Jackson+ (21),11418,L
28,29.,Mel Ott+ (22),11348,L
29,30.,Cap Anson+ (27),11331,R
30,31.,Joe Morgan+ (22),11329,L
31,32.,Ken Griffey Jr.+ (22),11304,L
32,33.,Rabbit Maranville+ (23),11260,R
33,34.,Lou Brock+ (19),11240,L
34,35.,Luis Aparicio+ (18),11231,R
35,36.,Rusty Staub (23),11229,L
36,37.,Harold Baines+ (22),11092,L
37,38.,Carlos Beltran (20),11031,B
38,39.,Gary Sheffield (22),10947,R
39,40.,Johnny Damon (18),10917,L
40,41.,Tony Perez+ (23),10861,R
41,42.,Ozzie Smith+ (19),10778,B
42,43.,Max Carey+ (20),10772,B
43,44.,Andre Dawson+ (21),10769,R
44,45.,Paul Waner+ (20),10767,L
45,46.,Wade Boggs+ (18),10740,L
46,47.,Darrell Evans (21),10737,L
47,48.,Ichiro Suzuki (19),10734,L
48,49.,Babe Ruth+ (22),10626,L
49,50.,Sam Crawford+ (19),10625,L
50,51.,Chipper Jones+ (19),10614,B
51,52.,Dwight Evans (20),10569,R
52,53.,Rod Carew+ (19),10550,L
53,54.,Luis Gonzalez (19),10531,L
54,55.,Billy Williams+ (18),10519,L
55,56.,Jake Beckley+ (20),10518,L
56,57.,Nap Lajoie+ (21),10468,R
57,58.,"Miguel Cabrera (18, 37)",10467,R
58,59.,Steve Finley (19),10460,L
59,60.,Bill Dahlen (21),10429,R
60,61.,Vada Pinson (18),10405,L
61,62.,Roberto Alomar+ (17),10400,B
62,63.,Ernie Banks+ (19),10396,R
63,64.,Tim Raines+ (23),10359,B
64,65.,Nellie Fox+ (19),10351,L
65,66.,Jim Thome+ (22),10313,L
66,67.,Harry Hooper+ (17),10277,L
67,68.,Ivan Rodriguez+ (21),10270,R
