,Rank,"Player (yrs, age)",Shutouts,Throws
0,1.,Walter Johnson+ (21),110,R
1,2.,Pete Alexander+ (20),90,R
2,3.,Christy Mathewson+ (17),79,R
3,4.,Cy Young+ (22),76,R
4,5.,Eddie Plank+ (17),69,L
5,6.,Warren Spahn+ (21),63,L
6,7.,Nolan Ryan+ (27),61,R
7,7.,Tom Seaver+ (20),61,R
8,9.,Bert Blyleven+ (22),60,R
9,10.,Don Sutton+ (23),58,R
10,11.,Pud Galvin+ (15),57,R
11,11.,Ed Walsh+ (14),57,R
12,13.,Bob Gibson+ (17),56,R
13,14.,Mordecai Brown+ (14),55,R
14,14.,Steve Carlton+ (24),55,L
15,16.,Jim Palmer+ (19),53,R
16,16.,Gaylord Perry+ (22),53,R
17,18.,Juan Marichal+ (16),52,R
18,19.,Rube Waddell+ (13),50,L
19,19.,Vic Willis+ (13),50,R
20,21.,Don Drysdale+ (14),49,R
21,21.,Fergie Jenkins+ (19),49,R
22,21.,Luis Tiant (19),49,R
23,21.,Early Wynn+ (23),49,R
24,25.,Kid Nichols+ (15),48,R
25,26.,Roger Clemens (24),46,R
26,26.,Tommy John (26),46,L
27,26.,Jack Powell (16),46,R
28,29.,Whitey Ford+ (16),45,L
29,29.,Addie Joss+ (9),45,R
30,29.,Phil Niekro+ (24),45,R
31,29.,Robin Roberts+ (19),45,R
32,29.,Red Ruffing+ (22),45,R
33,29.,Doc White (13),45,L
34,35.,Babe Adams (19),44,R
35,35.,Bob Feller+ (18),44,R
36,37.,Milt Pappas (17),43,R
37,38.,Tommy Bond (10),42,R
38,38.,Catfish Hunter+ (15),42,R
39,38.,Bucky Walters (19),42,R
40,41.,Mickey Lolich (16),41,L
41,41.,Hippo Vaughn (13),41,L
42,41.,Mickey Welch+ (13),41,R
43,44.,Chief Bender+ (16),40,R
44,44.,Jim Bunning+ (17),40,R
45,44.,Larry French (14),40,L
46,44.,Sandy Koufax+ (12),40,L
47,44.,Claude Osteen (18),40,L
48,44.,Ed Reulbach (13),40,R
49,44.,Mel Stottlemyre (11),40,R
50,51.,Tim Keefe+ (14),39,R
51,51.,Sam Leever (13),39,R
52,51.,Jerry Reuss (22),39,L
53,54.,Stan Coveleski+ (14),38,R
54,54.,Billy Pierce (18),38,L
55,54.,Nap Rucker (10),38,L
56,57.,Vida Blue (17),37,L
57,57.,John Clarkson+ (12),37,R
58,57.,Larry Jackson (14),37,R
59,57.,Randy Johnson+ (22),37,L
60,57.,Eppa Rixey+ (21),37,L
61,57.,Steve Rogers (13),37,R
62,63.,Mike Cuellar (15),36,L
63,63.,Bob Friend (16),36,R
64,63.,Carl Hubbell+ (16),36,L
65,63.,Sad Sam Jones (22),36,R
66,63.,Camilo Pascual (18),36,R
67,63.,Allie Reynolds (13),36,R
68,63.,Curt Simmons (20),36,L
69,63.,Will White (10),36,R
70,71.,Bullet Joe Bush (17),35,R
71,71.,Jack Chesbro+ (11),35,R
72,71.,Eddie Cicotte (14),35,R
73,71.,Jack Coombs (14),35,R
74,71.,Wilbur Cooper (15),35,L
75,71.,Bill Donovan (18),35,R
76,71.,Burleigh Grimes+ (19),35,R
77,71.,Lefty Grove+ (17),35,L
78,71.,Greg Maddux+ (23),35,R
79,71.,George Mullin (14),35,R
80,71.,Herb Pennock+ (22),35,L
81,71.,Old Hoss Radbourn+ (12),35,R
82,83.,Bill Doak (16),34,R
83,83.,Earl Moore (14),34,R
84,83.,Frank Tanana (21),34,L
85,83.,Jesse Tannehill (15),34,L
86,87.,George Bradley (11),33,R
87,87.,Tommy Bridges (16),33,R
88,87.,Lew Burdette (18),33,R
89,87.,Dean Chance (11),33,R
90,87.,Mort Cooper (11),33,R
91,87.,Jerry Koosman (19),33,L
92,87.,Dutch Leonard (11),33,L
93,87.,Jim McCormick (10),33,R
94,87.,Dave McNally (14),33,L
95,87.,Hal Newhouser+ (17),33,L
96,87.,Bob Shawkey (15),33,R
97,87.,Virgil Trucks (17),33,R
98,99.,Paul Derringer (15),32,R
99,99.,Lefty Leifield (12),32,L
100,99.,Joe McGinnity+ (10),32,R
101,99.,Jim Perry (17),32,R
102,103.,Ken Holtzman (15),31,L
103,103.,Jim Kaat (25),31,L
104,103.,Bob Lemon+ (15),31,R
105,103.,Bobo Newsom (20),31,R
106,103.,Al Orth (15),31,R
107,103.,Ken Raffensberger (15),31,L
108,103.,Fernando Valenzuela (17),31,L
109,110.,Charlie Buffinton (11),30,R
110,110.,Freddie Fitzsimmons (19),30,R
111,110.,Bob Knepper (15),30,L
112,110.,Dutch Leonard (20),30,R
113,110.,Jim Maloney (12),30,R
114,110.,Rube Marquard+ (18),30,L
115,110.,Dennis Martinez (23),30,R
116,110.,Jon Matlack (13),30,L
117,110.,Tony Mullane (13),30,R
118,110.,Orval Overall (7),30,R
119,110.,Amos Rusie+ (10),30,R
120,110.,Dave Stieb (16),30,R
121,110.,Lefty Tyler (12),30,L
122,110.,Lon Warneke (15),30,R
123,110.,Rick Wise (18),30,R
124,125.,Red Faber+ (20),29,R
125,125.,Burt Hooton (15),29,R
126,125.,Bill Lee (14),29,R
127,125.,Carl Mays (15),29,R
128,125.,Denny McLain (10),29,R
129,125.,Ed Morris (7),29,L
130,125.,Joe Niekro (22),29,R
131,125.,Dazzy Vance+ (16),29,R
132,125.,Johnny Vander Meer (13),29,L
133,134.,Lefty Gomez+ (14),28,L
134,134.,Vern Law (16),28,R
135,134.,Jack Morris+ (18),28,R
136,134.,Jeff Pfeffer (13),28,R
137,134.,Jack Quinn (23),28,R
138,134.,Urban Shocker (13),28,R
139,134.,Fred Toney (12),28,R
140,134.,Dizzy Trout (15),28,R
141,134.,Bob Welch (17),28,R
142,134.,Gus Weyhing (14),28,R
143,134.,Smoky Joe Wood (14),28,R
144,145.,Red Ames (17),27,R
145,145.,Jack Billingham (13),27,R
146,145.,Murry Dickson (18),27,R
147,145.,Cy Falkenberg (12),27,R
148,145.,Woodie Fryman (18),27,L
149,145.,Mike Garcia (14),27,R
150,145.,Claude Hendrix (10),27,R
151,145.,Eddie Lopat (12),27,L
152,145.,Ted Lyons+ (21),27,R
153,145.,Andy Messersmith (12),27,R
154,145.,Art Nehf (15),27,L
155,145.,Deacon Phillippe (13),27,R
156,145.,Dick Rudolph (13),27,R
157,145.,Frank Smith (11),27,R
