,Rank,"Player (yrs, age)",Assists as 3B,Throws
0,1.,Brooks Robinson+ (23),6205,R
1,2.,Graig Nettles (22),5279,R
2,3.,Adrian Beltre (21),5182,R
3,4.,Mike Schmidt+ (18),5045,R
4,5.,Buddy Bell (18),4925,R
5,6.,Ron Santo+ (15),4581,R
6,7.,Gary Gaetti (20),4531,R
7,8.,Eddie Mathews+ (17),4322,R
8,9.,Wade Boggs+ (18),4246,R
9,10.,Aurelio Rodriguez (17),4150,R
10,11.,Scott Rolen (17),4081,R
11,12.,Ron Cey (17),4018,R
12,13.,Tim Wallach (17),3992,R
13,14.,Terry Pendleton (15),3891,R
14,15.,Sal Bando (16),3720,R
15,16.,Lave Cross (21),3715,R
16,17.,Jimmy Collins+ (14),3702,R
17,18.,George Brett+ (21),3674,R
18,19.,Eddie Yost (18),3659,R
19,20.,Ken Boyer (15),3652,R
20,21.,Aramis Ramirez (18),3627,R
21,22.,Robin Ventura (16),3552,R
22,23.,Arlie Latham (17),3546,R
23,24.,Pie Traynor+ (17),3521,R
24,25.,Stan Hack (16),3494,R
25,26.,Chipper Jones+ (19),3447,R
26,27.,Larry Gardner (17),3408,R
27,28.,Matt Williams (17),3376,R
28,29.,Willie Kamm (13),3345,R
29,30.,George Kell+ (15),3303,R
30,31.,Harlond Clift (12),3262,R
31,32.,Vinny Castilla (16),3261,R
32,33.,Pinky Higgins (14),3258,R
33,34.,Clete Boyer (16),3218,R
34,35.,Doug DeCinces (15),3215,R
35,36.,Home Run Baker+ (13),3155,R
36,37.,Ken Caminiti (15),3127,R
37,38.,Darrell Evans (21),3123,R
38,39.,Billy Nash (15),3122,R
39,40.,Ken Keltner (13),3070,R
40,41.,Ossie Bluege (18),3040,R
41,42.,"Evan Longoria (13, 34)",2969,R
42,43.,Jimmy Austin (18),2949,R
43,44.,David Wright (14),2946,R
44,45.,Bill Bradley (14),2943,R
45,46.,Willie Jones (15),2934,R
46,47.,Billy Shindle (13),2891,R
47,48.,Doug Rader (11),2887,R
48,49.,Frank Malzone (12),2884,R
49,50.,Harry Steinfeldt (14),2805,R
50,51.,Carney Lansford (15),2799,R
51,52.,Bob Elliott (15),2744,R
52,53.,Eric Chavez (17),2732,R
53,54.,Ken McMullen (16),2731,R
54,55.,Todd Zeile (16),2724,R
55,56.,Mike Lowell (13),2688,R
56,57.,Pinky Whitney (12),2640,R
57,58.,"Kyle Seager (10, 32)",2639,R
58,59.,Heinie Groh (16),2554,R
59,60.,Bill Madlock (15),2546,R
60,61.,Jeff Cirillo (14),2545,R
61,62.,Travis Fryman (13),2530,R
62,63.,Milt Stock (14),2508,R
63,64.,Troy Glaus (13),2505,R
64,65.,Joe Randa (12),2489,R
65,66.,Art Devlin (10),2481,R
66,67.,Charlie Hayes (14),2480,R
67,68.,Ken Reitz (11),2477,R
68,69.,"Nolan Arenado (8, 29)",2429,R
69,70.,Billy Werber (11),2415,R
70,71.,Jimmy Dykes (22),2403,R
71,72.,Eddie Foster (13),2384,R
72,73.,Mike Mowrey (13),2363,R
73,74.,Richie Hebner (18),2346,R
74,75.,Jerry Denny (13),2338,R
75,76.,Don Hoak (11),2331,R
76,77.,Steve Buechele (11),2281,R
77,78.,Bob Bailey (17),2262,R
78,79.,Bobby Byrne (11),2221,R
79,80.,Brandon Inge (13),2189,R
80,81.,Doc Casey (10),2184,R
81,82.,"Ryan Zimmerman (15, 35)",2181,R
82,83.,Red Smith (9),2136,R
83,84.,Denny Lyons (13),2130,R
84,85.,Red Rolfe (10),2128,R
85,86.,Tommy Leach (19),2127,R
86,87.,Mike Pagliarulo (11),2119,R
87,88.,Chase Headley (12),2078,R
88,89.,Alex Rodriguez (22),2076,R
89,90.,Don Money (16),2061,R
90,91.,Brook Jacoby (11),2058,R
91,92.,Bill Melton (10),2045,R
92,93.,George Pinkney (10),2042,R
93,94.,Paul Schaal (11),2038,R
94,95.,Ken Oberkfell (16),1996,R
95,96.,Hick Carpenter (12),1991,L
