,Rank,"Player (yrs, age)",Double Plays Turned as 3B,Throws
329,330.,Willie Greene (9),66,R
330,330.,Scott Leius (9),66,R
331,332.,Billy Clingman (10),65,R
332,332.,Wid Conroy (11),65,R
333,334.,Jim Gantner (17),64,R
334,334.,Wes Helms (13),64,R
335,334.,"Jake Lamb (7, 29)",64,R
336,334.,Denis Menke (13),64,R
337,334.,Jhonny Peralta (15),64,R
338,334.,Tony Phillips (18),64,R
339,340.,Danny O'Connell (10),63,R
340,340.,John Valentin (11),63,R
341,340.,Craig Worthington (7),63,R
342,343.,Kurt Bevacqua (15),61,R
343,343.,Tony Taylor (19),61,R
344,343.,Kevin Youkilis (10),61,R
345,346.,Jose Bautista (15),60,R
346,346.,Bobby Brown (8),60,R
347,346.,Matt Dominguez (5),60,R
348,346.,"Matt Duffy (5, 29)",60,R
349,346.,Jose Pagan (15),60,R
350,346.,Bobby Wallace+ (25),60,R
351,346.,Denny Walling (18),60,R
352,346.,Jack Warner (8),60,R
353,354.,Craig Counsell (16),59,R
354,354.,Rene Gonzales (13),59,R
355,354.,Jose Hernandez (15),59,R
356,354.,Frank Thomas (16),59,R
357,354.,Felix Torres (3),59,R
358,359.,"Rafael Devers (4, 23)",58,R
359,359.,Woody English (12),58,R
360,359.,"Josh Harrison (10, 32)",58,R
361,359.,Roy Hartzell (11),58,R
362,359.,Art Howe (11),58,R
363,359.,Jerry Kenney (6),58,R
364,365.,Reno Bertoia (10),57,R
365,365.,Don Buford (10),57,R
366,365.,Darnell Coles (14),57,R
367,365.,Rick Schu (9),57,R
368,365.,Chris Stynes (10),57,R
369,365.,Russ Wrightstone (9),57,R
370,371.,Russell Branyan (14),56,R
371,371.,Ron Coomer (9),56,R
372,371.,Al Dark (14),56,R
373,371.,Conor Gillaspie (8),56,R
374,371.,"Jedd Gyorko (8, 31)",56,R
375,371.,Bill Hall (11),56,R
376,371.,Billy Hitchcock (9),56,R
377,371.,Mike Muldoon (5),56,
378,371.,Tim Naehring (8),56,R
379,371.,Bill Spiers (13),56,R
380,371.,Rollie Zeider (9),56,R
381,382.,Jamey Carroll (12),55,R
382,382.,Pedro Guerrero (15),55,R
383,382.,Lenny Harris (18),55,R
384,382.,Aubrey Huff (13),55,R
385,382.,Coco Laboy (5),55,R
386,382.,Billy Lauder (5),55,R
387,382.,Sibby Sisti (13),55,R
388,382.,Sammy Strang (10),55,R
389,390.,Steve Braun (15),54,R
390,390.,Lonnie Chisenhall (8),54,R
391,390.,"Yoan Moncada (5, 25)",54,R
392,390.,Greg Pryor (10),54,R
393,390.,Jackie Robinson+ (10),54,R
394,390.,Harry Schafer (8),54,R
395,390.,"Gio Urshela (5, 28)",54,R
396,397.,Frank Ellerbe (6),53,R
397,397.,Art Scharein (3),53,R
398,399.,Will Middlebrooks (6),52,R
399,399.,Herbert Perry (9),52,R
