,Rank,"Player (yrs, age)",Putouts as 2B,Throws
0,1.,Bid McPhee+ (18),6552,R
1,2.,Eddie Collins+ (25),6526,R
2,3.,Nellie Fox+ (19),6090,R
3,4.,Joe Morgan+ (22),5742,R
4,5.,Nap Lajoie+ (21),5496,R
5,6.,Charlie Gehringer+ (19),5369,R
6,7.,Bill Mazeroski+ (17),4974,R
7,8.,Bobby Doerr+ (14),4928,R
8,9.,Willie Randolph (18),4859,R
9,10.,Billy Herman+ (15),4780,R
10,11.,Lou Whitaker (19),4771,R
11,12.,Frank White (18),4742,R
12,13.,Fred Pfeffer (16),4719,R
13,14.,Red Schoendienst+ (19),4616,R
14,15.,Roberto Alomar+ (17),4458,R
15,16.,Frankie Frisch+ (19),4348,R
16,17.,Bobby Grich (17),4217,R
17,18.,Del Pratt (13),4069,R
18,19.,"Robinson Cano (16, 37)",4040,R
19,20.,Jeff Kent (17),4016,R
20,21.,Craig Biggio+ (20),3992,R
21,22.,Kid Gleason (22),3887,R
22,23.,Cupid Childs (13),3865,R
23,24.,Ryne Sandberg+ (16),3807,R
24,25.,George Cutshaw (12),3762,R
25,26.,Johnny Evers+ (18),3758,R
26,27.,Lou Bierbauer (13),3726,R
27,28.,Larry Doyle (14),3635,R
28,29.,Joe Gordon+ (11),3600,R
29,30.,Steve Sax (14),3574,R
30,31.,Brandon Phillips (17),3548,R
31,32.,Ray Durham (14),3506,R
32,33.,Felix Millan (12),3495,R
33,34.,Buddy Myer (17),3487,R
34,35.,Cub Stricker (11),3447,R
35,36.,Hughie Critz (12),3446,R
36,37.,Claude Ritchey (13),3444,R
37,38.,Bret Boone (14),3443,R
38,39.,Ski Melillo (12),3437,R
39,40.,Chase Utley (16),3426,R
40,41.,Miller Huggins+ (13),3425,R
41,42.,Frank Bolling (12),3423,R
42,43.,Bucky Harris+ (12),3412,R
43,44.,Manny Trillo (17),3403,R
44,45.,Ian Kinsler (14),3397,R
45,46.,Julian Javier (13),3380,R
46,47.,Tony Lazzeri+ (14),3351,R
47,48.,Bobby Lowe (18),3336,R
48,49.,Joe Quinn (17),3329,R
49,50.,Luis Castillo (15),3287,R
50,51.,Tony Taylor (19),3274,R
51,52.,Jerry Priddy (11),3226,R
52,53.,Rogers Hornsby+ (23),3206,R
53,54.,Dave Cash (12),3185,R
54,55.,Johnny Temple (13),3172,R
55,56.,Davey Lopes (16),3142,R
56,57.,Jim Gantner (17),3139,R
57,58.,Bobby Richardson (12),3125,R
58,59.,Cookie Rojas (16),3100,R
59,60.,Jack Burdock (18),3075,R
60,61.,Don Blasingame (12),3065,R
61,62.,Tito Fuentes (13),3046,R
62,63.,Eddie Stanky (11),3030,R
63,64.,Bill Wambsganss (13),2986,R
64,65.,Tom Herr (13),2932,R
65,66.,Ted Sizemore (12),2928,R
66,67.,Fred Dunlap (12),2909,R
67,68.,Tony Cuccinello (15),2883,R
