,Rank,"Player (yrs, age)",Putouts as 1B,Throws
270,271.,Aubrey Huff (13),4303,R
271,272.,Tony Horton (7),4269,R
272,273.,"Matt Adams (9, 31)",4267,R
273,274.,Ben Broussard (7),4192,L
274,275.,Mox McQuery (5),4189,
275,276.,John Jaha (10),4160,R
276,277.,Mike Squires (10),4151,L
277,278.,Gene Paulette (6),4123,R
278,279.,Jack Boyle (13),4113,R
279,280.,Bob Unglaub (6),4112,R
280,281.,Del Gainer (10),4099,R
281,282.,John Milner (12),4074,L
282,283.,George Brett+ (21),4064,R
283,284.,Charlie Hickman (12),4057,R
284,285.,Jeff King (11),4035,R
285,286.,Adam Dunn (14),4034,R
286,287.,Pat Putnam (8),4014,R
287,288.,Rich Reese (10),4007,L
288,289.,Dave Magadan (16),3969,R
289,290.,Dick Burrus (6),3949,L
290,291.,"Edwin Encarnacion (16, 37)",3919,R
291,292.,Dan Meyer (12),3918,R
292,293.,Steve Bilko (10),3913,R
293,294.,Mickey Rocco (4),3883,L
294,295.,Nick Esasky (8),3868,R
295,296.,Alex McKinnon (4),3852,
296,297.,Johnny McCarthy (11),3804,L
297,298.,Lou Finney (15),3781,R
298,299.,Ken Harrelson (9),3780,R
299,300.,Julio Franco (23),3778,R
300,301.,Dick Kryhoski (7),3768,L
301,302.,Franklin Stubbs (10),3765,L
302,303.,Herman Dehlman (6),3745,
303,304.,Garrett Jones (8),3717,L
304,305.,Bob Boyd (9),3716,L
305,306.,Tito Francona (15),3715,L
306,307.,"Chris Carter (8, 33)",3710,R
307,308.,Lew Fonseca (12),3674,R
308,309.,Felipe Alou (17),3654,R
309,310.,Norm Larker (6),3629,L
310,311.,"C.J. Cron (7, 30)",3615,R
311,312.,Todd Zeile (16),3613,R
312,313.,Johnny Hopp (14),3599,L
313,314.,Bill Everitt (7),3593,R
314,315.,Billy Goodman (16),3575,R
315,316.,Rusty Staub (23),3554,R
316,317.,Howie Schultz (6),3551,R
317,318.,Kendrys Morales (13),3542,R
318,319.,Harvey Hendrick (11),3539,R
319,320.,Frank Torre (7),3536,L
320,321.,Luke Easter (6),3525,R
321,322.,Shano Collins (16),3514,R
322,323.,"Josh Bell (5, 27)",3513,R
323,324.,Lee Thomas (8),3489,R
324,325.,Milt Scott (4),3487,
325,326.,Billy O'Brien (5),3482,R
326,327.,"Ryan Zimmerman (15, 35)",3451,R
327,328.,Harry Taylor (4),3438,
328,329.,Jim Field (5),3436,
329,330.,Richie Hebner (18),3434,R
330,331.,Pat Tabler (12),3402,R
331,332.,Dave Revering (5),3380,R
332,333.,Bob Oliver (8),3367,R
333,334.,Willie Clark (5),3340,L
334,335.,Preston Ward (9),3337,R
335,336.,Nick Swisher (12),3321,L
336,337.,Lamar Johnson (9),3317,R
337,338.,Hap Myers (5),3312,R
338,339.,Mike Hegan (12),3297,L
339,340.,John Kerins (7),3294,R
340,341.,Justin Bour (6),3281,R
341,342.,Gregg Jefferies (14),3277,R
342,343.,Von Hayes (12),3276,R
343,344.,Dick Sisler (8),3233,R
344,345.,Jumbo Latham (5),3227,R
345,346.,Fred Beck (5),3226,L
346,347.,Everett Mills (6),3225,
347,348.,Scott Spiezio (12),3222,R
348,349.,"Matt Olson (5, 26)",3195,R
349,350.,Billy Butler (10),3178,R
350,351.,Ryan Garko (6),3164,R
351,352.,Pop Dillon (5),3160,R
352,353.,Bob Horner (10),3151,R
353,354.,George Crowe (9),3143,L
354,355.,Dmitri Young (13),3120,R
355,356.,Harry Swacina (4),3098,R
356,357.,Conor Jackson (7),3096,R
357,358.,Hughie Jennings+ (18),3085,R
358,359.,Orlando Merced (13),3081,R
359,360.,Klondike Douglass (9),3042,R
360,361.,Shea Hillenbrand (7),3039,R
361,362.,George Decker (8),3024,L
362,363.,Guy Hecker (9),3018,R
363,364.,Tom Paciorek (18),3014,R
364,365.,John Mabry (14),2993,R
365,366.,Nippy Jones (8),2992,R
366,367.,Pete LaCock (9),2968,L
367,368.,Mike Jacobs (7),2956,R
368,369.,Mark Trumbo (10),2952,R
369,370.,"Yuli Gurriel (5, 36)",2936,R
370,370.,Ray Knight (13),2936,R
371,372.,Jay Faatz (4),2911,R
372,373.,Gail Harris (6),2905,L
373,374.,Shad Barry (10),2876,R
374,375.,Butch Schmidt (4),2872,L
375,376.,Ed Stevens (6),2869,L
376,377.,Les Fleming (7),2867,L
377,378.,Larry Biittner (14),2866,L
378,379.,Scoops Carey (4),2851,R
379,380.,Harry Davis (3),2825,L
380,381.,Dan Johnson (10),2818,R
381,382.,Brian Hunter (9),2805,L
382,383.,Nap Lajoie+ (21),2798,R
383,384.,"Daniel Murphy (12, 35)",2795,R
384,385.,Mike Lehane (2),2792,
385,386.,Bert Haas (9),2790,R
386,387.,Phil Weintraub (7),2763,L
387,388.,"Wil Myers (8, 29)",2761,R
388,389.,Rocky Nelson (9),2760,L
389,390.,Brian Daubach (8),2749,R
390,391.,Tony Muser (9),2727,L
391,392.,Don Kolloway (12),2724,R
392,393.,Babe Borton (4),2720,L
393,394.,Martin Powell (4),2675,L
394,395.,Ron Coomer (9),2626,R
395,396.,Phil Nevin (12),2617,R
396,397.,Randall Simon (8),2607,L
397,398.,Dave Stapleton (7),2593,R
398,399.,Joe Nealon (2),2590,R
399,400.,Ed Delahanty+ (16),2589,R
