,Rank,"Player (yrs, age)",Def. Games as 3B,Throws
0,1.,Brooks Robinson+ (23),2870,R
1,2.,Adrian Beltre (21),2759,R
2,3.,Graig Nettles (22),2412,R
3,4.,Gary Gaetti (20),2282,R
4,5.,Wade Boggs+ (18),2215,R
5,6.,Mike Schmidt+ (18),2212,R
6,7.,Buddy Bell (18),2183,R
7,8.,Eddie Mathews+ (17),2181,R
8,9.,Ron Santo+ (15),2130,R
9,10.,Aramis Ramirez (18),2112,R
10,11.,Tim Wallach (17),2054,R
11,12.,Scott Rolen (17),2023,R
12,13.,Eddie Yost (18),2008,R
13,14.,Chipper Jones+ (19),1992,R
14,15.,Ron Cey (17),1989,R
15,16.,Aurelio Rodriguez (17),1983,R
16,17.,Sal Bando (16),1896,R
17,18.,Robin Ventura (16),1887,R
18,19.,Pie Traynor+ (17),1863,R
19,20.,Stan Hack (16),1836,R
20,21.,Ken Boyer (15),1785,R
21,21.,Terry Pendleton (15),1785,R
22,23.,Pinky Higgins (14),1768,R
23,24.,Matt Williams (17),1743,R
24,25.,Lave Cross (21),1724,R
25,26.,Carney Lansford (15),1720,R
26,27.,George Brett+ (21),1692,R
27,27.,George Kell+ (15),1692,R
28,29.,Jimmy Collins+ (14),1683,R
29,30.,Ken Caminiti (15),1676,R
30,31.,Willie Kamm (13),1674,R
31,32.,Vinny Castilla (16),1656,R
32,32.,Larry Gardner (17),1656,R
33,34.,"Evan Longoria (13, 34)",1639,R
34,35.,Willie Jones (15),1614,R
35,36.,Arlie Latham (17),1573,R
36,37.,David Wright (14),1572,R
37,38.,Harlond Clift (12),1550,R
38,39.,Home Run Baker+ (13),1548,R
39,40.,Doug DeCinces (15),1543,R
40,41.,Ken Keltner (13),1500,R
41,42.,Todd Zeile (16),1498,R
42,43.,Ossie Bluege (18),1487,R
43,44.,Mike Lowell (13),1474,R
44,45.,Billy Nash (15),1468,R
45,46.,Darrell Evans (21),1442,R
46,47.,Bill Madlock (15),1440,R
47,48.,Clete Boyer (16),1439,R
48,49.,Jimmy Austin (18),1431,R
49,50.,Jeff Cirillo (14),1403,R
50,51.,Eric Chavez (17),1402,R
51,52.,Bill Bradley (14),1390,R
52,53.,Harry Steinfeldt (14),1387,R
53,54.,Frank Malzone (12),1370,R
54,55.,Bob Elliott (15),1365,R
55,56.,Joe Randa (12),1362,R
56,57.,Travis Fryman (13),1359,R
57,58.,Pinky Whitney (12),1358,R
58,59.,Doug Rader (11),1349,R
59,59.,Milt Stock (14),1349,R
60,61.,Troy Glaus (13),1337,R
61,62.,Charlie Hayes (14),1328,R
62,63.,Ken Reitz (11),1321,R
63,64.,Ken McMullen (16),1318,R
64,65.,Heinie Groh (16),1299,R
65,66.,"Kyle Seager (10, 32)",1278,R
66,67.,Billy Shindle (13),1274,R
67,68.,Steve Buechele (11),1269,R
68,69.,Richie Hebner (18),1262,R
69,70.,Jimmy Dykes (22),1257,R
70,71.,Don Hoak (11),1199,R
71,72.,Mike Mowrey (13),1196,R
72,73.,Bob Bailey (17),1194,R
73,73.,Alex Rodriguez (22),1194,R
74,75.,Art Devlin (10),1192,R
75,76.,Mike Pagliarulo (11),1179,R
76,77.,Brook Jacoby (11),1166,R
77,78.,Dean Palmer (14),1162,R
78,79.,Eddie Foster (13),1161,R
79,80.,Bobby Byrne (11),1147,R
80,81.,Billy Werber (11),1143,R
81,82.,"Ryan Zimmerman (15, 35)",1133,R
82,83.,Jim Davenport (13),1130,R
83,84.,Bill Mueller (11),1128,R
84,85.,Chase Headley (12),1123,R
85,86.,Jerry Denny (13),1109,R
86,87.,Doc Casey (10),1100,R
87,88.,Toby Harrah (17),1099,R
88,89.,Bob Aspromonte (13),1094,R
89,90.,Denny Lyons (13),1085,R
90,91.,Red Rolfe (10),1084,R
91,92.,Brandon Inge (13),1083,R
92,93.,"Nolan Arenado (8, 29)",1069,R
93,94.,"Todd Frazier (10, 34)",1066,R
94,95.,Tom Brookens (12),1065,R
95,96.,George Pinkney (10),1061,R
96,97.,Hick Carpenter (12),1059,L
97,98.,Paul Schaal (11),1053,R
98,99.,Kevin Seitzer (12),1051,R
99,100.,Red Smith (9),1050,R
100,101.,"Pablo Sandoval (13, 33)",1049,R
101,102.,Joe Dugan (14),1048,R
102,103.,Ken Oberkfell (16),1046,R
103,104.,"Mike Moustakas (10, 31)",1044,R
104,105.,Don Wert (9),1043,R
105,106.,Howard Johnson (14),1031,R
106,107.,Don Money (16),1025,R
107,108.,Ray Knight (13),1021,R
108,108.,Larry Parrish (15),1021,R
109,110.,Ed Sprague (11),1019,R
110,111.,Pedro Feliz (11),1001,R
111,112.,Hans Lobert (14),1000,R
112,113.,David Bell (12),986,R
113,114.,Bill Coughlin (9),983,R
114,114.,Joe Mulvey (12),983,R
115,116.,Jim Tabor (9),980,R
116,117.,"Josh Donaldson (10, 34)",979,R
117,118.,Max Alvis (9),971,R
118,119.,Bobby Bonilla (16),957,R
119,120.,Grady Hatton (12),956,R
120,121.,Tommy Leach (19),955,R
121,122.,Aaron Boone (12),951,R
122,123.,Heinie Zimmerman (13),945,R
123,124.,Ed Charles (8),942,R
124,125.,Scott Brosius (11),934,R
125,126.,Al Rosen (10),932,R
126,127.,Casey Blake (13),923,R
127,128.,Marv Owen (9),921,R
128,129.,David Freese (11),916,R
129,130.,Joe Stripp (11),914,R
130,131.,Jim Presley (8),911,R
131,132.,Corey Koskie (9),908,R
132,132.,Melvin Mora (13),908,R
133,134.,Harry Lord (9),907,R
134,135.,"Manny Machado (9, 27)",906,R
135,136.,Wayne Gross (11),903,R
136,137.,Bill Melton (10),901,R
137,138.,Billy Johnson (9),897,R
138,139.,Edgardo Alfonzo (12),889,R
139,140.,Enos Cabell (15),888,R
140,141.,Andy Carey (11),882,R
141,142.,Ezra Sutton (18),880,R
142,143.,Joe Crede (10),875,R
143,144.,Whitey Kurowski (9),868,R
144,145.,Charlie Irwin (10),866,R
145,146.,Luis Salazar (13),863,R
146,147.,Hank Majeski (13),861,R
147,148.,Kelly Gruber (10),846,R
148,148.,Roy Howell (11),846,R
149,150.,Randy Jackson (10),844,R
150,151.,Phil Garner (16),839,R
151,152.,Charlie Deal (10),833,R
152,152.,Ossie Vitt (10),833,R
153,154.,Chris Sabo (9),831,R
154,155.,Rich Rollins (10),830,R
155,156.,Les Bell (9),828,R
156,157.,Deacon White+ (20),827,R
157,158.,"Anthony Rendon (8, 30)",811,R
158,159.,Freddie Lindstrom+ (13),809,R
159,160.,Tony Batista (11),807,R
160,161.,Art Whitney (11),802,R
161,162.,Bill Kuehne (10),798,R
162,163.,George Moriarty (13),796,R
163,164.,Wayne Garrett (10),792,R
164,164.,Martin Prado (14),792,R
