,Rank,"Player (yrs, age)",Range Factor/Game as LF (s.1901),Throws
0,1.,Max Carey+ (20),2.421,R
1,2.,Gil Coan (11),2.402,R
2,3.,Ken Williams (14),2.371,R
3,4.,Willie Wilson (19),2.358,R
4,5.,Carson Bigbee (11),2.337,R
5,6.,Bobby Veach (14),2.285,R
6,7.,Fred Clarke+ (21),2.255,R
7,8.,Charlie Jamieson (18),2.252,L
8,9.,Ray Blades (10),2.236,R
9,10.,Zack Wheat+ (19),2.229,R
10,11.,Mike Menosky (9),2.224,R
11,12.,Adam Comorosky (10),2.222,R
12,13.,Rickey Henderson+ (25),2.205,L
13,14.,Tillie Walker (13),2.203,R
14,15.,Bob Bescher (11),2.200,L
15,16.,Shoeless Joe Jackson (13),2.197,R
16,17.,Bibb Falk (12),2.196,L
17,18.,Marty Cordova (9),2.192,R
18,19.,George Burns (15),2.186,R
19,20.,Matty McIntyre (10),2.178,L
20,21.,Gary Ward (12),2.175,R
21,22.,Ben Oglivie (16),2.162,L
22,23.,Dan Gladden (11),2.160,R
23,24.,Bob Johnson (13),2.158,R
24,25.,Hal Lee (7),2.156,R
25,26.,Bobby Higginson (11),2.151,R
26,27.,Jim Russell (10),2.141,R
27,28.,George Case (11),2.139,R
28,29.,Charlie Keller (13),2.137,R
29,29.,Gus Zernial (11),2.137,R
30,31.,Sherry Magee (16),2.135,R
31,32.,Albert Belle (12),2.134,R
32,32.,Goose Goslin+ (18),2.134,R
33,34.,Rube Bressler (19),2.133,L
34,35.,Morrie Arnovich (7),2.130,R
35,36.,Roy White (15),2.129,R
36,37.,Howie Shanks (14),2.128,R
37,38.,Pat Duncan (7),2.118,R
38,39.,Bob Fothergill (12),2.113,R
39,40.,Joe Vosmik (13),2.112,R
40,41.,Burt Shotton (14),2.110,R
41,42.,Al Simmons+ (20),2.108,R
42,43.,Al Woods (7),2.103,L
43,44.,Jim Rice+ (16),2.102,R
44,45.,Davy Jones (15),2.098,R
45,46.,Jimmy Sheckard (17),2.097,R
46,47.,Jack Graney (14),2.091,L
47,48.,Moose Solters (9),2.074,R
48,49.,Charlie Maxwell (14),2.070,L
49,50.,Chick Hafey+ (13),2.061,R
50,51.,"Alex Gordon (14, 36)",2.058,R
51,51.,Pete Rose (24),2.058,R
52,53.,Woody Jensen (9),2.055,L
53,54.,Whitey Lockman (15),2.052,R
54,55.,Greg Vaughn (15),2.048,R
55,56.,Irish Meusel (11),2.046,R
56,57.,Roy Sievers (17),2.041,R
57,58.,Jose Cruz (19),2.034,L
58,59.,Danny Litwhiler (11),2.032,R
59,60.,Dave Collins (16),2.031,L
60,61.,Carl Crawford (15),2.030,L
61,61.,Minnie Minoso (17),2.030,R
62,63.,Dale Mitchell (11),2.019,L
63,64.,Bob Meusel (11),2.013,R
64,65.,Rusty Greer (9),2.010,L
65,66.,Larry Herndon (14),2.008,R
66,67.,Lefty O'Doul (11),2.007,L
67,68.,Rocky Colavito (14),2.004,R
68,68.,Ralph Kiner+ (10),2.004,R
69,70.,Del Ennis (14),2.002,R
70,71.,Jeff Heath (14),2.001,R
71,72.,Hoot Evers (12),2.000,R
72,72.,Joe Medwick+ (17),2.000,R
73,74.,Sid Gordon (13),1.996,R
74,75.,Steve Henderson (12),1.993,R
75,76.,John Stone (11),1.991,R
76,77.,Steve Kemp (11),1.989,L
77,77.,Duffy Lewis (11),1.989,R
78,79.,Garret Anderson (17),1.987,L
79,80.,Tim Raines+ (23),1.985,R
80,81.,Brian Downing (20),1.984,R
81,81.,Les Mann (16),1.984,R
82,83.,Barry Bonds (22),1.983,L
83,84.,Augie Galan (16),1.982,R
84,84.,Tony Phillips (18),1.982,R
85,86.,Enos Slaughter+ (19),1.980,R
86,87.,Billy Sample (9),1.979,R
87,88.,George Foster (18),1.976,R
88,88.,Mel Hall (13),1.976,L
89,90.,Babe Ruth+ (22),1.969,L
90,91.,Hank Sauer (15),1.967,R
91,92.,Carmelo Martinez (9),1.963,R
92,93.,Riggs Stephenson (14),1.957,R
93,94.,Joe Rudi (16),1.954,R
94,95.,Heinie Manush+ (17),1.953,L
95,96.,Peanuts Lowrey (13),1.949,R
96,97.,Luis Polonia (12),1.947,L
97,98.,Shannon Stewart (14),1.944,R
98,99.,Geoff Jenkins (11),1.939,R
99,100.,Spike Shannon (5),1.936,R
100,101.,Carl Yastrzemski+ (23),1.934,R
101,102.,Freddy Leach (10),1.929,R
102,103.,Hideki Matsui (10),1.919,R
103,103.,George Stone (7),1.919,L
104,105.,George Bell (12),1.918,R
105,106.,Brady Anderson (15),1.910,L
106,107.,Bernard Gilkey (12),1.908,R
107,108.,Don Baylor (19),1.907,R
108,109.,Vince Coleman (13),1.906,R
109,110.,Scott Podsednik (11),1.905,L
110,111.,Phil Bradley (8),1.903,R
111,112.,Gene Woodling (17),1.898,R
112,113.,"Yoenis Céspedes (8, 34)",1.895,R
113,114.,John Briggs (12),1.891,L
114,115.,Luis Gonzalez (19),1.883,R
115,116.,Mike Greenwell (12),1.881,R
116,117.,Joe Carter (16),1.880,R
117,117.,Johnny Damon (18),1.880,L
118,119.,Gee Walker (15),1.874,R
119,120.,Alfonso Soriano (16),1.872,R
120,120.,B.J. Surhoff (19),1.872,R
121,122.,Lou Piniella (18),1.871,R
122,123.,Jason Bay (11),1.861,R
123,124.,Kevin Mitchell (13),1.860,R
124,125.,Bob Nieman (12),1.854,R
125,126.,Gary Redus (13),1.853,R
126,127.,"Justin Upton (14, 32)",1.850,R
127,128.,Frank Robinson+ (21),1.844,R
128,129.,Ted Williams+ (19),1.842,R
129,130.,Gene Richards (8),1.836,L
130,131.,Roy Johnson (10),1.834,R
131,131.,Jay Payton (12),1.834,R
132,133.,Ralph Garr (13),1.832,R
133,134.,Jim Wohlford (15),1.826,R
134,135.,Kevin McReynolds (12),1.824,R
135,136.,Ron Gant (16),1.821,R
136,137.,Brian Giles (15),1.820,L
137,138.,Frank Schulte (15),1.816,R
138,139.,Tito Francona (15),1.810,L
139,140.,Kal Daniels (7),1.805,R
140,141.,Dave Kingman (16),1.803,R
141,142.,Adam Dunn (14),1.800,R
142,142.,Rondell White (15),1.800,R
143,144.,Don Buford (10),1.795,R
144,144.,Jeffrey Leonard (14),1.795,R
145,144.,Lonnie Smith (17),1.795,R
146,147.,"Ryan Braun (14, 36)",1.787,R
147,148.,Dick Wakefield (9),1.780,R
148,149.,Carlos Lee (14),1.779,R
149,149.,Bob Skinner (12),1.779,R
150,151.,Delmon Young (10),1.778,R
151,152.,"Corey Dickerson (8, 31)",1.771,R
152,153.,Raul Ibanez (19),1.769,R
153,154.,Lou Brock+ (19),1.766,L
154,155.,Dusty Baker (19),1.764,R
155,156.,Juan Pierre (14),1.763,L
156,157.,Gary Matthews (16),1.761,R
157,158.,Pete Incaviglia (12),1.758,R
158,159.,Jo-Jo Moore (12),1.756,R
159,160.,"Eddie Rosario (6, 28)",1.754,R
160,160.,Josh Willingham (11),1.754,R
161,162.,Rick Reichardt (11),1.753,R
162,163.,Troy O'Leary (11),1.745,L
163,164.,"Khris Davis (8, 32)",1.742,R
164,165.,Stan Musial+ (22),1.741,L
165,166.,Gerardo Parra (11),1.739,L
166,167.,Cliff Floyd (17),1.738,R
167,168.,Billy Hatcher (12),1.737,R
168,169.,Jeff Conine (17),1.735,R
169,169.,"Brett Gardner (13, 36)",1.735,L
170,169.,Ken Griffey (19),1.735,L
171,172.,Frank Thomas (16),1.730,R
172,173.,Cleon Jones (13),1.719,L
173,174.,Matt Holliday (15),1.701,R
174,175.,Rip Radcliff (10),1.698,L
175,176.,Billy Williams+ (18),1.684,R
176,177.,Alex Johnson (13),1.683,R
177,178.,Carlos May (10),1.680,R
178,179.,Tom Tresh (9),1.676,R
179,180.,Bobby Thomson (15),1.672,R
180,181.,Dante Bichette (14),1.670,R
181,181.,"Michael Brantley (12, 33)",1.670,L
182,181.,Derrick May (10),1.670,R
183,184.,Topsy Hartsel (14),1.656,L
184,185.,Eric Byrnes (11),1.651,R
185,186.,"Christian Yelich (8, 28)",1.635,R
186,187.,Henry Rodriguez (11),1.624,L
187,188.,Melky Cabrera (15),1.621,L
188,189.,Willie Horton (18),1.609,R
189,190.,Rico Carty (15),1.605,R
190,191.,Moises Alou (17),1.603,R
191,192.,Manny Ramirez (19),1.602,R
192,193.,Willie Stargell+ (21),1.592,L
193,194.,Pat Burrell (12),1.589,R
194,195.,Frank Catalanotto (14),1.585,R
195,196.,Bob Watson (19),1.582,R
196,197.,Seth Smith (11),1.575,L
197,198.,John Lowenstein (16),1.570,R
198,199.,Bob Allison (13),1.563,R
199,200.,David Murphy (10),1.561,L
200,201.,Greg Luzinski (15),1.560,R
201,202.,Gary Roenicke (12),1.559,R
202,203.,Tommy Harper (15),1.549,R
203,204.,Lee Maye (13),1.543,R
204,205.,Chuck Hinton (11),1.539,R
205,206.,Patsy Dougherty (10),1.536,R
206,207.,Tommy Davis (18),1.533,R
207,208.,Leon Wagner (12),1.524,R
208,209.,Al Martin (11),1.517,L
209,210.,Wally Moon (12),1.512,R
210,211.,"Starling Marte (9, 31)",1.499,R
211,212.,Frank Howard (16),1.487,R
212,213.,Lance Berkman (15),1.474,L
213,214.,Todd Hollandsworth (12),1.433,L
214,215.,Jonny Gomes (13),1.403,R
215,216.,Rajai Davis (14),1.390,R
216,217.,Wes Covington (11),1.348,R
217,218.,Jerry Lynch (13),1.345,R
218,219.,Ryan Klesko (16),1.333,L
219,220.,Reed Johnson (13),1.269,R
220,221.,Manny Mota (20),1.204,R
221,222.,Gene Stephens (12),1.071,R
222,223.,Greg Gross (17),0.877,L
