,Rank,"Player (yrs, age)",Range Factor/9Inn as OF,Throws
0,1.,Dwayne Murphy (12),3.132,R
1,2.,Gary Pettis (11),3.074,R
2,3.,Bill North (11),3.058,R
3,4.,Paul Blair (17),2.994,R
4,5.,Cesar Geronimo (15),2.967,L
5,6.,Garry Maddox (15),2.964,R
6,7.,Eddie Milner (9),2.934,L
7,8.,Derrel Thomas (15),2.926,R
8,9.,Lenny Dykstra (12),2.873,L
9,10.,Willie Wilson (19),2.870,R
10,11.,Rick Manning (13),2.865,R
11,12.,Ruppert Jones (12),2.858,L
12,13.,Omar Moreno (12),2.852,L
13,14.,Chet Lemon (16),2.831,R
14,15.,Leonys Martín (9),2.819,R
15,16.,Rick Miller (15),2.812,L
16,17.,Mickey Rivers (15),2.806,L
17,18.,Mike Cameron (17),2.796,R
18,18.,Gorman Thomas (13),2.796,R
19,20.,Lance Johnson (14),2.794,L
20,21.,Kirby Puckett+ (12),2.792,R
21,22.,Amos Otis (17),2.789,R
22,23.,Robin Yount+ (20),2.788,R
23,24.,Darin Erstad (14),2.779,L
24,25.,Devon White (17),2.767,R
25,26.,Dave Henderson (14),2.766,R
26,27.,Chris Singleton (6),2.755,L
27,28.,Ruben Rivera (9),2.751,R
28,29.,Mookie Wilson (12),2.744,R
29,30.,Al Bumbry (14),2.742,R
30,31.,Rich Becker (8),2.737,L
31,31.,"Lorenzo Cain (11, 34)",2.737,R
32,33.,Jim Edmonds (17),2.735,L
33,34.,"Kevin Kiermaier (8, 30)",2.722,R
34,35.,Bob Dernier (10),2.708,R
35,36.,Mike Devereaux (12),2.707,R
36,36.,Fred Lynn (17),2.707,L
37,36.,Gerald Young (8),2.707,R
38,39.,Tony Scott (11),2.706,R
39,40.,Nyjer Morgan (7),2.695,L
40,41.,Otis Nixon (17),2.690,R
41,42.,George Wright (5),2.683,R
42,43.,Andruw Jones (17),2.682,R
43,44.,Darren Lewis (13),2.676,R
44,45.,Willy Taveras (7),2.671,R
45,46.,Brett Butler (17),2.670,L
46,47.,Carlos Gomez (13),2.663,R
47,48.,"Juan Lagares (8, 31)",2.660,R
48,49.,Juan Beniquez (17),2.656,R
49,50.,Darrin Jackson (12),2.652,R
50,51.,Lloyd Moseby (12),2.645,R
51,52.,Cesar Cedeno (17),2.634,R
52,53.,Willie Davis (18),2.629,L
53,54.,Franklin Gutierrez (12),2.627,R
54,54.,Ron LeFlore (9),2.627,R
55,56.,Jerome Walton (10),2.626,R
56,57.,"Ender Inciarte (7, 29)",2.624,L
57,58.,"Jarrod Dyson (11, 35)",2.623,R
58,59.,Tony Armas (14),2.621,R
59,60.,Rudy Law (7),2.620,L
60,60.,Del Unser (15),2.620,L
61,62.,Sam Fuld (8),2.619,L
62,63.,Kenny Lofton (17),2.618,L
63,64.,Aaron Rowand (11),2.616,R
64,65.,John Shelby (11),2.607,R
65,66.,"Delino DeShields (6, 27)",2.601,R
66,67.,Doug Glanville (9),2.600,R
67,68.,Brian Hunter (10),2.599,R
68,69.,Lyman Bostock (4),2.591,R
69,70.,Henry Cotto (10),2.588,R
70,71.,Jerry Mumphrey (15),2.584,R
71,72.,Dave Gallagher (9),2.582,R
72,72.,"Odubel Herrera (5, 28)",2.582,R
73,72.,Adam Jones (14),2.582,R
74,75.,Bernie Williams (16),2.579,R
75,76.,Oddibe McDowell (7),2.578,L
76,77.,Tom Goodwin (14),2.571,R
77,78.,Denard Span (11),2.570,L
78,79.,Shane Mack (9),2.569,R
79,80.,Damon Buford (9),2.565,R
80,81.,"Billy Hamilton (8, 29)",2.562,R
81,82.,Joe Simpson (9),2.561,L
82,83.,Lee Mazzilli (14),2.560,R
83,84.,"Mike Trout (10, 28)",2.558,R
84,85.,Ken Griffey Jr.+ (22),2.551,L
85,86.,Andy Van Slyke (13),2.550,R
86,87.,Bake McBride (11),2.548,R
87,88.,Brady Clark (9),2.543,R
88,89.,Stan Javier (17),2.542,R
89,90.,Marquis Grissom (17),2.538,R
90,90.,Austin Jackson (9),2.538,R
91,92.,Randy Winn (13),2.534,R
92,93.,"Michael A. Taylor (7, 29)",2.532,R
93,94.,Andres Torres (9),2.527,R
94,95.,Torii Hunter (19),2.525,R
95,96.,Peter Bourjos (10),2.524,R
96,96.,"Cameron Maybin (14, 33)",2.524,R
97,98.,Rowland Office (11),2.522,L
98,99.,Ken Henderson (16),2.520,R
99,99.,Marvell Wynne (8),2.520,L
100,101.,Steve Finley (19),2.519,L
101,102.,Craig Gentry (10),2.518,R
102,102.,Grady Sizemore (10),2.518,L
103,104.,Darryl Hamilton (13),2.517,R
104,105.,Carlos Beltran (20),2.513,R
105,105.,Melvin Upton Jr. (12),2.513,R
106,107.,Chad Curtis (10),2.512,R
107,108.,Jay Payton (12),2.511,R
108,108.,Milt Thompson (13),2.511,R
109,110.,Gary Ward (12),2.510,R
110,111.,Rickey Henderson+ (25),2.509,L
111,112.,Mark Kotsay (17),2.502,L
112,113.,Michael Bourn (11),2.501,R
113,113.,Roberto Kelly (14),2.501,R
114,115.,Marvin Benard (9),2.500,L
115,116.,Gary Thomasson (9),2.499,L
116,117.,Brian McRae (10),2.498,R
117,118.,Ryan Church (7),2.496,L
118,119.,Rick Ankiel (11),2.493,L
119,120.,Johnny Damon (18),2.485,L
120,121.,Willie McGee (18),2.484,R
121,122.,Mickey Hatcher (12),2.482,R
122,123.,Herm Winningham (9),2.481,R
123,124.,Chris Young (13),2.480,R
124,125.,Coco Crisp (15),2.478,R
125,125.,"Kevin Pillar (8, 31)",2.478,R
126,127.,Dan Gladden (11),2.477,R
127,128.,Ray Lankford (14),2.474,L
128,129.,Jacoby Ellsbury (11),2.473,L
129,130.,Von Joshua (10),2.465,L
130,131.,Turner Ward (12),2.464,R
131,132.,John Moses (11),2.459,L
132,133.,Gary Matthews (12),2.457,R
133,134.,Daryl Boston (11),2.454,L
134,134.,Milton Bradley (12),2.454,R
135,136.,Tony Phillips (18),2.451,R
136,137.,Jesse Barfield (12),2.449,R
137,137.,Eric Davis (17),2.449,R
138,139.,Mike Felder (10),2.448,R
139,140.,Austin Kearns (12),2.445,R
140,141.,David DeJesus (13),2.443,L
141,142.,Mike Davis (10),2.438,L
142,143.,Rusty Torres (9),2.432,R
143,144.,Dave Collins (16),2.431,L
144,144.,George Vukovich (6),2.431,R
145,146.,Ben Revere (8),2.430,R
146,147.,Gerald Williams (14),2.428,R
147,148.,Gabe Kapler (12),2.427,R
148,148.,Jim Wynn (15),2.427,R
149,150.,Dave May (12),2.426,R
150,151.,Ryan Sweeney (9),2.424,L
151,152.,"Jackie Bradley Jr. (8, 30)",2.423,R
152,153.,"Adam Eaton (9, 31)",2.422,L
153,153.,Mike Kingery (10),2.422,L
154,153.,Al Oliver (18),2.422,L
155,156.,Von Hayes (12),2.421,R
156,157.,Curtis Granderson (16),2.420,R
157,157.,Tony Gwynn (8),2.420,R
158,159.,Jacque Jones (10),2.419,L
159,159.,Deion Sanders (9),2.419,L
160,161.,Angel Pagan (11),2.418,R
161,162.,Miguel Dilone (12),2.417,R
162,163.,"Jake Marisnick (8, 29)",2.415,R
163,164.,Shane Victorino (12),2.414,R
164,165.,Barry Bonnell (10),2.411,R
165,165.,Dave Martinez (16),2.411,L
166,167.,Drew Stubbs (9),2.408,R
167,168.,Brady Anderson (15),2.397,L
168,169.,Vernon Wells (15),2.396,R
169,170.,"Mookie Betts (7, 27)",2.395,R
170,170.,Junior Felix (6),2.395,R
171,170.,Larry Herndon (14),2.395,R
172,170.,Corey Patterson (12),2.395,R
173,174.,Pat Sheridan (9),2.392,R
174,175.,Endy Chavez (13),2.391,L
175,175.,Willie Harris (12),2.391,R
176,177.,Mitch Webster (13),2.388,L
177,178.,Andre Dawson+ (21),2.385,R
178,179.,Dave Roberts (10),2.378,L
179,180.,John Cangelosi (13),2.372,L
180,180.,Richard Hidalgo (9),2.372,R
181,182.,Rob Deer (11),2.370,R
182,183.,Mark Whiten (11),2.368,R
183,184.,"Aaron Hicks (8, 30)",2.364,R
184,185.,Colby Rasmus (10),2.362,L
185,186.,Marlon Byrd (15),2.361,R
186,187.,Ellis Burks (18),2.359,R
187,187.,Alejandro De Aza (10),2.359,L
188,187.,Joe Orsulak (14),2.359,L
189,190.,Preston Wilson (10),2.357,R
190,191.,Mike Anderson (9),2.352,R
191,191.,Matt Mieske (8),2.352,R
192,191.,Gary Roenicke (12),2.352,R
193,194.,Josh Hamilton (9),2.350,L
194,195.,Jose Cruz (12),2.348,R
195,196.,Ben Oglivie (16),2.343,L
196,197.,Joe Carter (16),2.342,R
197,198.,Rajai Davis (14),2.341,R
198,198.,Larry Hisle (14),2.341,R
199,200.,Glenn Braggs (7),2.333,R
200,201.,Leon Roberts (11),2.330,R
201,202.,Darren Bragg (11),2.329,R
202,203.,Chili Davis (19),2.327,R
203,203.,Dan Pasqua (10),2.327,L
204,205.,Scott Podsednik (11),2.326,L
205,206.,Joel Youngblood (14),2.323,R
206,207.,Dale Murphy (18),2.317,R
207,208.,Ichiro Suzuki (19),2.311,R
208,209.,Kevin McReynolds (12),2.309,R
209,210.,Jerry Martin (11),2.307,R
210,211.,Marty Cordova (9),2.304,R
211,211.,Dan Ford (11),2.304,R
212,211.,George Hendrick (18),2.304,R
213,214.,Reggie Smith (17),2.299,R
214,215.,Rick Monday (19),2.297,L
215,216.,Carl Everett (14),2.296,R
216,217.,Tim Salmon (14),2.294,R
217,218.,Ken Landreaux (11),2.293,R
218,219.,Billy Sample (9),2.288,R
219,220.,Warren Cromartie (10),2.287,L
220,220.,Lee Lacy (16),2.287,R
221,222.,"Jon Jay (11, 35)",2.285,L
222,223.,Jim Eisenreich (15),2.284,L
223,224.,Matt Lawton (12),2.283,R
224,225.,Tom Brunansky (14),2.278,R
225,226.,Al Woods (7),2.277,L
226,227.,Juan Pierre (14),2.276,L
227,227.,Alex Rios (12),2.276,R
228,229.,Roy White (15),2.275,R
229,230.,Billy Hatcher (12),2.274,R
230,230.,Rondell White (15),2.274,R
231,230.,Jim Wohlford (15),2.274,R
232,233.,Thomas Howard (11),2.273,R
233,234.,Garret Anderson (17),2.270,L
234,234.,Johnny Grubb (16),2.270,R
235,236.,Mel Hall (13),2.269,L
236,237.,Laynce Nix (11),2.268,L
237,238.,Jeffrey Hammonds (13),2.267,R
238,239.,"Max Kepler (6, 27)",2.266,L
239,240.,Brian Jordan (15),2.265,R
240,241.,Desmond Jennings (7),2.264,R
241,242.,Bobby Bonds (14),2.261,R
242,243.,"Andrew McCutchen (12, 33)",2.260,R
243,244.,Jim Dwyer (18),2.259,L
244,244.,Sixto Lezcano (12),2.259,R
245,244.,"AJ Pollock (9, 32)",2.259,R
246,247.,Glenn Wilson (10),2.258,R
247,248.,Gabe Gross (7),2.257,R
248,249.,Jason Michaels (11),2.255,R
249,250.,Emil Brown (10),2.254,R
250,250.,Orlando Palmeiro (13),2.254,L
251,250.,Hosken Powell (6),2.254,L
252,253.,Dwight Evans (20),2.253,R
253,253.,Eric Owens (9),2.253,R
254,255.,Bill Robinson (16),2.251,R
255,256.,Chris James (10),2.246,R
256,257.,Terrence Long (8),2.245,L
257,258.,Bobby Higginson (11),2.244,R
258,258.,Cory Snyder (9),2.244,R
259,260.,Orlando Merced (13),2.243,R
260,261.,Nate McLouth (10),2.240,R
261,261.,Michael Saunders (9),2.240,R
262,263.,Will Venable (9),2.237,L
263,264.,Ivan Calderon (10),2.229,R
264,265.,Carmelo Martinez (9),2.224,R
265,266.,Gary Redus (13),2.223,R
266,267.,Kosuke Fukudome (5),2.221,R
267,267.,Terry Puhl (15),2.221,R
268,269.,Carl Crawford (15),2.217,L
269,269.,Kirk Gibson (17),2.217,L
270,271.,Reggie Sanders (17),2.214,R
271,271.,Sammy Sosa (18),2.214,R
272,273.,"Dexter Fowler (13, 34)",2.212,R
273,273.,Michael Tucker (12),2.212,R
274,275.,Chris Denorfia (10),2.207,R
275,276.,Randy Bush (12),2.206,L
276,277.,"Nelson Cruz (16, 39)",2.204,R
277,278.,Joe Rudi (16),2.202,R
278,279.,Dion James (11),2.194,L
279,279.,Gene Richards (8),2.194,L
280,281.,Jose Cruz (19),2.193,L
281,281.,George Foster (18),2.193,R
282,281.,Hunter Pence (14),2.193,R
283,284.,Greg Vaughn (15),2.192,R
284,284.,Brad Wilkerson (8),2.192,L
285,286.,Eric Byrnes (11),2.191,R
286,287.,Bo Jackson (8),2.187,R
287,287.,Quinton McCracken (12),2.187,R
288,287.,Dave Parker (19),2.187,R
289,290.,Al Cowens (13),2.186,R
290,290.,Luis Polonia (12),2.186,L
291,292.,"Giancarlo Stanton (11, 30)",2.185,R
292,293.,So Taguchi (8),2.181,R
293,294.,Juan Gonzalez (17),2.180,R
294,295.,J.D. Drew (14),2.178,R
295,295.,Juan Encarnacion (11),2.178,R
296,297.,Danny Bautista (12),2.177,R
297,298.,"Yoenis Céspedes (8, 34)",2.176,R
298,299.,Jose Canseco (17),2.173,R
299,300.,Brian Downing (20),2.172,R
300,300.,Oscar Gamble (17),2.172,R
301,300.,Phil Plantier (8),2.172,R
302,300.,Cody Ross (12),2.172,L
303,304.,"Shin-Soo Choo (16, 37)",2.170,L
304,305.,Jerry Morales (15),2.169,R
305,306.,Ken Griffey (19),2.166,L
306,307.,"Charlie Blackmon (10, 33)",2.164,L
307,308.,Jay Johnstone (20),2.163,R
308,309.,Albert Belle (12),2.161,R
309,310.,Jeremy Hermida (8),2.160,R
310,311.,James Mouton (8),2.159,R
311,312.,"Kole Calhoun (9, 32)",2.158,L
312,312.,Nick Swisher (12),2.158,L
313,314.,Phil Bradley (8),2.157,R
314,315.,Felix Jose (11),2.156,R
315,315.,"Marcell Ozuna (8, 29)",2.156,R
316,315.,Dave Winfield+ (22),2.156,R
317,318.,John Lowenstein (16),2.155,R
318,319.,"Brett Gardner (13, 36)",2.154,L
319,319.,Rusty Greer (9),2.154,L
320,319.,Reggie Jackson+ (21),2.154,L
321,319.,Jim Rice+ (16),2.154,R
322,323.,Barry Bonds (22),2.152,L
323,323.,Gerardo Parra (11),2.152,L
324,325.,Vladimir Guerrero+ (16),2.151,R
325,326.,Steve Henderson (12),2.148,R
326,327.,"Jay Bruce (13, 33)",2.145,L
327,328.,Tim Raines+ (23),2.143,R
328,329.,Chris Heisey (8),2.142,R
329,330.,"Jason Heyward (11, 30)",2.139,L
330,331.,Roger Cedeno (11),2.138,R
331,332.,"Alex Gordon (14, 36)",2.135,R
332,332.,Leroy Stanton (9),2.135,R
333,334.,Corey Hart (11),2.130,R
334,335.,Jay Gibbons (9),2.129,L
335,336.,Jack Clark (18),2.127,R
336,337.,Lonnie Smith (17),2.126,R
337,338.,Ron Gant (16),2.123,R
338,339.,Bernard Gilkey (12),2.122,R
339,339.,Paul O'Neill (17),2.122,L
340,339.,Alex Ochoa (8),2.122,R
341,342.,Dusty Baker (19),2.118,R
342,343.,Claudell Washington (17),2.117,L
343,344.,Tony Gwynn+ (20),2.115,L
344,345.,Steve Kemp (11),2.112,L
345,345.,Ellis Valentine (10),2.112,R
346,347.,Harold Baines+ (22),2.110,L
347,347.,Ricky Ledee (10),2.110,L
348,349.,"George Springer (7, 30)",2.109,R
349,349.,Ben Zobrist (14),2.109,R
350,351.,Jose Guillen (14),2.107,R
351,352.,Craig Monroe (9),2.104,R
352,353.,Geoff Jenkins (11),2.103,R
353,354.,Raul Mondesi (13),2.102,R
354,355.,Brian Giles (15),2.101,L
355,356.,David Justice (14),2.100,L
356,357.,Kevin Bass (14),2.095,R
357,357.,Kevin Mitchell (13),2.095,R
358,357.,Jayson Werth (15),2.095,R
359,360.,Jermaine Dye (14),2.093,R
360,360.,Shannon Stewart (14),2.093,R
361,362.,Lou Piniella (18),2.090,R
362,363.,John Vander Wal (14),2.089,L
363,364.,Skip Schumaker (11),2.087,R
364,365.,Larry Walker+ (17),2.083,R
365,366.,"Randal Grichuk (7, 28)",2.079,R
366,366.,"Nick Markakis (15, 36)",2.079,L
367,368.,Ralph Garr (13),2.077,R
368,369.,Don Baylor (19),2.076,R
369,370.,"Nomar Mazara (5, 25)",2.074,L
370,371.,"Avisail Garcia (9, 29)",2.072,R
371,371.,Todd Hollandsworth (12),2.072,L
372,373.,Gregor Blanco (10),2.070,L
373,373.,Juan Rivera (12),2.070,R
374,375.,Hideki Matsui (10),2.068,R
375,376.,Rob Mackowiak (8),2.065,R
376,377.,Dante Bichette (14),2.064,R
377,377.,"Michael Conforto (6, 27)",2.064,R
378,379.,Scott Hairston (11),2.063,R
379,380.,David Dellucci (13),2.062,L
380,380.,Shawn Green (15),2.062,L
381,382.,Greg Gross (17),2.060,L
382,382.,Trot Nixon (12),2.060,L
383,384.,Jeff Francoeur (12),2.059,R
384,385.,Derek Bell (11),2.058,R
385,385.,Reed Johnson (13),2.058,R
386,387.,Glenallen Hill (13),2.053,R
387,387.,Richie Zisk (13),2.053,R
388,389.,Tom Paciorek (18),2.052,R
389,390.,"Matt Kemp (15, 35)",2.051,R
390,391.,Magglio Ordonez (15),2.050,R
391,391.,"Justin Upton (14, 32)",2.050,R
392,393.,B.J. Surhoff (19),2.049,R
393,394.,Jeromy Burnitz (14),2.048,R
394,395.,Jose Cardenal (18),2.046,R
395,395.,"Josh Reddick (12, 33)",2.046,R
396,395.,Charlie Spikes (9),2.046,R
397,398.,Nate Schierholtz (8),2.043,R
398,399.,Melky Cabrera (15),2.041,L
399,399.,Vince Coleman (13),2.041,R
