,Rank,"Player (yrs, age)",Win-Loss %,Throws
636,636.,Lee Viau (5),.5188,R
637,638.,Pete Harnisch (14),.5187,R
638,639.,Alejandro Pena (15),.5185,R
639,639.,Tom Phoebus (7),.5185,R
640,641.,Joaquin Andujar (13),.5184,R
641,641.,Bill Doak (16),.5184,R
642,641.,Bill Lee (14),.5184,R
643,644.,Dave Danforth (10),.5182,L
644,644.,Kelly Downs (8),.5182,R
645,644.,"Mike Minor (9, 32)",.5182,L
646,647.,Dave Giusti (15),.5181,R
647,647.,Cliff Melton (8),.5181,L
648,649.,Ken Hill (14),.5177,R
649,650.,Julian Tavarez (17),.5176,R
650,651.,Chuck Dobson (9),.5175,R
651,651.,Roy Parmelee (10),.5175,R
652,653.,Bobby Jones (10),.5174,R
653,654.,"Mike Leake (10, 32)",.5172,R
654,655.,Bob Moose (10),.5170,R
655,656.,Colby Lewis (11),.5168,R
656,657.,Ray Moore (11),.5164,R
657,658.,James Baldwin (11),.5163,R
658,658.,Ron Perranoski (13),.5163,L
659,658.,"Edinson Volquez (15, 36)",.5163,R
660,661.,Dan Casey (7),.5161,L
661,662.,Bullet Joe Bush (17),.5158,R
662,663.,Brad Radke (12),.5157,R
663,664.,Mark Gardner (13),.5156,R
664,664.,Chris Hammond (14),.5156,L
665,666.,Ray Fisher (10),.5155,R
666,666.,Oral Hildebrand (10),.5155,R
667,666.,Dick Tidrow (13),.5155,R
668,666.,Randy Wolf (16),.5155,L
669,670.,Jim Nash (7),.5152,R
670,671.,Jerry Koosman (19),.5151,L
671,672.,Rick Aguilera (16),.5150,R
672,673.,Jim Brewer (17),.5149,L
673,673.,Jack Harshman (10),.5149,L
674,675.,Larry Jackson (14),.5146,R
675,675.,Matt Kilroy (10),.5146,L
676,675.,Dale Murray (12),.5146,R
677,678.,Erik Hanson (11),.5145,R
678,678.,Mike Krukow (14),.5145,R
679,678.,Eppa Rixey+ (21),.5145,L
680,681.,"Patrick Corbin (8, 30)",.5143,L
681,681.,Art Fowler (9),.5143,R
682,683.,Earl Moore (14),.5142,R
683,684.,Cy Falkenberg (12),.5138,R
684,685.,Dixie Davis (10),.5137,R
685,685.,Jon Lieber (14),.5137,R
686,687.,Dizzy Trout (15),.5136,R
687,688.,Nick Cullop (6),.5135,L
688,688.,Sad Sam Jones (22),.5135,R
689,690.,Dutch Leonard (20),.5134,R
690,691.,Curt Simmons (20),.5133,L
691,692.,Mike Caldwell (14),.5131,L
692,693.,Kid Gleason (22),.5130,R
693,694.,Milt Wilcox (16),.5129,R
694,695.,George Stone (9),.5128,L
695,696.,Sam McDowell (15),.5127,L
696,697.,Joe Coleman (15),.5126,R
697,697.,Paul Derringer (15),.5126,R
698,699.,Ewell Blackwell (10),.5125,R
699,699.,Wilbur Wood (17),.5125,L
700,701.,Bob Ewing (11),.5124,R
701,701.,Jason Marquis (15),.5124,R
702,703.,Al Maul (15),.5122,R
703,703.,Billy O'Dell (13),.5122,L
704,705.,Jack Lynch (7),.5116,R
705,706.,Mike McCormick (16),.5115,L
706,706.,Eric Milton (11),.5115,L
707,708.,Marty Pattin (13),.5112,R
708,709.,"Charlie Morton (13, 36)",.5110,R
709,710.,A.J. Burnett (17),.5109,R
710,710.,Frank Corridon (6),.5109,R
711,710.,Lee Meadows (15),.5109,R
712,710.,Kent Tekulve (16),.5109,R
713,714.,Adam Eaton (10),.5108,R
714,714.,Scott Erickson (15),.5108,R
715,714.,"Jordan Zimmermann (12, 34)",.5108,R
716,717.,Pretzels Getzien (9),.5106,R
717,717.,Tug McGraw (19),.5106,L
718,717.,Van Mungo (14),.5106,R
719,717.,James Shields (13),.5106,R
720,717.,Dontrelle Willis (9),.5106,L
721,722.,Tim Belcher (14),.5105,R
722,722.,Bud Black (15),.5105,L
723,722.,Ron Reed (19),.5105,R
724,725.,Mark Clark (10),.5103,R
725,726.,Hank Aguirre (16),.5102,L
726,726.,Rube Benton (15),.5102,L
727,728.,Joe Blanton (13),.5101,R
728,729.,Bruce Dal Canton (11),.5100,R
729,730.,Pedro Astacio (15),.5099,R
730,730.,Ernie Broglio (8),.5099,R
731,732.,Steve Rogers (13),.5097,R
732,733.,Gary Lavelle (13),.5096,L
733,734.,Rick Wise (18),.5095,R
734,735.,Dave Righetti (16),.5093,L
735,736.,Dave Goltz (12),.5090,R
736,737.,Joe Saunders (10),.5086,L
737,737.,Sloppy Thurston (9),.5086,R
738,739.,John Franco (21),.5085,L
739,739.,Jake Miller (9),.5085,L
740,741.,Gary Bell (12),.5084,R
741,742.,Virgil Barnes (9),.5083,R
742,743.,Bob Wickman (15),.5081,R
743,744.,Frank Foreman (11),.5079,R
744,744.,Tony Kaufmann (12),.5079,R
745,746.,Johnny Marcum (7),.5078,R
746,747.,Javier Vazquez (14),.5077,R
747,748.,Jack Kralick (9),.5076,L
748,749.,Bill Krueger (13),.5075,L
749,749.,Ray Sadecki (18),.5075,L
750,749.,Lefty Stewart (10),.5075,L
751,752.,Pat Zachry (10),.5074,R
752,753.,Don Robinson (15),.5070,R
753,754.,Kyle Lohse (16),.5069,R
754,755.,Mike Timlin (18),.5068,R
755,756.,Joe Benz (9),.5066,R
756,757.,Jack Taylor (9),.5063,R
757,758.,Ed Whitson (15),.5060,R
758,759.,Camilo Pascual (18),.5058,R
759,760.,Vinegar Bend Mizell (9),.5056,L
760,760.,Chris Short (15),.5056,L
761,762.,Ed Willett (10),.5050,R
762,763.,Stu Miller (16),.5048,R
763,763.,Jake Westbrook (13),.5048,R
764,765.,Geoff Zahn (13),.5045,L
765,766.,Ron Bryant (8),.5044,L
766,766.,Bill Monbouquette (11),.5044,R
767,766.,Togie Pittinger (8),.5044,R
768,769.,R.A. Dickey (15),.5042,R
769,769.,Bill Lohrman (9),.5042,R
770,769.,Frank Tanana (21),.5042,L
771,772.,Lee Stange (10),.5041,R
772,773.,Fritz Peterson (11),.5038,L
773,774.,Jon Niese (9),.5036,L
774,774.,Dan Schatzeder (15),.5036,L
775,776.,Joey Hamilton (10),.5034,R
776,777.,Jesse Barnes (13),.5033,R
777,777.,Jeremy Hellickson (10),.5033,R
778,779.,Oil Can Boyd (10),.5032,R
779,779.,Willis Hudlin (16),.5032,R
780,781.,Bruce Chen (17),.5031,L
781,782.,Gil Meche (10),.5030,R
782,782.,Ed Siever (7),.5030,L
783,784.,Matt Clement (9),.5029,R
784,784.,Ramon Ortiz (12),.5029,R
785,786.,Chris Bosio (11),.5027,R
786,786.,Phil Douglas (9),.5027,R
787,788.,Jim Bagby (10),.5026,R
788,788.,Brett Myers (12),.5026,R
789,790.,Duke Esper (9),.5025,L
790,790.,Sam Jones (12),.5025,R
791,792.,Fred Norman (16),.5024,L
792,793.,Bill Hands (11),.5023,R
793,793.,Carl Pavano (14),.5023,R
794,795.,Ken Forsch (16),.5022,R
795,796.,Mike Witt (12),.5021,R
796,797.,Greg Swindell (17),.5020,L
797,798.,Liván Hernández (17),.5014,R
798,799.,Claude Osteen (18),.5013,L
799,799.,Adonis Terry (14),.5013,R
800,801.,Al Atkinson (3),.5000,R
801,801.,Red Barrett (11),.5000,R
802,801.,Larry Benton (13),.5000,R
803,801.,Pete Conway (5),.5000,R
804,801.,Howard Ehmke (15),.5000,R
805,801.,Charlie Hough (25),.5000,R
806,801.,Elmer Knetzer (8),.5000,R
807,801.,Hiroki Kuroda (7),.5000,R
808,801.,Dennis Lamp (16),.5000,R
809,801.,Steve McCatty (9),.5000,R
810,801.,Mickey McDermott (12),.5000,L
811,801.,Roger McDowell (12),.5000,R
812,801.,Cal McLish (15),.5000,R
813,801.,"Wade Miley (10, 33)",.5000,L
814,801.,"Andrew Miller (15, 35)",.5000,L
815,801.,"Tommy Milone (10, 33)",.5000,L
816,801.,Cy Morgan (10),.5000,R
817,801.,Nap Rucker (10),.5000,L
818,801.,Ken Schrom (7),.5000,R
819,801.,Carlos Silva (9),.5000,R
820,801.,Dave Smith (13),.5000,R
821,801.,Joe Sparma (7),.5000,R
822,801.,"Julio Teheran (10, 29)",.5000,R
823,801.,Jason Vargas (14),.5000,L
824,825.,Ryan Dempster (16),.4981,R
825,825.,George Mogridge (15),.4981,L
826,827.,Jon Matlack (13),.4980,L
827,828.,Joe Horlen (12),.4979,R
828,829.,Fritz Ostermueller (15),.4978,L
829,829.,"Anibal Sanchez (15, 36)",.4978,R
830,831.,Reggie Cleveland (13),.4976,R
831,831.,Ismael Valdez (12),.4976,R
832,833.,Wandy Rodriguez (11),.4974,L
833,834.,Paul Foytack (11),.4971,R
834,834.,Tom Underwood (11),.4971,L
835,836.,Brian Anderson (13),.4970,L
836,836.,Blue Moon Odom (13),.4970,R
837,838.,Doc McJames (6),.4969,R
838,839.,Danny Cox (11),.4966,R
839,840.,Ted Power (13),.4964,R
840,840.,Ed Wells (11),.4964,L
841,842.,Pascual Perez (11),.4963,R
842,843.,"Danny Duffy (10, 31)",.4961,L
843,843.,Mike Fornieles (12),.4961,R
844,843.,Johnny Rigney (8),.4961,R
845,846.,Jim Bouton (10),.4960,R
846,847.,Johnny Vander Meer (13),.4958,L
847,848.,Andy Coakley (9),.4957,R
848,848.,Al Milnar (8),.4957,L
849,848.,Mike Norris (10),.4957,R
850,851.,"Francisco Liriano (14, 36)",.4956,L
851,852.,Richard Dotson (12),.4955,R
852,852.,Rich Gale (7),.4955,R
853,854.,Dave Schmidt (12),.4954,R
854,854.,Jarrod Washburn (12),.4954,L
855,856.,Don Carman (10),.4953,L
856,856.,Kirk McCaskill (12),.4953,R
857,858.,Francisco Rodriguez (16),.4952,R
858,859.,Vic Lombardi (6),.4950,L
859,859.,Al Smith (12),.4950,L
860,861.,Stan Bahnsen (16),.4949,R
861,862.,Ben Sheets (10),.4947,R
862,863.,Ken Brett (14),.4940,L
863,864.,Jeff Fassero (16),.4939,L
864,864.,Bump Hadley (16),.4939,R
865,864.,Kyle Kendrick (10),.4939,R
866,867.,"Derek Holland (12, 33)",.4938,L
867,867.,Bob Muncrief (12),.4938,R
868,869.,Ted Blankenship (9),.4936,R
869,870.,Ubaldo Jimenez (12),.4935,R
870,870.,Rudy May (16),.4935,L
871,872.,Tom Zachary (19),.4934,L
872,873.,Len Barker (11),.4933,R
873,873.,Gavin Floyd (13),.4933,R
874,873.,Sterling Hitchcock (13),.4933,L
875,876.,Willie McGill (7),.4931,L
876,877.,Ray Herbert (14),.4929,R
877,878.,Brett Tomko (14),.4926,R
878,879.,Mark Gubicza (14),.4925,R
879,879.,Elam Vangilder (11),.4925,R
880,881.,Frank Sullivan (11),.4924,R
881,882.,"Brett Anderson (12, 32)",.4922,L
882,883.,Dick Ruthven (14),.4920,R
883,884.,Johnny Lanning (11),.4915,R
884,885.,Rollie Fingers+ (17),.4914,R
885,885.,Ricky Nolasco (12),.4914,R
886,885.,Sherry Smith (14),.4914,L
887,885.,Jim Wilson (12),.4914,R
888,889.,Sam Gray (10),.4912,R
889,890.,"Alex Cobb (9, 32)",.4911,R
890,891.,Dick Bosman (11),.4910,R
891,892.,Scott Karl (6),.4909,L
892,892.,Johnny Kucks (6),.4909,R
893,892.,Matt Moore (9),.4909,L
894,895.,Mike Remlinger (14),.4907,L
895,896.,Steve Bedrosian (14),.4903,R
896,896.,Aaron Cook (11),.4903,R
897,898.,Todd Worrell (11),.4902,R
898,899.,Jack Powell (16),.4900,R
899,899.,"Robbie Ray (7, 28)",.4900,L
900,901.,Bill Dinneen (12),.4899,R
901,901.,Luke Hamlin (9),.4899,R
902,901.,Billy Hoeft (15),.4899,L
903,904.,Mike Bielecki (14),.4895,R
904,904.,Jeff Suppan (17),.4895,R
905,906.,Willard Nixon (9),.4894,R
906,907.,Cy Blanton (9),.4892,R
907,907.,Bruce Sutter+ (12),.4892,R
908,909.,Syl Johnson (19),.4891,R
909,910.,Clint Brown (15),.4890,R
910,911.,Ed Daily (7),.4889,R
911,911.,Bert Gallia (9),.4889,R
912,911.,Steve Trout (12),.4889,L
913,914.,Art Houtteman (12),.4888,R
914,915.,Jim Slaton (16),.4887,R
915,916.,Turk Farrell (14),.4885,R
916,916.,George McQuillan (10),.4885,R
917,918.,Mike LaCoss (14),.4876,R
918,919.,Murry Dickson (18),.4873,R
919,919.,Bobo Newsom (20),.4873,R
920,921.,Hal Carlson (14),.4872,R
921,922.,Nels Potter (12),.4868,R
922,923.,Jeff Reardon (16),.4867,R
923,924.,Gene Conley (11),.4866,R
924,925.,Jim Devlin (5),.4865,R
925,925.,Sheldon Jones (8),.4865,R
926,927.,Pat Dobson (11),.4861,R
927,928.,Carl Morton (8),.4860,R
928,929.,Jim Rooker (13),.4858,L
929,929.,Jack Scott (12),.4858,R
930,931.,Leon Cadore (10),.4857,R
931,931.,Norm Charlton (13),.4857,L
932,931.,Mark Guthrie (15),.4857,L
933,931.,Jack Wilson (9),.4857,R
934,935.,Roberto Hernandez (17),.4855,R
935,935.,Thornton Lee (16),.4855,L
936,937.,Garland Braxton (10),.4854,L
937,937.,Jim Colborn (10),.4854,R
938,937.,Tom Gorzelanny (12),.4854,L
939,937.,Mule Watson (7),.4854,R
940,941.,"Homer Bailey (14, 34)",.4850,R
941,941.,Bob Knepper (15),.4850,L
942,941.,Jim Merritt (11),.4850,L
943,944.,Theodore Breitenstein (11),.4848,L
944,944.,Phil Collins (8),.4848,R
945,944.,Ray Scarborough (10),.4848,R
946,947.,Shane Rawley (12),.4847,L
947,948.,Danny Darwin (21),.4844,R
948,949.,Jim Scott (9),.4842,R
949,950.,Joe Gibbon (13),.4841,L
950,950.,Ron Villone (15),.4841,L
951,952.,Bud Daley (10),.4839,L
952,952.,Randy Lerch (11),.4839,L
953,952.,Jim Tobin (9),.4839,R
954,955.,Floyd Bannister (15),.4838,L
955,955.,Red Donahue (13),.4838,R
956,957.,Hugh McQuillan (10),.4835,R
957,957.,Jim Whitney (10),.4835,R
958,959.,Dustin Hermanson (12),.4834,R
959,960.,Art Ditmar (9),.4832,R
960,961.,Mark Baldwin (7),.4828,R
961,961.,Kris Benson (9),.4828,R
962,963.,Pink Hawley (10),.4827,R
963,964.,Jerry Augustine (10),.4825,L
964,964.,"Kyle Gibson (8, 32)",.4825,R
965,966.,Dave LaPoint (12),.4819,L
966,967.,Fred Anderson (7),.4818,R
967,967.,Percy Jones (9),.4818,L
968,967.,Jim Kern (13),.4818,R
969,970.,Bill Singer (14),.4816,R
970,971.,Scott Feldman (13),.4815,R
971,972.,Johnny Niggeling (9),.4812,R
972,973.,Jason Isringhausen (16),.4811,R
973,973.,Carlos Villanueva (11),.4811,R
974,973.,Allen Watson (8),.4811,L
975,976.,Joe Haynes (14),.4810,R
976,977.,Michael Jackson (17),.4806,R
977,978.,Lynn McGlothen (11),.4804,R
978,979.,Hal Brown (14),.4802,R
979,979.,Denny Galehouse (15),.4802,R
980,979.,"Ian Kennedy (14, 35)",.4802,R
981,982.,Dick Drago (13),.4800,R
982,982.,Andy Hawkins (10),.4800,R
983,982.,Bob Hendley (7),.4800,L
984,985.,Jack Kramer (12),.4798,R
985,986.,Art Mahaffey (7),.4797,R
986,987.,Bill Phillips (7),.4795,R
987,987.,Allen Russell (11),.4795,R
988,989.,Tom Candiotti (16),.4794,R
989,990.,Todd Jones (16),.4793,R
990,990.,Jaime Navarro (12),.4793,R
991,992.,Brandon McCarthy (13),.4792,R
992,993.,Allan Sothoron (11),.4789,R
993,994.,Scott Elarton (10),.4786,R
994,994.,"Martin Perez (9, 29)",.4786,L
995,994.,Steve Renko (15),.4786,R
996,997.,John Curtis (15),.4785,L
997,997.,Melido Perez (9),.4785,R
998,999.,Dan Plesac (18),.4779,L
999,999.,Doc Scanlan (8),.4779,R
1000,999.,Bill Travers (9),.4779,L
