,Rank,"Player (yrs, age)",Win-Loss %,Throws
141,142.,"Lance Lynn (9, 33)",.5943,R
142,143.,Mike Garcia (14),.5941,R
143,144.,Mickey Welch+ (13),.5938,R
144,145.,Vean Gregg (8),.5935,L
145,145.,Jack McDowell (12),.5935,R
146,147.,Pat Malone (10),.5929,R
147,148.,General Crowder (11),.5922,R
148,149.,John Candelaria (19),.5920,L
149,150.,Carlos Zambrano (12),.5919,R
150,151.,Mark Clear (11),.5917,R
151,152.,Harry Brecheen (12),.5911,L
152,153.,Bob Welch (17),.5910,R
153,154.,Freddy Garcia (15),.5909,R
154,155.,Bob Gibson+ (17),.5906,R
155,156.,Dutch Ruether (11),.5905,L
156,157.,LaMarr Hoyt (8),.5904,R
157,158.,Denny McLain (10),.5901,R
158,159.,"Kyle Hendricks (7, 30)",.5897,R
159,159.,Eddie Rommel (13),.5897,R
160,161.,Tom Burgmeier (17),.5896,L
161,161.,Jack Coombs (14),.5896,R
162,161.,Ellis Kinder (12),.5896,R
163,164.,Tommy Bond (10),.5894,R
164,165.,Bill Bernhard (9),.5888,R
165,166.,Tiny Bonham (10),.5886,R
166,167.,Jim Bagby (9),.5880,R
167,167.,Bret Saberhagen (16),.5880,R
168,169.,Tom Morgan (12),.5877,R
169,170.,Mike Cuellar (15),.5873,L
170,171.,"Johnny Cueto (13, 34)",.5872,R
171,172.,Monte Weaver (9),.5868,R
172,173.,Tom Seaton (6),.5860,R
173,174.,Amos Rusie+ (10),.5857,R
174,175.,Kirk Rueter (13),.5856,L
175,176.,Eddie Cicotte (14),.5854,R
176,177.,Jeff Pfeffer (13),.5852,R
177,178.,Lew Burdette (18),.5850,R
178,179.,Russ Ford (7),.5848,R
179,180.,Dazzy Vance+ (16),.5846,R
180,181.,Tommy Bridges (16),.5843,R
181,181.,Jake Weimer (7),.5843,L
182,183.,Kenny Rogers (20),.5840,L
183,184.,Brandon Webb (7),.5839,R
184,185.,Ed Morris (7),.5836,L
185,186.,George Pipgras (11),.5829,R
186,186.,Ed Stein (8),.5829,R
187,188.,"Michael Wacha (8, 28)",.5825,R
188,189.,"Jake Arrieta (11, 34)",.5820,R
189,190.,Dennis Cook (15),.5818,L
190,191.,Paul Assenmacher (14),.5810,L
191,192.,Babe Adams (19),.5808,R
192,193.,Orlando Hernandez (9),.5806,R
193,194.,Noodles Hahn (8),.5804,L
194,195.,Hal Newhouser+ (17),.5798,L
195,196.,Will White (10),.5797,R
196,197.,Jim Konstanty (11),.5789,R
197,197.,Clem Labine (13),.5789,R
198,197.,Red Munger (10),.5789,R
199,200.,John Smoltz+ (21),.5788,R
200,201.,"Jacob deGrom (7, 32)",.5785,R
201,202.,Larry Jansen (9),.5782,R
202,203.,Roy Mahaffey (9),.5776,R
203,204.,Tom Browning (12),.5775,L
204,204.,Mariano Rivera+ (19),.5775,R
205,206.,George Earnshaw (9),.5773,R
206,206.,Jack Morris+ (18),.5773,R
207,208.,Fred Toney (12),.5768,R
208,209.,Sadie McMahon (9),.5767,R
209,210.,Orel Hershiser (18),.5763,R
210,211.,Dennis Leonard (12),.5760,R
211,212.,Jimmy Callahan (13),.5756,R
212,212.,Jack Sanford (12),.5756,R
213,214.,Reb Russell (9),.5755,L
214,215.,Steve Blass (10),.5754,R
215,216.,Ray Collins (7),.5753,L
216,217.,Jason Schmidt (14),.5752,R
217,218.,Doug Rau (9),.5745,L
218,219.,Catfish Hunter+ (15),.5744,R
219,219.,Rube Waddell+ (13),.5744,L
220,221.,"Carlos Martinez (8, 28)",.5743,R
221,221.,"Collin McHugh (8, 33)",.5743,R
222,223.,Steve Carlton+ (24),.5742,L
223,224.,Wade Miller (9),.5741,R
224,224.,Denny Neagle (13),.5741,L
225,224.,Pete Vuckovich (11),.5741,R
226,227.,C.J. Wilson (11),.5732,L
227,228.,Al McBean (10),.5726,R
228,229.,Fred Hutchinson (11),.5723,R
229,230.,Mark Buehrle (16),.5722,L
230,231.,"J.A. Happ (14, 37)",.5721,L
231,232.,"Cole Hamels (15, 36)",.5719,L
232,233.,Silver King (10),.5718,R
233,234.,Mace Brown (10),.5714,R
234,235.,Luis Tiant (19),.5711,R
235,236.,Bill Donovan (18),.5710,R
236,237.,Joe Dobson (14),.5708,R
237,238.,Jesse Haines+ (19),.5707,R
238,239.,Joe Hatten (7),.5702,L
239,240.,Don McMahon (18),.5696,R
240,241.,Bill Lee (14),.5694,L
241,242.,Dave Burba (15),.5693,R
242,243.,Aaron Sele (15),.5692,R
243,244.,Ed Killian (8),.5691,L
244,245.,Heinie Meine (7),.5690,R
245,246.,Hank Borowy (10),.5684,R
246,246.,Rip Collins (11),.5684,R
247,246.,Max Lanier (14),.5684,L
248,249.,Tex Carleton (8),.5682,R
249,249.,Mike Smith (14),.5682,L
250,251.,Matt Morris (11),.5681,R
251,252.,Clay Carroll (15),.5680,R
252,253.,"Bartolo Colon (21, 47)",.5678,R
253,254.,Andy Messersmith (12),.5677,R
254,255.,Virgil Trucks (17),.5673,R
255,256.,Ice Box Chamberlain (10),.5668,R
256,257.,Bruce Kison (15),.5665,R
257,258.,Hal Schumacher (13),.5663,R
258,259.,Al Fitzmorris (10),.5662,R
259,260.,Clay Buchholz (13),.5660,R
260,261.,Sparky Lyle (16),.5657,L
261,261.,Dave Stewart (16),.5657,R
262,263.,Josh Beckett (14),.5656,R
263,263.,Scott Garrelts (10),.5656,R
264,263.,Waite Hoyt+ (21),.5656,R
265,263.,Curt Young (11),.5656,L
266,267.,Erskine Mayer (8),.5652,R
267,267.,Bob Shawkey (15),.5652,R
268,269.,Hippo Vaughn (13),.5651,L
269,270.,Larry Gura (16),.5650,L
270,271.,Vida Blue (17),.5649,L
271,272.,"Gio Gonzalez (13, 34)",.5647,L
272,273.,Chad Billingsley (9),.5646,R
273,274.,Steve Busby (8),.5645,R
274,274.,Bob Walk (14),.5645,R
275,276.,Ralph Branca (12),.5641,R
276,276.,Guy Bush (17),.5641,R
277,278.,Charlie Lea (7),.5636,R
278,279.,Jumbo McGinnis (6),.5635,
279,279.,Tony Mullane (13),.5635,R
280,281.,Josh Johnson (9),.5631,R
281,282.,Russ Meyer (13),.5629,R
282,283.,Elden Auker (10),.5628,R
283,283.,Johnny Morrison (10),.5628,R
284,283.,Jamie Moyer (25),.5628,L
285,286.,Mike Hampton (16),.5627,L
286,287.,Dave Stieb (16),.5623,R
287,288.,Jack Billingham (13),.5620,R
288,288.,Bernie Boland (7),.5620,R
289,288.,Bruce Hurst (15),.5620,L
290,291.,John Lackey (15),.5612,R
291,292.,Lefty Leifield (12),.5611,L
292,293.,Scott McGregor (13),.5610,L
293,294.,Joe Hesketh (11),.5607,L
294,295.,Johnny Podres (15),.5606,L
295,296.,Jose Rijo (14),.5604,R
296,297.,Milt Pappas (17),.5603,R
297,298.,Burleigh Grimes+ (19),.5602,R
298,299.,Ryan Madson (13),.5596,R
299,299.,Shaun Marcum (9),.5596,R
300,301.,Billy Loes (11),.5594,R
301,301.,Dennis Martinez (23),.5594,R
302,301.,Russ Ortiz (12),.5594,R
303,304.,"Yu Darvish (8, 33)",.5591,R
304,305.,Harry Gumbert (15),.5586,R
305,305.,Chan Ho Park (17),.5586,R
306,305.,Don Sutton+ (23),.5586,R
307,308.,Bob Veale (13),.5581,L
308,309.,Don Mossi (12),.5580,L
309,310.,Bill Walker (10),.5575,L
310,311.,Don Drysdale+ (14),.5573,R
311,312.,Bob Buhl (15),.5570,R
312,313.,Fergie Jenkins+ (19),.5569,R
313,314.,Charlie Root (17),.5568,R
314,315.,Howie Camnitz (11),.5565,R
315,316.,Ross Grimsley (11),.5561,L
316,317.,Frank Smith (11),.5560,R
317,318.,Frank Killen (10),.5559,L
318,319.,"Madison Bumgarner (12, 30)",.5556,L
319,319.,Jack Harper (8),.5556,R
320,319.,Elmer Riddle (10),.5556,R
321,322.,Billy Pierce (18),.5553,L
322,323.,Juan Pizarro (18),.5551,L
323,324.,Tommy John (26),.5549,L
324,325.,Scott Baker (10),.5546,R
325,326.,"Tommy Hunter (13, 33)",.5545,R
326,327.,"Felix Hernandez (15, 34)",.5541,R
327,327.,Arthur Rhodes (20),.5541,L
328,329.,Claude Hendrix (10),.5538,R
329,329.,Eric Plunk (14),.5538,R
330,331.,Dick Hall (19),.5536,R
331,332.,Jim McCormick (10),.5532,R
332,333.,Bucky Walters (19),.5531,R
333,334.,Clyde Shoun (14),.5530,L
334,335.,Tim Lincecum (10),.5528,R
335,335.,Ed Seward (6),.5528,R
336,337.,Jim Perry (17),.5527,R
337,338.,Bob Forsch (16),.5526,R
338,339.,Kevin Appier (16),.5523,R
339,340.,Chris Tillman (10),.5522,R
340,341.,"Dallas Keuchel (9, 32)",.5521,L
341,342.,Dick Donovan (15),.5520,R
342,343.,Tommy Byrne (13),.5519,L
343,343.,Gene Packard (8),.5519,L
344,345.,Ken Holloway (9),.5517,R
345,345.,Charlie Sweeney (6),.5517,R
346,345.,Bob Wicker (6),.5517,R
347,348.,Rick Sutcliffe (18),.5516,R
348,349.,Alex Fernandez (10),.5515,R
349,349.,Early Wynn+ (23),.5515,R
350,351.,Sammy Stewart (10),.5514,R
351,352.,Charles Nagy (14),.5513,R
352,353.,Sonny Siebert (12),.5512,R
353,354.,Al Leiter (19),.5510,L
354,355.,Hooks Dauss (15),.5506,R
355,356.,Jim Hearn (13),.5505,R
356,357.,Frank Owen (8),.5503,R
357,357.,Rick Reed (15),.5503,R
358,359.,John Smiley (12),.5502,L
359,360.,John Burkett (15),.5497,R
360,360.,Bill Campbell (15),.5497,R
361,362.,Dutch Leonard (11),.5494,L
362,363.,Mudcat Grant (14),.5492,R
363,364.,Jim Bunning+ (17),.5490,R
364,364.,Dan Quisenberry (12),.5490,R
