,Rank,"Player (yrs, age)",Range Factor/Game as RF (s.1901),Throws
0,1.,Lance Richbourg (8),2.375,R
1,2.,Cliff Heathcote (15),2.273,L
2,3.,Billy Southworth+ (13),2.253,R
3,4.,Tony Armas (14),2.234,R
4,5.,"Mookie Betts (7, 27)",2.228,R
5,6.,Rob Deer (11),2.226,R
6,7.,Tim Salmon (14),2.218,R
7,8.,Austin Kearns (12),2.206,R
8,9.,Curt Walker (12),2.202,R
9,10.,Kiki Cuyler+ (18),2.191,R
10,11.,Jesse Barfield (12),2.185,R
11,12.,Mark Whiten (11),2.176,R
12,13.,Ival Goodman (10),2.164,R
13,14.,"Giancarlo Stanton (11, 30)",2.159,R
14,15.,Matt Lawton (12),2.134,R
15,16.,Paul Waner+ (20),2.131,L
16,17.,Brian Jordan (15),2.130,R
17,18.,Dwight Evans (20),2.104,R
18,19.,Dave Parker (19),2.103,R
19,20.,Sixto Lezcano (12),2.102,R
20,21.,Hunter Pence (14),2.098,R
21,22.,Leon Roberts (11),2.092,R
22,23.,Ichiro Suzuki (19),2.084,R
23,24.,Dale Murphy (18),2.072,R
24,25.,David Justice (14),2.070,L
25,26.,Tom Brunansky (14),2.068,R
26,27.,"Shin-Soo Choo (16, 37)",2.064,L
27,28.,George Harper (11),2.063,R
28,29.,"Nelson Cruz (16, 39)",2.062,R
29,29.,Glenn Wilson (10),2.062,R
30,31.,Bake McBride (11),2.061,R
31,32.,Wally Moses (17),2.060,L
32,33.,Wally Post (15),2.059,R
33,34.,Sammy Sosa (18),2.057,R
34,35.,Bobby Bonds (14),2.052,R
35,36.,Vladimir Guerrero+ (16),2.051,R
36,37.,Tony Oliva (15),2.049,R
37,38.,Roberto Clemente+ (18),2.045,R
38,38.,Reggie Sanders (17),2.045,R
39,40.,Tommy Holmes (11),2.035,L
40,41.,"Jay Bruce (13, 33)",2.033,L
41,41.,Cory Snyder (9),2.033,R
42,43.,"Justin Upton (14, 32)",2.030,R
43,44.,"Kole Calhoun (9, 32)",2.028,L
44,45.,Jose Canseco (17),2.021,R
45,46.,Bing Miller (16),2.020,R
46,47.,Raul Mondesi (13),2.018,R
47,48.,Alex Rios (12),2.014,R
48,49.,Bob Allison (13),2.013,R
49,50.,Dave Winfield+ (22),2.010,R
50,51.,Babe Ruth+ (22),2.009,L
51,52.,Jack Clark (18),2.004,R
52,53.,Chuck Klein+ (17),1.999,R
53,54.,"Nick Markakis (15, 36)",1.998,L
54,55.,Hank Aaron+ (23),1.996,R
55,56.,Jermaine Dye (14),1.995,R
56,57.,Dan Ford (11),1.989,R
57,58.,Jeff Francoeur (12),1.981,R
58,58.,Carl Reynolds (13),1.981,R
59,60.,Chief Wilson (9),1.980,R
60,61.,Buddy Lewis (11),1.976,R
61,62.,Al Kaline+ (22),1.975,R
62,62.,Paul O'Neill (17),1.975,L
63,62.,Sam Rice+ (20),1.975,R
64,65.,Johnny Callison (16),1.974,R
65,65.,Reggie Smith (17),1.974,R
66,67.,Jacque Jones (10),1.973,L
67,68.,Bobby Higginson (11),1.972,R
68,69.,Harold Baines+ (22),1.970,L
69,70.,Mike Mitchell (8),1.969,R
70,71.,Jackie Jensen (11),1.964,R
71,72.,Randy Winn (13),1.963,R
72,73.,Babe Herman (13),1.960,L
73,74.,Tony Gwynn+ (20),1.959,L
74,75.,Willard Marshall (11),1.957,R
75,76.,Pete Rose (24),1.956,R
76,77.,Mike Davis (10),1.952,L
77,78.,Corey Hart (11),1.951,R
78,79.,Brian Giles (15),1.949,L
79,80.,Jayson Werth (15),1.948,R
80,81.,Tommy Henrich (11),1.945,L
81,82.,Bobby Abreu (18),1.941,R
82,82.,"Avisail Garcia (9, 29)",1.941,R
83,84.,Ellis Valentine (10),1.933,R
84,85.,Reggie Jackson+ (21),1.932,L
85,86.,Ross Youngs+ (10),1.930,R
86,87.,Al Cowens (13),1.928,R
87,88.,Shawn Green (15),1.924,L
88,89.,Del Ennis (14),1.919,R
89,90.,Dante Bichette (14),1.914,R
90,91.,Vic Wertz (17),1.913,R
91,92.,Ruben Sierra (20),1.912,R
92,93.,Rusty Staub (23),1.910,R
