,Rank,"Player (yrs, age)",Total Zone Runs as LF (s.1953),Throws
0,1.,Barry Bonds (22),184,L
1,2.,Carl Yastrzemski+ (23),135,R
2,3.,"Alex Gordon (14, 36)",122,R
3,4.,Garret Anderson (17),95,L
4,5.,Carl Crawford (15),81,L
5,6.,Willie Wilson (19),78,R
6,7.,Luis Gonzalez (19),70,R
7,8.,Bernard Gilkey (12),66,R
8,9.,Jose Cruz (19),65,L
9,10.,Ron Gant (16),60,R
10,11.,Rickey Henderson+ (25),58,L
11,12.,Johnny Damon (18),53,L
12,13.,Pete Rose (24),52,R
13,13.,Roy White (15),52,R
14,15.,Darin Erstad (14),50,L
15,15.,Joe Rudi (16),50,R
16,15.,B.J. Surhoff (19),50,R
17,18.,Warren Cromartie (10),47,L
18,19.,"Brett Gardner (13, 36)",46,L
19,20.,Rocky Colavito (14),43,R
20,21.,David DeJesus (13),42,L
21,21.,Alfonso Soriano (16),42,R
22,23.,Geoff Jenkins (11),40,R
23,24.,Eric Byrnes (11),38,R
24,24.,Charlie Maxwell (14),38,L
25,24.,Gary Ward (12),38,R
26,27.,Larry Herndon (14),37,R
27,28.,Monte Irvin+ (8),34,R
28,29.,Coco Crisp (15),32,R
29,29.,Ryan Langerhans (11),32,L
30,31.,Frank Robinson+ (21),30,R
31,32.,Bill Buckner (22),29,L
32,32.,Reed Johnson (13),29,R
33,32.,Gerardo Parra (11),29,L
34,35.,Juan Pierre (14),28,L
35,35.,Jim Rice+ (16),28,R
36,37.,Minnie Minoso (17),27,R
37,38.,"Michael Conforto (6, 27)",26,R
38,38.,Mike Felder (10),26,R
39,38.,Jay Payton (12),26,R
40,38.,Greg Vaughn (15),26,R
41,42.,Gene Stephens (12),25,R
42,43.,Felipe Alou (17),24,R
43,43.,Jose Cruz (12),24,R
44,43.,Tony Gonzalez (12),24,R
45,43.,Laynce Nix (11),24,L
46,43.,Tony Phillips (18),24,R
47,48.,Brady Anderson (15),23,L
48,48.,Mike Greenwell (12),23,R
49,48.,Rondell White (15),23,R
50,48.,Randy Winn (13),23,R
51,52.,"Andrew Benintendi (5, 25)",22,L
52,52.,Cliff Floyd (17),22,R
53,52.,Sam Fuld (8),22,L
54,52.,Troy O'Leary (11),22,L
55,56.,Dave Collins (16),21,L
56,56.,Jim Gilliam (14),21,R
57,56.,Carmelo Martinez (9),21,R
58,56.,Scott Podsednik (11),21,L
59,56.,Bip Roberts (12),21,R
60,56.,Lonnie Smith (17),21,R
61,56.,Jayson Werth (15),21,R
62,63.,Don Buford (10),20,R
63,63.,George Foster (18),20,R
64,65.,Mickey Hatcher (12),19,R
65,65.,Dave Roberts (10),19,L
66,67.,"Adam Duvall (7, 31)",18,R
67,67.,Chris Heisey (8),18,R
68,67.,Brian Jordan (15),18,R
69,67.,Jim King (11),18,R
70,67.,"Marcell Ozuna (8, 29)",18,R
71,67.,"David Peralta (7, 32)",18,L
72,67.,Jason Tyner (8),18,L
73,67.,"Christian Yelich (8, 28)",18,R
74,75.,Danny Bautista (12),17,R
75,75.,Chris Denorfia (10),17,R
76,75.,"Corey Dickerson (8, 31)",17,R
77,75.,Juan Encarnacion (11),17,R
78,75.,Tommy Harper (15),17,R
79,75.,Lou Johnson (8),17,R
80,75.,Lee Lacy (16),17,R
81,75.,Gene Richards (8),17,L
82,75.,F.P. Santangelo (7),17,R
83,75.,Andres Torres (9),17,R
84,85.,Brett Butler (17),16,L
85,85.,Marlon Byrd (15),16,R
86,85.,"Ender Inciarte (7, 29)",16,L
87,85.,Gregg Jefferies (14),16,R
88,85.,Matt Murton (5),16,R
89,85.,Irv Noren (11),16,L
90,85.,Jim Northrup (12),16,R
91,85.,Eric Owens (9),16,R
92,85.,Dan Pasqua (10),16,L
93,85.,Shane Spencer (7),16,R
94,85.,Jose Tabata (6),16,R
95,85.,Gary Thomasson (9),16,L
96,97.,Gates Brown (13),15,R
97,97.,Chris Burke (6),15,R
98,97.,Jeff Conine (17),15,R
99,97.,Tom Goodwin (14),15,R
100,97.,Desmond Jennings (7),15,R
101,97.,"Matthew Joyce (13, 35)",15,R
102,103.,Jason Botts (4),14,R
103,103.,Jerald Clark (7),14,R
104,103.,Aubrey Huff (13),14,R
105,103.,Mike Lum (15),14,L
106,103.,Darryl Motley (6),14,R
107,103.,Angel Pagan (11),14,R
108,103.,Tommie Reynolds (8),14,R
109,103.,Bobby Smith (7),14,R
110,103.,Milt Thompson (13),14,R
111,103.,Bobby Thomson (15),14,R
112,103.,Eric Young Jr. (10),14,R
113,114.,Oscar Azocar (3),13,L
114,114.,Lance Berkman (15),13,L
115,114.,Darren Bragg (11),13,R
116,114.,Bobby Clark (7),13,R
117,114.,Dan Gladden (11),13,R
118,114.,Jimmie Hall (8),13,R
119,114.,Thomas Howard (11),13,R
120,114.,Shane Mack (9),13,R
121,114.,Reid Nichols (8),13,R
122,114.,"Chad Pinder (5, 28)",13,R
123,114.,Martin Prado (14),13,R
124,114.,Rick Reichardt (11),13,R
125,114.,Gary Roenicke (12),13,R
126,114.,Billy Sample (9),13,R
127,114.,Ken Singleton (15),13,R
128,114.,Charles Thomas (2),13,L
129,114.,Scott Van Slyke (6),13,R
130,131.,Sandy Amoros (7),12,L
131,131.,Ken Berry (14),12,R
132,131.,"Mark Canha (6, 31)",12,R
133,131.,Bernie Carbo (12),12,R
134,131.,"Yoenis Céspedes (8, 34)",12,R
135,131.,Jim Eisenreich (15),12,L
136,131.,Doug Glanville (9),12,R
137,131.,Josh Hamilton (9),12,L
138,131.,Larry Hisle (14),12,R
139,131.,Rex Hudler (13),12,R
140,131.,Cleon Jones (13),12,L
141,131.,Mark McLemore (19),12,R
142,131.,Melvin Mora (13),12,R
143,131.,"Tyler O'Neill (3, 25)",12,R
144,131.,Timo Perez (8),12,L
145,131.,Tom Poquette (7),12,R
146,131.,Merv Rettenmund (13),12,R
147,131.,Lee Tinsley (5),12,R
148,131.,Turner Ward (12),12,R
149,131.,Gerald Williams (14),12,R
150,151.,Steve Brye (9),11,R
151,151.,Billy Conigliaro (5),11,R
152,151.,Jose Constanza (4),11,L
153,151.,Lew Ford (6),11,R
154,151.,Ed Kirkpatrick (16),11,R
155,151.,Darnell McDonald (7),11,R
156,151.,Reggie Sanders (17),11,R
157,151.,Al Smith (12),11,R
158,151.,"Justin Upton (14, 32)",11,R
159,151.,Alan Wiggins (7),11,R
160,151.,Walt Williams (10),11,R
161,162.,Roger Bernadina (7),10,L
162,162.,Al Bumbry (14),10,R
163,162.,Matt Diaz (11),10,R
164,162.,Austin Kearns (12),10,R
165,162.,Andy Kosco (10),10,R
166,162.,"Nick Markakis (15, 36)",10,L
167,162.,Walt Moryn (8),10,R
168,162.,Otis Nixon (17),10,R
169,162.,Jim Piersall (17),10,R
170,162.,Jackie Robinson+ (10),10,R
171,162.,Ryan Rua (5),10,R
172,162.,Michael Saunders (9),10,R
173,162.,"Kyle Schwarber (6, 27)",10,R
174,162.,Terrmel Sledge (4),10,L
175,162.,Jose Tartabull (9),10,L
176,162.,"Chris Taylor (7, 29)",10,R
177,162.,Cesar Tovar (12),10,R
178,162.,Mike Vail (10),10,R
179,162.,Pete Whisenant (8),10,R
180,162.,Reggie Willits (6),10,R
181,162.,Mookie Wilson (12),10,R
182,183.,Sam Bowens (7),9,R
183,183.,Jackie Brandt (11),9,R
184,183.,"Kris Bryant (6, 28)",9,R
185,183.,Ryan Church (7),9,L
186,183.,Don Demeter (11),9,R
187,183.,"Delino DeShields (6, 27)",9,R
188,183.,"Jarrod Dyson (11, 35)",9,R
189,183.,Pedro Feliz (11),9,R
190,183.,"Marwin Gonzalez (9, 31)",9,R
191,183.,Willie Harris (12),9,R
192,183.,"Guillermo Heredia (5, 29)",9,L
193,183.,"JaCoby Jones (5, 28)",9,R
194,183.,Darren Lewis (13),9,R
195,183.,Don Lock (8),9,R
196,183.,David Lough (5),9,L
197,183.,Gary Matthews (12),9,R
198,183.,Joe McEwing (9),9,R
199,183.,Dustan Mohr (7),9,R
200,183.,Nyjer Morgan (7),9,L
201,183.,Curt Motton (8),9,R
202,183.,David Murphy (10),9,L
203,183.,Stan Musial+ (22),9,L
204,183.,"Danny Santana (7, 29)",9,R
205,183.,Tony Scott (11),9,R
206,183.,Tom Tresh (9),9,R
207,183.,Gene Woodling (17),9,R
208,183.,Mike Young (8),9,R
209,210.,Richie Ashburn+ (15),8,R
210,210.,John Cangelosi (13),8,L
211,210.,Henry Cotto (10),8,R
212,210.,Jim Dwyer (18),8,L
213,210.,Jacoby Ellsbury (11),8,L
214,210.,Curtis Goodwin (5),8,L
215,210.,Jesus Guzman (5),8,R
216,210.,Scott Hairston (11),8,R
217,210.,Darrin Jackson (12),8,R
218,210.,Charlie James (6),8,R
219,210.,Kelly Johnson (11),8,R
220,210.,Jacque Jones (10),8,L
221,210.,Lynn Jones (8),8,R
222,210.,Mike Jorgensen (17),8,L
223,210.,Fred Lewis (7),8,R
224,210.,Rufino Linares (4),8,R
225,210.,John Mabry (14),8,R
226,210.,Chris Magruder (5),8,R
227,210.,"Starling Marte (9, 31)",8,R
228,210.,Jerry Martin (11),8,R
229,210.,Derrick May (10),8,R
230,210.,Dale Murphy (18),8,R
231,210.,Alex Ochoa (8),8,R
232,210.,Al Oliver (18),8,L
233,210.,Andy Pafko (17),8,R
234,210.,Bubba Phillips (10),8,R
235,210.,"Albert Pujols (20, 40)",8,R
236,210.,Logan Schafer (6),8,L
237,210.,Chris Stynes (10),8,R
238,210.,Nick Swisher (12),8,L
239,210.,Don Taussig (3),8,R
240,210.,"Michael A. Taylor (7, 29)",8,R
241,210.,Richie Zisk (13),8,R
242,243.,Tommie Agee (12),7,R
243,243.,George Alusik (5),7,R
244,243.,Ruben Amaro (8),7,R
245,243.,Lance Blankenship (6),7,R
246,243.,Curt Blefary (8),7,R
247,243.,Bobby Brown (7),7,R
248,243.,Cesar Cedeno (17),7,R
249,243.,Bob Cerv (12),7,R
250,243.,Vic Davalillo (16),7,L
251,243.,"Nicky Delmonico (4, 27)",7,R
252,243.,Dave Edwards (5),7,R
253,243.,Jim Greengrass (5),7,R
254,243.,"Randal Grichuk (7, 28)",7,R
255,243.,Tony Gwynn (8),7,R
256,243.,Jerry Hairston (14),7,R
257,243.,Richard Hidalgo (9),7,R
258,243.,Wilbur Howard (6),7,R
259,243.,"Eloy Jimenez (2, 23)",7,R
260,243.,Tito Landrum (9),7,R
261,243.,Todd Linden (5),7,R
262,243.,Whitey Lockman (15),7,R
263,243.,Al Luplow (7),7,R
264,243.,"Austin Meadows (3, 25)",7,L
265,243.,Wally Moon (12),7,R
266,243.,Daniel Nava (7),7,L
267,243.,Lenny Randle (12),7,R
268,243.,Hal Rice (7),7,R
269,243.,Bombo Rivera (6),7,R
270,243.,Leon Roberts (11),7,R
271,243.,Derrick Robinson (1),7,L
272,243.,"Andrew Romine (10, 34)",7,R
273,243.,Art Shamsky (8),7,L
274,243.,"Mike Trout (10, 28)",7,R
275,243.,Denny Walling (18),7,R
276,243.,Claudell Washington (17),7,L
277,243.,Devon White (17),7,R
278,243.,Chris Young (13),7,R
279,280.,Jim Adduci (5),6,L
280,280.,Mike Aldrete (10),6,L
281,280.,"Greg Allen (4, 27)",6,R
282,280.,Bob Allison (13),6,R
283,280.,Matty Alou (15),6,L
284,280.,Bruce Aven (5),6,R
285,280.,Bob Bailor (11),6,R
286,280.,Rob Butler (4),6,L
287,280.,Freddie Bynum (4),6,R
