,Rank,"Player (yrs, age)",Putouts as OF,Throws
0,1.,Willie Mays+ (22),7095,R
1,2.,Tris Speaker+ (22),6788,L
2,3.,Rickey Henderson+ (25),6468,L
3,4.,Max Carey+ (20),6363,R
4,5.,Ty Cobb+ (24),6361,R
5,6.,Richie Ashburn+ (15),6089,R
6,7.,Steve Finley (19),5664,L
7,8.,Barry Bonds (22),5637,L
8,9.,Ken Griffey Jr.+ (22),5606,L
9,10.,Hank Aaron+ (23),5539,R
10,11.,Willie Davis (18),5449,L
11,12.,Doc Cramer (20),5412,R
12,13.,Brett Butler (17),5296,L
13,14.,Torii Hunter (19),5263,R
14,15.,Andre Dawson+ (21),5158,R
15,16.,Carlos Beltran (20),5155,R
16,17.,Vada Pinson (18),5097,L
17,18.,Willie Wilson (19),5060,R
18,19.,Al Kaline+ (22),5035,R
19,20.,Ichiro Suzuki (19),5022,R
20,21.,Zack Wheat+ (19),4996,R
21,22.,Chet Lemon (16),4993,R
22,23.,Al Simmons+ (20),4988,R
23,24.,Dave Winfield+ (22),4975,R
24,25.,Mike Cameron (17),4954,R
25,25.,Andruw Jones (17),4954,R
26,27.,Amos Otis (17),4936,R
27,28.,Marquis Grissom (17),4880,R
28,29.,Paul Waner+ (20),4872,L
29,30.,Lloyd Waner+ (18),4860,R
30,31.,Kenny Lofton (17),4856,L
31,32.,Fred Clarke+ (21),4795,R
32,33.,Goose Goslin+ (18),4792,R
33,34.,Sam Rice+ (20),4774,R
34,35.,Devon White (17),4739,R
35,36.,Johnny Damon (18),4717,L
36,37.,Bernie Williams (16),4710,R
37,38.,Roberto Clemente+ (18),4696,R
38,39.,Fred Lynn (17),4556,L
39,40.,Edd Roush+ (18),4537,L
40,41.,Jim Edmonds (17),4536,L
41,42.,Sammy Sosa (18),4522,R
42,43.,Joe DiMaggio+ (13),4516,R
43,44.,Tony Gwynn+ (20),4512,L
44,45.,Mel Ott+ (22),4511,R
45,46.,Luis Gonzalez (19),4482,R
46,47.,Garry Maddox (15),4449,R
47,48.,Babe Ruth+ (22),4444,L
48,49.,Mickey Mantle+ (18),4438,R
49,50.,Lou Brock+ (19),4394,L
50,51.,Kirby Puckett+ (12),4392,R
51,52.,Jose Cruz (19),4391,L
52,53.,Dwight Evans (20),4371,R
53,54.,Paul Blair (17),4343,R
54,55.,Sam West (16),4300,L
55,56.,Adam Jones (14),4272,R
56,57.,Willie McGee (18),4260,R
57,58.,Jimmy Sheckard (17),4203,R
58,59.,Tim Raines+ (23),4201,R
59,60.,Curtis Granderson (16),4183,R
60,61.,Cy Williams (19),4180,L
61,62.,Ted Williams+ (19),4158,R
62,63.,Cesar Cedeno (17),4131,R
63,64.,"Nick Markakis (15, 36)",4129,L
64,65.,Duke Snider+ (18),4099,R
65,66.,Clyde Milan (16),4095,R
66,67.,Reggie Jackson+ (21),4062,L
67,68.,Garret Anderson (17),4057,L
68,69.,Dale Murphy (18),4053,R
69,70.,Kiki Cuyler+ (18),4034,R
70,71.,Curt Flood (15),4021,R
71,72.,Bob Johnson (13),4003,R
72,73.,Wally Moses (17),4000,L
73,74.,Joe Medwick+ (17),3994,R
74,75.,Harry Hooper+ (17),3981,R
75,76.,Frank Robinson+ (21),3978,R
76,77.,Earl Averill+ (13),3968,R
77,78.,Dummy Hoy (14),3964,R
78,79.,Jesse Burkett+ (16),3961,L
79,80.,Bobby Abreu (18),3952,R
80,81.,Carl Yastrzemski+ (23),3941,R
81,82.,Enos Slaughter+ (19),3925,R
82,83.,George Burns (15),3918,R
83,84.,Jim Wynn (15),3912,R
84,85.,Bill Bruton (12),3905,R
85,86.,Juan Pierre (14),3879,L
86,87.,Dom DiMaggio (11),3859,R
87,88.,Jim Piersall (17),3851,R
88,89.,Heinie Manush+ (17),3841,L
89,90.,Rick Manning (13),3831,R
90,91.,George Foster (18),3809,R
91,92.,Sherry Magee (16),3800,R
92,93.,Dave Parker (19),3791,R
93,94.,Bill Virdon (12),3777,R
94,95.,Lloyd Moseby (12),3765,R
95,96.,Bobby Veach (14),3754,R
96,97.,George Hendrick (18),3751,R
97,98.,Dode Paskert (15),3734,R
98,99.,Stan Musial+ (22),3730,L
99,100.,Vernon Wells (15),3726,R
100,101.,Paul O'Neill (17),3724,L
101,102.,Brady Anderson (15),3713,L
102,103.,Jimmy Ryan (18),3701,L
103,104.,Randy Winn (13),3686,R
104,105.,Reggie Smith (17),3676,R
105,106.,Joe Carter (16),3669,R
106,107.,Dusty Baker (19),3663,R
107,108.,Gee Walker (15),3661,R
108,109.,Bobby Bonds (14),3659,R
109,110.,Tom Brown (17),3636,R
110,111.,Sam Crawford+ (19),3626,L
111,112.,Del Ennis (14),3621,R
112,113.,Larry Doby+ (13),3616,R
113,114.,Fielder Jones (15),3580,R
114,115.,Sam Chapman (11),3579,R
115,115.,Dwayne Murphy (12),3579,R
116,117.,Jose Cardenal (18),3565,R
117,118.,Bobby Thomson (15),3563,R
118,119.,Billy Williams+ (18),3562,R
119,120.,Mike Griffin (12),3543,R
120,121.,Rick Monday (19),3534,L
