,Rank,"Player (yrs, age)",Batting Average,Bats
0,1.,Ty Cobb+ (24),.3662,L
1,2.,Rogers Hornsby+ (23),.3585,R
2,3.,Shoeless Joe Jackson (13),.3558,L
3,4.,Lefty O'Doul (11),.3493,L
4,5.,Ed Delahanty+ (16),.3458,R
5,6.,Tris Speaker+ (22),.3447,L
6,7.,Billy Hamilton+ (14),.3444,L
7,7.,Ted Williams+ (19),.3444,L
8,9.,Dan Brouthers+ (19),.3424,L
9,10.,Babe Ruth+ (22),.3421,L
10,11.,Dave Orr (8),.3420,R
11,12.,Harry Heilmann+ (17),.3416,R
12,13.,Pete Browning (13),.3415,R
13,14.,Willie Keeler+ (19),.3413,L
14,15.,Bill Terry+ (14),.3412,L
15,16.,Lou Gehrig+ (17),.3401,L
16,16.,George Sisler+ (15),.3401,L
17,18.,Jesse Burkett+ (16),.3382,L
18,18.,Tony Gwynn+ (20),.3382,L
19,18.,Nap Lajoie+ (21),.3382,R
20,21.,Jake Stenzel (9),.3378,R
21,22.,Riggs Stephenson (14),.3361,R
22,23.,Al Simmons+ (20),.3342,R
23,24.,Cap Anson+ (27),.3341,R
24,25.,John McGraw+ (17),.3336,L
25,26.,Eddie Collins+ (25),.3332,L
26,26.,Paul Waner+ (20),.3332,L
27,28.,Mike Donlin (12),.3326,L
28,29.,Sam Thompson+ (15),.3314,L
29,30.,Stan Musial+ (22),.3308,L
30,31.,Bill Lange (7),.3298,R
31,31.,Heinie Manush+ (17),.3298,L
32,33.,Wade Boggs+ (18),.3279,L
33,34.,Rod Carew+ (19),.3278,L
34,35.,Honus Wagner+ (21),.3276,R
35,36.,Tip O'Neill (10),.3260,R
36,37.,Hugh Duffy+ (17),.3255,R
37,37.,Bob Fothergill (12),.3255,R
38,39.,Jimmie Foxx+ (20),.3253,R
39,40.,Earle Combs+ (12),.3247,L
40,41.,Joe DiMaggio+ (13),.3246,R
41,42.,Babe Herman (13),.3245,L
42,43.,Joe Medwick+ (17),.3236,R
43,44.,Edd Roush+ (18),.3227,L
44,45.,Sam Rice+ (20),.3223,L
45,46.,Ross Youngs+ (10),.3222,L
46,47.,Kiki Cuyler+ (18),.3210,R
47,48.,Charlie Gehringer+ (19),.3204,L
48,49.,Chuck Klein+ (17),.3201,L
49,50.,Mickey Cochrane+ (13),.3196,L
50,50.,Pie Traynor+ (17),.3196,R
51,52.,Ken Williams (14),.3192,L
52,53.,Kirby Puckett+ (12),.3181,R
53,54.,Earl Averill+ (13),.3178,L
54,55.,Vladimir Guerrero+ (16),.3176,R
55,55.,Arky Vaughan+ (14),.3176,L
