,Rank,"Player (yrs, age)",Def. Games as RF (s.1901),Throws
134,135.,Corey Hart (11),751,R
135,136.,Dale Murphy (18),749,R
136,136.,Nick Swisher (12),749,L
137,138.,Mike Hershberger (11),745,R
138,139.,Felipe Alou (17),737,R
139,140.,Dave Martinez (16),735,L
140,141.,Ron Fairly (21),731,L
141,142.,Tony Conigliaro (8),730,R
142,143.,Homer Summa (10),729,R
143,144.,Mike Davis (10),727,L
144,144.,Elmer Smith (10),727,R
145,146.,Cliff Heathcote (15),726,L
146,146.,Red Murray (11),726,R
147,148.,Torii Hunter (19),724,R
148,149.,Floyd Robinson (9),722,R
149,150.,Jim Northrup (12),719,R
150,150.,Dave Philley (18),719,R
151,152.,Pat Kelly (15),717,L
152,153.,Willie Keeler+ (19),716,L
153,154.,Taffy Wright (9),714,R
154,155.,Ty Cobb+ (24),709,R
155,156.,Jim King (11),706,R
156,157.,Harry Lumley (7),700,L
157,158.,Bobby Bonilla (16),698,R
158,159.,Mark Whiten (11),695,R
159,160.,"Carlos Gonzalez (12, 34)",693,L
160,161.,Johnny Wyrostek (11),688,R
161,162.,Candy Maldonado (15),687,R
162,163.,Gus Bell (15),684,R
163,164.,Jose Canseco (17),679,R
164,164.,Sam Mele (10),679,R
165,166.,George Browne (12),674,R
166,167.,Al Smith (12),673,R
167,168.,Jesus Alou (15),670,R
168,169.,Joe Orsulak (14),669,L
169,170.,Mike Marshall (11),657,R
170,171.,Willie Crawford (14),654,L
171,172.,Al Zarilla (10),653,R
172,173.,Bobby Higginson (11),642,R
173,174.,"Mookie Betts (7, 27)",637,R
174,175.,Nate Schierholtz (8),633,R
175,176.,Bob Allison (13),631,R
176,176.,Carlos Beltran (20),631,R
177,178.,Felix Jose (11),629,R
178,179.,Joe Carter (16),625,R
179,180.,Jim Eisenreich (15),624,L
180,181.,Tony Armas (14),623,R
181,182.,Orlando Merced (13),617,R
182,183.,Buddy Lewis (11),611,R
183,184.,George Harper (11),607,R
184,185.,"Gregory Polanco (7, 28)",605,L
185,185.,Lance Richbourg (8),605,R
186,187.,Moises Alou (17),603,R
187,187.,Lou Clinton (8),603,R
188,189.,Danny Murphy (16),601,R
