,Rank,"Player (yrs, age)",Double Plays Turned as RF (s.1901),Throws
0,1.,Harry Hooper+ (17),85,R
1,2.,Mel Ott+ (22),59,R
2,3.,Sam Rice+ (20),55,R
3,4.,Paul Waner+ (20),53,L
4,5.,Curt Walker (12),46,R
5,6.,Jesse Barfield (12),45,R
6,6.,Ross Youngs+ (10),45,R
7,8.,Dwight Evans (20),42,R
8,8.,Chief Wilson (9),42,R
9,10.,Hank Aaron+ (23),40,R
10,10.,Roberto Clemente+ (18),40,R
11,10.,Tommy Griffith (13),40,R
12,10.,Larry Walker+ (17),40,R
13,14.,Bobby Bonds (14),38,R
14,14.,Harry Heilmann+ (17),38,R
15,14.,Mike Mitchell (8),38,R
16,14.,John Titus (11),38,L
17,18.,Frank Schulte (15),37,R
18,19.,Chuck Klein+ (17),36,R
19,20.,Sam Crawford+ (19),35,L
20,21.,Cliff Heathcote (15),34,L
21,22.,Kiki Cuyler+ (18),33,R
22,22.,Wally Moses (17),33,L
23,22.,Rusty Staub (23),33,R
24,22.,Casey Stengel+ (14),33,L
25,26.,Vladimir Guerrero+ (16),32,R
26,27.,Shano Collins (16),31,R
27,28.,Jermaine Dye (14),30,R
28,28.,Harry Lumley (7),30,L
29,28.,Jack Tobin (13),30,L
30,31.,George Browne (12),29,R
31,31.,Johnny Callison (16),29,R
32,31.,Enos Slaughter+ (19),29,R
33,34.,Tom Brunansky (14),28,R
34,34.,Ty Cobb+ (24),28,R
35,34.,Steve Evans (8),28,L
36,34.,Max Flack (12),28,L
37,34.,Al Kaline+ (22),28,R
38,34.,Bob Meusel (11),28,R
39,34.,Elmer Smith (10),28,R
40,41.,Bruce Campbell (13),27,R
41,41.,Tommy Henrich (11),27,L
42,41.,Dave Parker (19),27,R
43,41.,Billy Southworth+ (13),27,R
44,41.,Dave Winfield+ (22),27,R
45,46.,Jose Bautista (15),26,R
46,46.,Jay Buhner (15),26,R
47,46.,Gavvy Cravath (11),26,R
48,46.,Reggie Jackson+ (21),26,L
49,50.,Dante Bichette (14),25,R
50,50.,Jeff Francoeur (12),25,R
51,50.,Carl Furillo (15),25,R
52,50.,Tommy Holmes (11),25,L
53,50.,Sixto Lezcano (12),25,R
54,50.,Danny Moeller (7),25,R
55,50.,Ron Northey (12),25,R
56,57.,Jack Clark (18),24,R
57,57.,Jose Guillen (14),24,R
58,57.,Tony Gwynn+ (20),24,L
59,57.,Willard Marshall (11),24,R
60,61.,Shawn Green (15),23,L
61,61.,Babe Herman (13),23,L
62,61.,Tim Salmon (14),23,R
63,61.,Sammy Sosa (18),23,R
64,61.,Darryl Strawberry (17),23,L
65,61.,Dixie Walker (18),23,R
66,61.,Glenn Wilson (10),23,R
67,68.,Bing Miller (16),22,R
68,68.,Ruben Sierra (20),22,R
69,68.,Ichiro Suzuki (19),22,R
70,71.,Bobby Abreu (18),21,R
71,71.,Rocky Colavito (14),21,R
72,71.,George Harper (11),21,R
73,71.,Raul Mondesi (13),21,R
74,71.,Danny Murphy (16),21,R
75,71.,Bill Nicholson (16),21,R
76,71.,Socks Seybold (9),21,R
77,78.,Elmer Flick+ (13),20,R
78,78.,Willie Keeler+ (19),20,L
79,78.,Orlando Merced (13),20,R
80,78.,Paul O'Neill (17),20,L
81,78.,Tony Oliva (15),20,R
82,78.,Homer Summa (10),20,R
83,84.,"Jason Heyward (11, 30)",19,L
84,84.,Jackie Jensen (11),19,R
85,84.,Magglio Ordonez (15),19,R
86,84.,Braggo Roth (8),19,R
87,84.,Babe Ruth+ (22),19,L
88,89.,Jeromy Burnitz (14),18,R
89,89.,Rob Deer (11),18,R
90,89.,Wilbur Good (11),18,L
91,89.,Willie Kirkland (9),18,R
92,89.,Don Mueller (12),18,R
93,89.,Trot Nixon (12),18,L
94,89.,Ellis Valentine (10),18,R
95,89.,Vic Wertz (17),18,R
96,97.,Harold Baines+ (22),17,L
97,97.,"Jay Bruce (13, 33)",17,L
98,97.,Jeff Burroughs (16),17,R
99,97.,Al Cowens (13),17,R
100,97.,Roy Cullenbine (10),17,R
101,97.,Roy Johnson (10),17,R
102,97.,"Nick Markakis (15, 36)",17,L
103,97.,Stan Musial+ (22),17,L
104,97.,Reggie Smith (17),17,R
105,97.,Richie Zisk (13),17,R
106,107.,Hank Bauer (14),16,R
107,107.,Ira Flagstead (13),16,R
108,107.,Shoeless Joe Jackson (13),16,R
109,107.,"Gregory Polanco (7, 28)",16,L
110,107.,Frank Robinson+ (21),16,R
111,107.,Jack Smith (15),16,L
112,107.,Earl Webb (7),16,R
113,107.,Jayson Werth (15),16,R
114,107.,Taffy Wright (9),16,R
115,116.,Beau Bell (7),15,R
116,116.,Ollie Brown (13),15,R
117,116.,Andre Dawson+ (21),15,R
118,116.,Pete Fox (13),15,R
119,116.,Buddy Lewis (11),15,R
120,116.,Dave Martinez (16),15,L
121,116.,Red Murray (11),15,R
122,116.,Manny Ramirez (19),15,R
123,116.,Alex Rios (12),15,R
124,116.,Ken Singleton (15),15,R
125,116.,Frank Welch (9),15,R
126,116.,Jimmy Welsh (6),15,R
127,116.,Cy Williams (19),15,L
128,129.,Kevin Bass (14),14,R
129,129.,Derek Bell (11),14,R
130,129.,Gus Bell (15),14,R
131,129.,"Kole Calhoun (9, 32)",14,L
132,129.,Michael Cuddyer (15),14,R
133,129.,Mike Davis (10),14,L
134,129.,Greg Gross (17),14,L
135,129.,Greasy Neale (8),14,R
136,129.,Hunter Pence (14),14,R
137,129.,Terry Puhl (15),14,R
138,129.,Jim Rivera (10),14,L
139,129.,Cory Snyder (9),14,R
140,129.,Claudell Washington (17),14,L
141,129.,Al Zarilla (10),14,R
142,143.,Beals Becker (8),13,L
143,143.,Ben Chapman (15),13,R
144,143.,Frank Demaree (12),13,R
145,143.,Juan Gonzalez (17),13,R
146,143.,Ival Goodman (10),13,R
147,143.,Nemo Leibold (13),13,R
148,143.,Bris Lord (8),13,R
149,143.,Gene Moore (14),13,L
150,143.,Herbie Moran (7),13,R
151,143.,Dave Philley (18),13,R
152,143.,Wally Post (15),13,R
153,143.,"Josh Reddick (12, 33)",13,R
154,143.,Reggie Sanders (17),13,R
155,143.,Gary Sheffield (22),13,R
156,143.,Gus Williams (5),13,L
157,143.,Harry Wolter (7),13,R
158,159.,Bob Allison (13),12,R
159,159.,Moises Alou (17),12,R
160,159.,Bill Barrett (9),12,R
161,159.,Frank Baumholtz (10),12,L
162,159.,Jose Canseco (17),12,R
163,159.,Ron Fairly (21),12,L
164,159.,Oscar Gamble (17),12,R
165,159.,Ken Griffey (19),12,L
166,159.,George Hendrick (18),12,R
167,159.,Mike Hershberger (11),12,R
168,159.,Richard Hidalgo (9),12,R
169,159.,Torii Hunter (19),12,R
170,159.,Brian Jordan (15),12,R
171,159.,Austin Kearns (12),12,R
172,159.,Pat Kelly (15),12,L
173,159.,Lee Lacy (16),12,R
174,159.,Matt Lawton (12),12,R
175,159.,Bobby Murcer (17),12,R
176,159.,Carl Reynolds (13),12,R
177,159.,Harry Rice (10),12,R
178,159.,Dave Robertson (9),12,L
179,180.,Johnny Bates (9),11,L
180,180.,Al Burch (6),11,R
181,180.,George Burns (15),11,R
182,180.,"Shin-Soo Choo (16, 37)",11,L
183,180.,"Nelson Cruz (16, 39)",11,R
184,180.,Ray Demmitt (7),11,R
185,180.,Doc Gessler (8),11,L
186,180.,Brian Giles (15),11,L
187,180.,Grover Gilmore (2),11,L
188,180.,Roy Hartzell (11),11,R
189,180.,Bill Hinchman (10),11,R
190,180.,Bob Kennedy (16),11,R
191,180.,Roger Maris (12),11,R
192,180.,Doc Miller (5),11,L
193,180.,Eddie Murphy (11),11,R
194,180.,Ernie Orsatti (9),11,L
195,180.,Lance Richbourg (8),11,R
196,180.,Charlie Spikes (9),11,R
197,180.,Gee Walker (15),11,R
198,180.,George Watkins (7),11,R
199,180.,Chuck Workman (6),11,R
200,201.,Jose Cruz (12),10,R
201,201.,Frank Gilhooley (9),10,R
202,201.,Ed Hahn (6),10,R
203,201.,Baby Doll Jacobson (11),10,R
204,201.,Charlie Jamieson (18),10,L
205,201.,Geoff Jenkins (11),10,R
206,201.,"Max Kepler (6, 27)",10,L
207,201.,Dick Kokos (5),10,L
208,201.,Mark Kotsay (17),10,L
209,201.,Al Libke (2),10,R
210,201.,Bake McBride (11),10,R
211,201.,Johnny Moore (10),10,R
212,201.,Jerry Morales (15),10,R
213,201.,Joe Orsulak (14),10,L
214,201.,Jim Piersall (17),10,R
215,201.,Nate Schierholtz (8),10,R
216,201.,Jimmy Sebring (5),10,R
217,201.,Spike Shannon (5),10,R
218,201.,Doug Taitt (4),10,R
219,201.,Delmon Young (10),10,R
220,201.,Ben Zobrist (14),10,R
221,222.,Jesus Alou (15),9,R
222,222.,Tony Armas (14),9,R
223,222.,Carlos Beltran (20),9,R
224,222.,Lou Brock+ (19),9,L
225,222.,Marlon Byrd (15),9,R
226,222.,Ivan Calderon (10),9,R
227,222.,Ray Coleman (5),9,R
228,222.,Willie Crawford (14),9,L
229,222.,J.D. Drew (14),9,R
230,222.,Juan Encarnacion (11),9,R
231,222.,Dan Ford (11),9,R
232,222.,Walt French (6),9,R
233,222.,Jim King (11),9,R
