,Rank,"Player (yrs, age)",Range Factor/Game as CF (s.1901),Throws
0,1.,Taylor Douthit (11),3.088,R
1,2.,Richie Ashburn+ (15),3.008,R
2,3.,Dwayne Murphy (12),2.984,R
3,4.,Max Carey+ (20),2.961,R
4,5.,Jigger Statz (8),2.919,R
5,6.,Johnny Mostil (10),2.918,R
6,7.,Johnny Frederick (6),2.856,L
7,8.,Darin Erstad (14),2.844,L
8,9.,Chet Lemon (16),2.834,R
9,10.,Ruppert Jones (12),2.831,L
10,11.,Andre Dawson+ (21),2.820,R
11,12.,Happy Felsch (6),2.807,R
12,13.,Ira Flagstead (13),2.773,R
13,14.,Kirby Puckett+ (12),2.768,R
14,15.,Bill North (11),2.758,R
15,16.,Tom Oliver (4),2.746,R
16,17.,Dave Philley (18),2.744,R
17,18.,Baby Doll Jacobson (11),2.734,R
18,19.,Rick Manning (13),2.732,R
19,20.,Omar Moreno (12),2.731,L
20,21.,Sam Chapman (11),2.721,R
21,22.,Dom DiMaggio (11),2.717,R
22,23.,Gorman Thomas (13),2.707,R
23,24.,Robin Yount+ (20),2.703,R
24,25.,Garry Maddox (15),2.701,R
25,26.,Carlos Beltran (20),2.698,R
26,27.,Ray Powell (9),2.693,R
27,28.,Tris Speaker+ (22),2.688,L
28,29.,Mickey Rivers (15),2.671,L
29,30.,Mike Cameron (17),2.670,R
30,31.,Gary Pettis (11),2.669,R
31,31.,Sam Rice+ (20),2.669,R
32,33.,Amos Otis (17),2.664,R
33,34.,Fred Lynn (17),2.645,L
34,35.,Torii Hunter (19),2.644,R
35,36.,Andruw Jones (17),2.643,R
36,36.,Lloyd Waner+ (18),2.643,R
37,38.,Bobby Thomson (15),2.636,R
38,39.,Al Bumbry (14),2.632,R
39,39.,Jim Busby (13),2.632,R
40,41.,Ron LeFlore (9),2.630,R
41,42.,Jim Piersall (17),2.627,R
42,43.,Joe DiMaggio+ (13),2.621,R
43,44.,Fred Schulte (11),2.612,R
44,45.,Sam West (16),2.611,L
45,46.,Wally Berger (11),2.610,R
46,46.,Devon White (17),2.610,R
47,48.,Juan Beniquez (17),2.608,R
48,48.,Larry Doby+ (13),2.608,R
49,50.,Lee Mazzilli (14),2.605,R
50,51.,Tony Armas (14),2.599,R
51,51.,Lance Johnson (14),2.599,L
52,53.,Lenny Dykstra (12),2.597,L
53,53.,Edd Roush+ (18),2.597,L
54,55.,Dave Henderson (14),2.596,R
55,56.,Harry Craft (6),2.593,R
56,57.,Cy Williams (19),2.589,L
57,58.,"Lorenzo Cain (11, 34)",2.585,R
58,59.,Mike Devereaux (12),2.584,R
59,59.,Hi Myers (14),2.584,R
60,61.,Thurman Tucker (9),2.580,R
61,62.,Earl Averill+ (13),2.578,R
62,62.,Willie Wilson (19),2.578,R
63,62.,Randy Winn (13),2.578,R
64,65.,Al Oliver (18),2.577,L
65,66.,Gus Bell (15),2.576,R
66,66.,Leonys Martín (9),2.576,R
67,66.,Dave May (12),2.576,R
68,69.,Earle Combs+ (12),2.575,R
69,69.,Mike Kreevich (12),2.575,R
70,71.,Lloyd Moseby (12),2.573,R
71,72.,Stan Spence (9),2.571,L
72,73.,Burt Shotton (14),2.568,R
73,74.,Ethan Allen (13),2.562,R
74,75.,Jerry Mumphrey (15),2.561,R
75,76.,Mule Haas (12),2.556,R
76,76.,Mookie Wilson (12),2.556,R
77,78.,Cesar Cedeno (17),2.555,R
78,79.,Adam Jones (14),2.554,R
79,80.,Willie Mays+ (22),2.549,R
80,81.,Brett Butler (17),2.543,L
81,82.,Rick Miller (15),2.542,L
82,83.,Reggie Smith (17),2.540,R
83,84.,Chad Curtis (10),2.538,R
84,85.,Andy Van Slyke (13),2.535,R
85,86.,Willie McGee (18),2.533,R
86,87.,"Ender Inciarte (7, 29)",2.531,L
87,88.,Roy Thomas (13),2.529,L
88,89.,Bill Bruton (12),2.523,R
89,90.,Jim Edmonds (17),2.521,L
90,91.,Tommy Leach (19),2.519,R
91,92.,Al Simmons+ (20),2.511,R
92,93.,Ray Lankford (14),2.509,L
93,94.,"Kevin Kiermaier (8, 30)",2.504,R
94,95.,Bernie Williams (16),2.499,R
95,96.,Grady Sizemore (10),2.498,L
96,97.,Chili Davis (19),2.497,R
97,98.,Johnny Groth (15),2.494,R
98,99.,Denard Span (11),2.491,L
