,Rank,"Player (yrs, age)",Fielding % as RF (s.1901),Throws
0,1.,"Nick Markakis (15, 36)",.9938,L
1,2.,Terry Puhl (15),.9936,R
2,3.,Curtis Granderson (16),.9915,R
3,3.,Dave Martinez (16),.9915,L
4,3.,Ichiro Suzuki (19),.9915,R
5,6.,Pete Rose (24),.9914,R
6,7.,"Stephen Piscotty (6, 29)",.9908,R
7,8.,Nate Schierholtz (8),.9903,R
8,9.,"Mookie Betts (7, 27)",.9902,R
9,10.,Brian Jordan (15),.9897,R
10,11.,Andre Ethier (12),.9896,L
11,12.,Sam Mele (10),.9895,R
12,13.,Bake McBride (11),.9892,R
13,14.,"Jason Heyward (11, 30)",.9885,L
14,15.,Jay Buhner (15),.9883,R
15,15.,Jim Eisenreich (15),.9883,L
16,17.,Paul O'Neill (17),.9881,L
17,18.,Corey Hart (11),.9879,R
18,19.,Randy Winn (13),.9875,R
19,20.,Jacque Jones (10),.9872,L
20,21.,Alex Rios (12),.9871,R
21,22.,Tony Gwynn+ (20),.9868,L
22,22.,Richard Hidalgo (9),.9868,R
23,24.,Magglio Ordonez (15),.9867,R
24,25.,Dwight Evans (20),.9866,R
25,25.,Dave Philley (18),.9866,R
26,27.,"Carlos Gonzalez (12, 34)",.9865,L
27,27.,Matt Stairs (19),.9865,R
28,29.,Austin Kearns (12),.9864,R
29,29.,Frank Robinson+ (21),.9864,R
30,31.,Jayson Werth (15),.9861,R
31,32.,Tommy Holmes (11),.9858,L
32,32.,Hunter Pence (14),.9858,R
33,32.,Larry Walker+ (17),.9858,R
34,35.,Carlos Beltran (20),.9857,R
35,35.,Vada Pinson (18),.9857,L
36,35.,Michael Tucker (12),.9857,R
37,38.,Gus Bell (15),.9856,R
38,38.,Michael Cuddyer (15),.9856,R
39,40.,Shawn Green (15),.9855,L
40,41.,J.D. Drew (14),.9853,R
41,41.,Nick Swisher (12),.9853,L
42,43.,"George Springer (7, 30)",.9852,R
43,44.,Al Kaline+ (22),.9850,R
44,44.,Lee Lacy (16),.9850,R
45,46.,"Kole Calhoun (9, 32)",.9848,L
46,46.,Johnny Callison (16),.9848,R
47,48.,Danny Bautista (12),.9847,R
48,48.,Stan Musial+ (22),.9847,L
49,50.,Richie Zisk (13),.9844,R
50,51.,Tom Brunansky (14),.9842,R
51,51.,"Bryce Harper (9, 27)",.9842,R
52,53.,Joe Orsulak (14),.9841,L
53,54.,Torii Hunter (19),.9839,R
54,54.,Dave Winfield+ (22),.9839,R
55,56.,"Jay Bruce (13, 33)",.9838,L
56,56.,Will Venable (9),.9838,L
57,58.,Juan Gonzalez (17),.9837,R
58,58.,Matt Lawton (12),.9837,R
59,60.,Dale Murphy (18),.9835,R
60,60.,Reggie Sanders (17),.9835,R
61,62.,Roger Maris (12),.9834,R
62,63.,Mike Hershberger (11),.9833,R
63,63.,Trot Nixon (12),.9833,L
64,65.,Von Hayes (12),.9832,R
65,65.,Sixto Lezcano (12),.9832,R
66,65.,Don Mueller (12),.9832,R
67,68.,Tony Armas (14),.9831,R
68,69.,Frank Baumholtz (10),.9830,L
69,70.,Ron Fairly (21),.9829,L
70,70.,Bob Kennedy (16),.9829,R
71,70.,Floyd Robinson (9),.9829,R
72,73.,"Nelson Cruz (16, 39)",.9827,R
73,73.,Jeff Francoeur (12),.9827,R
74,75.,Al Cowens (13),.9826,R
75,76.,George Hendrick (18),.9825,R
76,77.,Jose Bautista (15),.9823,R
77,78.,Moises Alou (17),.9822,R
78,78.,Greg Gross (17),.9822,L
79,80.,Andre Dawson+ (21),.9821,R
80,81.,Bobby Abreu (18),.9820,R
81,81.,Felipe Alou (17),.9820,R
82,81.,Kevin Bass (14),.9820,R
83,81.,Jermaine Dye (14),.9820,R
84,81.,Yasiel Puig (7),.9820,R
85,86.,"Shin-Soo Choo (16, 37)",.9819,L
86,87.,"Gregory Polanco (7, 28)",.9817,L
87,87.,Cory Snyder (9),.9817,R
88,89.,Jim King (11),.9815,R
89,90.,Gary Sheffield (22),.9814,R
90,91.,Brian Giles (15),.9812,L
91,92.,Juan Encarnacion (11),.9811,R
92,93.,Felix Jose (11),.9810,R
93,93.,Willard Marshall (11),.9810,R
94,95.,Jesse Barfield (12),.9809,R
95,95.,Tony Conigliaro (8),.9809,R
96,97.,Lou Clinton (8),.9805,R
97,98.,Hank Aaron+ (23),.9801,R
98,98.,Hank Bauer (14),.9801,R
99,100.,"Josh Reddick (12, 33)",.9800,R
100,101.,Joe Carter (16),.9799,R
101,102.,"Avisail Garcia (9, 29)",.9797,R
102,102.,Ken Griffey (19),.9797,L
103,102.,Jerry Morales (15),.9797,R
104,102.,"Giancarlo Stanton (11, 30)",.9797,R
105,106.,Enos Slaughter+ (19),.9795,R
106,107.,Tommy Henrich (11),.9792,L
107,108.,Willie Crawford (14),.9791,L
108,109.,Orlando Merced (13),.9790,R
109,110.,Frank Demaree (12),.9789,R
110,111.,"Matthew Joyce (13, 35)",.9788,R
