,Rank,"Player (yrs, age)",Wins Above Replacement,Bats/Throws
0,1.,Babe Ruth+ (22),182.5,L
1,2.,Walter Johnson+ (21),164.5,R
2,3.,Cy Young+ (22),163.8,R
3,4.,Barry Bonds (22),162.8,L
4,5.,Willie Mays+ (22),156.2,R
5,6.,Ty Cobb+ (24),151.0,L
6,7.,Hank Aaron+ (23),143.1,R
7,8.,Roger Clemens (24),139.2,R
8,9.,Tris Speaker+ (22),134.2,L
9,10.,Honus Wagner+ (21),130.8,R
10,11.,Stan Musial+ (22),128.3,L
11,12.,Rogers Hornsby+ (23),127.1,R
12,13.,Eddie Collins+ (25),123.9,L
13,14.,Ted Williams+ (19),121.9,L
14,15.,Pete Alexander+ (20),119.0,R
15,16.,Alex Rodriguez (22),117.5,R
16,17.,Kid Nichols+ (15),116.3,B
17,18.,Lou Gehrig+ (17),114.1,L
18,19.,Rickey Henderson+ (25),111.2,R
19,20.,Mel Ott+ (22),110.7,L
20,21.,Mickey Mantle+ (18),110.2,B
21,22.,Tom Seaver+ (20),109.9,R
22,23.,Nap Lajoie+ (21),107.3,R
23,24.,Frank Robinson+ (21),107.2,R
24,25.,Mike Schmidt+ (18),106.9,R
25,26.,Lefty Grove+ (17),106.7,L
26,27.,Greg Maddux+ (23),106.6,R
27,28.,Christy Mathewson+ (17),106.0,R
28,29.,Randy Johnson+ (22),101.1,R
29,30.,"Albert Pujols (20, 40)",100.7,R
30,31.,Joe Morgan+ (22),100.5,L
31,32.,Warren Spahn+ (21),100.1,L
32,33.,Carl Yastrzemski+ (23),96.4,L
33,34.,Eddie Mathews+ (17),96.2,L
34,35.,Phil Niekro+ (24),95.9,R
35,35.,Cal Ripken Jr.+ (21),95.9,R
36,37.,Roberto Clemente+ (18),94.8,R
37,38.,Bert Blyleven+ (22),94.5,R
38,39.,Cap Anson+ (27),94.3,R
39,40.,Jimmie Foxx+ (20),93.9,R
40,41.,Adrian Beltre (21),93.6,R
41,42.,Al Kaline+ (22),92.8,R
42,43.,Wade Boggs+ (18),91.4,L
43,44.,Eddie Plank+ (17),91.0,L
44,45.,Steve Carlton+ (24),90.2,L
45,46.,Gaylord Perry+ (22),90.0,R
46,47.,Bob Gibson+ (17),89.2,R
47,48.,George Brett+ (21),88.6,L
48,49.,Tim Keefe+ (14),86.9,R
49,50.,Robin Roberts+ (19),86.1,B
50,51.,Chipper Jones+ (19),85.3,B
51,52.,George Davis+ (20),84.4,B
52,53.,Roger Connor+ (18),84.3,B
53,54.,Fergie Jenkins+ (19),84.2,R
54,55.,Pedro Martinez+ (18),83.9,R
55,56.,Charlie Gehringer+ (19),83.8,L
56,56.,Ken Griffey Jr.+ (22),83.8,L
57,58.,John Clarkson+ (12),83.2,R
58,59.,Mike Mussina+ (18),82.8,L
59,60.,Rod Carew+ (19),81.3,L
60,60.,Nolan Ryan+ (27),81.3,R
61,62.,Tom Glavine+ (22),80.7,L
62,63.,Jeff Bagwell+ (15),79.9,R
63,64.,Pete Rose (24),79.7,B
64,65.,Curt Schilling (20),79.5,R
65,66.,Joe DiMaggio+ (13),79.1,R
66,67.,Dan Brouthers+ (19),78.7,L
67,68.,Brooks Robinson+ (23),78.4,R
68,69.,Arky Vaughan+ (14),78.0,L
69,70.,Robin Yount+ (20),77.3,R
70,71.,Luke Appling+ (20),77.1,R
71,72.,Ozzie Smith+ (19),76.9,B
72,73.,Bobby Wallace+ (25),76.3,R
73,74.,Jim McCormick (10),76.2,R
74,75.,Paul Molitor+ (21),75.7,R
75,76.,Old Hoss Radbourn+ (12),75.4,R
76,77.,Sam Crawford+ (19),75.3,L
77,77.,Bill Dahlen (21),75.3,R
78,79.,Johnny Bench+ (17),75.2,R
79,80.,Lou Whitaker (19),75.1,L
80,81.,"Mike Trout (10, 28)",74.6,R
81,82.,Reggie Jackson+ (21),74.0,L
82,83.,Paul Waner+ (20),73.9,L
83,84.,Frank Thomas+ (19),73.8,R
84,85.,Pud Galvin+ (15),73.5,R
85,86.,Jim Thome+ (22),72.9,L
86,87.,Larry Walker+ (17),72.7,L
87,88.,"Zack Greinke (17, 36)",72.2,R
88,89.,Harry Heilmann+ (17),72.1,R
89,90.,Rafael Palmeiro (20),71.9,L
90,91.,"Justin Verlander (16, 37)",71.8,R
91,92.,Derek Jeter+ (20),71.3,R
92,92.,Johnny Mize+ (15),71.3,L
93,94.,Bobby Grich (17),71.1,R
94,95.,Frankie Frisch+ (19),70.8,B
95,96.,Alan Trammell+ (20),70.7,R
96,97.,Barry Larkin+ (19),70.5,R
97,97.,Ron Santo+ (15),70.5,R
98,99.,Ted Lyons+ (21),70.4,B
99,100.,Carlos Beltran (20),70.1,B
100,100.,Gary Carter+ (19),70.1,R
101,100.,Scott Rolen (17),70.1,R
102,103.,"Miguel Cabrera (18, 37)",69.6,R
103,103.,Ed Delahanty+ (16),69.6,R
104,103.,"Clayton Kershaw (13, 32)",69.6,L
