,Rank,"Player (yrs, age)",Slugging %,Bats
623,623.,Bernard Gilkey (12),.4336,R
624,623.,Jimmie Hall (8),.4336,L
625,626.,Frank McCormick (13),.4335,R
626,627.,Rich Aurilia (15),.4333,R
627,628.,Craig Biggio+ (20),.4332,R
628,628.,Jocko Milligan (10),.4332,R
629,628.,Hal Morris (13),.4332,L
630,631.,"Didi Gregorius (9, 30)",.4331,L
631,631.,Travis Jackson+ (15),.4331,R
632,633.,Felipe Alou (17),.4328,R
633,633.,Johnny Damon (18),.4328,L
634,635.,Charles Johnson (12),.4327,R
635,636.,Billy Hamilton+ (14),.4323,L
636,637.,Lew Fonseca (12),.4321,R
637,637.,Frankie Frisch+ (19),.4321,B
638,637.,Kelly Gruber (10),.4321,R
639,637.,Tommy Holmes (11),.4321,L
640,641.,George Altman (9),.4319,L
641,641.,Walt Dropo (13),.4319,R
642,643.,Dusty Baker (19),.4318,R
643,643.,Roy Cullenbine (10),.4318,B
644,643.,David Murphy (10),.4318,L
645,643.,Xavier Nady (12),.4318,R
646,647.,Beau Bell (7),.4316,R
647,647.,Ryan Doumit (10),.4316,B
648,647.,Joe Pepitone (12),.4316,L
649,650.,Ken Griffey (19),.4312,L
650,650.,Gene Woodling (17),.4312,L
651,652.,Melvin Mora (13),.4310,R
652,653.,Darrell Evans (21),.4308,L
653,653.,Russ Wrightstone (9),.4308,L
654,655.,Rusty Staub (23),.4306,L
655,656.,Steve Kemp (11),.4305,L
656,657.,Gee Walker (15),.4304,R
657,658.,Spud Davis (16),.4303,R
658,658.,Eric Hinske (12),.4303,L
659,660.,Marlon Byrd (15),.4302,R
660,660.,"Eduardo Escobar (10, 31)",.4302,B
661,660.,"DJ LeMahieu (10, 31)",.4302,R
662,663.,Roberto Kelly (14),.4301,R
663,664.,Howie Kendrick (15),.4299,R
664,664.,Marty McManus (15),.4299,R
665,666.,Jeff Cirillo (14),.4298,R
666,666.,Mike Macfarlane (13),.4298,R
667,668.,Shannon Stewart (14),.4297,R
668,668.,Ed Taubensee (11),.4297,L
669,668.,Robin Yount+ (20),.4297,R
670,671.,Ed Bailey (14),.4295,L
671,671.,"Kole Calhoun (9, 32)",.4295,L
672,671.,Jim Northrup (12),.4295,L
673,674.,Marcus Giles (7),.4294,R
674,675.,George Burns (16),.4293,R
675,675.,Al Smith (12),.4293,R
676,677.,Rod Carew+ (19),.4292,L
677,678.,Eddie Collins+ (25),.4290,L
678,679.,Lyle Overbay (14),.4289,L
679,680.,Fred Clarke+ (21),.4287,L
680,680.,Gene Tenace (15),.4287,R
681,682.,Ray Boone (13),.4286,R
682,682.,Johnny Lindell (12),.4286,R
683,684.,"Josh Reddick (12, 33)",.4285,L
684,684.,Mickey Vernon (20),.4285,L
685,684.,Chris Young (13),.4285,R
686,687.,"Matthew Joyce (13, 35)",.4283,L
687,688.,Gus Suhr (11),.4277,L
688,689.,Wil Cordero (14),.4275,R
689,689.,Happy Felsch (6),.4275,R
690,689.,Pinky Higgins (14),.4275,R
691,692.,Bernie Carbo (12),.4274,L
692,692.,"Ian Desmond (11, 34)",.4274,R
693,694.,Joe Morgan+ (22),.4271,L
694,695.,Elston Howard (14),.4270,R
695,696.,Tillie Walker (13),.4269,R
696,697.,Darren Daulton (14),.4267,L
697,697.,Sherry Magee (16),.4267,R
698,697.,Sam Rice+ (20),.4267,L
699,697.,J.T. Snow (16),.4267,L
700,701.,Dan Ford (11),.4266,R
701,701.,Johnny Mostil (10),.4266,R
702,701.,Jose Reyes (16),.4266,B
703,701.,Joe Rudi (16),.4266,R
704,705.,"Neil Walker (12, 34)",.4261,B
705,706.,Lou Whitaker (19),.4260,L
706,707.,Ben Zobrist (14),.4259,B
707,708.,Jim Hickman (13),.4258,R
708,708.,Joe Randa (12),.4258,R
709,710.,"Asdrubal Cabrera (14, 34)",.4257,B
710,710.,Hoot Evers (12),.4257,R
711,710.,Orlando Merced (13),.4257,B
712,713.,Danny Valencia (9),.4256,R
713,714.,"Logan Morrison (11, 32)",.4254,L
714,714.,Amos Otis (17),.4254,R
715,714.,Jay Payton (12),.4254,R
716,717.,Brian Downing (20),.4253,R
717,717.,"Marcus Semien (8, 29)",.4253,R
718,717.,Shane Victorino (12),.4253,R
719,720.,Brady Anderson (15),.4251,L
720,720.,Gary Ward (12),.4251,R
721,722.,Aaron Boone (12),.4250,R
722,722.,Johnny Hodapp (9),.4250,R
723,722.,Tim Raines+ (23),.4250,B
724,725.,Edgardo Alfonzo (12),.4249,R
725,725.,Mike Grady (11),.4249,R
726,725.,Jeff King (11),.4249,R
727,725.,Sam West (16),.4249,L
728,729.,Cory Snyder (9),.4248,R
729,730.,Bill Mueller (11),.4246,B
730,731.,Socks Seybold (9),.4244,R
731,732.,Earl Williams (8),.4241,R
732,733.,Mike Epstein (9),.4240,L
733,733.,Candy Maldonado (15),.4240,R
734,735.,George McQuinn (12),.4239,L
735,736.,Bobby Grich (17),.4237,R
736,736.,Sammy Hale (10),.4237,R
737,738.,David Freese (11),.4234,R
738,739.,Todd Zeile (16),.4233,R
739,740.,Nick Etten (9),.4232,L
740,740.,"Nick Markakis (15, 36)",.4232,L
741,740.,Michael Tucker (12),.4232,L
742,743.,Willard Marshall (11),.4231,L
743,744.,Stephen Drew (12),.4229,L
744,744.,Darrin Fletcher (14),.4229,L
745,744.,Jhonny Peralta (15),.4229,R
746,744.,Norm Siebern (12),.4229,L
747,748.,Kenny Lofton (17),.4228,L
748,749.,Taffy Wright (9),.4226,L
749,750.,Carlos Baerga (14),.4225,B
750,751.,Jim O'Rourke+ (23),.4223,R
751,752.,"Avisail Garcia (9, 29)",.4218,R
752,753.,Michael Barrett (12),.4217,R
753,753.,Scott Brosius (11),.4217,R
754,755.,Willie Kirkland (9),.4216,L
755,756.,Woodie Held (14),.4215,R
756,756.,Kelly Johnson (11),.4215,L
757,756.,Bob Skinner (12),.4215,L
758,759.,Phil Bradley (8),.4214,R
759,760.,Gregg Jefferies (14),.4212,B
760,761.,Jack Clements (17),.4210,L
761,762.,Harry Rice (10),.4209,L
762,762.,Eric Soderholm (9),.4209,R
763,762.,Delmon Young (10),.4209,R
764,765.,Derek Bell (11),.4207,R
765,765.,Ron Coomer (9),.4207,R
766,767.,Randy Jackson (10),.4205,R
767,767.,Graig Nettles (22),.4205,L
768,769.,Pat Duncan (7),.4204,R
769,770.,Buddy Lewis (11),.4203,L
770,771.,Dave Hollins (12),.4202,B
771,771.,Bake McBride (11),.4202,L
772,771.,Brandon Phillips (17),.4202,R
773,774.,Jose Cruz (19),.4200,L
774,774.,Deron Johnson (16),.4200,R
775,774.,Gabe Kapler (12),.4200,R
776,774.,A.J. Pierzynski (19),.4200,L
777,774.,Rickie Weeks (14),.4200,R
778,779.,Joe Judge (20),.4199,L
779,779.,Rico Petrocelli (13),.4199,R
780,779.,Jim Presley (8),.4199,R
781,779.,Lonnie Smith (17),.4199,R
782,783.,Terry Steinbach (14),.4198,R
783,784.,Red Kress (14),.4197,R
784,784.,Juan Samuel (16),.4197,R
785,786.,Sid Bream (12),.4196,L
786,786.,Claudell Washington (17),.4196,L
787,788.,Jack Tobin (13),.4195,L
788,788.,Heinie Zimmerman (13),.4195,R
789,790.,Augie Galan (16),.4194,B
790,791.,Leon Roberts (11),.4191,R
791,791.,Devon White (17),.4191,B
792,793.,Dom DiMaggio (11),.4190,R
793,793.,Bill Melton (10),.4190,R
794,793.,Jim Morrison (12),.4190,R
795,793.,Willie Upshaw (10),.4190,L
796,797.,Brian Harper (16),.4189,R
797,798.,Ed Sprague (11),.4188,R
798,799.,"Justin Smoak (11, 33)",.4187,B
799,800.,Rickey Henderson+ (25),.4186,R
800,800.,Scott Spiezio (12),.4186,B
801,802.,Lenny Dykstra (12),.4185,L
802,803.,Jimmy Rollins (17),.4184,B
803,804.,Roy Weatherly (10),.4182,L
804,805.,"Dexter Fowler (13, 34)",.4181,B
805,806.,Juan Uribe (16),.4178,R
806,807.,Jose Hernandez (15),.4177,R
807,808.,Gene Freese (12),.4176,R
808,808.,Jim Tabor (9),.4176,R
809,808.,George Van Haltren (17),.4176,L
810,811.,Jacoby Ellsbury (11),.4175,L
811,812.,Matt Lawton (12),.4174,L
812,813.,Aaron Hill (13),.4173,R
813,814.,Julio Franco (23),.4172,R
814,814.,Ramon Hernandez (15),.4172,R
815,814.,Andy Seminick (15),.4172,R
816,817.,Don Lock (8),.4171,R
817,818.,Earl Torgeson (15),.4170,L
818,819.,Melky Cabrera (15),.4168,B
819,819.,Rip Radcliff (10),.4168,L
820,821.,Joe Cunningham (12),.4167,L
821,821.,Ed McKean (13),.4167,R
822,821.,Miguel Olivo (13),.4167,R
823,824.,Ralph Garr (13),.4164,L
824,824.,"Jonathan Lucroy (11, 34)",.4164,R
825,824.,Cecil Travis (12),.4164,L
826,827.,John Briggs (12),.4163,L
827,827.,Von Hayes (12),.4163,L
828,829.,"Jason Kipnis (10, 33)",.4162,L
829,829.,Dale Mitchell (11),.4162,L
830,831.,Braggo Roth (8),.4161,R
831,831.,Chick Stahl (10),.4161,L
832,831.,Randy Winn (13),.4161,B
833,834.,Clyde Barnhart (9),.4160,R
834,834.,Jeff Francoeur (12),.4160,R
835,834.,Wally Moses (17),.4160,L
836,834.,Tim Wallach (17),.4160,R
837,838.,Jay Bell (18),.4158,R
838,839.,"Adam Eaton (9, 31)",.4157,L
839,840.,Phil Cavarretta (22),.4156,L
840,840.,Shawon Dunston (18),.4156,R
841,840.,Ruppert Jones (12),.4156,L
842,843.,Tom Paciorek (18),.4154,R
843,843.,Pinky Whitney (12),.4154,R
844,845.,Ronnie Belliard (13),.4153,R
845,845.,Alan Trammell+ (20),.4153,R
846,847.,Benito Santiago (20),.4152,R
847,848.,Mark Whiten (11),.4149,B
848,849.,Mike Davis (10),.4148,L
849,849.,Frank Demaree (12),.4148,R
850,851.,Lou Boudreau+ (15),.4147,R
851,851.,Chris Chambliss (17),.4147,L
852,851.,Harry Danning (10),.4147,R
853,851.,Pete Fox (13),.4147,R
854,851.,Hector Lopez (12),.4147,R
855,856.,Willie Keeler+ (19),.4146,L
856,857.,Marquis Grissom (17),.4145,R
857,857.,Billy Southworth+ (13),.4145,L
858,859.,"Starlin Castro (11, 30)",.4144,R
859,859.,Barney McCosky (11),.4144,L
860,861.,Ken Harrelson (9),.4141,R
861,861.,Johnny Hopp (14),.4141,L
862,863.,Rick Reichardt (11),.4140,R
863,864.,George Kell+ (15),.4138,R
864,864.,Lloyd Moseby (12),.4138,L
865,866.,Tom Haller (12),.4137,L
866,866.,"Jason Heyward (11, 30)",.4137,L
867,868.,Chris James (10),.4135,R
868,869.,Vince DiMaggio (10),.4134,R
869,869.,B.J. Surhoff (19),.4134,L
870,871.,Rube Bressler (19),.4133,R
871,871.,"Lorenzo Cain (11, 34)",.4133,R
872,871.,Steve Henderson (12),.4133,R
873,871.,John Milner (12),.4133,L
874,871.,Perry Werden (7),.4133,R
875,876.,Austin Kearns (12),.4132,R
876,877.,Tony Gonzalez (12),.4131,L
877,877.,Gus Triandos (13),.4131,R
878,879.,Freddy Sanchez (10),.4130,R
879,880.,Johnny Grubb (16),.4129,L
880,880.,"Jed Lowrie (12, 36)",.4129,B
881,880.,Garry Maddox (15),.4129,R
882,880.,Joe Sewell+ (14),.4129,L
883,884.,Randy Bush (12),.4128,L
884,885.,Red Rolfe (10),.4127,L
885,886.,Dee Fondy (8),.4126,L
886,886.,"Marwin Gonzalez (9, 31)",.4126,B
887,888.,Tommie Agee (12),.4123,R
888,889.,Jackie Brandt (11),.4121,R
889,889.,Jorge Orta (16),.4121,L
890,891.,Bill Freehan (15),.4120,R
891,892.,"Jackie Bradley Jr. (8, 30)",.4119,L
892,893.,Willie Davis (18),.4118,L
893,893.,Don Slaught (16),.4118,R
894,895.,David DeJesus (13),.4117,L
895,895.,Martin Prado (14),.4117,R
896,895.,Kip Selbach (13),.4117,R
897,898.,Orlando Hudson (11),.4116,B
898,899.,Mark DeRosa (16),.4115,R
899,899.,Chuck Hinton (11),.4115,R
900,901.,Al Dark (14),.4113,R
901,901.,Solly Hemus (11),.4113,L
902,901.,Keith Moreland (12),.4113,R
903,904.,Kevin Bass (14),.4112,B
904,904.,Jim King (11),.4112,L
905,906.,Carlos Gomez (13),.4111,R
906,906.,Damian Miller (11),.4111,R
907,906.,Bengie Molina (13),.4111,R
908,909.,Tom Tresh (9),.4110,B
909,910.,Miguel Montero (13),.4109,L
910,911.,Dan Driessen (15),.4108,L
911,912.,George Gore (14),.4107,L
912,913.,Carney Lansford (15),.4106,R
913,914.,Jeffrey Leonard (14),.4105,R
914,914.,Vic Power (12),.4105,R
915,916.,Lee Lacy (16),.4104,R
916,917.,"Alex Gordon (14, 36)",.4103,L
917,917.,Scott Hatteberg (14),.4103,L
918,919.,Lou Brock+ (19),.4102,L
919,919.,Willie Jones (15),.4102,R
920,919.,Trevor Plouffe (9),.4102,R
921,919.,Gary Redus (13),.4102,R
922,919.,Casey Stengel+ (14),.4102,L
923,924.,Irv Noren (11),.4101,L
924,925.,Pedro Feliz (11),.4100,R
925,925.,John McGraw+ (17),.4100,L
926,927.,Ethan Allen (13),.4099,R
927,927.,Abner Dalrymple (12),.4099,L
928,927.,Nate McLouth (10),.4099,L
929,927.,Gerald Williams (14),.4099,R
930,931.,Lee Maye (13),.4098,L
931,931.,Gil McDougald (10),.4098,R
932,931.,Thurman Munson (11),.4098,R
933,934.,James Loney (11),.4097,L
934,935.,Ernie Whitt (15),.4096,L
935,936.,Pete Rose (24),.4093,B
936,937.,Joe Ferguson (14),.4092,R
937,937.,Dave Robertson (9),.4092,L
938,939.,Paul Hines (20),.4091,R
939,939.,Darrell Porter (17),.4091,L
940,939.,Brian Roberts (14),.4091,B
941,939.,"Matt Wieters (12, 34)",.4091,B
942,943.,Pete O'Brien (12),.4090,L
943,943.,Mark Teahen (7),.4090,L
944,945.,Jimmy Collins+ (14),.4088,R
945,945.,Vic Saier (8),.4088,L
946,947.,Larry Herndon (14),.4087,R
947,947.,Lou Piniella (18),.4087,R
948,949.,Floyd Robinson (9),.4086,L
949,950.,Earl Battey (13),.4085,R
950,950.,Paul Lo Duca (11),.4085,R
951,950.,Jarrod Saltalamacchia (12),.4085,B
952,953.,Harry Davis (22),.4084,R
953,953.,J.J. Hardy (13),.4084,R
954,955.,Jo-Jo Moore (12),.4083,L
955,955.,"Kevin Pillar (8, 31)",.4083,R
956,955.,Fred Schulte (11),.4083,R
957,958.,Sal Bando (16),.4081,R
958,958.,Harvey Kuenn (15),.4081,R
959,960.,Ron Fairly (21),.4080,L
960,960.,Franklin Gutierrez (12),.4080,R
961,960.,Travis Lee (9),.4080,L
962,963.,Bill Buckner (22),.4079,L
963,963.,Willie Crawford (14),.4079,L
964,963.,Sam Mele (10),.4079,R
965,963.,Harry Simpson (8),.4079,L
966,963.,Randy Velarde (16),.4079,R
967,968.,Carmelo Martinez (9),.4078,R
968,969.,Fred Carroll (8),.4077,R
969,969.,Larry Doyle (14),.4077,L
970,969.,Angel Pagan (11),.4077,B
971,972.,Wally Pipp (15),.4076,L
972,973.,Steve Evans (8),.4073,L
973,974.,Rod Barajas (14),.4072,R
974,975.,Mike Griffin (12),.4071,L
975,976.,"Jean Segura (9, 30)",.4070,R
976,977.,Darin Erstad (14),.4069,L
977,977.,Ira Flagstead (13),.4069,R
978,977.,Billy Herman+ (15),.4069,R
979,980.,Rance Mulliniks (16),.4066,L
980,980.,Mike Pagliarulo (11),.4066,L
981,980.,Max West (7),.4066,L
982,983.,Sandy Alomar (20),.4064,R
983,984.,Shanty Hogan (13),.4063,R
984,984.,Don Money (16),.4063,R
985,986.,Buddy Bell (18),.4062,R
986,987.,Hughie Jennings+ (18),.4061,R
987,987.,Buddy Myer (17),.4061,L
988,989.,Jeff Blauser (13),.4060,R
989,990.,Merv Rettenmund (13),.4059,R
990,991.,"Chris Iannetta (14, 37)",.4058,R
991,992.,Chuck Knoblauch (12),.4057,R
992,992.,Joe Kuhel (18),.4057,L
993,994.,Fred Dunlap (12),.4056,R
994,995.,Brook Jacoby (11),.4053,R
995,995.,Gary Matthews (12),.4053,B
996,995.,Danny Murphy (16),.4053,R
997,998.,Pete Ward (9),.4052,L
998,999.,John Mabry (14),.4051,L
