,Rank,"Player (yrs, age)",Slugging %,Bats
55,56.,Mo Vaughn (12),.5231,L
56,57.,"Paul Goldschmidt (10, 32)",.5221,R
57,58.,"Mookie Betts (7, 27)",.5219,R
58,59.,Wally Berger (11),.5216,R
59,59.,Hal Trosky (11),.5216,L
60,61.,Nomar Garciaparra (14),.5206,R
61,62.,Harry Heilmann+ (17),.5205,R
62,63.,Dan Brouthers+ (19),.5201,L
63,64.,"José Abreu (7, 33)",.5199,R
64,65.,Kevin Mitchell (13),.5198,R
65,66.,Charlie Keller (13),.5177,L
66,67.,Shoeless Joe Jackson (13),.5174,L
67,68.,"Joey Votto (14, 36)",.5172,L
68,69.,Jason Giambi (20),.5164,L
69,70.,Moises Alou (17),.5157,R
70,70.,Josh Hamilton (9),.5157,L
71,72.,Edgar Martinez+ (18),.5155,R
72,73.,Ryan Howard (13),.5152,L
73,74.,Willie McCovey+ (22),.5147,L
74,75.,Jose Canseco (17),.5145,R
75,75.,Rafael Palmeiro (20),.5145,L
76,77.,Gary Sheffield (22),.5139,R
77,78.,"Bryce Harper (9, 27)",.5131,L
78,79.,Ty Cobb+ (24),.5117,L
79,80.,Ellis Burks (18),.5104,R
80,81.,Matt Holliday (15),.5102,R
81,82.,"Freddie Freeman (11, 30)",.5094,L
82,82.,Eddie Mathews+ (17),.5094,L
83,82.,Mark Teixeira (14),.5094,B
84,85.,Fred McGriff (19),.5091,L
85,86.,Jeff Heath (14),.5088,L
86,87.,Harmon Killebrew+ (22),.5085,R
87,88.,"Kris Bryant (6, 28)",.5083,R
88,89.,"Josh Donaldson (10, 34)",.5082,R
89,90.,Richie Sexson (12),.5069,R
90,91.,Bob Johnson (13),.5059,R
91,91.,Bill Terry+ (14),.5059,L
92,93.,Prince Fielder (12),.5056,L
93,94.,"Charlie Blackmon (10, 33)",.5054,L
94,94.,Darryl Strawberry (17),.5054,L
95,96.,Sam Thompson+ (15),.5053,L
96,97.,Ed Delahanty+ (16),.5052,R
97,98.,Joe Medwick+ (17),.5045,R
98,99.,Brian Giles (15),.5024,L
99,99.,Magglio Ordonez (15),.5024,R
100,101.,Jim Rice+ (16),.5020,R
101,102.,Dave Orr (8),.5017,R
102,103.,David Justice (14),.5003,L
103,103.,Ryan Klesko (16),.5003,L
104,103.,Tris Speaker+ (22),.5003,L
