,Rank,"Player (yrs, age)",Home Runs,Bats,HR Log
0,1.,Barry Bonds (22),762,L,HR Log
1,2.,Hank Aaron+ (23),755,R,HR Log
2,3.,Babe Ruth+ (22),714,L,HR Log
3,4.,Alex Rodriguez (22),696,R,HR Log
4,5.,"Albert Pujols (20, 40)",662,R,HR Log
5,6.,Willie Mays+ (22),660,R,HR Log
6,7.,Ken Griffey Jr.+ (22),630,L,HR Log
7,8.,Jim Thome+ (22),612,L,HR Log
8,9.,Sammy Sosa (18),609,R,HR Log
9,10.,Frank Robinson+ (21),586,R,HR Log
10,11.,Mark McGwire (16),583,R,HR Log
11,12.,Harmon Killebrew+ (22),573,R,HR Log
12,13.,Rafael Palmeiro (20),569,L,HR Log
13,14.,Reggie Jackson+ (21),563,L,HR Log
14,15.,Manny Ramirez (19),555,R,HR Log
15,16.,Mike Schmidt+ (18),548,R,HR Log
16,17.,David Ortiz (20),541,L,HR Log
17,18.,Mickey Mantle+ (18),536,B,HR Log
18,19.,Jimmie Foxx+ (20),534,R,HR Log
19,20.,Willie McCovey+ (22),521,L,HR Log
20,20.,Frank Thomas+ (19),521,R,HR Log
21,20.,Ted Williams+ (19),521,L,HR Log
22,23.,Ernie Banks+ (19),512,R,HR Log
23,23.,Eddie Mathews+ (17),512,L,HR Log
24,25.,Mel Ott+ (22),511,L,HR Log
25,26.,Gary Sheffield (22),509,R,HR Log
26,27.,Eddie Murray+ (21),504,B,HR Log
27,28.,Lou Gehrig+ (17),493,L,HR Log
28,28.,Fred McGriff (19),493,L,HR Log
29,30.,"Miguel Cabrera (18, 37)",487,R,HR Log
30,31.,Adrian Beltre (21),477,R,HR Log
31,32.,Stan Musial+ (22),475,L,HR Log
32,32.,Willie Stargell+ (21),475,L,HR Log
33,34.,Carlos Delgado (17),473,L,HR Log
34,35.,Chipper Jones+ (19),468,B,HR Log
35,36.,Dave Winfield+ (22),465,R,HR Log
36,37.,Jose Canseco (17),462,R,HR Log
37,37.,Adam Dunn (14),462,L,HR Log
38,39.,Carl Yastrzemski+ (23),452,L,HR Log
39,40.,Jeff Bagwell+ (15),449,R,HR Log
40,40.,Vladimir Guerrero+ (16),449,R,HR Log
41,42.,Dave Kingman (16),442,R,HR Log
42,43.,Jason Giambi (20),440,L,HR Log
43,44.,Paul Konerko (18),439,R,HR Log
44,45.,Andre Dawson+ (21),438,R,HR Log
45,46.,Carlos Beltran (20),435,B,HR Log
46,47.,Juan Gonzalez (17),434,R,HR Log
47,47.,Andruw Jones (17),434,R,HR Log
48,49.,Cal Ripken Jr.+ (21),431,R,HR Log
49,50.,Mike Piazza+ (16),427,R,HR Log
50,51.,Billy Williams+ (18),426,L,HR Log
51,52.,"Edwin Encarnacion (16, 37)",424,R,HR Log
52,53.,"Nelson Cruz (16, 39)",417,R,HR Log
53,54.,Darrell Evans (21),414,L,HR Log
54,55.,Alfonso Soriano (16),412,R,HR Log
55,56.,Mark Teixeira (14),409,B,HR Log
56,57.,Duke Snider+ (18),407,L,HR Log
57,58.,Andres Galarraga (19),399,R,HR Log
58,58.,Al Kaline+ (22),399,R,HR Log
59,60.,Dale Murphy (18),398,R,HR Log
60,61.,Joe Carter (16),396,R,HR Log
61,62.,Jim Edmonds (17),393,L,HR Log
62,63.,Graig Nettles (22),390,L,HR Log
63,64.,Johnny Bench+ (17),389,R,HR Log
64,65.,Aramis Ramirez (18),386,R,HR Log
65,66.,Dwight Evans (20),385,R,HR Log
66,67.,Harold Baines+ (22),384,L,HR Log
67,68.,Larry Walker+ (17),383,L,HR Log
68,69.,Frank Howard (16),382,R,HR Log
69,69.,Ryan Howard (13),382,L,HR Log
70,69.,Jim Rice+ (16),382,R,HR Log
71,72.,Albert Belle (12),381,R,HR Log
72,73.,Orlando Cepeda+ (17),379,R,HR Log
73,73.,Tony Perez+ (23),379,R,HR Log
74,75.,Matt Williams (17),378,R,HR Log
75,76.,Norm Cash (17),377,L,HR Log
76,76.,Jeff Kent (17),377,R,HR Log
77,78.,Carlton Fisk+ (24),376,R,HR Log
78,79.,Rocky Colavito (14),374,R,HR Log
79,80.,Gil Hodges (18),370,R,HR Log
80,81.,Todd Helton (17),369,L,HR Log
81,81.,Ralph Kiner+ (10),369,R,HR Log
82,83.,Lance Berkman (15),366,B,HR Log
83,84.,Joe DiMaggio+ (13),361,R,HR Log
84,85.,Gary Gaetti (20),360,R,HR Log
85,86.,Johnny Mize+ (15),359,L,HR Log
86,87.,Yogi Berra+ (19),358,L,HR Log
87,87.,Carlos Lee (14),358,R,HR Log
88,89.,Greg Vaughn (15),355,R,HR Log
