,Rank,"Player (yrs, age)",Errors Committed as 1B,Throws
0,1.,Cap Anson+ (27),658,R
1,2.,Dan Brouthers+ (19),513,L
2,3.,Jake Beckley+ (20),481,L
3,4.,Joe Start (16),433,L
4,5.,Roger Connor+ (18),419,L
5,6.,Charlie Comiskey+ (13),403,R
6,7.,Hal Chase (15),402,L
7,8.,Tommy Tucker (13),393,R
8,9.,Harry Davis (22),343,R
9,10.,Fred Tenney (17),327,L
10,11.,Bill Phillips (10),324,R
11,12.,John Reilly (10),316,R
12,13.,John Morrill (15),285,R
13,14.,Jack Doyle (17),277,R
14,15.,George Sisler+ (15),269,L
15,16.,Sid Farrar (8),262,R
16,17.,Fred Merkle (16),252,R
17,18.,George Burns (16),245,R
18,19.,Harry Stovey (14),241,R
19,20.,Kitty Bransfield (12),236,R
20,21.,Willie McCovey+ (22),233,L
21,22.,Herman Dehlman (6),230,
22,23.,Dave Orr (8),227,R
23,24.,Ed Konetchy (15),224,R
24,25.,Jim Bottomley+ (16),223,L
25,26.,Mickey Vernon (20),211,L
26,27.,Henry Larkin (10),209,R
27,28.,Jack Fournier (15),208,R
28,29.,Candy LaChance (12),207,R
29,29.,Everett Mills (6),207,
30,31.,Dan Stearns (7),206,R
31,32.,Fred Luderus (12),201,R
32,33.,Tim Murnane (8),195,R
33,34.,George Stovall (12),194,R
34,35.,Lou Gehrig+ (17),193,L
35,36.,Lu Blue (13),191,L
36,37.,Tom Jones (8),183,R
37,38.,Jake Daubert (15),181,L
38,39.,Dick Hoblitzell (11),180,R
39,40.,Andres Galarraga (19),176,R
40,41.,Joe Kuhel (18),173,L
41,42.,Charlie Gould (6),169,R
42,42.,Dan McGann (12),169,R
43,42.,Dick Stuart (10),169,R
44,45.,Wally Pipp (15),168,L
45,46.,Fred McGriff (19),167,L
46,46.,Eddie Murray+ (21),167,R
47,48.,George Scott (14),165,R
48,49.,Orlando Cepeda+ (17),162,R
49,49.,Charlie Grimm (20),162,L
50,51.,Jim Field (5),161,
51,52.,Stuffy McInnis (19),160,R
52,53.,Martin Powell (4),159,L
53,53.,Perry Werden (7),159,R
54,55.,Jimmie Foxx+ (20),155,R
55,56.,Jake Stahl (9),150,R
56,57.,Dave Foutz (13),147,R
57,58.,Donn Clendenon (12),146,R
58,58.,Jumbo Latham (5),146,R
59,60.,Earl Torgeson (15),143,L
60,61.,Charlie Hickman (12),142,R
61,61.,Joe Judge (20),142,L
62,63.,Dolph Camilli (12),141,L
63,63.,Guy Hecker (9),141,R
64,65.,Mo Vaughn (12),139,R
65,66.,Ferris Fain (9),138,L
66,66.,Bill Terry+ (14),138,L
67,68.,Will Clark (15),136,L
68,68.,Alex McKinnon (4),136,
69,68.,Jim O'Rourke+ (23),136,R
70,71.,Frank Chance+ (17),135,R
71,72.,Johnny Mize+ (15),133,R
72,73.,John Kerins (7),132,R
73,74.,Norm Cash (17),131,L
74,75.,Chris Chambliss (17),130,R
75,76.,Jeff Bagwell+ (15),129,R
76,76.,Carlos Delgado (17),129,R
77,76.,Vic Saier (8),129,R
78,79.,Bill Buckner (22),128,L
79,79.,Denny Mack (8),128,R
80,81.,Gil Hodges (18),126,R
81,82.,Phil Cavarretta (22),123,L
82,83.,Rudy York (13),122,R
83,84.,Cecil Cooper (17),121,L
84,84.,High Pockets Kelly+ (16),121,R
85,84.,Hal Trosky (11),121,R
86,87.,Mox McQuery (5),120,
87,88.,Ryan Howard (13),119,L
88,89.,John Anderson (14),117,R
89,89.,Tony Perez+ (23),117,R
90,91.,Boog Powell (17),116,R
91,91.,Gus Suhr (11),116,R
92,93.,Ed Cartwright (5),115,R
93,93.,Mike Hargrove (12),115,L
94,93.,Keith Hernandez (17),115,L
95,96.,John Glenn (7),113,R
96,96.,Doc Johnston (11),113,L
97,96.,George McQuinn (12),113,L
98,96.,"Albert Pujols (20, 40)",113,R
99,96.,Earl Sheely (9),113,R
100,101.,Jiggs Donahue (9),112,L
101,101.,Tim Jordan (7),112,R
102,103.,Eric Karros (14),111,R
103,103.,Rafael Palmeiro (20),111,L
104,105.,Mark Grace (16),110,L
105,105.,Don Hurst (7),110,L
106,107.,Eddie Robinson (13),109,R
107,108.,Buddy Hassett (7),108,L
108,109.,Nick Etten (9),107,L
109,109.,Elbie Fletcher (12),107,L
110,111.,Rod Carew+ (19),106,R
111,111.,Bill Everitt (7),106,R
112,113.,Bill White (13),105,L
113,114.,Hank Greenberg+ (13),104,R
114,115.,Mark McGwire (16),103,R
115,115.,Jake Virtue (5),103,L
116,117.,Babe Dahlgren (12),102,R
117,117.,John Ganzel (7),102,R
118,117.,Bill Skowron (14),102,R
119,120.,Patsy Tebeau (13),100,R
120,121.,Chick Gandil (9),99,R
121,121.,Frank Isbell (10),99,R
122,121.,Wally Joyner (16),99,L
123,121.,Milt Scott (4),99,
124,125.,Dee Fondy (8),98,L
125,125.,Derrek Lee (15),98,R
126,125.,Willie Upshaw (10),98,L
127,128.,Jack Boyle (13),97,R
128,128.,Ted Kluszewski (15),97,L
129,128.,Dots Miller (12),97,R
130,128.,Jason Thompson (11),97,L
131,128.,"Joey Votto (14, 36)",97,R
132,133.,Walter Holke (11),96,L
133,133.,Claude Rossman (5),96,L
134,135.,Prince Fielder (12),95,R
135,135.,Cal McVey (9),95,R
136,135.,Don Mincher (13),95,R
137,138.,Billy O'Brien (5),94,R
138,138.,Dick Siebert (11),94,L
139,140.,Ron Fairly (21),92,L
140,141.,Jason Giambi (20),91,R
141,141.,Oscar Walker (6),91,L
142,143.,Charlie Carr (7),89,R
143,143.,Ed Morgan (7),89,R
144,145.,Dale Long (10),88,L
145,145.,John Mayberry (15),88,L
146,145.,Lee May (18),88,R
147,148.,Kent Hrbek (14),87,R
148,148.,Willie Montanez (14),87,L
149,150.,Otto Schomberg (3),85,L
150,151.,Walt Dropo (13),84,R
151,152.,Joe Adcock (17),83,R
152,152.,Paul Hines (20),83,R
153,152.,Paul Konerko (18),83,R
154,152.,Bob Watson (19),83,R
155,156.,Dick Allen (15),82,R
156,156.,John Olerud (17),82,L
157,158.,Steve Garvey (19),81,R
158,159.,Ernie Banks+ (19),80,R
159,159.,Whitey Lockman (15),80,R
160,159.,Tino Martinez (16),80,R
161,159.,Frank Thomas+ (19),80,R
162,159.,Phil Todt (8),80,L
163,164.,Todd Helton (17),79,L
164,164.,Pete O'Brien (12),79,L
165,166.,Frank McCormick (13),78,R
166,166.,Stan Musial+ (22),78,L
167,168.,Harry Heilmann+ (17),77,R
168,168.,Harry Taylor (4),77,
169,170.,Bruce Bochte (12),76,L
170,170.,Adrian Gonzalez (15),76,L
171,172.,Del Bissonette (5),75,L
