,Rank,"Player (yrs, age)",Def. Games as SS,Throws
266,267.,"Tim Anderson (5, 27)",565,R
267,268.,Sam Dente (9),563,R
268,268.,Sam Wise (12),563,R
269,270.,Candy Nelson (13),560,R
270,271.,Daryl Spencer (10),558,R
271,272.,John Peters (11),557,R
272,273.,Virgil Stallcup (7),556,R
273,274.,Frank Shugart (8),550,R
274,275.,Dick Howser (8),548,R
275,275.,Andres Thomas (6),548,R
276,277.,Eddie Kasko (10),544,R
277,278.,Mariano Duncan (12),540,R
278,279.,Woodie Held (14),539,R
279,280.,Rob Picciolo (9),531,R
280,280.,John Sullivan (6),531,R
281,282.,Bob Lillis (10),530,R
282,282.,Ryan Theriot (8),530,R
283,282.,George Wright+ (12),530,R
284,285.,"Orlando Arcia (5, 25)",528,R
285,285.,Billy Hunter (6),528,R
286,287.,Joe Boley (6),527,R
287,288.,Sadie Houck (8),526,R
288,289.,Manuel Lee (11),522,R
289,290.,Woody Woodward (9),521,R
290,291.,Jackie Hernandez (9),517,R
291,292.,Tony Womack (13),516,R
292,293.,"Corey Seager (6, 26)",514,R
293,294.,"Jed Lowrie (12, 36)",508,R
294,295.,Phil Lewis (4),505,R
295,295.,Ramon Santiago (13),505,R
296,297.,Dave Anderson (10),502,R
297,297.,Ray Oyler (6),502,R
298,299.,"Dansby Swanson (5, 26)",501,R
299,300.,Everth Cabrera (7),488,R
300,301.,Luis Gomez (8),483,R
301,302.,Craig Counsell (16),478,R
302,302.,Danny Thompson (7),478,R
303,304.,Ruben Tejada (9),476,R
304,305.,Hal Rhyne (7),475,R
305,306.,Tom Burns (13),474,R
306,307.,Solly Hemus (11),471,R
307,308.,Desi Relaford (11),467,R
308,309.,Marty Perez (10),465,R
309,310.,Ray Boone (13),464,R
310,311.,Tom Foley (13),463,R
311,311.,Stan Rojek (8),463,R
312,311.,Pete Runnels (14),463,R
313,314.,Addison Russell (5),460,R
314,315.,Kiko Garcia (10),459,R
315,315.,Buck Herzog (13),459,R
316,317.,Ike Caveney (4),457,R
317,318.,"Jorge Polanco (7, 26)",456,R
318,319.,"Miguel Rojas (7, 31)",455,R
319,320.,Ned Williamson (13),450,R
320,321.,Rocky Bridges (11),447,R
321,322.,Bill Spiers (13),446,R
322,323.,Rey Quinones (4),444,R
323,323.,Curt Wilkerson (11),444,R
324,325.,"Trea Turner (6, 27)",443,R
325,326.,Dale Sveum (12),442,R
326,327.,Tim Bogar (9),441,R
327,328.,Rick Auerbach (11),440,R
328,328.,Bill White (5),440,R
329,330.,Bill Cissell (9),439,R
330,331.,Jim Levey (4),437,R
331,332.,Joe Koppe (8),436,R
332,333.,Benji Gil (8),435,R
333,334.,Mike Gallego (13),434,R
334,335.,Hector Torres (9),433,R
335,336.,Chick Fulmer (11),430,R
336,337.,Pepe Frias (9),426,R
337,338.,Billy Klaus (11),425,R
338,339.,Jimmy Esmond (4),424,R
339,340.,Lonny Frey (14),420,R
340,341.,Tom Carey (9),418,R
341,342.,Bobby Bragan (7),415,R
342,343.,Wayne Tolleson (10),409,R
343,344.,Larvell Blanks (9),407,R
344,344.,Arnold Hauser (5),407,R
345,346.,Wayne Causey (11),406,R
346,346.,"Jonathan Villar (8, 29)",406,R
347,348.,Jeff Huson (12),405,R
348,348.,Mark Loretta (15),405,R
349,348.,Bob Meacham (6),405,R
350,351.,"Paul DeJong (4, 26)",402,R
351,352.,Jimmy Cooney (7),400,R
352,353.,Dick Culler (8),398,R
353,354.,Swede Risberg (4),397,R
354,355.,Bob Fisher (7),394,R
355,356.,Ed Abbaticchio (9),388,R
356,357.,Roberto Pena (6),387,R
357,357.,"Amed Rosario (4, 24)",387,R
358,359.,"Javier Baez (7, 27)",386,R
359,360.,Mike Aviles (10),385,R
360,360.,Alex Cintron (9),385,R
361,362.,Wil Cordero (14),383,R
362,362.,Jerry Dybzinski (6),383,R
363,364.,Billy Clingman (10),381,R
364,365.,Gene DeMontreville (11),379,R
365,366.,"Brad Miller (8, 30)",378,R
366,367.,Paul Janish (9),377,R
367,368.,Doc Farrell (9),376,R
368,369.,Mike Benjamin (13),375,R
369,370.,Angel Salazar (5),374,R
370,370.,Whitey Wietelmann (9),374,R
371,372.,Ron Washington (10),372,R
372,373.,Hubie Brooks (15),371,R
373,374.,Mike Tyson (10),369,R
374,375.,Mark Christman (9),368,R
375,375.,Skeeter Webb (12),368,R
376,377.,Lee Tannehill (10),367,R
377,378.,Ed Caskin (7),366,R
378,379.,Jose Oquendo (12),364,R
379,380.,Frank Scheibeck (8),363,R
380,380.,Jose Valdivielso (5),363,R
381,382.,Ernie Riles (9),362,R
382,383.,David Howard (9),361,R
383,384.,Rogers Hornsby+ (23),356,R
384,384.,Paul Radford (12),356,R
385,386.,Todd Cruz (6),351,R
386,386.,Tom Tresh (9),351,R
387,388.,Kurt Abbott (9),349,R
388,388.,Wid Conroy (11),349,R
389,390.,George Scharein (4),347,R
390,391.,Dave Chalk (9),345,R
391,392.,Mike Phillips (11),344,R
392,393.,Jeff Reboulet (12),342,R
393,394.,Travis Fryman (13),339,R
394,394.,Derrel Thomas (15),339,R
395,396.,Nick Punto (14),337,R
396,397.,Pop Smith (12),336,R
397,398.,Pat Listach (6),333,R
398,399.,Joe Hoover (3),331,R
399,400.,George Magoon (5),329,R
