,Rank,"Player (yrs, age)",Errors Committed,Throws
218,219.,Charlie Irwin (10),321,R
219,219.,Rabbit Warstler (11),321,R
220,221.,Larry Kopf (10),320,R
221,221.,Cal McVey (9),320,R
222,223.,Frankie Gustine (12),319,R
223,224.,Connie Mack+ (11),318,R
224,224.,Dots Miller (12),318,R
225,224.,Charley O'Leary (11),318,R
226,227.,Lonny Frey (14),317,R
227,228.,Ed Abbaticchio (9),315,R
228,228.,Jim Delahanty (13),315,R
229,228.,Billy Gilbert (8),315,R
230,228.,Marty McManus (15),315,R
231,232.,George Grantham (13),314,R
232,232.,Tony Lazzeri+ (14),314,R
233,234.,Eddie Mathews+ (17),313,R
234,234.,Lee Tannehill (10),313,R
235,236.,Buddy Myer (17),312,R
236,236.,Rafael Ramirez (13),312,R
237,238.,Adrian Beltre (21),311,R
238,238.,Jack O'Brien (8),311,R
239,240.,Charlie Gehringer+ (19),310,R
240,241.,Con Daily (12),309,R
241,241.,Blondie Purcell (12),309,R
242,243.,Everett Scott (13),306,R
243,243.,Terry Turner (17),306,R
244,245.,Ed Caskin (7),305,R
245,245.,Charlie Ganzel (14),305,R
246,245.,George Wood (13),305,R
247,245.,Robin Yount+ (20),305,R
248,249.,Chick Galloway (10),304,R
249,249.,Chicken Wolf (11),304,R
250,251.,Jim Holdsworth (8),302,R
251,251.,Sammy Strang (10),302,R
252,251.,Farmer Vaughn (13),302,R
253,254.,Rudy Hulswitt (7),301,R
254,254.,Vern Stephens (15),301,R
255,256.,George Cutshaw (12),300,R
256,257.,Bobby Byrne (11),299,R
257,258.,Graig Nettles (22),298,R
258,259.,George Bradley (11),297,R
259,260.,Bill Greenwood (6),296,L
260,260.,Tommy Thevenow (15),296,R
261,262.,Freddie Patek (14),295,R
262,263.,Cal Ripken Jr.+ (21),294,R
263,264.,George Brett+ (21),292,R
264,264.,Roy McMillan (16),292,R
265,264.,Charlie Reilly (8),292,R
266,267.,Jim Fregosi (18),291,R
267,267.,John Knight (8),291,R
268,267.,Tom York (15),291,L
269,270.,Jimmy Johnston (13),290,R
270,270.,Otto Knabe (11),290,R
271,272.,Billy Hamilton+ (14),289,R
272,273.,Chris Speier (19),288,R
273,274.,Dude Esterbrook (11),287,R
274,275.,Lyn Lary (12),286,R
275,276.,Abner Dalrymple (12),285,R
276,276.,John Kerins (7),285,R
277,276.,Dickey Pearce (7),285,R
278,276.,Germany Schaefer (15),285,R
279,276.,Pop Schriver (14),285,R
280,281.,Milt Stock (14),284,R
281,281.,Zoilo Versalles (12),284,R
282,283.,Andy Leonard (9),283,R
283,283.,Joe Sommer (10),283,R
284,285.,Ozzie Smith+ (19),281,R
285,286.,Harlond Clift (12),280,R
286,286.,Jack O'Connor (21),280,R
287,288.,Toby Harrah (17),279,R
288,289.,Ty Cobb+ (24),278,R
289,289.,Bill Everitt (7),278,R
290,289.,Jose Valentin (16),278,R
291,292.,Jack Gleason (6),277,R
292,292.,Dick Padden (9),277,R
293,294.,Sam Crane (7),276,R
294,294.,Joe Dugan (14),276,R
295,294.,Howie Shanks (14),276,R
296,294.,Todd Zeile (16),276,R
297,298.,Ken Boyer (15),274,R
298,298.,Jack Crooks (8),274,R
299,298.,Roy Hartzell (11),274,R
300,298.,Tim Murnane (8),274,R
301,298.,George Sisler+ (15),274,L
302,298.,Miguel Tejada (16),274,R
303,304.,Art Devlin (10),273,R
304,304.,Hod Ford (15),273,R
305,306.,Bill Cissell (9),272,R
306,306.,Eric McNair (14),272,R
307,306.,Edgar Renteria (16),272,R
308,309.,Wally Schang (19),271,R
309,309.,Eddie Yost (18),271,R
310,311.,Orator Shafer (13),270,R
311,312.,Jimmy Peoples (6),269,R
312,312.,Billy Werber (11),269,R
313,314.,Mike Muldoon (5),268,
314,315.,Bill Harbridge (9),267,L
315,315.,Frank LaPorte (11),267,R
316,317.,Leo Cardenas (16),266,R
317,317.,Fred Clarke+ (21),266,R
318,317.,Sam Trott (8),266,L
319,320.,Bill Keister (7),265,R
320,321.,Tony Cuccinello (15),264,R
321,321.,Joe Gordon+ (11),264,R
322,321.,Bucky Harris+ (12),264,R
323,321.,Pete Hotaling (9),264,R
324,321.,Charley Jones (12),264,R
325,321.,Malachi Kittridge (16),264,R
326,321.,Brooks Robinson+ (23),264,R
327,321.,Heinie Sand (6),264,R
328,321.,Cecil Travis (12),264,R
329,321.,Harry Wolverton (9),264,R
330,331.,Phil Rizzuto+ (13),263,R
331,332.,Buddy Bell (18),262,R
332,332.,Sid Farrar (8),262,R
333,332.,Candy LaChance (12),262,R
334,335.,Ernie Banks+ (19),261,R
335,335.,Ed Brinkman (15),261,R
336,335.,Bob Elliott (15),261,R
337,335.,Dave Foutz (13),261,R
338,335.,Mike Grady (11),261,R
339,335.,Denny Mack (8),261,R
340,341.,Rod Carew+ (19),260,R
341,341.,Hub Collins (7),260,R
342,341.,Dick McAuliffe (16),260,R
343,341.,Heinie Peitz (16),260,R
344,341.,Dan Stearns (7),260,R
345,346.,Mike Dorgan (10),259,R
346,346.,Phil Garner (16),259,R
347,348.,Frank O'Rourke (14),258,R
348,348.,Frank Scheibeck (8),258,R
349,350.,Johnny Logan (13),257,R
350,350.,Lip Pike (10),257,L
351,350.,Ed Swartwood (9),257,R
352,353.,Fred Hartman (6),256,R
353,353.,Willie McCovey+ (22),256,L
354,353.,George Shoch (11),256,R
355,356.,Ken Caminiti (15),255,R
356,356.,Bill Coughlin (9),255,R
357,356.,Bobby Mathews (15),255,R
358,359.,Tom Downey (6),254,R
359,359.,Derek Jeter+ (20),254,R
360,359.,Fred Merkle (16),254,R
361,362.,Jimmy Macullar (6),253,L
362,363.,Sam Barkley (6),252,R
363,363.,Marty Marion (13),252,R
364,363.,Cy Seymour (16),252,L
365,366.,George Burns (16),251,R
366,366.,Emil Gross (5),251,R
367,366.,Stan Hack (16),251,R
368,366.,Joe Werrick (4),251,R
369,370.,Ossie Bluege (18),250,R
370,370.,Rafael Furcal (14),250,R
371,372.,Jim Canavan (5),249,R
372,372.,Rollie Zeider (9),249,R
373,374.,Dave Brain (7),247,R
374,374.,Hugh Duffy+ (17),247,R
375,374.,Hans Lobert (14),247,R
376,374.,George Moriarty (13),247,R
377,374.,Tim Wallach (17),247,R
378,379.,Aramis Ramirez (18),246,R
379,379.,Kip Selbach (13),246,R
380,379.,Red Smith (9),246,R
381,379.,Warren White (6),246,
382,383.,Dick Allen (15),245,R
383,383.,Bob Clark (7),245,R
384,383.,Joe Morgan+ (22),245,R
385,386.,John Anderson (14),244,R
386,386.,Scott Hastings (7),244,R
387,388.,Chipper Jones+ (19),243,R
388,388.,Mike Mowrey (13),243,R
389,390.,Royce Clayton (17),242,R
390,390.,Frank Isbell (10),242,R
391,392.,Roger Bresnahan+ (17),241,R
392,393.,Tony Perez+ (23),240,R
393,393.,Frank Taveras (11),240,R
394,393.,Ivey Wingo (17),240,R
395,396.,Joe Sullivan (4),239,
396,397.,George Myers (6),238,R
397,397.,Terry Pendleton (15),238,R
398,397.,Mike Smith (14),238,L
399,400.,Kitty Bransfield (12),237,R
