,Rank,"Player (yrs, age)",Games Finished,Throws
705,706.,Randy Choate (15),102,L
706,706.,Bruce Dal Canton (11),102,R
707,706.,Jim Kaat (25),102,L
708,706.,George Mogridge (15),102,L
709,706.,Joe Shaute (13),102,L
710,706.,Bill Simas (6),102,R
711,712.,Hi Bell (8),101,R
712,712.,Joe Grahe (7),101,R
713,712.,Dick Hyde (6),101,R
714,712.,Morrie Martin (10),101,L
715,712.,Mark Petkovsek (9),101,R
716,712.,"Hansel Robles (6, 29)",101,R
717,712.,Ray Searage (7),101,L
718,712.,Scott Service (12),101,R
719,712.,Bob Shaw (11),101,R
720,712.,Brian Shouse (10),101,L
721,712.,Jay Witasick (12),101,R
722,712.,Whit Wyatt (16),101,R
723,724.,"Alex Claudio (7, 28)",100,L
724,724.,Casey Cox (8),100,R
725,724.,John Curtis (15),100,L
726,724.,"Liam Hendriks (10, 31)",100,R
727,724.,Phil Hennigan (5),100,R
728,724.,Ron Herbel (9),100,R
729,724.,Ken Holloway (9),100,R
730,724.,"Daniel Hudson (11, 33)",100,R
731,724.,Kevin Jepsen (10),100,R
732,724.,Ron Mahay (15),100,L
733,724.,Nick Masset (8),100,R
734,724.,Mike Mohler (9),100,L
735,724.,Joe Nuxhall (16),100,L
736,724.,Mike Perez (8),100,R
737,724.,Bob Scanlan (9),100,R
738,724.,Tom Timmermann (6),100,R
739,740.,Dwayne Henry (11),99,R
740,740.,"Tommy Hunter (13, 33)",99,R
741,740.,Leo Kiely (7),99,L
742,740.,Eppa Rixey+ (21),99,L
743,740.,Tom Sturdivant (10),99,R
744,745.,Brian Boehringer (10),98,R
745,745.,Paul Derringer (15),98,R
746,745.,John Habyan (11),98,R
747,745.,Jack Meyer (7),98,R
748,745.,Steve Ridzik (12),98,R
749,745.,Scott Sauerbeck (7),98,L
750,745.,Jack Wilson (9),98,R
751,752.,"Fernando Abad (9, 34)",97,L
752,752.,Jose Bautista (9),97,R
753,752.,Brendan Donnelly (9),97,R
754,752.,Earl Hamilton (14),97,L
755,752.,"Will Harris (9, 35)",97,R
756,752.,Ray King (10),97,L
757,752.,John Montague (7),97,R
758,752.,Will Ohman (10),97,L
759,752.,Allie Reynolds (13),97,R
760,761.,Hal Carlson (14),96,R
761,761.,Jesse Haines+ (19),96,R
762,761.,Ira Hutchinson (8),96,R
763,761.,Akinori Otsuka (4),96,R
764,761.,Jim Owens (12),96,R
765,761.,Tony Pena (6),96,R
766,761.,Al Smith (12),96,L
767,768.,Bobby Burke (10),95,L
768,768.,Bill Fischer (9),95,R
769,768.,Burleigh Grimes+ (19),95,R
770,768.,Johnny Morrison (10),95,R
771,768.,"Brandon Morrow (12, 35)",95,R
772,768.,Minnie Rojas (3),95,R
773,768.,Duaner Sanchez (7),95,R
774,768.,Sergio Santos (6),95,R
775,768.,"Carlos Torres (10, 37)",95,R
776,777.,Mike Armstrong (8),94,R
777,777.,Jim Bagby (9),94,R
778,777.,Boom-Boom Beck (12),94,R
779,777.,Mel Harder (20),94,R
780,777.,Paul LaPalme (7),94,L
781,777.,Donn Pall (10),94,R
782,777.,"Yusmeiro Petit (13, 35)",94,R
783,777.,Cliff Politte (9),94,R
784,777.,Bob Priddy (9),94,R
785,777.,Jerry Reed (9),94,R
786,777.,Shawn Tolleson (5),94,R
787,788.,Antonio Bastardo (9),93,L
788,788.,Joe Beckwith (7),93,R
789,788.,Joe Black (6),93,R
790,788.,Bullet Joe Bush (17),93,R
791,788.,Bob Chipman (12),93,L
792,788.,Bob Duliba (7),93,R
793,788.,Dave Koslo (12),93,L
794,788.,Joe Niekro (22),93,R
795,788.,Don Nottebart (9),93,R
796,788.,Dave Stevens (7),93,R
797,788.,Allyn Stout (6),93,R
798,788.,Greg Swindell (17),93,L
799,800.,Phil Coke (9),92,L
800,800.,Adrian Devine (7),92,R
801,800.,Danny Farquhar (7),92,R
802,800.,Todd Frohwirth (9),92,R
803,800.,Johnny Lanning (11),92,R
804,800.,Ed Wells (11),92,L
805,800.,"Justin Wilson (9, 32)",92,L
806,807.,Alfredo Aceves (7),91,R
807,807.,Sandy Consuegra (8),91,R
808,807.,"Mychal Givens (6, 30)",91,R
809,807.,J.C. Gutierrez (6),91,R
810,807.,Ed Heusser (9),91,R
811,807.,Art Houtteman (12),91,R
812,807.,Odell Jones (9),91,R
813,807.,Ted Lyons+ (21),91,R
814,807.,Vladimir Núñez (9),91,R
815,807.,Tom Walker (6),91,R
816,817.,Babe Adams (19),90,R
817,817.,Stan Bahnsen (16),90,R
818,817.,Steve Barber (15),90,L
819,817.,Andy Hansen (9),90,R
820,817.,Jim Hughes (6),90,R
821,817.,Terry Mathews (8),90,R
822,817.,Anthony Telford (9),90,R
823,817.,Sloppy Thurston (9),90,R
824,817.,Bill Zuber (11),90,R
825,826.,Jim Coates (9),89,R
826,826.,Mike Dunn (11),89,L
827,826.,Charley Hall (9),89,R
828,826.,"T.J. McFarland (8, 31)",89,L
829,826.,"Dan Otero (8, 35)",89,R
830,826.,"Adam Ottavino (10, 34)",89,R
831,826.,Rip Sewell (13),89,R
832,826.,Marlin Stuart (6),89,R
833,826.,Matt Whiteside (11),89,R
834,826.,Michael Wuertz (8),89,R
835,836.,Jim Brower (9),88,R
836,836.,Bobby Castillo (9),88,R
837,836.,Bob Chakales (7),88,R
838,836.,Jean Dubuc (9),88,R
839,836.,Harry Eisenstat (8),88,L
840,836.,Benny Frey (8),88,R
841,836.,Chuck Hartenstein (7),88,R
842,836.,Percy Jones (9),88,L
843,836.,Marty Kutyna (4),88,R
844,836.,Mark Leiter (11),88,R
845,836.,Seunghwan Oh (4),88,R
846,847.,Salome Barojas (5),87,R
847,847.,Rocky Biddle (5),87,R
848,847.,Jared Burton (8),87,R
849,847.,Gene Harris (7),87,R
850,847.,Benn Karr (6),87,R
851,847.,Art Nehf (15),87,L
852,847.,Bud Norris (10),87,R
853,847.,Jim Poole (11),87,L
854,847.,Dave Stewart (16),87,R
855,847.,"Hunter Strickland (7, 31)",87,R
856,857.,"Dellin Betances (9, 32)",86,R
857,857.,Cris Carpenter (8),86,R
858,857.,Watty Clark (12),86,L
859,857.,Bert Cole (6),86,L
860,857.,Fritz Coumbe (8),86,L
861,857.,Josh Fields (6),86,R
862,857.,Bob Hooper (6),86,R
863,857.,Mike James (7),86,R
864,857.,Mickey McDermott (12),86,L
865,857.,Paul Mirabella (13),86,L
866,857.,Fritz Ostermueller (15),86,L
867,857.,Tommy Thomas (12),86,R
868,857.,Jim Turner (9),86,R
869,857.,Jordan Walden (6),86,R
870,871.,Pat Clements (8),85,L
871,871.,Storm Davis (13),85,R
872,871.,Arnold Earley (8),85,L
873,871.,Claude Passeau (13),85,R
874,871.,Billy Pierce (18),85,L
875,871.,Frank Williams (6),85,R
876,877.,Bob Allen (5),84,L
877,877.,Ivy Andrews (8),84,R
878,877.,Larry Bearnarth (5),84,R
879,877.,Neal Cotts (10),84,L
880,877.,Joe Dobson (14),84,R
881,877.,Sam Gray (10),84,R
882,877.,Harvey Haddix (14),84,L
883,877.,Don Hood (10),84,L
884,877.,Tom Johnson (5),84,R
885,877.,George Kontos (8),84,R
886,877.,Wilton Lopez (6),84,R
887,877.,Joe Price (11),84,L
888,877.,Cesar Ramos (8),84,L
889,877.,Gary Ross (10),84,R
890,877.,Todd Van Poppel (11),84,R
891,877.,Cy Young+ (22),84,R
892,877.,Jeff Zimmerman (3),84,R
893,894.,Jack Billingham (13),83,R
894,894.,Pedro Borbon (9),83,L
895,894.,Bucky Brandon (7),83,R
896,894.,Lou Brissie (7),83,L
897,894.,Don Carman (10),83,L
898,894.,"Brett Cecil (10, 33)",83,L
899,894.,Wilbur Cooper (15),83,L
900,894.,Tim Crews (6),83,R
901,894.,Joey Eischen (10),83,L
902,894.,Claude Hendrix (10),83,R
903,894.,Bob Klinger (8),83,R
904,894.,"Jose Leclerc (5, 26)",83,R
905,894.,Josias Manzanillo (11),83,R
906,894.,Rusty Meacham (8),83,R
907,894.,Cla Meredith (6),83,R
908,894.,Phil Niekro+ (24),83,R
909,894.,Jose Paniagua (8),83,R
910,894.,"Ryan Pressly (8, 31)",83,R
911,894.,Mike Proly (7),83,R
912,894.,"Craig Stammen (11, 36)",83,R
913,894.,Bill Wilson (5),83,R
914,894.,Tom Zachary (19),83,L
915,916.,Rube Benton (15),82,L
916,916.,John Candelaria (19),82,L
917,916.,Jeff Dedmon (6),82,R
918,916.,"Jake Diekman (9, 33)",82,L
919,916.,Chad Durbin (14),82,R
920,916.,Rube Ehrhardt (6),82,R
921,916.,Carl Hubbell+ (16),82,L
922,916.,Dave Jolly (5),82,R
923,916.,Rube Marquard+ (18),82,L
924,916.,Brett Myers (12),82,R
925,916.,Bob Reynolds (6),82,R
926,916.,Scott Strickland (7),82,R
927,916.,Ed Vosberg (10),82,L
928,929.,Pete Alexander+ (20),81,R
929,929.,Chris Hatcher (9),81,R
930,929.,J.J. Hoover (7),81,R
931,929.,Ricky Horton (7),81,L
932,929.,Hank Johnson (12),81,R
933,929.,Matt Karchner (6),81,R
934,929.,Jack Lamabe (7),81,R
935,929.,Jim Lindsey (9),81,R
936,929.,Lou North (7),81,R
937,929.,Bill Scherrer (7),81,L
938,929.,Curt Schilling (20),81,R
939,929.,Bill Trotter (7),81,R
940,929.,Carl Willis (9),81,R
941,942.,Dave Baldwin (6),80,R
942,942.,"Rex Brothers (8, 32)",80,L
943,942.,Rich DeLucia (10),80,R
944,942.,Pedro Feliciano (9),80,L
945,942.,Chad Gaudin (11),80,R
946,942.,Johnny Gorsica (7),80,R
947,942.,Art Herring (11),80,R
948,942.,Bob Miller (10),80,R
949,942.,"Oliver Perez (18, 38)",80,L
950,942.,Bill Pleis (6),80,L
951,942.,Ed Reulbach (13),80,R
952,942.,Johnny Schmitz (13),80,L
953,942.,Jim York (7),80,R
954,955.,Roger Craig (12),79,R
955,955.,Willie Fraser (8),79,R
956,955.,Frank Funk (4),79,R
957,955.,Randy Gumpert (10),79,R
958,955.,"Josh Hader (4, 26)",79,L
959,955.,Joe Hesketh (11),79,L
960,955.,Kevin Hickey (6),79,L
961,955.,Al Hollingsworth (11),79,L
962,955.,Al Mamaux (12),79,R
963,955.,Sean Marshall (9),79,L
964,955.,Guy Morton (11),79,R
965,955.,Hal Newhouser+ (17),79,L
966,955.,Hub Pruett (7),79,L
967,955.,George Smith (8),79,R
968,969.,"Manny Acosta (6, 39)",78,R
969,969.,Jesse Barnes (13),78,R
970,969.,Bill Bayne (9),78,L
971,969.,Joba Chamberlain (10),78,R
972,969.,Clark Griffith+ (21),78,R
973,969.,Slim Harriss (9),78,R
974,969.,Bobby Hogue (5),78,R
975,969.,Jack Knott (11),78,R
976,969.,Emil Kush (6),78,R
977,969.,Roxie Lawson (9),78,R
978,969.,Vern Law (16),78,R
979,969.,Vic Lombardi (6),78,L
980,969.,Manny Sarmiento (7),78,R
981,969.,Chris Short (15),78,L
982,969.,Frank Smith (11),78,R
983,969.,Mark Thurmond (8),78,L
984,969.,Gary Wagner (6),78,R
985,969.,Tim Wakefield (19),78,R
986,969.,John Wasdin (12),78,R
987,969.,Blake Wood (7),78,R
988,969.,Sam Zoldak (9),78,L
989,990.,Brian Bruney (9),77,R
990,990.,Mike Caldwell (14),77,L
991,990.,Dizzy Dean+ (12),77,R
992,990.,Carlos Diaz (5),77,L
993,990.,Mike Garcia (14),77,R
994,990.,Joe Grzenda (8),77,L
995,990.,Dan Jennings (8),77,L
996,990.,Barry Latman (11),77,R
997,990.,Bob McGraw (9),77,R
998,990.,Clarence Mitchell (18),77,L
999,990.,Lynn Nelson (7),77,R
1000,990.,Eddie Plank+ (17),77,L
1001,990.,Lew Richie (8),77,R
1002,990.,Lee Stange (10),77,R
1003,990.,Joe Thatcher (9),77,L
1004,990.,Wesley Wright (8),77,L
