,Rank,"Player (yrs, age)",Games Finished,Throws
161,161.,Claude Raymond (12),270,R
162,163.,Eric Gagne (10),269,R
163,164.,Joe Borowski (12),268,R
164,164.,Joe Hoerner (14),268,L
165,166.,Larry Andersen (17),267,R
166,166.,Jack Baldschun (9),267,R
167,166.,Tom Hume (11),267,R
168,169.,Greg Harris (15),266,R
169,169.,Jim Konstanty (11),266,R
170,171.,Mark Davis (15),265,L
171,171.,Jorge Julio (9),265,R
172,173.,Diego Segui (15),264,R
173,173.,Brad Ziegler (11),264,R
174,175.,Stan Belinda (12),263,R
175,176.,Tim Burke (8),262,R
176,176.,Tim Stoddard (13),262,R
177,178.,Jim Gott (14),261,R
178,179.,Carlos Marmol (9),259,R
179,180.,Paul Lindblad (14),258,L
180,181.,Joe Boever (12),257,R
181,181.,Steve Howe (12),257,L
182,183.,Ellis Kinder (12),255,R
183,183.,Turk Lown (11),255,R
184,185.,Jim Kern (13),254,R
185,186.,Bill Henry (16),253,L
186,187.,Brian Wilson (9),252,R
187,188.,Clint Brown (15),250,R
188,189.,B.J. Ryan (11),249,L
189,190.,"Roberto Osuna (6, 25)",247,R
190,191.,"Zack Britton (10, 32)",246,L
191,191.,Gerry Staley (15),246,R
192,193.,"Wade Davis (12, 34)",245,R
193,193.,Larry Sherry (11),245,R
194,195.,Curt Leskanic (11),244,R
195,195.,Dick Tidrow (13),244,R
196,197.,Chris Perez (7),242,R
197,197.,Tim Worrell (14),242,R
198,199.,Rafael Betancourt (12),241,R
199,199.,Brandon Lyon (12),241,R
200,201.,Don Elston (9),240,R
201,201.,Charlie Hough (25),240,R
202,201.,Eddie Watt (10),240,R
203,204.,Dick Hall (19),237,R
204,204.,Jeff Nelson (15),237,R
205,206.,Ryan Madson (13),236,R
206,207.,Don Aase (13),235,R
207,208.,Eric Plunk (14),234,R
208,209.,Bob McClure (19),233,L
209,209.,Ted Power (13),233,R
210,209.,Addison Reed (8),233,R
211,212.,Joe Heving (13),232,R
212,212.,Alejandro Pena (15),232,R
213,214.,Jose Jimenez (7),231,R
214,214.,Steve Kline (11),231,L
215,216.,Chad Cordero (7),230,R
216,216.,Cecil Upshaw (9),230,R
217,218.,Donnie Moore (13),229,R
218,219.,Glen Perkins (12),228,L
219,219.,Paul Quantrill (14),228,R
220,221.,Mark Eichhorn (11),226,R
221,222.,Dan Miceli (14),225,R
222,223.,"Jeurys Familia (9, 30)",224,R
223,223.,Esteban Yan (11),224,R
224,225.,Dan Spillner (12),223,R
225,226.,Neil Allen (11),222,R
226,227.,Mike DeJean (10),220,R
227,227.,Moe Drabowsky (17),220,R
228,229.,Skip Lockwood (13),219,R
229,230.,Jack Quinn (23),218,R
230,231.,Ace Adams (6),217,R
231,231.,Alan Embree (16),217,L
232,233.,Doug Corbett (8),216,R
233,233.,Frank DiPino (12),216,L
234,233.,Dick Drago (13),216,R
235,233.,Al Holland (10),216,L
236,233.,Brandon League (11),216,R
237,238.,Danny Frisella (10),215,R
238,239.,Bobby Ayala (8),214,R
239,239.,Sid Monge (10),214,L
240,239.,Jon Rauch (11),214,R
241,242.,Joel Hanrahan (7),213,R
242,243.,Darren Holmes (13),212,R
243,243.,Guillermo Mota (14),212,R
244,243.,Clyde Shoun (14),212,L
245,246.,Ed Nunez (13),211,R
246,247.,Tom Ferrick (9),210,R
247,248.,Mike MacDougal (12),209,R
248,248.,Jack Russell (15),209,R
249,250.,Hector Carrasco (12),207,R
250,250.,"Edwin Diaz (5, 26)",207,R
251,250.,"Trevor Rosenthal (8, 30)",207,R
252,250.,Koji Uehara (9),207,R
253,254.,Mace Brown (10),206,R
254,254.,Ed Farmer (11),206,R
255,254.,Ryan Franklin (12),206,R
256,254.,Syl Johnson (19),206,R
257,254.,Gary Lucas (8),206,L
258,254.,Ed Roebuck (11),206,R
259,260.,"Sean Doolittle (9, 33)",205,L
260,260.,Jason Frasor (12),205,R
261,260.,"Ken Giles (7, 29)",205,R
262,263.,Rob Dibble (7),204,R
263,263.,Tom Morgan (12),204,R
264,263.,Tom Murphy (12),204,R
265,263.,John Smoltz+ (21),204,R
266,267.,Grant Balfour (12),203,R
267,267.,"Alex Colome (8, 31)",203,R
268,267.,"Neftali Feliz (9, 32)",203,R
269,270.,"Raisel Iglesias (6, 30)",202,R
270,271.,Terry Adams (11),201,R
271,271.,Jim Brosnan (9),201,R
272,271.,Kazuhiro Sasaki (4),201,R
273,274.,Doug Bird (11),199,R
274,274.,Jason Grilli (15),199,R
275,274.,Casey Janssen (9),199,R
276,277.,Juan Agosto (13),198,L
277,277.,Bill Castro (10),198,R
278,277.,Steve Foucault (6),198,R
279,277.,Matt Herges (11),198,R
280,277.,Wilbur Wood (17),198,L
281,282.,"AJ Ramos (8, 33)",197,R
282,282.,Steve Reed (14),197,R
283,282.,Mike Schooler (6),197,R
284,285.,Matt Mantei (10),196,R
285,285.,Hal Woodeshick (11),196,L
286,287.,Mike Fornieles (12),195,R
287,287.,Buddy Groom (14),195,L
288,287.,Mike Myers (13),195,L
289,287.,Jeff Parrett (10),195,R
290,287.,Mike Trombley (11),195,R
291,292.,"Tyler Clippard (14, 35)",194,R
292,292.,Dick Coffman (15),194,R
293,292.,Rawly Eastwick (8),194,R
294,292.,Bob James (8),194,R
295,292.,Byung-Hyun Kim (9),194,R
296,292.,Billy Taylor (7),194,R
297,298.,George Frazier (10),193,R
298,299.,Bobby Shantz (16),192,L
299,300.,Shigetoshi Hasegawa (9),191,R
300,301.,"Hector Rondon (8, 32)",190,R
301,301.,Justin Speier (12),190,R
302,301.,Ted Wilks (10),190,R
303,304.,Hugh Casey (9),189,R
304,304.,Pete Mikkelsen (9),189,R
305,304.,Takashi Saito (7),189,R
306,307.,Al McBean (10),187,R
307,307.,Drew Storen (8),187,R
308,307.,Dan Wheeler (13),187,R
309,310.,Pete Appleton (14),186,R
310,310.,Ryan Dempster (16),186,R
311,310.,Charlie Root (17),186,R
312,313.,Joaquin Benoit (16),185,R
313,313.,Frank Francisco (10),185,R
314,313.,Mike Gonzalez (11),185,L
315,313.,Don Robinson (15),185,R
316,317.,Ramon Hernandez (9),184,L
317,317.,Jerry Johnson (10),184,R
318,317.,Juan Carlos Oviedo (8),184,R
319,317.,Julian Tavarez (17),184,R
320,317.,Turk Wendell (11),184,R
321,322.,Jerry Dipoto (8),183,R
322,322.,Eddie Rommel (13),183,R
323,324.,Andrew Bailey (8),182,R
324,324.,Joe Page (8),182,L
325,324.,Pedro Ramos (15),182,R
326,327.,Steve Hamilton (12),181,L
327,327.,Mark Littell (9),181,R
