,Rank,"Player (yrs, age)",Putouts,Throws
256,257.,"Yasmani Grandal (9, 31)",7051,R
257,258.,Deron Johnson (16),7038,R
258,259.,"Wilson Ramos (11, 32)",7019,R
259,260.,Patsy Tebeau (13),7018,R
260,261.,Mike Jorgensen (17),6983,L
261,262.,Darin Erstad (14),6963,L
262,263.,Dale Long (10),6960,L
263,264.,Mike Epstein (9),6957,L
264,265.,Tris Speaker+ (22),6935,L
265,266.,Victor Martinez (16),6888,R
266,267.,Kevin Millar (12),6881,R
267,268.,Paul Lo Duca (11),6879,R
268,269.,Buddy Hassett (7),6862,L
269,270.,Rod Barajas (14),6817,R
270,271.,Vic Wertz (17),6807,R
271,272.,"Yonder Alonso (10, 33)",6791,R
272,273.,Casey Kotchman (10),6768,L
273,274.,Darrell Porter (17),6767,R
274,275.,Dave Foutz (13),6763,R
275,276.,Terry Kennedy (14),6754,R
276,277.,John Buck (11),6736,R
277,278.,Mickey Mantle+ (18),6734,R
278,279.,Jim Gentile (9),6725,L
279,280.,Damian Miller (11),6702,R
280,281.,Jack Boyle (13),6684,R
281,282.,Miguel Olivo (13),6683,R
282,283.,Darrin Fletcher (14),6678,R
283,284.,Lee Stevens (10),6671,L
284,285.,B.J. Surhoff (19),6661,R
285,286.,Ryan Klesko (16),6660,L
286,287.,Al Lopez+ (19),6654,R
287,288.,Manny Sanguillen (13),6646,R
288,289.,"José Abreu (7, 33)",6645,R
289,290.,Perry Werden (7),6631,R
290,291.,"Alex Avila (12, 33)",6630,R
291,292.,Eddie Collins+ (25),6621,R
292,293.,George Grantham (13),6611,R
293,294.,Todd Hundley (14),6577,R
294,295.,Rusty Staub (23),6572,R
295,296.,"Salvador Perez (9, 30)",6558,R
296,297.,Bid McPhee+ (18),6556,R
297,298.,Rick Cerone (18),6555,R
298,299.,Felipe Alou (17),6537,R
299,300.,Roy Campanella+ (10),6520,R
300,301.,Ty Cobb+ (24),6507,R
301,302.,Rickey Henderson+ (25),6468,L
302,303.,Mark Reynolds (13),6456,R
303,304.,Gus Triandos (13),6443,R
304,305.,Mickey Cochrane+ (13),6414,R
305,306.,Rabbit Maranville+ (23),6413,R
306,307.,Max Carey+ (20),6363,R
307,308.,Buck Ewing+ (18),6355,R
308,309.,Frank Robinson+ (21),6346,R
309,310.,Thurman Munson (11),6342,R
310,311.,Dale Murphy (18),6319,R
311,312.,Rico Brogna (9),6282,L
312,313.,Butch Wynegar (13),6281,R
313,314.,"Jeff Mathis (16, 37)",6272,R
314,315.,Buck Jordan (10),6266,R
315,316.,Paul Sorrento (11),6251,R
316,317.,Julio Franco (23),6249,R
317,318.,Andre Thornton (14),6239,R
318,319.,Brent Mayne (15),6192,R
319,320.,Earl Battey (13),6176,R
320,321.,Danny Cater (12),6175,R
321,322.,"Yan Gomes (9, 32)",6158,R
322,322.,Don Slaught (16),6158,R
323,324.,Gregg Zaun (16),6137,R
324,325.,Joe Oliver (13),6132,R
325,326.,Michael Barrett (12),6115,R
326,327.,Dioner Navarro (13),6113,R
327,328.,Steve Yeager (15),6110,R
328,329.,Nellie Fox+ (19),6102,R
329,330.,Richie Ashburn+ (15),6094,R
330,331.,Ernie Whitt (15),6091,R
331,332.,Ed Delahanty+ (16),6076,R
332,333.,Leon Durham (10),6072,L
333,334.,Jose Molina (15),6056,R
334,335.,Nick Hundley (12),6046,R
335,336.,John Kruk (10),6022,L
336,337.,Mike Sweeney (16),6015,R
337,338.,Pedro Guerrero (15),6007,R
338,339.,Adam Dunn (14),6002,R
339,340.,Brian Schneider (13),5988,R
340,341.,Cesar Cedeno (17),5984,R
341,342.,Mike Stanley (15),5971,R
342,343.,Steve O'Neill (17),5968,R
343,344.,Shano Collins (16),5959,R
344,345.,Al Kaline+ (22),5938,R
345,346.,Jack O'Connor (21),5935,R
346,347.,Ed Morgan (7),5917,R
347,348.,Joe Carter (16),5890,R
348,349.,Rollie Hemsley (19),5887,R
349,350.,Robin Yount+ (20),5855,R
350,351.,Darren Daulton (14),5835,R
351,351.,Dave Kingman (16),5835,R
352,353.,Greg Walker (9),5828,R
353,354.,John Flaherty (14),5785,R
354,355.,Dale Alexander (5),5769,R
355,356.,"Jason Castro (10, 33)",5767,R
356,357.,Randy Hundley (14),5765,R
357,358.,Del Bissonette (5),5760,L
358,359.,Joe Morgan+ (22),5758,R
359,360.,"Tyler Flowers (12, 34)",5730,R
360,361.,Henry Blanco (16),5709,R
361,362.,Ernie Lombardi+ (17),5694,R
362,363.,John Bateman (10),5686,R
363,364.,Steve Finley (19),5664,L
364,365.,Gerald Perry (13),5639,R
365,366.,Barry Bonds (22),5637,L
366,367.,Tony Lupien (6),5633,L
367,368.,Duke Farrell (18),5627,R
368,369.,Wally Schang (19),5622,R
369,370.,Gus Mancuso (17),5613,R
370,371.,Ken Griffey Jr.+ (22),5607,L
371,372.,Mike Macfarlane (13),5597,R
372,373.,Steve Balboni (11),5579,R
373,374.,Jody Davis (10),5577,R
374,374.,Johnny Kling (13),5577,R
375,376.,Hughie Jennings+ (18),5576,R
376,377.,Joe Kelley+ (17),5562,R
377,378.,Clay Dalrymple (12),5557,R
378,379.,Red Dooin (15),5538,R
379,380.,Von Hayes (12),5536,R
380,381.,Sam Leslie (10),5523,L
381,382.,Luke Sewell (20),5522,R
382,383.,Paul Waner+ (20),5513,L
383,384.,Billy Goodman (16),5511,R
384,385.,Geovany Soto (13),5506,R
385,386.,George Brett+ (21),5503,R
386,387.,Jim O'Rourke+ (23),5494,R
387,388.,Joe Harris (10),5490,R
388,389.,"Martin Maldonado (10, 33)",5475,R
389,390.,Yorvit Torrealba (13),5457,R
390,391.,Jeff Reed (17),5455,R
391,392.,Dwight Evans (20),5450,R
392,393.,Willie Davis (18),5449,L
393,394.,Charlie Gehringer+ (19),5446,R
394,395.,Enos Cabell (15),5442,R
395,396.,Joe Hauser (6),5430,L
396,397.,Jarrod Saltalamacchia (12),5428,R
397,398.,Doc Cramer (20),5413,R
398,399.,Wilbert Robinson+ (17),5408,R
399,400.,Pat Borders (17),5398,R
