,Rank,"Player (yrs, age)",Earned Run Average,Throws
480,480.,Jack Kralick (9),3.562,L
481,482.,Ice Box Chamberlain (10),3.565,R
482,483.,Jim O'Toole (10),3.566,L
483,484.,Rick Aguilera (16),3.568,R
484,485.,Bill Bailey (11),3.569,L
485,485.,Bob Wickman (15),3.569,R
486,487.,"Lance Lynn (9, 33)",3.571,R
487,488.,Tommy Bridges (16),3.573,R
488,489.,Jim Bouton (10),3.575,R
489,490.,Bill Swift (11),3.578,R
490,491.,Ray Culp (11),3.579,R
491,492.,Johnny Lanning (11),3.580,R
492,493.,Joaquin Andujar (13),3.582,R
493,493.,Pat Jarvis (8),3.582,R
494,495.,Larry Jansen (9),3.583,R
495,496.,Bob Friend (16),3.584,R
496,496.,Jim Nash (7),3.584,R
497,498.,John Denny (13),3.585,R
498,498.,Denny Lemaster (11),3.585,L
499,500.,Charlie Root (17),3.586,R
500,501.,Sam Jones (12),3.587,R
501,502.,Waite Hoyt+ (21),3.588,R
502,502.,Johnny Rigney (8),3.588,R
503,504.,Bill Hutchison (9),3.589,R
504,504.,Bill Walker (10),3.589,L
505,506.,Pete Conway (5),3.591,R
506,507.,Happy Townsend (6),3.592,R
507,508.,"Dallas Keuchel (9, 32)",3.593,L
508,508.,Joe Niekro (22),3.593,R
509,510.,Rick Rhoden (16),3.595,R
510,511.,Frank Sullivan (11),3.596,R
511,512.,Ken Raffensberger (15),3.597,L
512,513.,Herb Pennock+ (22),3.598,L
513,514.,Wiley Piatt (6),3.599,L
514,514.,Willie Sudhoff (10),3.599,R
515,516.,Dave Giusti (15),3.602,R
516,516.,"Jon Lester (15, 36)",3.602,L
517,518.,Stan Bahnsen (16),3.605,R
518,519.,Tom Morgan (12),3.606,R
519,519.,Stump Weidman (9),3.606,R
520,521.,Teddy Higuera (9),3.613,L
521,521.,Jim McGlothlin (9),3.613,R
522,523.,Red Donahue (13),3.614,R
523,524.,Marty Pattin (13),3.620,R
524,525.,George Brunet (15),3.621,L
525,525.,Ralph Terry (12),3.621,R
526,527.,Dick Drago (13),3.624,R
527,527.,Ed Halicki (7),3.624,R
528,527.,Bill Lee (14),3.624,L
529,530.,Joe Dobson (14),3.625,R
530,531.,Clem Labine (13),3.626,R
531,531.,Jered Weaver (12),3.626,R
532,533.,Harvey Haddix (14),3.628,L
533,534.,Steve Blass (10),3.629,R
534,535.,Mudcat Grant (14),3.630,R
535,536.,Firpo Marberry (14),3.631,R
536,537.,Mike Timlin (18),3.632,R
537,538.,Camilo Pascual (18),3.633,R
538,539.,Jake Peavy (15),3.635,R
539,539.,Dan Plesac (18),3.635,L
540,541.,Mat Latos (9),3.636,R
541,542.,Jerry Reuss (22),3.637,L
542,543.,Fred Norman (16),3.638,L
543,543.,Bob Stanley (13),3.638,R
544,545.,Danny Cox (11),3.640,R
545,546.,Jesse Haines+ (19),3.641,R
546,547.,Bob Turley (12),3.642,R
547,548.,Jason Isringhausen (16),3.644,R
548,549.,Johnny Morrison (10),3.647,R
549,550.,Bob Rush (13),3.648,R
550,551.,Bob Ojeda (15),3.649,L
551,552.,Al Fitzmorris (10),3.651,R
552,553.,Jim Merritt (11),3.653,L
553,554.,Lew Burdette (18),3.656,R
554,554.,Murry Dickson (18),3.656,R
555,556.,Al Benton (14),3.657,R
556,557.,Jersey Bakley (6),3.660,R
557,557.,Britt Burns (8),3.660,L
558,557.,Bruce Kison (15),3.660,R
559,557.,Eric Show (11),3.660,R
560,561.,Virgil Barnes (9),3.661,R
561,561.,Pete Vuckovich (11),3.661,R
562,563.,Watty Clark (12),3.662,L
563,563.,Frank Tanana (21),3.662,L
564,563.,Carlos Zambrano (12),3.662,R
565,566.,Atlee Hammaker (12),3.663,L
566,566.,Dave Wickersham (10),3.663,R
567,568.,John Buzhardt (11),3.665,R
568,568.,Ramon Martinez (14),3.665,R
569,570.,Dick Bosman (11),3.666,R
570,571.,Dick Donovan (15),3.667,R
571,571.,Henry Gruber (5),3.667,R
572,573.,Ted Lyons+ (21),3.668,R
573,574.,Kerry Wood (14),3.672,R
574,575.,Chick Fraser (14),3.673,R
575,576.,Bob Klinger (8),3.675,R
576,576.,Johnny Podres (15),3.675,L
577,578.,Bob Knepper (15),3.676,L
578,579.,Jesse Petty (7),3.679,L
579,580.,Matt Cain (13),3.681,R
580,580.,John Ewing (6),3.681,R
581,580.,Cinders O'Brien (4),3.681,R
582,583.,Harry Gumbert (15),3.682,R
583,583.,Dave Koslo (12),3.682,L
584,585.,Mike Mussina+ (18),3.683,R
585,586.,Dick Tidrow (13),3.684,R
586,587.,Gary Bell (12),3.685,R
587,587.,Bill Monbouquette (11),3.685,R
588,589.,Greg Harris (15),3.687,R
589,589.,Rick Wise (18),3.687,R
590,591.,Kirby Higbe (12),3.688,R
591,592.,Dave Goltz (12),3.689,R
592,592.,Jack Sanford (12),3.689,R
593,594.,Jack Lynch (7),3.690,R
594,595.,Ed Heusser (9),3.693,R
595,596.,Earl Wilson (11),3.694,R
596,597.,Dennis Leonard (12),3.695,R
597,598.,Joe Coleman (15),3.696,R
598,599.,Dennis Martinez (23),3.697,R
599,599.,Gerry Staley (15),3.697,R
600,601.,Blue Moon Odom (13),3.698,R
601,602.,Henry Porter (6),3.699,R
602,603.,"Gio Gonzalez (13, 34)",3.702,L
603,604.,Orlando Pena (14),3.706,R
604,605.,Moe Drabowsky (17),3.707,R
605,606.,Charlie Leibrandt (14),3.712,L
606,607.,Vern Bickford (7),3.713,R
607,608.,Dick Ellsworth (13),3.716,L
608,609.,Steve Busby (8),3.717,R
609,610.,Chad Billingsley (9),3.719,R
610,611.,Bill Sherdel (15),3.720,L
611,612.,Doug Fister (10),3.721,R
612,612.,Rick Honeycutt (21),3.721,L
613,612.,Red Lucas (16),3.721,R
614,612.,Vic Raschi (10),3.721,R
615,616.,Tom Bradley (7),3.723,R
616,617.,Fred Hutchinson (11),3.725,R
617,617.,Al Smith (12),3.725,L
618,619.,"Jose Quintana (9, 31)",3.726,L
619,620.,Mike McCormick (16),3.728,L
620,620.,Cy Seymour (16),3.728,L
621,620.,Frank Viola (15),3.728,L
622,620.,Tom Zachary (19),3.728,L
623,624.,Ned Garver (14),3.731,R
624,624.,Vern Ruhle (13),3.731,R
625,626.,Tom Candiotti (16),3.732,R
626,627.,Carl Morton (8),3.734,R
627,628.,Ed Doheny (9),3.735,L
628,628.,Doug Drabek (13),3.735,R
629,630.,Pat Malone (10),3.736,R
630,630.,CC Sabathia (19),3.736,L
631,632.,Alex Fernandez (10),3.737,R
632,632.,Jack Stivetts (11),3.737,R
633,634.,Kevin Appier (16),3.738,R
634,634.,C.J. Wilson (11),3.738,L
635,636.,Alan Foster (10),3.739,R
636,636.,"Masahiro Tanaka (7, 31)",3.739,R
637,636.,Adonis Terry (14),3.739,R
638,639.,Tim Lincecum (10),3.740,R
639,640.,Ernie Broglio (8),3.742,R
640,640.,Zane Smith (13),3.742,L
641,642.,Geoff Zahn (13),3.743,L
642,643.,Hank O'Day+ (7),3.744,R
643,643.,Tom Sturdivant (10),3.744,R
644,643.,Craig Swan (12),3.744,R
645,646.,Dan Schatzeder (15),3.745,L
646,647.,Max Butcher (10),3.746,R
647,647.,Howard Ehmke (15),3.746,R
648,647.,Charlie Hough (25),3.746,R
649,650.,Jeff Russell (14),3.748,R
650,651.,Ron Kline (17),3.751,R
651,652.,Johnny Allen (13),3.752,R
652,653.,Dan Haren (13),3.753,R
653,653.,Bill Hoffer (6),3.753,R
654,655.,Vic Aldridge (9),3.756,R
655,655.,Jim Bibby (12),3.756,R
656,657.,Doyle Alexander (19),3.757,R
657,657.,Ray Kremer (10),3.757,R
658,659.,"Jake Arrieta (11, 34)",3.758,R
659,660.,Chris Carpenter (15),3.759,R
660,660.,Larry Gura (16),3.759,L
661,662.,Jose DeLeon (13),3.762,R
662,663.,Bob Forsch (16),3.765,R
663,664.,Vern Law (16),3.766,R
664,665.,"Carlos Carrasco (11, 33)",3.767,R
665,665.,Luke Hamlin (9),3.767,R
666,667.,Woodie Fryman (18),3.770,L
667,668.,Joey Jay (13),3.772,R
668,669.,Chuck Dobson (9),3.776,R
669,670.,Frank Killen (10),3.777,L
670,670.,Doc Medich (11),3.777,R
671,670.,Tom Murphy (12),3.777,R
672,670.,Ben Sheets (10),3.777,R
673,674.,Orval Grove (10),3.778,R
674,675.,Don Larsen (14),3.779,R
675,676.,Johnny Humphries (9),3.781,R
676,677.,David Palmer (10),3.782,R
677,677.,Dave Roberts (13),3.782,L
678,679.,Ray Sadecki (18),3.783,L
679,680.,Don Robinson (15),3.787,R
680,680.,Whit Wyatt (16),3.787,R
681,682.,Bob Porterfield (12),3.789,R
682,683.,Ralph Branca (12),3.790,R
683,684.,Larry Christenson (11),3.792,R
684,684.,Bob Purkey (13),3.792,R
685,686.,Kid Gleason (22),3.793,R
686,686.,Ed Whitson (15),3.793,R
687,688.,Don Aase (13),3.797,R
688,689.,Red Ruffing+ (22),3.798,R
689,690.,Mike Boddicker (14),3.801,R
690,690.,Mel Harder (20),3.801,R
691,692.,Al Leiter (19),3.802,L
692,692.,Bob Muncrief (12),3.802,R
693,694.,Jim Colborn (10),3.803,R
694,694.,John Smiley (12),3.803,L
695,696.,Al Javery (7),3.804,R
696,697.,Bob McClure (19),3.806,L
697,698.,Joe Magrane (8),3.808,L
698,699.,Ross Grimsley (11),3.809,L
699,699.,Jim Hearn (13),3.809,R
700,699.,Diego Segui (15),3.809,R
701,702.,"Julio Teheran (10, 29)",3.810,R
702,703.,Mike Caldwell (14),3.811,L
703,704.,Joe Oeschger (12),3.812,R
704,704.,Paul Splittorff (15),3.812,L
705,706.,Mark Buehrle (16),3.813,L
706,706.,Harry Staley (8),3.813,R
707,708.,Hal Brown (14),3.814,R
708,708.,Jock Menefee (9),3.814,R
709,710.,Eric Plunk (14),3.816,R
710,711.,Gene Conley (11),3.818,R
711,712.,Bob Shirley (11),3.821,L
712,713.,Eddie Smith (10),3.824,L
713,714.,Roger Craig (12),3.825,R
714,715.,Paul Quantrill (14),3.827,R
715,716.,Jack Billingham (13),3.828,R
716,717.,Andy Hassler (14),3.830,L
717,718.,Red Munger (10),3.831,R
718,719.,Joaquin Benoit (16),3.832,R
719,719.,Hugh McQuillan (10),3.832,R
720,721.,Mike Witt (12),3.833,R
721,722.,"Tanner Roark (8, 33)",3.834,R
722,722.,Bill Voiselle (9),3.834,R
723,724.,Egyptian Healy (8),3.835,R
724,725.,Phil Regan (13),3.836,R
725,726.,Danny Darwin (21),3.837,R
726,726.,Clay Kirby (8),3.837,R
727,728.,Sad Sam Jones (22),3.838,R
728,729.,Bud Black (15),3.840,L
729,729.,Scott Sanderson (19),3.840,R
730,731.,"Patrick Corbin (8, 30)",3.842,L
731,732.,Frank Dwyer (12),3.844,R
732,733.,Chuck Finley (17),3.845,L
733,734.,Jaime Garcia (10),3.846,L
734,735.,Eric Rasmussen (8),3.847,R
735,736.,Bob Barr (5),3.848,R
736,737.,Bob Bruce (9),3.849,R
737,737.,Andy Pettitte (18),3.849,L
738,737.,Jack Scott (12),3.849,R
739,740.,Vinegar Bend Mizell (9),3.850,L
740,741.,Tom Hume (11),3.854,R
741,741.,Jack McDowell (12),3.854,R
742,743.,Guy Bush (17),3.855,R
743,743.,Ed Cushman (6),3.855,L
744,745.,Jim Lonborg (15),3.857,R
745,745.,Greg Swindell (17),3.857,L
746,747.,"Chris Archer (8, 31)",3.862,R
747,748.,Ed Brandt (11),3.865,L
748,748.,Jim Gott (14),3.865,R
749,750.,Scott Stratton (8),3.867,R
750,751.,Pete Donohue (12),3.873,R
751,751.,Schoolboy Rowe (15),3.873,R
752,753.,Ron Darling (13),3.874,R
753,754.,Joe Hatten (7),3.875,L
754,755.,Jakie May (14),3.877,L
755,756.,Josh Beckett (14),3.879,R
756,757.,Dave Danforth (10),3.885,L
757,757.,Gus Weyhing (14),3.885,R
758,759.,Wayne Garland (9),3.886,R
759,759.,Billy Loes (11),3.886,R
760,761.,Pete Harnisch (14),3.887,R
761,761.,Tom Underwood (11),3.887,L
762,763.,George Smith (8),3.889,R
763,763.,George Stone (9),3.889,L
764,765.,Mike Norris (10),3.890,R
765,766.,Phenomenal Smith (8),3.895,L
766,767.,Mike Flanagan (18),3.896,L
767,768.,Juan Berenguer (15),3.898,R
768,769.,Joe Heving (13),3.899,R
769,769.,Mike Krukow (14),3.899,R
770,771.,Jack Morris+ (18),3.900,R
771,772.,Joe Nuxhall (16),3.901,L
772,773.,"Trevor Bauer (9, 29)",3.903,R
773,774.,Barry Latman (11),3.906,R
774,774.,Al Mays (6),3.906,R
775,776.,Ben Cantwell (11),3.907,R
776,777.,Tex Carleton (8),3.908,R
777,778.,Clyde Shoun (14),3.909,L
778,779.,Mickey McDermott (12),3.910,L
779,779.,Ben McDonald (9),3.910,R
780,781.,Dennis Cook (15),3.914,L
781,782.,Don Cardwell (14),3.917,R
782,782.,Bruce Hurst (15),3.917,L
783,784.,Fred Frankhouse (13),3.918,R
784,784.,Mike Stanton (19),3.918,L
785,786.,John Lackey (15),3.920,R
786,786.,"Jake Odorizzi (9, 30)",3.920,R
787,786.,Bob Tewksbury (13),3.920,R
788,789.,Steve Hargan (12),3.921,R
789,790.,Huck Betts (10),3.926,R
790,791.,Ken Brett (14),3.927,L
791,792.,Dennis Lamp (16),3.928,R
792,792.,Phil Marchildon (9),3.928,R
793,794.,Bill Gullickson (14),3.930,R
794,795.,Ken Heintzelman (13),3.932,L
795,795.,Shaun Marcum (9),3.932,R
796,797.,Tom Lovett (6),3.937,R
797,797.,Rollie Naylor (7),3.937,R
798,799.,Bob Smith (15),3.938,R
799,800.,Tom Browning (12),3.940,L
800,801.,Billy Hoeft (15),3.941,L
801,802.,Paul Minner (10),3.943,L
802,803.,Dan Petry (13),3.946,R
803,804.,Dave Stewart (16),3.950,R
804,804.,Bill Swift (13),3.950,R
805,804.,Bill Wight (12),3.950,L
806,807.,Chris Young (13),3.953,R
807,808.,Brickyard Kennedy (12),3.956,R
808,809.,Tom Gordon (21),3.958,R
809,809.,Jason Schmidt (14),3.958,R
810,811.,Jim Bagby (10),3.959,R
811,811.,Mark Gubicza (14),3.959,R
812,813.,Wilson Alvarez (14),3.960,L
813,813.,John Curtis (15),3.960,L
814,815.,Mike Fornieles (12),3.961,R
815,815.,Pink Hawley (10),3.961,R
816,815.,Danny MacFayden (17),3.961,R
817,818.,Mike Torrez (18),3.962,R
818,819.,Chris Bosio (11),3.963,R
819,820.,Stubby Overmire (10),3.964,L
820,821.,Dixie Davis (10),3.965,R
821,822.,Steve Stone (11),3.966,R
822,823.,Mark Langston (16),3.967,L
823,824.,Hal Carlson (14),3.970,R
824,825.,Todd Jones (16),3.971,R
825,826.,Andy Benes (14),3.973,R
826,826.,Frank Foreman (11),3.973,R
827,826.,Ed Stein (8),3.973,R
828,829.,Denny Galehouse (15),3.975,R
829,830.,Al Jackson (10),3.977,L
830,830.,Win Mercer (9),3.977,R
831,832.,Clay Buchholz (13),3.979,R
832,832.,Wayne Twitchell (10),3.979,R
833,834.,"J.A. Happ (14, 37)",3.980,L
834,835.,Art Ditmar (9),3.982,R
835,835.,Matt Morris (11),3.982,R
836,837.,"Mike Minor (9, 32)",3.983,L
837,838.,Lynn McGlothen (11),3.984,R
838,838.,Bobo Newsom (20),3.984,R
839,840.,Larry McWilliams (13),3.985,L
840,841.,Ed Crane (9),3.986,R
841,842.,A.J. Burnett (17),3.987,R
842,843.,Erik Bedard (11),3.990,L
843,843.,Doug Bird (11),3.990,R
844,843.,Al Hollingsworth (11),3.990,L
845,843.,Scott McGregor (13),3.990,L
846,847.,Steve McCatty (9),3.991,R
847,847.,Russ Meyer (13),3.991,R
