,Rank,"Player (yrs, age)",AB per HR,Bats
377,377.,Paul O'Neill (17),26.04,L
378,379.,Mike Lowell (13),26.07,R
379,380.,"Wilson Ramos (11, 32)",26.10,R
380,381.,Brad Wilkerson (8),26.12,L
381,382.,Cody Ross (12),26.16,R
382,383.,Dwayne Murphy (12),26.19,L
383,384.,John Milner (12),26.23,L
384,385.,Bobby Higginson (11),26.26,L
385,386.,Jim Presley (8),26.27,R
386,387.,Bill Robinson (16),26.29,R
387,387.,Ruben Sierra (20),26.29,B
388,387.,Bill Skowron (14),26.29,R
389,390.,Juan Rivera (12),26.30,R
390,390.,Vern Stephens (15),26.30,R
391,392.,Curt Blefary (8),26.31,L
392,392.,Ken Caminiti (15),26.31,B
393,392.,Jackie Jensen (11),26.31,R
394,392.,Hunter Pence (14),26.31,R
395,396.,Jason Varitek (15),26.42,B
396,397.,Ken Boyer (15),26.44,R
397,398.,Dave Duncan (11),26.47,R
398,398.,Dave Nilsson (8),26.47,L
399,398.,Trot Nixon (12),26.47,L
400,398.,Chase Utley (16),26.47,L
401,402.,"AJ Pollock (9, 32)",26.49,R
402,403.,Darren Daulton (14),26.50,L
403,403.,Alvin Davis (9),26.50,L
404,403.,Ty Wigginton (12),26.50,R
405,406.,Chet Laabs (11),26.51,R
406,407.,Bret Boone (14),26.52,R
407,407.,Carl Yastrzemski+ (23),26.52,L
408,409.,Larry Parrish (15),26.53,R
409,410.,Bill Hall (11),26.67,R
410,411.,Earl Averill+ (13),26.69,L
411,412.,"Nicholas Castellanos (8, 28)",26.70,R
412,412.,George Hendrick (18),26.70,R
413,414.,Bobby Murcer (17),26.71,L
414,415.,Cal Ripken Jr.+ (21),26.80,R
415,416.,Carmelo Martinez (9),26.91,R
416,417.,Ed Sprague (11),26.94,R
417,418.,Casey Blake (13),26.95,R
418,419.,John Buck (11),26.96,R
419,420.,Kelly Gruber (10),27.00,R
420,420.,Fernando Tatis (11),27.00,R
421,422.,Cy Williams (19),27.01,L
422,423.,Rondell White (15),27.06,R
423,423.,Kevin Young (12),27.06,R
424,425.,Walt Dropo (13),27.13,R
425,426.,Rogers Hornsby+ (23),27.15,R
426,427.,Walker Cooper (18),27.18,R
427,428.,Ben Grieve (9),27.25,L
428,428.,Gabby Hartnett+ (20),27.25,R
429,430.,"Matt Wieters (12, 34)",27.36,B
430,431.,Corey Koskie (9),27.41,L
431,432.,Bernie Williams (16),27.42,B
432,433.,George Scott (14),27.43,R
433,433.,Rickie Weeks (14),27.43,R
434,435.,Miguel Tejada (16),27.47,R
435,436.,Rico Carty (15),27.48,R
436,437.,Jose Hernandez (15),27.49,R
437,438.,Jose Guillen (14),27.51,R
438,439.,Jeffrey Hammonds (13),27.56,R
439,440.,Scott Brosius (11),27.58,R
440,440.,Kevin Millar (12),27.58,R
441,442.,"Didi Gregorius (9, 30)",27.59,L
442,443.,Dave Parker (19),27.60,L
443,444.,"Matt Carpenter (10, 34)",27.61,L
444,444.,Luis Valbuena (11),27.61,L
445,446.,"Brandon Belt (10, 32)",27.62,L
446,446.,Bob Nieman (12),27.62,R
447,448.,Grady Sizemore (10),27.65,L
448,449.,Trevor Plouffe (9),27.67,R
449,450.,Jeff King (11),27.68,R
450,451.,Sam Chapman (11),27.71,R
451,452.,Eric Hinske (12),27.72,L
452,453.,Hank Leiber (10),27.77,R
453,454.,Tom Tresh (9),27.78,B
454,455.,Jacque Jones (10),27.84,L
455,456.,Dmitri Young (13),27.85,B
456,457.,Michael Cuddyer (15),27.86,R
457,458.,Rico Brogna (9),27.91,L
458,459.,"Shin-Soo Choo (16, 37)",27.92,L
459,459.,Mike Macfarlane (13),27.92,R
460,461.,Sixto Lezcano (12),27.93,R
461,462.,Marty Cordova (9),28.02,R
462,463.,Ripper Collins (9),28.03,B
463,464.,Brian Jordan (15),28.04,R
464,465.,Del Crandall (16),28.08,R
465,466.,Mike Lieberthal (14),28.12,R
466,466.,Candy Maldonado (15),28.12,R
467,468.,Ernie Whitt (15),28.16,L
468,469.,Chick Hafey+ (13),28.20,R
469,470.,Jody Davis (10),28.23,R
470,471.,Greg Colbrunn (13),28.26,R
471,472.,Jason LaRue (12),28.32,R
472,473.,John Vander Wal (14),28.36,L
473,474.,Eric Soderholm (9),28.37,R
474,475.,Nick Johnson (10),28.40,L
475,475.,"Marcus Semien (8, 29)",28.40,R
476,475.,"Justin Turner (12, 35)",28.40,R
477,478.,Seth Smith (11),28.43,L
478,479.,David Dellucci (13),28.45,L
479,480.,Bernie Carbo (12),28.47,L
480,481.,Don Hurst (7),28.48,L
481,482.,Rick Reichardt (11),28.51,R
482,483.,Al Simmons+ (20),28.53,R
483,484.,Xavier Nady (12),28.55,R
484,485.,Brian Downing (20),28.56,R
485,486.,"Alex Avila (12, 33)",28.57,L
486,487.,Tony Oliva (15),28.64,L
487,488.,Bob Brenly (9),28.74,R
488,489.,Milton Bradley (12),28.84,B
489,490.,Ian Kinsler (14),28.88,R
490,491.,Lefty O'Doul (11),28.89,L
491,492.,Chris Sabo (9),28.91,R
492,493.,Travis Fryman (13),29.06,R
493,494.,Greg Brock (10),29.11,L
494,494.,Mike Pagliarulo (11),29.11,L
495,496.,Rip Repulski (9),29.13,R
496,497.,Sal Bando (16),29.17,R
497,498.,Ken Singleton (15),29.22,B
498,499.,Donn Clendenon (12),29.23,R
499,500.,Kelly Johnson (11),29.31,L
500,501.,Tom Haller (12),29.37,L
501,501.,Ron Northey (12),29.37,L
502,503.,Eric Byrnes (11),29.38,R
503,504.,Dusty Baker (19),29.41,R
504,505.,Johnny Callison (16),29.43,L
505,506.,Bobby Abreu (18),29.44,L
506,507.,Darrell Porter (17),29.46,L
507,508.,Andy Pafko (17),29.54,R
508,509.,"Josh Reddick (12, 33)",29.56,L
509,509.,Bill White (13),29.56,L
510,509.,Mark Whiten (11),29.56,B
511,512.,Garrett Atkins (8),29.58,R
