,Rank,"Player (yrs, age)",AB per HR,Bats
854,855.,Derek Jeter+ (20),43.06,R
855,855.,Lee Maye (13),43.06,L
856,857.,"Dustin Pedroia (14, 36)",43.08,R
857,858.,Roberto Alomar+ (17),43.20,B
858,858.,Jim Fregosi (18),43.20,R
859,860.,"Starlin Castro (11, 30)",43.21,R
860,861.,Casey Kotchman (10),43.25,L
861,862.,Todd Benzinger (9),43.27,B
862,863.,Dan Meyer (12),43.42,L
863,864.,Mickey Cochrane+ (13),43.44,L
864,865.,Luis Salazar (13),43.63,R
865,866.,Gregg Jefferies (14),43.81,B
866,867.,Robin Yount+ (20),43.86,R
867,868.,"Nick Markakis (15, 36)",43.93,L
868,868.,B.J. Surhoff (19),43.93,L
869,868.,George Watkins (7),43.93,L
870,871.,"Logan Forsythe (10, 33)",43.94,R
871,872.,Terry Kennedy (14),44.06,L
872,873.,Joe Randa (12),44.13,R
873,874.,John Shelby (11),44.14,B
874,875.,Glenn Wright (11),44.18,R
875,876.,Ronnie Belliard (13),44.25,R
876,877.,Lee Mazzilli (14),44.34,B
877,878.,Terrence Long (8),44.46,L
878,879.,"Yadier Molina (17, 37)",44.47,R
879,880.,Andy Carey (11),44.53,R
880,881.,Joe Cronin+ (20),44.58,R
881,882.,Alexei Ramírez (9),44.64,R
882,883.,Frank McCormick (13),44.71,R
883,884.,Buddy Bell (18),44.75,R
884,885.,Alan Trammell+ (20),44.80,R
885,886.,Jorge Orta (16),44.84,L
886,887.,Bruce Campbell (13),44.92,L
887,888.,Ken Landreaux (11),45.07,L
888,889.,Travis Jackson+ (15),45.08,R
889,890.,Paul Blair (17),45.09,R
890,891.,Keith Hernandez (17),45.49,L
891,892.,Frank Catalanotto (14),45.52,L
892,893.,Larry Herndon (14),45.58,R
893,894.,Coco Crisp (15),45.62,B
894,895.,Elmer Smith (10),45.64,L
895,896.,Joel Youngblood (14),45.74,R
896,897.,Carlos May (10),45.78,L
897,898.,Alan Ashby (17),45.81,B
898,899.,Cleon Jones (13),45.84,R
899,900.,Pete Reiser (10),45.90,L
900,901.,Ed Kranepool (18),46.07,L
901,902.,Jay Johnstone (20),46.11,L
902,902.,Jim Landis (11),46.11,R
903,904.,Grady Hatton (12),46.22,L
904,905.,Irish Meusel (11),46.23,R
905,906.,Paul Molitor+ (21),46.30,R
906,907.,James Loney (11),46.51,L
907,908.,Jacoby Ellsbury (11),46.60,L
908,909.,John Roseboro (14),46.61,L
909,910.,Mark Grace (16),46.62,L
910,911.,Bernie Allen (12),46.63,L
911,912.,"Jordy Mercer (9, 33)",46.66,R
912,913.,Howie Kendrick (15),46.85,R
913,914.,Enos Slaughter+ (19),47.02,L
914,915.,Mike Andrews (8),47.21,R
915,915.,Tommy Davis (18),47.21,R
916,917.,Brian Schneider (13),47.24,L
917,918.,Bill Joyce (8),47.29,L
918,918.,Buck Martinez (17),47.29,R
919,918.,Thurman Munson (11),47.29,R
920,921.,Phil Bradley (8),47.37,R
921,922.,Roy Howell (11),47.39,L
922,923.,Pinky Higgins (14),47.40,R
923,923.,Carney Lansford (15),47.40,R
924,925.,George Grantham (13),47.51,L
925,926.,Ken Griffey (19),47.56,L
926,927.,Pat Borders (17),47.57,R
927,927.,Dan Wilson (14),47.57,R
928,929.,Sam Thompson+ (15),47.60,L
929,930.,Tony Phillips (18),47.61,B
930,931.,Jerry Morales (15),47.66,R
931,932.,Melky Cabrera (15),47.76,B
932,933.,Tom Paciorek (18),47.92,R
933,934.,Milt May (15),47.96,L
934,935.,Jose Cruz (19),47.98,L
935,935.,Irv Noren (11),47.98,L
936,935.,Vic Power (12),47.98,R
937,938.,Charlie Gehringer+ (19),48.15,L
938,939.,Jeff Cirillo (14),48.18,R
939,940.,Felipe Lopez (11),48.19,B
940,941.,Del Rice (17),48.43,R
941,942.,Tony Graffanino (13),48.45,R
942,942.,Ron Hassey (14),48.45,L
943,944.,Joe Mauer (15),48.46,L
944,945.,Shannon Stewart (14),48.47,R
945,946.,Ray Fosse (12),48.48,R
946,947.,"Eduardo Nunez (11, 33)",48.50,R
947,948.,Don Hoak (11),48.56,R
948,949.,Darin Erstad (14),48.58,L
949,950.,Paul Lo Duca (11),48.65,R
950,951.,Mark Ellis (12),48.73,R
951,952.,Mitch Webster (13),48.84,B
952,953.,Rick Dempsey (24),48.88,R
953,954.,Rance Mulliniks (16),48.89,L
954,955.,Carl Crawford (15),48.93,L
955,956.,Don Buford (10),48.96,B
956,957.,Mike Heath (14),48.98,R
957,958.,Floyd Robinson (9),49.01,L
958,959.,Les Bell (9),49.08,R
959,960.,Frank White (18),49.12,R
960,961.,Bobby Tolan (13),49.28,L
961,962.,Tony Bernazard (10),49.33,B
962,962.,Babe Dahlgren (12),49.33,R
963,964.,Mike Lansing (9),49.40,R
964,965.,Dave Bergman (17),49.61,L
965,966.,Brian McRae (10),49.65,B
966,967.,Bill Mueller (11),49.68,B
967,968.,Carlos Ruiz (12),49.85,R
968,969.,Don Wert (9),49.87,R
969,969.,Russ Wrightstone (9),49.87,L
970,971.,"DJ LeMahieu (10, 31)",49.91,R
971,972.,Lee Lacy (16),49.99,R
972,973.,Brian Harper (16),50.02,R
973,974.,Dick Green (12),50.09,R
974,975.,Mike Aviles (10),50.15,R
975,975.,"Lorenzo Cain (11, 34)",50.15,R
976,977.,Julio Franco (23),50.16,R
977,978.,Doug Mientkiewicz (12),50.18,L
978,979.,Denis Menke (13),50.21,R
979,980.,Terry Pendleton (15),50.23,B
980,981.,Willie Davis (18),50.41,L
981,982.,Harry Stovey (14),50.43,R
982,983.,Tony Gonzalez (12),50.44,L
983,984.,Jose Cardenal (18),50.46,R
984,985.,Yuniesky Betancourt (9),50.65,R
985,986.,Odell Hale (10),50.70,R
986,987.,Dee Fondy (8),50.75,L
987,988.,Mickey Vernon (20),50.76,L
988,989.,Jeff Reed (17),50.84,L
989,990.,Marlon Anderson (12),50.86,L
990,991.,"Kolten Wong (8, 29)",50.89,L
991,992.,Mark Kotsay (17),50.90,L
992,993.,Greg Gagne (15),51.11,R
993,993.,"Jeff Mathis (16, 37)",51.11,R
994,995.,Al Cowens (13),51.24,R
995,995.,Steve Henderson (12),51.24,R
996,997.,Buck Freeman (11),51.32,L
997,998.,Yorvit Torrealba (13),51.34,R
998,999.,Freddy Leach (10),51.85,L
