,Rank,"Player (yrs, age)",Errors Committed as CF (s.1901),Throws
0,1.,Tris Speaker+ (22),226,L
1,2.,Ty Cobb+ (24),208,R
2,3.,Clyde Milan (16),192,R
3,4.,Max Carey+ (20),179,R
4,5.,Willie Mays+ (22),139,R
5,6.,Edd Roush+ (18),134,L
6,7.,Earl Averill+ (13),122,R
7,8.,Willie Davis (18),121,L
8,9.,Dode Paskert (15),111,R
9,10.,Richie Ashburn+ (15),106,R
10,10.,Doc Cramer (20),106,R
11,12.,Cy Williams (19),102,L
12,13.,Joe DiMaggio+ (13),100,R
13,14.,Cy Seymour (16),93,L
14,15.,Rebel Oakes (7),92,R
15,15.,Burt Shotton (14),92,R
16,17.,Sam Chapman (11),91,R
17,18.,Dom DiMaggio (11),89,R
18,18.,Taylor Douthit (11),89,R
19,20.,Earle Combs+ (12),88,R
20,21.,Hi Myers (14),87,R
21,22.,Baby Doll Jacobson (11),86,R
22,23.,Hack Wilson+ (12),84,R
23,24.,Sam Rice+ (20),80,R
24,25.,Kenny Lofton (17),78,L
25,25.,Willie McGee (18),78,R
26,25.,Lloyd Waner+ (18),78,R
27,28.,Bill Bruton (12),77,R
28,28.,Johnny Mostil (10),77,R
29,28.,Vada Pinson (18),77,L
30,28.,Ray Powell (9),77,R
31,32.,Ken Griffey Jr.+ (22),76,L
32,32.,Garry Maddox (15),76,R
33,34.,Benny Kauff (8),75,L
34,34.,Tillie Walker (13),75,R
35,36.,Sam West (16),72,L
36,37.,Wally Berger (11),71,R
37,37.,Fred Schulte (11),71,R
38,39.,Johnny Bates (9),70,L
39,39.,Ron LeFlore (9),70,R
40,39.,Bill Virdon (12),70,R
41,42.,Mickey Mantle+ (18),67,R
42,43.,Tommy Leach (19),66,R
43,44.,Joe Birmingham (9),65,R
44,44.,Rick Monday (19),65,L
45,44.,Devon White (17),65,R
46,47.,Mike Cameron (17),64,R
47,48.,Steve Finley (19),63,L
48,48.,Danny Hoffman (9),63,L
49,50.,Carlos Beltran (20),60,R
50,50.,Charlie Hemphill (11),60,L
51,52.,Tommie Agee (12),59,R
52,52.,Ginger Beaumont (12),59,R
53,52.,Lance Johnson (14),59,L
54,55.,Marquis Grissom (17),58,R
55,55.,Chet Lemon (16),58,R
56,55.,Jack Smith (15),58,L
57,55.,Duke Snider+ (18),58,R
58,59.,Vince DiMaggio (10),57,R
59,59.,Mike Kreevich (12),57,R
60,59.,Nemo Leibold (13),57,R
61,62.,Adam Jones (14),56,R
62,62.,Omar Moreno (12),56,L
63,62.,Fred Snodgrass (9),56,R
64,62.,Jigger Statz (8),56,R
65,66.,Ben Chapman (15),55,R
66,66.,Mickey Rivers (15),55,L
67,68.,Cesar Cedeno (17),54,R
68,68.,Kiki Cuyler+ (18),54,R
69,68.,Jim Edmonds (17),54,L
70,68.,Curt Flood (15),54,R
71,68.,Bill North (11),54,R
72,68.,Jim Wynn (15),54,R
73,74.,Paul Blair (17),53,R
74,75.,Vin Campbell (6),51,R
75,75.,Happy Felsch (6),51,R
76,75.,Harry Rice (10),51,R
77,78.,Ping Bodie (9),50,R
78,78.,Larry Doby+ (13),50,R
79,78.,Rick Manning (13),50,R
80,78.,Lloyd Moseby (12),50,R
81,82.,Fred Lynn (17),49,L
82,83.,Terry Moore (11),48,R
83,83.,Reggie Smith (17),48,R
84,83.,Amos Strunk (17),48,L
85,86.,Al Simmons+ (20),47,R
86,86.,Jo-Jo White (9),47,R
87,86.,Bernie Williams (16),47,R
88,89.,Andre Dawson+ (21),46,R
89,89.,Ira Flagstead (13),46,R
90,89.,Cliff Heathcote (15),46,L
91,89.,Dwayne Murphy (12),46,R
92,89.,Gee Walker (15),46,R
93,94.,Jose Cardenal (18),45,R
94,94.,Jerry Mumphrey (15),45,R
95,94.,Bill Tuttle (11),45,R
