,Rank,"Player (yrs, age)",Outs Made,Bats
0,1.,Pete Rose (24),10328,B
1,2.,Hank Aaron+ (23),9136,R
2,3.,Carl Yastrzemski+ (23),9126,L
3,4.,Cal Ripken Jr.+ (21),8893,R
4,5.,Eddie Murray+ (21),8569,B
5,6.,Rickey Henderson+ (25),8510,R
6,7.,Omar Vizquel (24),8433,B
7,8.,Dave Winfield+ (22),8422,R
8,9.,Robin Yount+ (20),8415,R
9,10.,Adrian Beltre (21),8340,R
10,10.,Brooks Robinson+ (23),8340,R
11,12.,Craig Biggio+ (20),8272,R
12,13.,Derek Jeter+ (20),8269,R
13,14.,"Albert Pujols (20, 40)",8159,R
14,15.,Luis Aparicio+ (18),8110,R
15,16.,Willie Mays+ (22),8056,R
16,17.,Paul Molitor+ (21),8040,R
17,18.,Rabbit Maranville+ (23),7940,R
18,19.,Alex Rodriguez (22),7915,R
19,20.,Rafael Palmeiro (20),7858,L
20,21.,Lou Brock+ (19),7823,L
21,22.,Ty Cobb+ (24),7755,L
22,23.,Stan Musial+ (22),7744,L
23,24.,George Brett+ (21),7673,L
24,25.,Reggie Jackson+ (21),7659,L
25,26.,Andre Dawson+ (21),7621,R
26,27.,Al Kaline+ (22),7594,R
27,28.,Frank Robinson+ (21),7529,R
28,29.,Ozzie Smith+ (19),7528,B
29,30.,Rusty Staub (23),7509,L
30,31.,Harold Baines+ (22),7482,L
31,32.,Tony Perez+ (23),7462,R
32,33.,Carlos Beltran (20),7423,B
33,34.,Ken Griffey Jr.+ (22),7398,L
34,35.,Eddie Collins+ (25),7341,L
35,36.,Barry Bonds (22),7313,L
36,37.,Vada Pinson (18),7304,L
37,38.,Johnny Damon (18),7291,L
38,39.,Steve Finley (19),7285,L
39,40.,Honus Wagner+ (21),7266,R
40,41.,Ernie Banks+ (19),7261,R
41,42.,Ivan Rodriguez+ (21),7256,R
42,43.,Jimmy Rollins (17),7175,B
43,44.,Joe Morgan+ (22),7174,L
44,45.,Ichiro Suzuki (19),7152,L
45,46.,Tris Speaker+ (22),7147,L
46,47.,Bill Buckner (22),7146,L
47,48.,Gary Gaetti (20),7108,R
48,49.,Max Carey+ (20),7100,B
49,50.,Graig Nettles (22),7096,L
50,51.,Nellie Fox+ (19),7080,L
51,52.,Darrell Evans (21),7075,L
52,53.,Dave Parker (19),7055,L
53,54.,Willie Davis (18),7051,L
54,55.,Bert Campaneris (19),6999,R
55,56.,Gary Sheffield (22),6987,R
56,57.,Luis Gonzalez (19),6973,L
57,58.,Billy Williams+ (18),6969,L
58,59.,Dwight Evans (20),6965,R
59,60.,Buddy Bell (18),6955,R
60,61.,Dave Concepcion (19),6932,R
61,62.,Roberto Alomar+ (17),6914,B
62,63.,Cap Anson+ (27),6902,R
63,64.,Sam Crawford+ (19),6893,L
64,65.,Roberto Clemente+ (18),6877,R
65,66.,Mel Ott+ (22),6861,L
66,67.,Rod Carew+ (19),6857,L
67,68.,Torii Hunter (19),6843,R
68,69.,Sammy Sosa (18),6809,R
69,70.,Doc Cramer (20),6787,L
70,71.,Jake Beckley+ (20),6780,L
71,72.,Carlton Fisk+ (24),6767,R
72,73.,Bill Dahlen (21),6740,R
73,74.,Chili Davis (19),6737,B
74,75.,Al Oliver (18),6736,L
75,76.,Tommy Corcoran (18),6722,R
76,77.,"Miguel Cabrera (18, 37)",6720,R
77,78.,Harry Hooper+ (17),6707,L
78,79.,Paul Waner+ (20),6694,L
79,80.,Steve Garvey (19),6672,R
80,81.,Tim Raines+ (23),6670,B
81,82.,Frankie Frisch+ (19),6661,B
82,82.,Tony Gwynn+ (20),6661,L
83,84.,Chipper Jones+ (19),6657,B
84,85.,Larry Bowa (16),6647,B
85,86.,Ted Simmons+ (21),6639,B
86,87.,Sam Rice+ (20),6638,L
87,88.,Julio Franco (23),6609,R
88,89.,Mickey Vernon (20),6608,L
89,90.,Fred McGriff (19),6604,L
90,91.,Lou Whitaker (19),6599,L
91,92.,Nap Lajoie+ (21),6594,R
92,93.,Lave Cross (21),6593,R
93,94.,Wade Boggs+ (18),6566,L
94,95.,George Davis+ (20),6564,B
95,96.,Joe Carter (16),6551,R
96,97.,Don Baylor (19),6510,R
97,98.,David Ortiz (20),6507,L
98,99.,Bobby Wallace+ (25),6492,R
99,100.,Mike Schmidt+ (18),6490,R
100,101.,Eddie Mathews+ (17),6478,L
101,102.,Garret Anderson (17),6455,L
102,103.,Zack Wheat+ (19),6454,L
103,104.,"Robinson Cano (16, 37)",6443,L
104,105.,Miguel Tejada (16),6436,R
105,106.,Jeff Kent (17),6434,R
106,107.,Paul Konerko (18),6426,R
107,108.,Luke Appling+ (20),6418,R
108,109.,Marquis Grissom (17),6411,R
109,110.,Harmon Killebrew+ (22),6399,R
110,111.,Bobby Abreu (18),6395,L
111,112.,Alan Trammell+ (20),6388,R
112,113.,Red Schoendienst+ (19),6386,B
113,114.,B.J. Surhoff (19),6360,L
114,115.,Tim Wallach (17),6355,R
115,116.,Jim Thome+ (22),6354,L
116,117.,Ryne Sandberg+ (16),6347,R
117,118.,Pee Wee Reese+ (16),6339,R
118,118.,Edgar Renteria (16),6339,R
119,120.,Brett Butler (17),6322,L
120,121.,Ron Santo+ (15),6293,R
121,122.,Willie Randolph (18),6284,R
122,123.,Charlie Gehringer+ (19),6279,L
123,124.,Willie McCovey+ (22),6259,L
124,125.,Ruben Sierra (20),6258,B
125,125.,Frank White (18),6258,R
126,127.,"Nick Markakis (15, 36)",6237,L
127,128.,Gary Carter+ (19),6233,R
128,129.,Jim Rice+ (16),6221,R
129,130.,Dale Murphy (18),6192,R
130,131.,Aramis Ramirez (18),6174,R
131,132.,Goose Goslin+ (18),6172,L
132,133.,Fred Clarke+ (21),6131,L
133,134.,Brian Downing (20),6125,R
134,135.,Richie Ashburn+ (15),6121,L
135,136.,Bill Mazeroski+ (17),6113,R
136,137.,Don Kessinger (16),6109,B
137,138.,Bid McPhee+ (18),6102,R
138,139.,Frank Thomas+ (19),6101,R
139,140.,Kenny Lofton (17),6100,L
140,141.,Andres Galarraga (19),6082,R
141,142.,Tommy Leach (19),6080,R
142,142.,Tony Taylor (19),6080,R
143,144.,Jimmy Dykes (22),6073,R
144,145.,Carlos Lee (14),6064,R
145,146.,Tony Fernandez (17),6062,B
146,147.,Manny Ramirez (19),6038,R
147,148.,Al Simmons+ (20),6033,R
148,149.,Jose Cruz (19),6030,L
149,150.,Joe Kuhel (18),6028,L
150,151.,Willie Keeler+ (19),6025,L
151,152.,Garry Templeton (16),6024,B
152,153.,Vladimir Guerrero+ (16),6000,R
153,154.,Andruw Jones (17),5994,R
154,155.,Barry Larkin+ (19),5978,R
155,156.,Mark Grace (16),5976,L
156,157.,Royce Clayton (17),5968,R
157,158.,Tony Phillips (18),5967,B
158,159.,Johnny Bench+ (17),5955,R
159,160.,Orlando Cepeda+ (17),5952,R
160,161.,Willie Stargell+ (21),5938,L
161,162.,Todd Zeile (16),5932,R
162,163.,Charlie Grimm (20),5929,L
163,164.,Alfonso Soriano (16),5925,R
164,165.,Bernie Williams (16),5919,B
165,166.,Dick Bartell (18),5913,R
166,167.,Joe Torre+ (18),5908,R
167,168.,Lee May (18),5906,R
168,168.,Michael Young (14),5906,R
169,170.,Maury Wills (14),5902,B
170,171.,Orlando Cabrera (15),5899,R
171,171.,Joe Judge (20),5899,L
172,171.,Mickey Mantle+ (18),5899,B
173,174.,Jeff Bagwell+ (15),5887,R
174,175.,Jim O'Rourke+ (23),5882,R
175,176.,Jay Bell (18),5877,R
176,177.,Stuffy McInnis (19),5875,R
177,178.,Bob Boone (19),5868,R
178,179.,George Scott (14),5859,R
179,180.,Willie Wilson (19),5847,B
180,181.,Toby Harrah (17),5845,R
181,181.,Enos Slaughter+ (19),5845,L
182,183.,Jake Daubert (15),5838,L
183,184.,Donie Bush (16),5836,B
184,185.,George Sisler+ (15),5829,L
185,186.,Jimmy Sheckard (17),5819,L
186,187.,Bill Russell (18),5818,R
187,188.,Eddie Yost (18),5798,R
188,189.,Billy Herman+ (15),5796,R
189,189.,Jason Kendall (15),5796,R
190,191.,Juan Pierre (14),5790,L
191,192.,Ed Konetchy (15),5782,R
192,193.,Dick Groat (14),5767,R
193,194.,Brandon Phillips (17),5758,R
194,194.,Babe Ruth+ (22),5758,L
195,196.,Todd Helton (17),5754,L
196,197.,Chris Speier (19),5751,R
197,198.,Ian Kinsler (14),5750,R
198,199.,Willie McGee (18),5749,B
199,200.,Roger Peckinpaugh (17),5745,R
200,201.,Chris Chambliss (17),5738,L
201,202.,Ray Durham (14),5725,B
202,202.,Kid Gleason (22),5725,B
203,204.,Jimmy Ryan (18),5724,R
204,205.,Devon White (17),5714,B
205,206.,Jose Reyes (16),5711,B
206,207.,Herman Long (16),5707,L
207,207.,John Olerud (17),5707,L
208,209.,Jimmie Foxx+ (20),5704,R
209,210.,Raul Ibanez (19),5697,L
210,211.,Amos Otis (17),5687,R
211,212.,Cesar Cedeno (17),5672,R
212,213.,Jesse Burkett+ (16),5666,L
213,214.,Ken Boyer (15),5654,R
214,215.,Fred Tenney (17),5641,L
215,216.,Yogi Berra+ (19),5630,L
216,217.,Curtis Granderson (16),5629,L
217,218.,Ron Fairly (21),5622,L
218,219.,Ron Cey (17),5616,R
219,220.,Willie Horton (18),5614,R
220,220.,Scott Rolen (17),5614,R
221,222.,Paul O'Neill (17),5604,L
222,223.,Lance Parrish (19),5600,R
223,224.,A.J. Pierzynski (19),5597,L
224,225.,Joe Cronin+ (20),5588,R
225,226.,Sal Bando (16),5587,R
226,227.,John Ward+ (17),5569,L
227,228.,Jim Gilliam (14),5564,B
228,228.,George Van Haltren (17),5564,L
229,230.,Clyde Milan (16),5556,L
230,231.,Sherry Magee (16),5552,R
231,232.,Ken Singleton (15),5533,B
232,233.,Bobby Bonilla (16),5531,B
233,233.,Rogers Hornsby+ (23),5531,R
234,235.,Jason Giambi (20),5530,L
235,235.,Lloyd Waner+ (18),5530,L
236,237.,Felipe Alou (17),5529,R
237,238.,Jose Canseco (17),5528,R
238,239.,"Yadier Molina (17, 37)",5526,R
239,240.,George Hendrick (18),5514,R
240,241.,Bobby Bonds (14),5513,R
241,242.,Hal Chase (15),5512,R
242,243.,Hal McRae (19),5504,R
243,244.,Robin Ventura (16),5502,L
244,245.,Victor Martinez (16),5501,B
245,246.,Carlos Delgado (17),5498,L
246,246.,Alfredo Griffin (18),5498,B
247,248.,Del Ennis (14),5497,R
248,249.,Keith Hernandez (17),5493,L
249,249.,Pie Traynor+ (17),5493,R
250,251.,Tino Martinez (16),5491,L
251,251.,Roy McMillan (16),5491,R
252,253.,Benito Santiago (20),5490,R
253,254.,Lou Gehrig+ (17),5488,L
254,255.,Carney Lansford (15),5484,R
255,256.,Tommy Davis (18),5483,R
256,257.,Cecil Cooper (17),5481,L
257,258.,Dusty Baker (19),5479,R
258,259.,Terry Pendleton (15),5476,B
259,260.,Dave Bancroft+ (16),5475,B
260,261.,"Edwin Encarnacion (16, 37)",5473,R
261,262.,Harry Heilmann+ (17),5472,R
262,263.,Ellis Burks (18),5471,R
263,264.,Gary Matthews (16),5470,R
264,265.,Tom Brown (17),5468,L
265,266.,Bobby Grich (17),5454,R
266,267.,George Burns (15),5450,R
267,268.,Joe Medwick+ (17),5448,R
268,269.,Placido Polanco (16),5445,R
269,270.,Jose Cardenal (18),5433,R
270,270.,Stan Hack (16),5433,L
271,272.,Mike Cameron (17),5427,R
272,272.,Al Dark (14),5427,R
273,272.,Steve Sax (14),5427,R
274,275.,Gil Hodges (18),5422,R
275,276.,Adam Dunn (14),5419,L
276,277.,Bobby Doerr+ (14),5417,R
277,278.,Wally Moses (17),5412,L
278,279.,Matt Williams (17),5410,R
279,280.,Jim Bottomley+ (16),5408,L
280,281.,George Foster (18),5396,R
281,282.,Wally Joyner (16),5391,L
282,283.,Heinie Manush+ (17),5390,L
283,284.,Bob Elliott (15),5386,R
284,285.,Dave Kingman (16),5381,R
285,286.,Adrian Gonzalez (15),5380,L
286,287.,Patsy Donovan (17),5376,L
287,288.,Duke Snider+ (18),5368,L
288,289.,Shawn Green (15),5362,L
289,290.,Ken Griffey (19),5361,L
290,291.,Adam Jones (14),5358,R
291,292.,Aurelio Rodriguez (17),5355,R
292,293.,Leo Cardenas (16),5349,R
293,294.,Jack Clark (18),5348,R
294,295.,Chet Lemon (16),5347,R
295,296.,Ozzie Guillen (16),5345,L
296,296.,Edd Roush+ (18),5345,L
297,298.,Reggie Smith (17),5343,B
298,299.,Roger Connor+ (18),5339,B
299,300.,Mark Grudzielanek (15),5320,R
300,301.,Larry Parrish (15),5313,R
301,302.,Jim Wynn (15),5312,R
302,303.,Wally Pipp (15),5309,L
303,304.,Derrek Lee (15),5307,R
304,305.,Mark Teixeira (14),5303,B
305,306.,Jeff Conine (17),5298,R
306,307.,Ted Williams+ (19),5291,L
307,308.,Bobby Lowe (18),5287,R
308,309.,Kirby Puckett+ (12),5285,R
309,310.,Vinny Castilla (16),5284,R
310,311.,Fred Lynn (17),5279,L
311,312.,Edgar Martinez+ (18),5273,R
312,313.,Will Clark (15),5259,L
313,314.,Bret Boone (14),5257,R
314,315.,Joe Sewell+ (14),5253,L
315,315.,Claudell Washington (17),5253,L
316,317.,Melky Cabrera (15),5246,B
317,318.,Moises Alou (17),5226,R
318,319.,Kiki Cuyler+ (18),5218,R
319,320.,Matt Holliday (15),5216,R
320,321.,Roy White (15),5209,B
321,322.,Tony Pena (18),5205,R
322,323.,Del Pratt (13),5201,R
323,324.,Dummy Hoy (14),5197,L
324,325.,Boog Powell (17),5189,L
325,326.,Magglio Ordonez (15),5182,R
326,327.,Buddy Myer (17),5179,L
327,328.,Bobby Murcer (17),5166,L
328,329.,Chase Utley (16),5165,L
329,330.,Larry Gardner (17),5159,L
330,330.,Don Mattingly (14),5159,L
331,332.,Joe Quinn (17),5158,R
332,333.,Jim Edmonds (17),5156,L
333,334.,Jhonny Peralta (15),5141,R
334,335.,Johnny Callison (16),5138,L
335,336.,Brady Anderson (15),5127,L
336,337.,Norm Cash (17),5126,L
337,338.,Vernon Wells (15),5120,R
338,339.,Harvey Kuenn (15),5116,R
339,340.,Joe Adcock (17),5115,R
340,340.,"Evan Longoria (13, 34)",5115,R
341,342.,Joe Mauer (15),5100,L
342,343.,Jim Fregosi (18),5094,R
343,344.,Frank Schulte (15),5082,L
344,345.,Fielder Jones (15),5081,L
345,346.,Mike Piazza+ (16),5078,R
346,347.,Brad Ausmus (18),5073,R
347,348.,Ron Gant (16),5067,R
348,349.,Shano Collins (16),5064,R
349,350.,Bob Johnson (13),5063,R
350,351.,Rocky Colavito (14),5058,R
351,352.,Cy Williams (19),5057,L
352,353.,Minnie Minoso (17),5056,R
353,354.,Joe Tinker+ (15),5048,R
354,354.,Larry Walker+ (17),5048,L
355,356.,Davey Lopes (16),5045,R
356,357.,Cookie Rojas (16),5044,R
357,358.,Tom Brunansky (14),5042,R
