,Rank,"Player (yrs, age)",Outs Made,Bats
511,512.,"Andrew McCutchen (12, 33)",4552,R
512,513.,Darin Erstad (14),4551,L
513,514.,Julian Javier (13),4538,R
514,515.,Willie Kamm (13),4530,R
515,516.,Rick Ferrell+ (18),4529,R
516,517.,Claude Ritchey (13),4528,B
517,518.,Bill Hallman (14),4518,R
518,518.,Willie Montanez (14),4518,L
519,520.,Felix Millan (12),4516,R
520,521.,"Dustin Pedroia (14, 36)",4510,R
521,521.,Roy Smalley (13),4510,B
522,523.,Lou Piniella (18),4508,R
523,524.,Howie Kendrick (15),4504,R
524,525.,David Wright (14),4503,R
525,526.,Bill White (13),4500,L
526,527.,Eddie Joost (17),4499,R
527,528.,Jorge Orta (16),4495,L
528,528.,Sam West (16),4495,L
529,530.,Jack Tobin (13),4491,L
530,531.,George Cutshaw (12),4485,R
531,532.,Rudy York (13),4476,R
532,533.,Kirk Gibson (17),4474,L
533,534.,Jeromy Burnitz (14),4472,L
534,534.,"Starlin Castro (11, 30)",4472,R
535,536.,Whitey Lockman (15),4469,L
536,537.,Tim Salmon (14),4468,R
537,537.,Kip Selbach (13),4468,R
538,539.,Dave Martinez (16),4464,L
539,540.,Bill Dickey+ (17),4463,L
540,540.,Mike Lowell (13),4463,R
541,542.,Lu Blue (13),4461,B
542,543.,Bill Terry+ (14),4460,L
543,544.,Earl Averill+ (13),4454,L
544,545.,Augie Galan (16),4449,B
545,545.,Raul Mondesi (13),4449,R
546,547.,Albert Belle (12),4443,R
547,547.,Dan Brouthers+ (19),4443,L
548,547.,Ray Lankford (14),4443,L
549,550.,Jose Offerman (15),4441,B
550,551.,Joe Gordon+ (11),4437,R
551,552.,Frank Bolling (12),4434,R
552,553.,Jose Valentin (16),4432,B
553,554.,High Pockets Kelly+ (16),4424,R
554,555.,Mark Loretta (15),4411,R
555,556.,Ryan Howard (13),4408,L
556,557.,Prince Fielder (12),4406,L
557,558.,Tito Fuentes (13),4405,B
558,559.,Jimmy Austin (18),4399,B
559,559.,George McQuinn (12),4399,L
560,561.,Ken Keltner (13),4392,R
561,562.,Darrell Porter (17),4390,L
562,563.,Rich Aurilia (15),4386,R
563,563.,Fred Merkle (16),4386,R
564,565.,Aaron Hill (13),4384,R
565,566.,J.T. Snow (16),4378,L
566,566.,Harry Stovey (14),4378,R
567,568.,Andy Van Slyke (13),4375,L
568,569.,Damion Easley (17),4367,R
569,570.,Pinky Whitney (12),4363,R
570,571.,Rafael Ramirez (13),4358,R
571,572.,Home Run Baker+ (13),4353,L
572,573.,Ernie Lombardi+ (17),4351,R
573,574.,Marty Marion (13),4350,R
574,575.,Ted Kluszewski (15),4348,L
575,575.,Joe Rudi (16),4348,R
576,577.,Mark Reynolds (13),4345,R
577,578.,Adam LaRoche (12),4343,L
578,579.,Eddie Foster (13),4341,R
579,580.,Al Cowens (13),4336,R
580,581.,Jeff Burroughs (16),4330,R
581,582.,Eddie Miller (14),4329,R
582,583.,Billy Shindle (13),4325,R
583,584.,Harlond Clift (12),4319,R
584,585.,Justin Morneau (14),4318,L
585,586.,Miller Huggins+ (13),4307,B
586,587.,Cesar Tovar (12),4296,R
587,588.,Jack Doyle (17),4289,R
588,589.,Pat Burrell (12),4286,R
589,590.,Dan Driessen (15),4282,L
590,591.,Billy Nash (15),4280,R
591,591.,Rico Petrocelli (13),4280,R
592,593.,Bill Wambsganss (13),4279,R
593,594.,Matty Alou (15),4277,L
594,595.,Ed Kranepool (18),4276,L
595,596.,Vince Coleman (13),4275,B
596,596.,Tim McCarver (21),4275,L
597,598.,Charlie Comiskey+ (13),4272,R
598,598.,Ryan Klesko (16),4272,L
599,600.,"Ian Desmond (11, 34)",4270,R
600,600.,Lonny Frey (14),4270,L
601,602.,Frank McCormick (13),4268,R
602,603.,Pete O'Brien (12),4266,L
603,604.,Adam Kennedy (14),4263,L
604,605.,Leo Durocher+ (17),4262,R
605,606.,Marlon Byrd (15),4260,R
606,607.,David Justice (14),4256,L
607,607.,John Mayberry (15),4256,L
608,607.,Brian Roberts (14),4256,B
609,610.,Bill Skowron (14),4253,R
610,611.,Mike Hargrove (12),4252,L
611,612.,Troy Glaus (13),4247,R
612,613.,Eric Chavez (17),4245,L
613,614.,Ray Schalk+ (18),4244,R
614,615.,Nick Swisher (12),4243,B
615,616.,Dave Cash (12),4242,R
616,617.,Jose Vizcaino (18),4238,B
617,618.,Gene Woodling (17),4236,L
618,619.,Darryl Strawberry (17),4234,L
619,620.,Bobby Richardson (12),4230,R
620,621.,Lou Bierbauer (13),4227,L
621,622.,Rico Carty (15),4218,R
622,623.,Mickey Rivers (15),4213,L
623,623.,"Carlos Santana (11, 34)",4213,B
624,625.,Bill Bradley (14),4212,R
625,625.,Alcides Escobar (11),4212,R
626,627.,Sparky Adams (13),4211,R
627,627.,Sherm Lollar (18),4211,R
628,629.,Michael Cuddyer (15),4209,R
629,630.,Billy Goodman (16),4208,L
630,631.,Art Fletcher (13),4207,R
631,631.,Frank Malzone (12),4207,R
632,633.,Mike Griffin (12),4206,L
633,634.,Gregg Jefferies (14),4202,B
634,635.,Andre Thornton (14),4200,R
635,636.,Buck Herzog (13),4198,R
636,637.,Scott Fletcher (15),4196,R
637,637.,Kevin McReynolds (12),4196,R
