,Rank,"Player (yrs, age)",Stolen Bases Allowed as C,Throws
0,1.,Deacon McGuire (26),2546,R
1,2.,Malachi Kittridge (16),1780,R
2,3.,Wilbert Robinson+ (17),1586,R
3,4.,Chief Zimmer (19),1562,R
4,5.,Gary Carter+ (19),1498,R
5,6.,Duke Farrell (18),1464,R
6,7.,Mike Piazza+ (16),1400,R
7,8.,Red Dooin (15),1331,R
8,9.,Carlton Fisk+ (24),1302,R
9,10.,Jack Warner (14),1278,R
10,11.,Johnny Kling (13),1248,R
11,12.,Oscar Stanage (14),1240,R
12,13.,Tony Pena (18),1224,R
13,14.,Jack Clements (17),1223,L
14,15.,Jason Kendall (15),1222,R
15,16.,Heinie Peitz (16),1219,R
16,17.,Ted Simmons+ (21),1188,R
17,18.,Bill Bergen (11),1119,R
18,18.,Joe Sugden (13),1119,R
19,20.,Alan Ashby (17),1112,R
20,21.,Bob Boone (19),1108,R
21,22.,Ed McFarland (14),1088,R
22,23.,A.J. Pierzynski (19),1081,R
23,24.,Ivey Wingo (17),1074,R
24,25.,George Gibson (14),1063,R
25,26.,Steve O'Neill (17),1061,R
26,27.,Terry Kennedy (14),1051,R
27,28.,Lance Parrish (19),1043,R
28,29.,Jim Sundberg (16),1012,R
29,30.,Billy Sullivan (16),1002,R
30,31.,Benito Santiago (20),998,R
31,32.,Lou Criger (16),992,R
32,32.,Jason Varitek (15),992,R
33,34.,Jack O'Connor (21),985,R
34,35.,Jorge Posada (17),984,R
35,36.,Roger Bresnahan+ (17),983,R
36,37.,John Grim (11),979,R
37,38.,Bill Rariden (12),974,R
38,39.,Boileryard Clarke (13),966,R
39,40.,Wally Schang (19),965,R
40,41.,Mike Scioscia (13),952,R
41,42.,Ray Schalk+ (18),947,R
42,43.,Hank Severeid (15),910,R
43,44.,Bill Killefer (13),909,R
44,45.,Darrell Porter (17),902,R
45,46.,Brian McCann (15),897,R
46,47.,Brad Ausmus (18),894,R
47,48.,Frank Bowerman (15),888,R
48,49.,Darrin Fletcher (14),884,R
49,50.,Pop Schriver (14),878,R
50,51.,Ossee Schrecongost (11),850,R
51,52.,Pat Moran (14),844,R
52,53.,Don Slaught (16),843,R
53,54.,Russell Martin (14),840,R
54,54.,Ed Sweeney (9),840,R
55,56.,Morgan Murphy (11),831,R
56,57.,Otto Miller (13),827,R
57,58.,Frank Snyder (16),820,R
58,59.,Jody Davis (10),815,R
59,60.,"Kurt Suzuki (14, 36)",812,R
60,61.,Joe Girardi (15),798,R
61,61.,Javy Lopez (15),798,R
62,63.,Eddie Ainsmith (15),795,R
63,64.,Todd Hundley (14),793,R
64,65.,Ramon Hernandez (15),790,R
65,66.,Ivan Rodriguez+ (21),786,R
66,67.,Bruce Benedict (12),772,R
67,68.,Jack Ryan (13),771,R
68,69.,Rick Dempsey (24),770,R
69,70.,Terry Steinbach (14),765,R
70,71.,Sandy Alomar (20),758,R
71,72.,Connie Mack+ (11),752,R
72,73.,Mike Grady (11),750,R
73,74.,Bill Freehan (15),741,R
74,75.,Mike Fitzgerald (10),737,R
75,76.,Jeff Reed (17),727,R
76,77.,Milt May (15),724,R
77,77.,Chief Meyers (9),724,R
78,79.,Farmer Vaughn (13),719,R
79,80.,Butch Wynegar (13),708,R
80,81.,John Flaherty (14),707,R
81,82.,Rick Cerone (18),705,R
82,83.,Darren Daulton (14),701,R
83,84.,Dick Buckley (8),698,R
84,85.,Bill Carrigan (10),696,R
85,86.,Ernie Whitt (15),691,R
86,87.,Larry McLean (13),688,R
87,88.,Bo Diaz (13),686,R
88,89.,Muddy Ruel (19),682,R
89,90.,Bengie Molina (13),680,R
90,91.,Joe Oliver (13),670,R
91,92.,"Jonathan Lucroy (11, 34)",666,R
92,93.,Jack Lapp (9),665,R
93,93.,Ed Phelps (11),665,R
94,95.,Bill Merritt (8),660,R
95,96.,Rick Ferrell+ (18),654,R
96,96.,Ozzie Virgil (11),654,R
97,98.,Frankie Hayes (14),653,R
98,99.,Brent Mayne (15),651,R
99,99.,Gregg Zaun (16),651,R
100,101.,John Henry (9),646,R
101,101.,Doc Powers (11),646,R
102,103.,Tim Donahue (8),645,R
103,104.,Tim McCarver (21),636,R
104,105.,Pat Borders (17),633,R
105,105.,Rich Gedman (13),633,R
106,107.,Tom Kinslow (10),632,R
107,108.,Admiral Schlei (8),629,R
108,109.,Val Picinich (18),627,R
109,110.,Cy Perkins (17),626,R
110,111.,Dan Wilson (14),624,R
111,112.,Carlos Ruiz (12),612,R
112,112.,Luke Sewell (20),612,R
113,114.,Johnny Bench+ (17),610,R
114,114.,Paul Lo Duca (11),610,R
115,116.,Ed Taubensee (11),609,R
116,117.,"Chris Iannetta (14, 37)",607,R
117,118.,Harry Bemis (9),603,R
118,119.,Tom Needham (11),602,R
119,120.,Jimmy Archer (12),599,R
120,121.,Mickey Cochrane+ (13),597,R
121,122.,Victor Martinez (16),596,R
122,123.,Steve Yeager (15),595,R
123,124.,Mike Lieberthal (14),592,R
124,124.,Les Nunamaker (12),592,R
125,126.,Michael Barrett (12),591,R
126,127.,Chris Hoiles (10),589,R
127,128.,Mickey Tettleton (14),581,R
128,129.,Johnny Edwards (14),580,R
129,130.,Jerry Grote (16),579,R
130,130.,Ron Hassey (14),579,R
131,130.,Lew Ritter (7),579,R
132,133.,Mike Heath (14),571,R
133,133.,Nick Hundley (12),571,R
134,135.,Kirt Manwaring (13),569,R
135,135.,Bob O'Farrell (21),569,R
136,137.,Mike LaValliere (12),566,R
137,138.,Art Wilson (14),565,R
