,Rank,"Player (yrs, age)",Adj. Batting Wins,Bats
0,1.,Babe Ruth+ (22),130.0,L
1,2.,Barry Bonds (22),122.5,L
2,3.,Ty Cobb+ (24),110.0,L
3,3.,Ted Williams+ (19),110.0,L
4,5.,Stan Musial+ (22),94.3,L
5,6.,Hank Aaron+ (23),92.6,R
6,7.,Lou Gehrig+ (17),89.9,L
7,8.,Tris Speaker+ (22),87.6,L
8,9.,Rogers Hornsby+ (23),85.8,R
9,10.,Mickey Mantle+ (18),85.2,B
10,11.,Willie Mays+ (22),84.2,R
11,12.,Frank Robinson+ (21),79.0,R
12,13.,Mel Ott+ (22),77.4,L
13,14.,Honus Wagner+ (21),73.0,R
14,15.,Jimmie Foxx+ (20),72.0,R
15,16.,Frank Thomas+ (19),69.7,R
16,17.,"Albert Pujols (20, 40)",69.5,R
17,18.,Eddie Collins+ (25),66.6,L
18,19.,Dan Brouthers+ (19),66.0,L
19,20.,Manny Ramirez (19),65.0,R
20,21.,Nap Lajoie+ (21),61.7,R
21,22.,Cap Anson+ (27),61.4,R
22,22.,"Miguel Cabrera (18, 37)",61.4,R
23,24.,Jeff Bagwell+ (15),58.8,R
24,25.,Alex Rodriguez (22),58.6,R
25,26.,Jim Thome+ (22),58.3,L
26,27.,Mike Schmidt+ (18),58.2,R
27,28.,Roger Connor+ (18),57.3,B
28,29.,Willie McCovey+ (22),55.9,L
29,29.,Carl Yastrzemski+ (23),55.9,L
30,31.,Gary Sheffield (22),55.4,R
31,32.,Chipper Jones+ (19),55.2,B
32,33.,Mark McGwire (16),54.8,R
33,34.,Eddie Mathews+ (17),53.8,L
34,35.,Rickey Henderson+ (25),53.3,R
35,36.,Sam Crawford+ (19),53.2,L
36,37.,Ed Delahanty+ (16),52.4,R
37,37.,Reggie Jackson+ (21),52.4,L
38,39.,Edgar Martinez+ (18),52.3,R
39,40.,Harmon Killebrew+ (22),52.1,R
40,41.,Harry Heilmann+ (17),51.6,R
41,42.,David Ortiz (20),51.4,L
42,43.,Johnny Mize+ (15),51.3,L
43,44.,Willie Stargell+ (21),50.7,L
44,45.,Joe Morgan+ (22),50.6,L
45,46.,Al Kaline+ (22),50.0,R
46,47.,George Brett+ (21),49.7,L
47,48.,Joe DiMaggio+ (13),49.5,R
48,48.,"Mike Trout (10, 28)",49.5,R
49,50.,Dick Allen (15),49.4,R
50,51.,Jesse Burkett+ (16),48.9,L
51,52.,"Joey Votto (14, 36)",48.7,L
52,53.,Ken Griffey Jr.+ (22),47.6,L
53,54.,Paul Waner+ (20),47.5,L
54,55.,Shoeless Joe Jackson (13),47.2,L
55,56.,Rafael Palmeiro (20),46.7,L
56,57.,Wade Boggs+ (18),46.3,L
57,58.,Eddie Murray+ (21),45.9,B
58,59.,Jason Giambi (20),44.4,L
59,60.,Billy Hamilton+ (14),44.2,L
60,61.,Dave Winfield+ (22),44.1,R
61,62.,Lance Berkman (15),44.0,B
62,63.,Vladimir Guerrero+ (16),43.8,R
63,64.,Fred McGriff (19),43.6,L
64,65.,Tony Gwynn+ (20),42.8,L
65,66.,Hank Greenberg+ (13),42.7,R
66,67.,Billy Williams+ (18),42.6,L
