,Rank,"Player (yrs, age)",Bases On Balls per 9 IP,Throws
0,1.,Candy Cummings+ (6),0.4731,R
1,2.,Tommy Bond (10),0.4787,R
2,3.,Al Spalding+ (8),0.5114,R
3,4.,Cherokee Fisher (8),0.5430,R
4,5.,Jim Devlin (5),0.5765,R
5,6.,George Zettlein (6),0.5995,R
6,7.,George Bradley (11),0.6000,R
7,8.,Terry Larkin (6),0.7120,R
8,9.,Sam Weaver (6),0.7295,R
9,10.,Dick McBride (6),0.7522,R
10,11.,John Ward+ (17),0.9220,R
11,12.,Fred Goldsmith (7),0.9561,R
12,13.,Bobby Mathews (15),0.9661,R
13,14.,Jim Whitney (10),1.0580,R
14,15.,Pud Galvin+ (15),1.1169,R
15,16.,Deacon Phillippe (13),1.2532,R
16,17.,Will White (10),1.2601,R
17,18.,Babe Adams (19),1.2920,R
18,19.,"Josh Tomlin (11, 35)",1.3089,R
19,20.,Jack Lynch (7),1.3797,R
20,21.,Dan Quisenberry (12),1.3974,R
21,22.,Addie Joss+ (9),1.4078,R
22,23.,Bob Tewksbury (13),1.4543,R
23,24.,Cy Young+ (22),1.4890,R
24,25.,Charlie Sweeney (6),1.5019,R
25,26.,Guy Hecker (9),1.5144,R
26,27.,Lee Richmond (6),1.5294,L
27,28.,Jesse Tannehill (15),1.5591,L
28,29.,Jim McCormick (10),1.5766,R
29,30.,Christy Mathewson+ (17),1.5938,R
30,31.,Red Lucas (16),1.6109,R
31,32.,Nick Altrock (19),1.6169,L
32,33.,Brad Radke (12),1.6340,R
33,34.,Pete Alexander+ (20),1.6491,R
34,35.,Jumbo McGinnis (6),1.6500,
35,36.,Bret Saberhagen (16),1.6541,R
36,37.,Rick Reed (15),1.6595,R
37,38.,Tiny Bonham (10),1.6654,R
38,39.,Ed Morris (7),1.6736,L
39,40.,Dick Hall (19),1.6862,R
40,41.,Noodles Hahn (8),1.6897,L
41,42.,Charlie Ferguson (4),1.7232,R
42,43.,Carlos Silva (9),1.7251,R
43,44.,Jon Lieber (14),1.7279,R
44,45.,Fritz Peterson (11),1.7283,L
45,46.,Robin Roberts+ (19),1.7314,R
46,47.,Old Hoss Radbourn+ (12),1.7394,R
47,48.,Dick Rudolph (13),1.7657,R
48,49.,Al Orth (15),1.7734,R
49,50.,"Masahiro Tanaka (7, 31)",1.7755,R
50,51.,Stump Weidman (9),1.7819,R
51,52.,Greg Maddux+ (23),1.7952,R
52,53.,Pete Donohue (12),1.7980,R
53,54.,Roy Patterson (7),1.8000,R
54,55.,Jesse Barnes (13),1.8037,R
55,56.,Ray Collins (7),1.8121,L
56,57.,Carl Hubbell+ (16),1.8174,L
57,58.,Juan Marichal+ (16),1.8195,R
58,59.,Slim Sallee (14),1.8276,L
59,60.,Bill Bernhard (9),1.8331,R
60,61.,Lew Burdette (18),1.8426,R
61,62.,Curt Davis (13),1.8542,R
62,63.,Ed Siever (7),1.8573,L
63,64.,Dan Haren (13),1.8598,R
64,65.,Reb Russell (9),1.8604,L
65,66.,Larry Corcoran (8),1.8660,R
66,67.,Ed Walsh+ (14),1.8733,R
67,68.,Ken Raffensberger (15),1.8781,L
68,69.,Paul Derringer (15),1.8790,R
69,70.,David Wells (21),1.8817,L
70,71.,Bob Caruthers (10),1.8995,R
71,72.,Mordecai Brown+ (14),1.9093,R
72,73.,LaMarr Hoyt (8),1.9148,R
73,74.,"Jordan Zimmermann (12, 34)",1.9250,R
74,75.,Bill Swift (11),1.9290,R
75,76.,Sherry Smith (14),1.9292,L
76,77.,Ben Sanders (5),1.9300,R
77,78.,George Suggs (8),1.9340,R
78,79.,Cliff Lee (13),1.9363,L
79,80.,Henry Boyle (6),1.9370,R
80,81.,Roy Halladay+ (16),1.9379,R
81,82.,"Kyle Hendricks (7, 30)",1.9421,R
82,83.,Jim Merritt (11),1.9541,L
83,84.,Frank Owen (8),1.9600,R
84,85.,Brian Anderson (13),1.9606,L
85,86.,Curt Schilling (20),1.9623,R
86,87.,"Corey Kluber (10, 34)",1.9640,R
87,88.,Doug Jones (16),1.9702,R
88,89.,Watty Clark (12),1.9727,L
89,90.,Jack Quinn (23),1.9743,R
90,91.,Frank Kitson (10),1.9769,R
91,92.,Doc White (13),1.9829,L
92,93.,"Mike Leake (10, 32)",1.9831,R
93,93.,Mike Mussina+ (18),1.9831,R
94,95.,Sam Leever (13),1.9856,R
95,96.,Fred Glade (6),1.9885,R
96,97.,Hiroki Kuroda (7),1.9924,R
97,98.,Fergie Jenkins+ (19),1.9937,R
98,99.,Jack Taylor (10),2.0015,R
99,100.,Mariano Rivera+ (19),2.0052,R
100,101.,George Smith (8),2.0073,R
101,102.,Vern Law (16),2.0109,R
102,103.,Mark Buehrle (16),2.0120,L
103,104.,Greg Swindell (17),2.0190,L
104,105.,Dennis Eckersley+ (24),2.0215,R
105,106.,Dupee Shaw (6),2.0227,L
106,107.,Syl Johnson (19),2.0280,R
107,108.,Benny Frey (8),2.0405,R
108,109.,Jim Barr (12),2.0437,R
109,110.,Don Newcombe (10),2.0467,R
110,111.,George Winter (8),2.0489,R
111,112.,Irv Young (6),2.0539,L
112,113.,Clark Griffith+ (21),2.0575,R
113,114.,Dutch Leonard (20),2.0610,R
114,115.,Lady Baldwin (6),2.0619,L
115,116.,Scott Stratton (8),2.0641,R
116,117.,"Chris Sale (10, 31)",2.0655,L
117,118.,Leon Cadore (10),2.0687,R
118,119.,"Zack Greinke (17, 36)",2.0701,R
119,120.,Scott Baker (10),2.0711,R
120,121.,Dizzy Dean+ (12),2.0723,R
121,122.,Walter Johnson+ (21),2.0741,R
122,123.,Ben Sheets (10),2.0800,R
123,124.,Lary Sorensen (11),2.0837,R
124,125.,Hal Brown (14),2.0839,R
125,126.,Roy Oswalt (13),2.0843,R
126,127.,Larry Jansen (9),2.0899,R
127,128.,Red Donahue (13),2.0905,R
128,129.,Jack Powell (16),2.0936,R
129,130.,"Rick Porcello (12, 31)",2.0994,R
130,131.,Dave Rozema (10),2.0995,R
131,132.,Doug Fister (10),2.1008,R
132,133.,"Madison Bumgarner (12, 30)",2.1026,L
133,134.,Shane Reynolds (13),2.1047,R
134,135.,John Candelaria (19),2.1095,L
135,136.,Huck Betts (10),2.1144,R
136,137.,Bill Monbouquette (11),2.1200,R
137,138.,Hooks Wiltse (12),2.1218,L
138,139.,Joe McGinnity+ (10),2.1236,R
139,140.,Chief Bender+ (16),2.1240,R
140,141.,Paul Byrd (14),2.1267,R
141,142.,Art Nehf (15),2.1273,L
142,143.,Al Demaree (8),2.1299,R
143,144.,Pretzels Getzien (9),2.1334,R
144,145.,Bill Wegman (11),2.1367,R
145,146.,Carl Pavano (14),2.1385,R
146,147.,Ken Johnson (13),2.1395,R
147,148.,Jack Chesbro+ (11),2.1438,R
148,149.,Eddie Plank+ (17),2.1461,L
149,150.,Jim Kaat (25),2.1515,L
150,151.,Sloppy Thurston (9),2.1528,R
151,152.,Pete Conway (5),2.1635,R
152,153.,Phil Douglas (9),2.1653,R
153,154.,Eppa Rixey+ (21),2.1666,L
154,155.,Bryn Smith (13),2.1705,R
155,155.,Ralph Terry (12),2.1705,R
156,157.,Bob Purkey (13),2.1706,R
157,158.,Erskine Mayer (8),2.1759,R
158,159.,Scott McGregor (13),2.1778,L
159,160.,Phil Hughes (12),2.1820,R
160,161.,"Jacob deGrom (7, 32)",2.1852,R
161,162.,Carl Mays (15),2.1865,R
162,163.,Bill Gullickson (14),2.1867,R
