,Rank,"Player (yrs, age)",Range Factor/9Inn as SS,Throws
0,1.,Bill Almon (15),5.270,R
1,2.,Tim Foli (16),5.264,R
2,3.,Mark Belanger (18),5.251,R
3,4.,Rick Burleson (13),5.245,R
4,5.,Ozzie Smith+ (19),5.215,R
5,6.,Rey Sanchez (15),5.135,R
6,7.,Robin Yount+ (20),5.132,R
7,8.,Toby Harrah (17),5.109,R
8,9.,Garry Templeton (16),5.070,R
9,10.,Roy Smalley (13),5.025,R
10,11.,Alvaro Espinoza (12),5.012,R
11,12.,Bert Campaneris (19),5.007,R
12,13.,Chris Speier (19),5.005,R
13,14.,Dave Concepcion (19),4.998,R
14,15.,Jim Mason (9),4.984,R
15,16.,Neifi Perez (12),4.972,R
16,17.,Mario Mendoza (9),4.957,R
17,18.,Johnnie LeMaster (12),4.954,R
18,19.,Don Kessinger (16),4.949,R
19,20.,Bucky Dent (12),4.935,R
20,21.,Freddie Patek (14),4.925,R
21,22.,Bud Harrelson (16),4.921,R
22,23.,Glenn Hoffman (9),4.899,R
23,24.,Ivan de Jesus (15),4.892,R
24,25.,Bill Russell (18),4.882,R
25,25.,Jack Wilson (12),4.882,R
26,27.,Frank Duffy (10),4.879,R
27,28.,Jose Valentin (16),4.836,R
28,29.,Dale Berra (11),4.830,R
29,29.,Andres Thomas (6),4.830,R
30,29.,Tom Veryzer (12),4.830,R
31,32.,Tony Fernandez (17),4.825,R
32,33.,Craig Reynolds (15),4.815,R
33,34.,Jay Bell (18),4.810,R
34,35.,Shawon Dunston (18),4.803,R
35,36.,Dave Anderson (10),4.801,R
36,37.,Troy Tulowitzki (13),4.798,R
37,38.,Roger Metzger (11),4.795,R
38,39.,Larry Bowa (16),4.777,R
39,40.,Rafael Ramirez (13),4.775,R
40,41.,John Valentin (11),4.774,R
41,42.,Alfredo Griffin (18),4.769,R
42,43.,Brendan Ryan (10),4.760,R
43,44.,Jose Uribe (10),4.759,R
44,45.,Juan Uribe (16),4.757,R
45,46.,Pat Meares (9),4.752,R
46,47.,Rafael Furcal (14),4.750,R
47,48.,Steve Jeltz (8),4.748,R
48,49.,Dick Schofield (14),4.743,R
49,50.,Frank Taveras (11),4.738,R
50,51.,U L Washington (11),4.730,R
51,52.,Mike Bordick (14),4.728,R
52,52.,Cal Ripken Jr.+ (21),4.728,R
53,54.,Dickie Thon (15),4.723,R
54,55.,Alan Trammell+ (20),4.711,R
55,56.,Rafael Santana (7),4.706,R
56,57.,Ozzie Guillen (16),4.696,R
57,58.,Angel Berroa (9),4.685,R
58,59.,Felix Fermin (10),4.682,R
59,59.,Scott Fletcher (15),4.682,R
60,61.,Rob Picciolo (9),4.681,R
61,62.,John McDonald (16),4.680,R
62,63.,Jose Hernandez (15),4.676,R
63,64.,Greg Gagne (15),4.663,R
64,65.,Royce Clayton (17),4.661,R
65,66.,Spike Owen (13),4.660,R
66,67.,Gary Disarcina (12),4.646,R
67,68.,Julio Franco (23),4.639,R
68,69.,Mario Guerrero (8),4.630,R
69,70.,Adam Everett (11),4.626,R
70,71.,Alex Rodriguez (22),4.623,R
71,71.,Miguel Tejada (16),4.623,R
72,73.,Barry Larkin+ (19),4.618,R
73,74.,Omar Vizquel (24),4.617,R
74,75.,Mariano Duncan (12),4.613,R
75,76.,Clint Barmes (13),4.609,R
76,77.,Jose Vizcaino (18),4.607,R
77,78.,Rey Ordóñez (9),4.599,R
78,79.,Luis Rivera (11),4.586,R
79,80.,Alex Cora (14),4.580,R
80,80.,Deivi Cruz (9),4.580,R
81,82.,Kevin Stocker (8),4.578,R
82,83.,Rafael Belliard (17),4.573,R
83,83.,Walt Weiss (14),4.573,R
84,85.,Alex Gonzalez (13),4.564,R
85,85.,Manuel Lee (11),4.564,R
86,87.,Ramon Santiago (13),4.562,R
87,88.,Kevin Elster (13),4.556,R
88,89.,Bobby Crosby (8),4.553,R
89,90.,Fred Stanley (14),4.538,R
90,91.,Michael Young (14),4.519,R
91,92.,"Andrelton Simmons (9, 30)",4.514,R
92,93.,Orlando Cabrera (15),4.513,R
93,93.,Cliff Pennington (11),4.513,R
94,95.,Julio Lugo (12),4.512,R
95,96.,Rich Aurilia (15),4.509,R
96,97.,Nomar Garciaparra (14),4.483,R
97,98.,"Elvis Andrus (12, 31)",4.466,R
98,99.,Chris Gomez (16),4.446,R
99,100.,David Eckstein (10),4.439,R
100,101.,Cesar Izturis (13),4.435,R
101,102.,Mark Grudzielanek (15),4.424,R
102,103.,Jhonny Peralta (15),4.422,R
103,104.,Alex Gonzalez (16),4.418,R
104,105.,Jose Offerman (15),4.416,R
105,106.,Ronny Cedeno (10),4.410,R
106,107.,Cristian Guzman (11),4.408,R
107,107.,Alexei Ramírez (9),4.408,R
108,109.,Yuniesky Betancourt (9),4.405,R
109,110.,Juan Castro (17),4.396,R
110,111.,"Brandon Crawford (10, 33)",4.385,R
111,112.,"Starlin Castro (11, 30)",4.381,R
112,113.,"Orlando Arcia (5, 25)",4.373,R
113,114.,"Trevor Story (5, 27)",4.371,R
114,115.,Carlos Guillen (14),4.361,R
115,116.,Yunel Escobar (11),4.352,R
116,117.,Edgar Renteria (16),4.328,R
117,118.,J.J. Hardy (13),4.322,R
118,119.,"Nick Ahmed (7, 30)",4.310,R
119,120.,Ricky Gutierrez (12),4.304,R
120,121.,Kurt Stillwell (9),4.298,R
121,122.,Jason Bartlett (10),4.288,R
122,123.,"Zack Cozart (9, 34)",4.286,R
123,124.,"Ian Desmond (11, 34)",4.267,R
124,125.,"Erick Aybar (12, 36)",4.261,R
125,126.,Jeff Blauser (13),4.254,R
126,127.,"Marcus Semien (8, 29)",4.251,R
127,128.,Marco Scutaro (13),4.239,R
128,129.,Khalil Greene (7),4.231,R
129,130.,Alcides Escobar (11),4.219,R
130,131.,Jimmy Rollins (17),4.207,R
131,132.,"Jordy Mercer (9, 33)",4.203,R
132,133.,"Asdrubal Cabrera (14, 34)",4.175,R
133,134.,Hanley Ramirez (15),4.172,R
134,135.,Stephen Drew (12),4.157,R
135,135.,"Jean Segura (9, 30)",4.157,R
136,137.,Felipe Lopez (11),4.151,R
137,138.,Andujar Cedeno (7),4.143,R
138,139.,"Freddy Galvis (9, 30)",4.136,R
139,140.,Ryan Theriot (8),4.124,R
140,141.,"Adeiny Hechavarria (9, 31)",4.115,R
141,142.,Jose Reyes (16),4.107,R
142,143.,"José Iglesias (9, 30)",4.064,R
143,144.,Tony Womack (13),4.050,R
144,145.,Derek Jeter+ (20),4.040,R
145,146.,"Tim Anderson (5, 27)",4.035,R
146,147.,"Dansby Swanson (5, 26)",3.991,R
147,148.,"Didi Gregorius (9, 30)",3.958,R
148,149.,"Jed Lowrie (12, 36)",3.896,R
149,150.,"Carlos Correa (6, 25)",3.892,R
150,151.,"Francisco Lindor (6, 26)",3.886,R
151,152.,"Xander Bogaerts (8, 27)",3.805,R
152,153.,"Corey Seager (6, 26)",3.790,R
