,Rank,"Player (yrs, age)",Fielding % as 3B,Throws
0,1.,Placido Polanco (16),.9834,R
1,2.,Mike Lowell (13),.9743,R
2,3.,"Nolan Arenado (8, 29)",.9720,R
3,4.,"Anthony Rendon (8, 30)",.9713,R
4,4.,Brooks Robinson+ (23),.9713,R
5,6.,Floyd Baker (13),.9708,R
6,7.,Eric Chavez (17),.9701,R
7,8.,Rico Petrocelli (13),.9700,R
8,9.,Ken Reitz (11),.9696,R
9,10.,Geoff Blum (14),.9695,R
10,11.,Martin Prado (14),.9690,R
11,11.,Juan Uribe (16),.9690,R
12,13.,"Manny Machado (9, 27)",.9688,R
13,14.,George Kell+ (15),.9686,R
14,15.,Steve Buechele (11),.9683,R
15,16.,"Eduardo Escobar (10, 31)",.9682,R
16,16.,Don Money (16),.9682,R
17,18.,Edgardo Alfonzo (12),.9681,R
18,19.,Hank Majeski (13),.9676,R
19,19.,Scott Rolen (17),.9676,R
20,19.,Don Wert (9),.9676,R
21,22.,Willie Kamm (13),.9674,R
22,23.,Heinie Groh (16),.9672,R
23,24.,Jeff Cirillo (14),.9670,R
24,25.,Corey Koskie (9),.9664,R
25,25.,"Kyle Seager (10, 32)",.9664,R
26,27.,"Justin Turner (12, 35)",.9660,R
27,28.,"Evan Longoria (13, 34)",.9659,R
28,29.,Carney Lansford (15),.9658,R
29,30.,Clete Boyer (16),.9654,R
30,31.,Gary Gaetti (20),.9653,R
31,32.,Joe Crede (10),.9651,R
32,32.,Travis Fryman (13),.9651,R
33,34.,Vinny Castilla (16),.9648,R
34,34.,Alex Rodriguez (22),.9648,R
35,36.,Billy Cox (11),.9647,R
36,36.,Ken Oberkfell (16),.9647,R
37,36.,"Jose Ramirez (8, 27)",.9647,R
38,39.,Ken Keltner (13),.9645,R
39,40.,Luis Valbuena (11),.9644,R
40,41.,Jim Davenport (13),.9640,R
41,41.,"Todd Frazier (10, 34)",.9640,R
42,43.,Buddy Bell (18),.9636,R
43,44.,Aurelio Rodriguez (17),.9635,R
44,44.,Matt Williams (17),.9635,R
45,46.,Joe Sewell+ (14),.9634,R
46,47.,Pedro Feliz (11),.9631,R
47,48.,Chase Headley (12),.9630,R
48,49.,Willie Jones (15),.9629,R
49,50.,Chris Sabo (9),.9628,R
50,51.,"Jake Lamb (7, 29)",.9626,R
51,52.,Toby Harrah (17),.9625,R
52,53.,Leo Gomez (7),.9623,R
53,53.,Joe Randa (12),.9623,R
54,55.,Wade Boggs+ (18),.9620,R
55,55.,Pinky May (5),.9620,R
56,57.,Brandon Inge (13),.9617,R
57,57.,Eric Soderholm (9),.9617,R
58,59.,Pinky Whitney (12),.9615,R
59,60.,Ron Cey (17),.9612,R
60,61.,Joe Stripp (11),.9611,R
61,62.,Kevin Kouzmanoff (7),.9610,R
62,62.,Ken McMullen (16),.9610,R
63,62.,Rance Mulliniks (16),.9610,R
64,62.,Cal Ripken Jr.+ (21),.9610,R
65,66.,Alberto Callaspo (10),.9609,R
66,66.,Pete Rose (24),.9609,R
67,68.,Al Rosen (10),.9608,R
68,69.,Melvin Mora (13),.9607,R
69,70.,Graig Nettles (22),.9605,R
70,71.,Bubba Phillips (10),.9603,R
71,72.,Ossie Vitt (10),.9602,R
72,73.,Bob Aspromonte (13),.9600,R
73,73.,Terry Turner (17),.9600,R
74,75.,"Mike Moustakas (10, 31)",.9599,R
75,76.,Hank Blalock (9),.9596,R
76,77.,Adrian Beltre (21),.9595,R
77,78.,Sparky Adams (13),.9593,R
78,78.,Danny Valencia (9),.9593,R
79,78.,Tim Wallach (17),.9593,R
80,81.,Sal Bando (16),.9592,R
81,82.,Billy Johnson (9),.9589,R
82,83.,Freddie Lindstrom+ (13),.9588,R
83,84.,Don Hoak (11),.9587,R
84,85.,"Josh Donaldson (10, 34)",.9585,R
85,86.,Brook Jacoby (11),.9584,R
86,87.,Andy Carey (11),.9581,R
87,88.,Jack Howell (11),.9580,R
88,88.,Bill Mueller (11),.9580,R
89,88.,Robin Ventura (16),.9580,R
90,91.,Ray Boone (13),.9578,R
91,92.,Charlie Deal (10),.9576,R
92,92.,Doug DeCinces (15),.9576,R
93,92.,"Pablo Sandoval (13, 33)",.9576,R
94,95.,Gil McDougald (10),.9575,R
95,96.,Marty McManus (15),.9574,R
96,97.,David Freese (11),.9572,R
97,97.,Ray Knight (13),.9572,R
98,97.,Whitey Kurowski (9),.9572,R
99,100.,Trevor Plouffe (9),.9571,R
100,101.,"Matt Carpenter (10, 34)",.9570,R
101,101.,Ed Charles (8),.9570,R
102,101.,Eddie Yost (18),.9570,R
103,104.,Joe Dugan (14),.9568,R
104,104.,Terry Pendleton (15),.9568,R
105,104.,"Ryan Zimmerman (15, 35)",.9568,R
106,107.,Ossie Bluege (18),.9567,R
107,107.,Stan Hack (16),.9567,R
108,109.,Chone Figgins (12),.9565,R
109,109.,"Maikel Franco (7, 27)",.9565,R
110,111.,Vance Law (11),.9564,R
111,112.,Grady Hatton (12),.9563,R
112,113.,Andy High (13),.9562,R
113,114.,Scott Brosius (11),.9561,R
114,115.,Wayne Garrett (10),.9560,R
115,115.,Eddie Mathews+ (17),.9560,R
116,117.,Tony Batista (11),.9558,R
117,117.,Red Rolfe (10),.9558,R
118,119.,Max Alvis (9),.9557,R
119,119.,Morgan Ensberg (8),.9557,R
120,121.,"Miguel Cabrera (18, 37)",.9556,R
121,121.,Doug Rader (11),.9556,R
122,123.,Casey Blake (13),.9555,R
123,124.,"Nicholas Castellanos (8, 28)",.9554,R
124,124.,"Eugenio Suarez (7, 28)",.9554,R
125,126.,Garth Iorg (9),.9553,R
126,126.,Frank Malzone (12),.9553,R
127,128.,Bobby Adams (14),.9551,R
128,129.,Kelly Gruber (10),.9550,R
129,129.,Mike Schmidt+ (18),.9550,R
130,129.,David Wright (14),.9550,R
131,132.,Mike Pagliarulo (11),.9548,R
132,133.,David Bell (12),.9547,R
133,133.,Randy Jackson (10),.9547,R
134,135.,Garrett Atkins (8),.9541,R
135,136.,Charlie Hayes (14),.9540,R
136,137.,Chipper Jones+ (19),.9538,R
137,137.,Casey McGehee (8),.9538,R
138,139.,Ron Santo+ (15),.9537,R
139,140.,Lenny Randle (12),.9534,R
140,141.,Jeff King (11),.9532,R
141,142.,Bob Jones (9),.9530,R
142,143.,Marv Owen (9),.9528,R
143,144.,Chuck Dressen (8),.9525,R
144,145.,Jimmy Dykes (22),.9524,R
145,146.,Jim Gilliam (14),.9523,R
146,147.,Troy Glaus (13),.9521,R
147,148.,Ken Boyer (15),.9519,R
148,148.,Aramis Ramirez (18),.9519,R
149,150.,Bill McKechnie+ (11),.9515,R
150,151.,Joe Torre+ (18),.9513,R
151,152.,Aaron Boone (12),.9511,R
152,153.,Dave Magadan (16),.9510,R
153,154.,Jerry Royster (16),.9509,R
154,155.,George Brett+ (21),.9508,R
155,156.,"Kris Bryant (6, 28)",.9502,R
156,156.,Luis Salazar (13),.9502,R
157,158.,Bill Stein (14),.9499,R
158,159.,Paul Molitor+ (21),.9496,R
159,160.,Bill Melton (10),.9492,R
160,161.,Jim Morrison (12),.9491,R
161,162.,Frank O'Rourke (14),.9490,R
162,163.,Lee Handley (10),.9488,R
163,163.,Fernando Tatis (11),.9488,R
164,165.,Jim Presley (8),.9486,R
165,166.,Kevin Seitzer (12),.9485,R
166,167.,Bob Dillinger (6),.9481,R
167,168.,Larry Gardner (17),.9477,R
168,168.,Bill Madlock (15),.9477,R
169,170.,Harlond Clift (12),.9475,R
170,171.,Pie Traynor+ (17),.9472,R
171,172.,Ty Wigginton (12),.9469,R
172,173.,Rich Rollins (10),.9468,R
173,174.,Bob Elliott (15),.9467,R
174,174.,Wally Gilbert (5),.9467,R
175,174.,Babe Pinelli (8),.9467,R
176,177.,Ken Caminiti (15),.9462,R
177,178.,Shane Andrews (7),.9461,R
178,178.,Bob Horner (10),.9461,R
179,180.,Richie Hebner (18),.9459,R
180,181.,Bob Bailey (17),.9458,R
181,181.,Edgar Martinez+ (18),.9458,R
182,183.,Darrell Evans (21),.9456,R
183,183.,Tony Perez+ (23),.9456,R
184,185.,Chris Johnson (8),.9454,R
185,186.,Rube Lutzke (5),.9452,R
186,187.,Charley Smith (10),.9451,R
187,188.,Lew Riggs (10),.9449,R
188,189.,Milt Stock (14),.9448,R
189,190.,Pete Ward (9),.9445,R
190,191.,Doug Baird (6),.9444,R
191,192.,Enos Cabell (15),.9443,R
192,193.,Roy Howell (11),.9442,R
193,194.,Mike Mowrey (13),.9440,R
194,195.,Phil Garner (16),.9439,R
195,195.,Hans Lobert (14),.9439,R
196,197.,Steve Ontiveros (8),.9438,R
197,198.,Billy Werber (11),.9436,R
198,199.,Joe Foy (6),.9435,R
199,200.,Paul Schaal (11),.9433,R
200,201.,Tom Brookens (12),.9429,R
201,202.,Home Run Baker+ (13),.9428,R
202,203.,Todd Zeile (16),.9419,R
203,204.,Wes Helms (13),.9417,R
204,205.,Eddie Grant (10),.9416,R
205,205.,Ed Sprague (11),.9416,R
206,207.,Wayne Gross (11),.9414,R
207,208.,Larry Parrish (15),.9410,R
208,208.,Gene Robertson (9),.9410,R
209,210.,Tony Boeckel (6),.9407,R
210,211.,Hank Thompson (9),.9406,R
211,212.,Harmon Killebrew+ (22),.9402,R
212,213.,Sammy Hale (10),.9393,R
213,214.,Les Bell (9),.9392,R
214,214.,Bob Kennedy (16),.9392,R
215,216.,Johnny Vergez (6),.9390,R
216,217.,Lee Tannehill (10),.9384,R
217,218.,Mike Blowers (11),.9382,R
218,218.,Lave Cross (21),.9382,R
219,220.,Art Devlin (10),.9379,R
220,221.,Sean Berry (11),.9366,R
221,222.,Hubie Brooks (15),.9364,R
222,222.,Cookie Lavagetto (10),.9364,R
223,224.,Ray Jablonski (8),.9363,R
224,225.,Pinky Higgins (14),.9348,R
225,226.,Dean Palmer (14),.9347,R
226,227.,Bobby Byrne (11),.9344,R
227,228.,"Edwin Encarnacion (16, 37)",.9343,R
228,229.,Gene Freese (12),.9342,R
229,230.,Wid Conroy (11),.9339,R
230,231.,Bill Bradley (14),.9333,R
231,232.,Jimmy Austin (18),.9331,R
232,233.,Dave Hollins (12),.9330,R
233,234.,Jim Tabor (9),.9328,R
234,235.,Russ Davis (8),.9320,R
235,235.,Red Smith (9),.9320,R
236,237.,Bill Coughlin (9),.9312,R
237,238.,Pedro Alvarez (9),.9309,R
238,238.,Bobby Bonilla (16),.9309,R
239,240.,George Moriarty (13),.9308,R
240,241.,Eddie Foster (13),.9296,R
241,242.,Howard Johnson (14),.9291,R
242,243.,Jimmy Collins+ (14),.9289,R
243,243.,Jim Ray Hart (12),.9289,R
244,245.,Mark Reynolds (13),.9287,R
245,246.,Heinie Zimmerman (13),.9280,R
246,247.,Buddy Lewis (11),.9274,R
247,248.,Dick Allen (15),.9266,R
248,249.,Butch Hobson (8),.9265,R
249,250.,Harry Steinfeldt (14),.9262,R
250,251.,Harry Lord (9),.9238,R
251,252.,Charlie Irwin (10),.9207,R
252,253.,Doc Casey (10),.9149,R
253,254.,Tommy Leach (19),.9093,R
254,255.,Harry Wolverton (9),.9086,R
255,256.,Chippy McGarr (10),.9033,R
256,257.,George Davis+ (20),.9000,R
257,258.,John McGraw+ (17),.8981,R
258,259.,George Pinkney (10),.8974,R
259,260.,Billy Nash (15),.8969,R
260,261.,Billy Shindle (13),.8920,R
261,262.,Charlie Reilly (8),.8897,R
262,263.,Art Whitney (11),.8876,R
263,264.,Tom Burns (13),.8858,R
264,265.,Fred Hartman (6),.8856,R
265,266.,Denny Lyons (13),.8820,R
266,267.,Jerry Denny (13),.8817,R
267,268.,Bill Kuehne (10),.8753,R
268,269.,Frank Hankinson (10),.8749,R
269,270.,Joe Mulvey (12),.8706,R
270,271.,Arlie Latham (17),.8704,R
271,272.,Ned Williamson (13),.8662,R
272,273.,Jim Donnelly (11),.8654,R
273,274.,Hick Carpenter (12),.8534,L
274,275.,Deacon White+ (20),.8528,R
275,276.,Bill Joyce (8),.8506,R
276,277.,Ezra Sutton (18),.8489,R
