,Rank,"Player (yrs, age)",Base-Out Wins Added (REW),Bats
0,1.,Barry Bonds (22),129.82,L
1,2.,Babe Ruth+ (22),123.65,L
2,3.,Ted Williams+ (19),112.52,L
3,4.,Lou Gehrig+ (17),100.62,L
4,5.,Hank Aaron+ (23),100.46,R
5,6.,Willie Mays+ (22),97.71,R
6,7.,Mickey Mantle+ (18),97.65,B
7,8.,Stan Musial+ (22),89.77,L
8,9.,Mel Ott+ (22),88.20,L
9,10.,Frank Robinson+ (21),82.07,R
10,11.,Jimmie Foxx+ (20),79.07,R
11,12.,Rogers Hornsby+ (23),74.65,R
12,13.,Joe Morgan+ (22),70.84,L
13,14.,"Albert Pujols (20, 40)",69.99,R
14,15.,Frank Thomas+ (19),69.11,R
15,16.,Willie McCovey+ (22),66.89,L
16,17.,Carl Yastrzemski+ (23),66.55,L
17,18.,Alex Rodriguez (22),66.10,R
18,19.,Jeff Bagwell+ (15),66.08,R
19,20.,Rickey Henderson+ (25),65.00,R
20,21.,Chipper Jones+ (19),64.12,B
21,22.,Eddie Mathews+ (17),63.73,L
22,23.,Manny Ramirez (19),63.30,R
23,24.,Joe DiMaggio+ (13),63.11,R
24,25.,Johnny Mize+ (15),62.96,L
25,26.,Mike Schmidt+ (18),61.81,R
26,27.,"Miguel Cabrera (18, 37)",61.66,R
27,28.,Al Kaline+ (22),60.91,R
28,29.,Pete Rose (24),60.57,B
29,30.,Willie Stargell+ (21),60.48,L
30,31.,Billy Williams+ (18),60.45,L
31,32.,Jim Thome+ (22),59.69,L
32,33.,Gary Sheffield (22),59.66,R
33,34.,Harmon Killebrew+ (22),57.89,R
34,35.,Paul Waner+ (20),56.90,L
35,36.,Reggie Jackson+ (21),56.49,L
36,37.,Todd Helton (17),54.69,L
37,38.,Mark McGwire (16),54.39,R
38,39.,Tony Gwynn+ (20),53.42,L
39,40.,Bobby Abreu (18),53.07,L
40,41.,George Brett+ (21),52.68,L
41,42.,David Ortiz (20),52.48,L
42,43.,Lance Berkman (15),52.47,B
43,44.,"Joey Votto (14, 36)",52.35,L
44,45.,Duke Snider+ (18),52.19,L
45,46.,Jason Giambi (20),52.13,L
46,47.,Rod Carew+ (19),51.99,L
47,48.,Tris Speaker+ (22),51.76,L
48,49.,Eddie Murray+ (21),50.89,B
49,50.,"Mike Trout (10, 28)",50.64,R
50,51.,Ken Griffey Jr.+ (22),50.58,L
51,52.,Al Simmons+ (20),50.22,R
52,53.,Dick Allen (15),49.28,R
53,54.,Larry Walker+ (17),49.18,L
54,55.,Tim Raines+ (23),48.52,B
55,56.,Rafael Palmeiro (20),48.32,L
56,57.,Fred McGriff (19),47.58,L
57,58.,Edgar Martinez+ (18),46.94,R
58,59.,Roberto Clemente+ (18),46.52,R
59,60.,Charlie Gehringer+ (19),45.50,L
60,61.,Dave Winfield+ (22),45.27,R
61,62.,Joe Medwick+ (17),45.10,R
62,63.,Will Clark (15),44.86,L
63,64.,Norm Cash (17),44.77,L
64,65.,Mike Piazza+ (16),44.59,R
65,66.,Wade Boggs+ (18),44.14,L
66,67.,Rusty Staub (23),43.49,L
67,68.,Carlos Delgado (17),43.12,L
68,69.,Jack Clark (18),42.91,R
69,70.,Boog Powell (17),42.89,L
70,71.,Brian Giles (15),42.31,L
71,72.,Earl Averill+ (13),41.54,L
72,73.,Matt Holliday (15),41.48,R
73,74.,Arky Vaughan+ (14),41.27,L
74,75.,Keith Hernandez (17),41.16,L
75,76.,Reggie Smith (17),41.11,B
76,77.,Enos Slaughter+ (19),41.09,L
77,78.,Vladimir Guerrero+ (16),40.85,R
78,79.,Tony Perez+ (23),40.84,R
79,80.,Frank Howard (16),40.71,R
80,81.,Paul Molitor+ (21),40.08,R
81,82.,Bob Johnson (13),39.88,R
82,83.,Darrell Evans (21),39.74,L
83,84.,Yogi Berra+ (19),39.52,L
84,85.,Bobby Bonds (14),39.49,R
85,86.,Orlando Cepeda+ (17),39.29,R
86,87.,Bill Terry+ (14),39.21,L
87,88.,Dave Parker (19),39.05,L
88,89.,Minnie Minoso (17),38.94,R
89,90.,Carlos Beltran (20),38.92,B
90,91.,Kiki Cuyler+ (18),38.90,R
91,92.,Joe Torre+ (18),38.46,R
92,93.,Chuck Klein+ (17),38.41,L
93,94.,John Olerud (17),38.19,L
94,95.,"Ryan Braun (14, 36)",37.77,R
95,96.,Mark Grace (16),37.62,L
96,97.,Goose Goslin+ (18),37.57,L
97,98.,Hank Greenberg+ (13),37.49,R
98,99.,Charlie Keller (13),37.29,L
99,100.,Ernie Banks+ (19),37.17,R
100,101.,Dwight Evans (20),36.95,R
101,102.,"Paul Goldschmidt (10, 32)",36.48,R
102,103.,Larry Doby+ (13),36.24,L
103,104.,Adrian Gonzalez (15),36.20,L
104,105.,Darryl Strawberry (17),36.16,L
105,106.,Craig Biggio+ (20),36.09,R
106,107.,Moises Alou (17),35.92,R
107,108.,Jim Wynn (15),35.86,R
108,109.,Augie Galan (16),35.76,B
109,110.,"Freddie Freeman (11, 30)",35.68,L
110,111.,Sammy Sosa (18),35.64,R
111,112.,Harry Heilmann+ (17),35.60,R
112,113.,Johnny Bench+ (17),35.49,R
113,114.,Derek Jeter+ (20),35.45,R
114,115.,Ralph Kiner+ (10),35.41,R
115,116.,Dolph Camilli (12),34.90,L
116,117.,Ron Santo+ (15),34.72,R
117,118.,Mark Teixeira (14),34.30,B
118,119.,Joe Mauer (15),34.18,L
119,120.,Luis Gonzalez (19),33.63,L
120,121.,Harold Baines+ (22),33.51,L
121,122.,Jim Bottomley+ (16),33.41,L
122,123.,Dale Murphy (18),33.30,R
123,124.,Prince Fielder (12),33.03,L
124,125.,Jose Cruz (19),32.69,L
125,126.,Bob Watson (19),32.48,R
126,127.,Bill Dickey+ (17),32.38,L
127,128.,Barry Larkin+ (19),32.37,R
128,129.,Tommy Henrich (11),32.30,L
129,130.,Ted Simmons+ (21),32.19,B
130,131.,Pedro Guerrero (15),32.18,R
131,132.,Jim Edmonds (17),32.14,L
132,133.,Jeff Kent (17),32.07,R
133,134.,Tony Oliva (15),32.03,L
134,135.,Ryne Sandberg+ (16),32.02,R
135,136.,"Andrew McCutchen (12, 33)",31.96,R
136,137.,Mickey Cochrane+ (13),31.62,L
137,138.,Bill Nicholson (16),31.53,L
138,139.,Greg Luzinski (15),31.44,R
139,140.,Bob Elliott (15),31.42,R
140,141.,Jackie Robinson+ (10),31.38,R
141,142.,Rocky Colavito (14),31.35,R
142,143.,Ken Singleton (15),31.21,B
143,144.,Dixie Walker (18),31.09,L
144,145.,Al Oliver (18),31.07,L
145,146.,Scott Rolen (17),31.04,R
146,147.,Babe Herman (13),30.96,L
147,148.,Frankie Frisch+ (19),30.93,B
148,149.,Ryan Klesko (16),30.79,L
149,150.,Albert Belle (12),30.68,R
150,151.,Chase Utley (16),30.66,L
151,152.,David Wright (14),30.60,R
152,153.,Gil Hodges (18),30.53,R
153,154.,Hack Wilson+ (12),30.48,R
154,155.,Ron Fairly (21),30.38,L
155,156.,Cesar Cedeno (17),30.33,R
156,157.,Roberto Alomar+ (17),30.25,B
157,158.,Gene Woodling (17),30.06,L
158,159.,Eric Davis (17),29.91,R
159,160.,Ellis Burks (18),29.90,R
160,161.,Lou Whitaker (19),29.71,L
161,162.,"Nelson Cruz (16, 39)",29.50,R
162,163.,Jose Canseco (17),29.44,R
163,164.,Rico Carty (15),29.39,R
164,165.,Andres Galarraga (19),29.29,R
165,166.,Bobby Murcer (17),29.25,L
166,167.,Vic Wertz (17),29.17,L
167,168.,Vada Pinson (18),29.00,L
168,169.,Brian Downing (20),28.99,R
169,170.,Heinie Manush+ (17),28.89,L
170,171.,Earle Combs+ (12),28.81,L
171,172.,Kent Hrbek (14),28.80,L
172,173.,Fred Lynn (17),28.73,L
173,174.,Ron Cey (17),28.59,R
174,175.,Luke Appling+ (20),28.56,R
175,175.,David Justice (14),28.56,L
176,177.,Andre Dawson+ (21),28.55,R
177,178.,Robin Yount+ (20),28.41,R
178,179.,"Shin-Soo Choo (16, 37)",28.40,L
179,179.,Gabby Hartnett+ (20),28.40,R
180,181.,Lou Brock+ (19),28.35,L
181,182.,Steve Garvey (19),28.21,R
182,183.,Ted Kluszewski (15),28.15,L
183,184.,Adam Dunn (14),28.12,L
184,185.,George Foster (18),27.92,R
185,186.,"Edwin Encarnacion (16, 37)",27.64,R
186,187.,Bill Madlock (15),27.63,R
187,187.,Gene Tenace (15),27.63,R
188,189.,Wally Berger (11),27.52,R
189,190.,Roy Sievers (17),27.50,R
190,191.,Ryan Howard (13),27.43,L
191,192.,Ken Boyer (15),27.29,R
192,193.,Ty Cobb+ (24),27.26,L
193,194.,Roger Maris (12),27.15,L
194,195.,Mickey Vernon (20),27.12,L
195,196.,Eddie Collins+ (25),27.10,L
196,196.,Ken Griffey (19),27.10,L
197,198.,Mo Vaughn (12),27.04,L
198,199.,"Bryce Harper (9, 27)",26.94,L
199,200.,Tim Salmon (14),26.89,R
200,201.,Bobby Bonilla (16),26.87,B
201,202.,Chili Davis (19),26.77,B
202,203.,Kirby Puckett+ (12),26.60,R
203,204.,Gary Matthews (16),26.50,R
204,205.,"Giancarlo Stanton (11, 30)",26.23,R
205,206.,Jim Rice+ (16),26.21,R
206,207.,Zack Wheat+ (19),26.02,L
207,208.,Roy White (15),25.91,B
208,209.,"Robinson Cano (16, 37)",25.82,L
209,210.,"Anthony Rizzo (10, 30)",25.69,L
210,211.,Bob Allison (13),25.36,R
211,212.,Juan Gonzalez (17),25.13,R
212,213.,Wally Joyner (16),24.92,L
213,214.,Rick Monday (19),24.85,L
214,215.,Joe Cronin+ (20),24.73,R
215,216.,Bernie Williams (16),24.62,B
216,217.,Cy Williams (19),24.57,L
217,218.,Frank McCormick (13),24.42,R
218,219.,Kirk Gibson (17),24.26,L
219,220.,Richie Hebner (18),24.17,L
220,221.,Paul O'Neill (17),24.13,L
221,222.,Sal Bando (16),24.08,R
222,223.,Al Rosen (10),24.02,R
223,224.,Aramis Ramirez (18),24.00,R
224,225.,Billy Herman+ (15),23.97,R
225,225.,Eddie Yost (18),23.97,R
226,227.,Jack Fournier (15),23.95,L
227,228.,Hal McRae (19),23.87,R
228,229.,Elmer Valo (20),23.84,L
229,230.,Don Mattingly (14),23.80,L
230,230.,Hal Trosky (11),23.80,L
231,232.,Phil Cavarretta (22),23.75,L
232,233.,Derrek Lee (15),23.68,R
233,234.,Magglio Ordonez (15),23.66,R
234,234.,Riggs Stephenson (14),23.66,R
235,236.,Lefty O'Doul (11),23.52,L
236,237.,Mike Hargrove (12),23.46,L
237,238.,Lou Boudreau+ (15),23.45,R
238,239.,Bobby Grich (17),23.38,R
239,240.,Earl Torgeson (15),23.33,L
240,240.,Ross Youngs+ (10),23.33,L
241,242.,John Kruk (10),23.28,L
242,243.,"Josh Donaldson (10, 34)",23.27,R
243,244.,Willie Horton (18),23.22,R
244,245.,Johnny Callison (16),23.12,L
245,246.,Ray Lankford (14),23.08,L
246,247.,Cecil Cooper (17),23.04,L
247,248.,Bill White (13),23.01,L
248,249.,Jeff Heath (14),22.97,L
249,250.,Toby Harrah (17),22.96,R
250,251.,Ben Chapman (15),22.90,R
251,252.,Sid Gordon (13),22.88,R
252,252.,Edd Roush+ (18),22.88,L
253,254.,Stan Hack (16),22.82,L
254,255.,Richie Ashburn+ (15),22.78,L
255,256.,Adrian Beltre (21),22.71,R
256,257.,Pie Traynor+ (17),22.60,R
257,258.,Carlton Fisk+ (24),22.57,R
258,259.,Ernie Lombardi+ (17),22.52,R
259,260.,Max Carey+ (20),22.48,B
260,261.,Hanley Ramirez (15),22.47,R
261,262.,Danny Tartabull (14),22.38,R
262,263.,Chick Hafey+ (13),22.28,R
263,264.,Carl Furillo (15),22.21,R
264,265.,J.D. Drew (14),22.14,L
265,266.,"Christian Yelich (8, 28)",22.13,L
266,267.,"Mookie Betts (7, 27)",22.10,R
267,268.,Amos Otis (17),22.09,R
268,269.,Andy Van Slyke (13),21.93,L
269,270.,Pee Wee Reese+ (16),21.81,R
270,271.,"Matt Carpenter (10, 34)",21.74,L
271,272.,Shawn Green (15),21.48,L
272,273.,Dusty Baker (19),21.45,R
273,273.,Kevin Mitchell (13),21.45,R
274,275.,Don Buford (10),21.40,B
275,275.,Tony Lazzeri+ (14),21.40,R
276,277.,Cliff Floyd (17),21.39,L
277,278.,Norm Siebern (12),21.37,L
278,279.,Jose Bautista (15),21.30,R
279,280.,John Mayberry (15),21.03,L
280,281.,Jackie Jensen (11),21.01,R
281,282.,Ken Williams (14),20.81,L
282,283.,Gary Carter+ (19),20.70,R
283,284.,Nomar Garciaparra (14),20.62,R
284,285.,Rudy York (13),20.57,R
285,286.,Tony Phillips (18),20.44,B
286,287.,Joe Cunningham (12),20.36,L
287,287.,Lenny Dykstra (12),20.36,L
288,289.,Lonnie Smith (17),20.31,R
289,290.,Vern Stephens (15),20.22,R
290,291.,"Buster Posey (11, 33)",20.03,R
291,292.,Bobby Doerr+ (14),20.01,R
292,293.,Joe Adcock (17),19.91,R
293,293.,Jayson Werth (15),19.91,R
294,295.,Oscar Gamble (17),19.89,L
295,296.,Alvin Davis (9),19.88,L
296,296.,Kenny Lofton (17),19.88,L
297,298.,"Matt Kemp (15, 35)",19.71,R
298,299.,Jeff Burroughs (16),19.66,R
299,300.,Hunter Pence (14),19.59,R
300,301.,Graig Nettles (22),19.42,L
301,302.,Robin Ventura (16),19.41,L
302,303.,George Grantham (13),19.39,L
303,304.,"Anthony Rendon (8, 30)",19.37,R
304,305.,"Justin Upton (14, 32)",19.31,R
305,306.,Harlond Clift (12),19.22,R
306,306.,Elbie Fletcher (12),19.22,L
307,308.,Felipe Alou (17),19.18,R
308,309.,Eddie Stanky (11),19.17,R
309,310.,Johnny Damon (18),19.13,L
310,311.,Darrell Porter (17),19.12,L
311,312.,Mike Sweeney (16),19.02,R
312,313.,Jason Thompson (11),18.86,L
313,314.,Lee May (18),18.83,R
314,315.,Brett Butler (17),18.80,L
315,316.,Leon Wagner (12),18.78,L
316,317.,"J.D. Martinez (10, 32)",18.76,R
317,318.,"Ryan Zimmerman (15, 35)",18.73,R
318,319.,Jim Gentile (9),18.69,L
319,320.,Roy Campanella+ (10),18.67,R
320,321.,Jim Ray Hart (12),18.61,R
321,322.,Julio Franco (23),18.59,R
322,323.,Del Ennis (14),18.57,R
323,324.,"José Abreu (7, 33)",18.54,R
324,325.,Carlos Lee (14),18.53,R
325,326.,"Nolan Arenado (8, 29)",18.52,R
326,326.,Justin Morneau (14),18.52,L
327,328.,Von Hayes (12),18.49,L
328,329.,Bob Horner (10),18.42,R
329,330.,Josh Hamilton (9),18.41,L
330,331.,Ken Caminiti (15),18.38,B
331,332.,Dan Driessen (15),18.35,L
332,333.,"Daniel Murphy (12, 35)",18.26,L
333,334.,Travis Hafner (12),18.14,L
334,335.,Ripper Collins (9),18.12,B
335,336.,George Sisler+ (15),17.92,L
336,337.,Ron Gant (16),17.84,R
337,338.,Kevin Youkilis (10),17.81,R
338,339.,"Justin Turner (12, 35)",17.68,R
339,340.,Jay Buhner (15),17.66,R
340,341.,Dick McAuliffe (16),17.58,L
341,342.,Darren Daulton (14),17.52,L
342,343.,Andre Ethier (12),17.50,L
343,344.,Jorge Posada (17),17.46,B
344,345.,Dom DiMaggio (11),17.40,R
345,346.,Kevin McReynolds (12),17.37,R
346,347.,Victor Martinez (16),17.32,B
347,348.,Bill Skowron (14),17.27,R
348,349.,Curtis Granderson (16),17.20,L
349,350.,George Hendrick (18),17.09,R
350,351.,George Selkirk (9),17.07,L
351,352.,Gus Suhr (11),17.05,L
352,353.,Bob Meusel (11),17.02,R
353,353.,Wally Moon (12),17.02,L
354,355.,Jim Fregosi (18),16.99,R
355,356.,Joe Gordon+ (11),16.91,R
356,357.,Ferris Fain (9),16.87,L
357,358.,Nick Etten (9),16.71,L
358,359.,George Scott (14),16.63,R
359,360.,"Carlos Santana (11, 34)",16.60,B
360,361.,Don Mincher (13),16.50,L
361,362.,Andy Pafko (17),16.49,R
362,363.,Rusty Greer (9),16.48,L
363,364.,"Kris Bryant (6, 28)",16.45,R
364,365.,Jason Bay (11),16.39,R
365,366.,John Briggs (12),16.37,L
366,367.,Andre Thornton (14),16.31,R
367,368.,Kal Daniels (7),16.26,L
368,368.,Howard Johnson (14),16.26,B
369,370.,Tony Gonzalez (12),16.24,L
370,371.,Pat Burrell (12),16.20,R
371,372.,"Evan Longoria (13, 34)",16.19,R
372,373.,Joe Sewell+ (14),16.10,L
373,374.,Richie Zisk (13),16.09,R
374,375.,Roy Cullenbine (10),16.08,B
375,376.,Willie Davis (18),16.05,L
376,376.,Larry Hisle (14),16.05,R
377,378.,Richie Sexson (12),15.96,R
378,379.,Smoky Burgess (18),15.95,L
379,379.,Leon Durham (10),15.95,L
380,381.,Cliff Johnson (15),15.92,R
381,382.,Paul Konerko (18),15.90,R
382,383.,Don Baylor (19),15.84,R
383,384.,Chris Chambliss (17),15.76,L
384,385.,"Michael Brantley (12, 33)",15.66,L
385,386.,Raul Ibanez (19),15.65,L
386,387.,Hank Bauer (14),15.54,R
387,387.,Bruce Campbell (13),15.54,L
388,387.,Mike Greenwell (12),15.54,L
389,390.,Gus Bell (15),15.53,L
390,391.,John Stone (11),15.48,L
391,392.,Pete Reiser (10),15.45,L
392,393.,Steve Kemp (11),15.39,L
393,394.,Buddy Myer (17),15.35,L
394,395.,"Charlie Blackmon (10, 33)",15.34,L
395,395.,George McQuinn (12),15.34,L
396,397.,Ben Oglivie (16),15.25,L
397,398.,Tommy Davis (18),15.22,R
398,399.,Hank Sauer (15),15.21,R
399,400.,Zeke Bonura (7),15.06,R
400,401.,George Kell+ (15),14.98,R
401,402.,Matt Stairs (19),14.96,L
402,403.,Ray Boone (13),14.93,R
403,404.,Bobby Thomson (15),14.91,R
404,405.,Reggie Sanders (17),14.89,R
405,406.,Ben Zobrist (14),14.86,B
406,407.,Hideki Matsui (10),14.80,L
407,408.,Pepper Martin (13),14.78,R
408,409.,Tommy Holmes (11),14.74,L
409,410.,Matt Williams (17),14.72,R
410,411.,Carlos Pena (14),14.68,L
411,412.,Brian McCann (15),14.66,L
412,413.,"George Springer (7, 30)",14.64,R
413,414.,Mickey Tettleton (14),14.57,B
414,415.,"Nick Markakis (15, 36)",14.52,L
415,416.,Charlie Maxwell (14),14.50,L
416,417.,Sean Casey (12),14.47,L
417,417.,"Yoenis Céspedes (8, 34)",14.47,R
418,419.,Lonny Frey (14),14.43,L
419,420.,Cal Ripken Jr.+ (21),14.38,R
420,421.,Jeromy Burnitz (14),14.34,L
421,422.,Harvey Kuenn (15),14.30,R
422,423.,Bob Skinner (12),14.28,L
423,424.,Thurman Munson (11),14.27,R
424,425.,Edgardo Alfonzo (12),14.26,R
425,425.,Sam Rice+ (20),14.26,L
426,427.,Whitey Kurowski (9),14.20,R
427,428.,Sixto Lezcano (12),14.15,R
428,429.,Johnny Pesky (10),14.06,L
429,430.,Jose Reyes (16),14.05,B
430,431.,Floyd Robinson (9),14.02,L
431,432.,Billy Goodman (16),14.00,L
432,433.,Max Bishop (12),13.95,L
433,433.,Davey Lopes (16),13.95,R
434,435.,Wes Covington (11),13.87,L
435,436.,Lu Blue (13),13.82,B
436,436.,Alan Trammell+ (20),13.82,R
437,438.,Cecil Fielder (13),13.77,R
438,438.,Tom Tresh (9),13.77,B
439,440.,Tino Martinez (16),13.74,L
440,441.,George Burns (16),13.69,R
441,441.,High Pockets Kelly+ (16),13.69,R
442,441.,Sam West (16),13.69,L
443,444.,Hank Thompson (9),13.67,L
444,445.,Bing Miller (16),13.66,R
445,446.,Johnny Grubb (16),13.65,L
446,447.,Troy Glaus (13),13.62,R
447,448.,Jim Northrup (12),13.60,L
