,Rank,"Player (yrs, age)",Hits per 9 IP,Throws
0,1.,Nolan Ryan+ (27),6.5553,R
1,2.,"Clayton Kershaw (13, 32)",6.7741,L
2,3.,Sandy Koufax+ (12),6.7916,L
3,4.,Sid Fernandez (15),6.8513,L
4,5.,J.R. Richard (10),6.8761,R
5,6.,Andy Messersmith (12),6.9366,R
6,7.,Trevor Hoffman+ (18),6.9896,R
7,8.,Mariano Rivera+ (19),6.9971,R
8,9.,Hoyt Wilhelm+ (21),7.0145,R
9,10.,Sam McDowell (15),7.0344,L
10,11.,Kerry Wood (14),7.0630,R
11,12.,Pedro Martinez+ (18),7.0699,R
12,13.,Ed Walsh+ (14),7.1227,R
13,14.,Smoky Joe Wood (14),7.1406,R
14,15.,Babe Ruth+ (22),7.1774,L
15,16.,Bob Turley (12),7.1783,R
16,17.,Orval Overall (7),7.2219,R
17,18.,Jeff Tesreau (7),7.2365,R
18,19.,Don McMahon (18),7.2375,R
19,20.,Ed Reulbach (13),7.2381,R
20,21.,"Jacob deGrom (7, 32)",7.2405,R
21,22.,"Chris Sale (10, 31)",7.2457,L
22,23.,Dave Boswell (8),7.2484,R
23,24.,Mario Soto (12),7.2558,R
24,25.,"Yu Darvish (8, 33)",7.2591,R
25,26.,Randy Johnson+ (22),7.2821,L
26,27.,Addie Joss+ (9),7.3021,R
27,28.,Jack Pfiester (8),7.3276,L
28,29.,Jesse Orosco (24),7.3302,L
29,30.,Cy Morgan (10),7.3478,R
30,31.,Jose DeLeon (13),7.3809,R
31,32.,Jim Maloney (12),7.3889,R
32,33.,Pete Richert (13),7.4043,L
33,34.,Joaquin Benoit (16),7.4364,R
34,35.,"Stephen Strasburg (11, 31)",7.4373,R
35,36.,Michael Jackson (17),7.4449,R
36,37.,Rich Gossage+ (22),7.4464,R
37,38.,"Max Scherzer (13, 35)",7.4563,R
38,39.,Tom Seaver+ (20),7.4721,R
39,40.,Walter Johnson+ (21),7.4762,R
40,41.,Rube Waddell+ (13),7.4764,L
41,42.,Jake Weimer (7),7.4986,L
42,43.,Tommy Byrne (13),7.5198,L
43,44.,John Hiller (15),7.5362,L
44,45.,Fred Beebe (7),7.5792,R
45,46.,Bruce Sutter+ (12),7.5921,R
46,47.,Bob Gibson+ (17),7.5974,R
47,48.,Don Wilson (9),7.6135,R
48,49.,Doc Scanlan (8),7.6270,R
49,50.,Jim Palmer+ (19),7.6345,R
50,51.,"Justin Verlander (16, 37)",7.6446,R
51,52.,Roger Clemens (24),7.6607,R
52,53.,Johan Santana (12),7.6686,L
53,54.,Larry Cheney (9),7.6781,R
54,55.,Mordecai Brown+ (14),7.6827,R
55,56.,Sam Jones (12),7.6838,R
56,57.,Carl Lundgren (8),7.6861,R
57,58.,Bob Feller+ (18),7.6924,R
58,59.,Johnny Vander Meer (13),7.6929,L
59,60.,"Gerrit Cole (8, 29)",7.7153,R
60,61.,Harry Coveleski (9),7.7163,L
61,62.,Catfish Hunter+ (15),7.7180,R
62,63.,Juan Berenguer (15),7.7207,R
63,64.,Al Downing (17),7.7211,L
64,65.,Jim Scott (9),7.7252,R
65,66.,Steve Bedrosian (14),7.7531,R
66,67.,Tom Phoebus (7),7.7592,R
67,68.,Jim Brewer (17),7.7687,L
68,69.,Charlie Hough (25),7.7728,R
69,70.,David Cone (17),7.7746,R
70,71.,"Sonny Gray (8, 30)",7.7756,R
71,72.,Mike Norris (10),7.7806,R
72,73.,Bobby Bolin (13),7.7893,R
73,73.,Stan Williams (14),7.7893,R
74,75.,Rollie Fingers+ (17),7.7974,R
75,76.,Don Gullett (9),7.8022,L
76,77.,"Corey Kluber (10, 34)",7.8091,R
77,78.,Dean Chance (11),7.8125,R
78,79.,Frank Smith (11),7.8166,R
79,80.,Arthur Rhodes (20),7.8280,L
80,81.,Tug McGraw (19),7.8314,L
81,82.,Ewell Blackwell (10),7.8350,R
82,83.,Chris Young (13),7.8371,R
83,84.,Bernie Boland (7),7.8390,R
84,85.,"Jake Arrieta (11, 34)",7.8425,R
85,86.,Barney Pelty (10),7.8443,R
86,87.,Ray Moore (11),7.8449,R
87,88.,Carlos Zambrano (12),7.8515,R
88,89.,Whitey Ford+ (16),7.8522,L
89,90.,Denny McLain (10),7.8547,R
90,91.,Reb Russell (9),7.8596,L
91,92.,Bob Veale (13),7.8692,L
92,93.,Lew Richie (8),7.8789,R
93,94.,Dave LaRoche (14),7.8821,L
94,95.,Harry Harper (10),7.8822,L
95,96.,Jack Harshman (10),7.8891,L
96,97.,Eric Plunk (14),7.8897,R
97,98.,Chief Bender+ (16),7.8903,R
98,99.,Jack Coombs (14),7.8905,R
99,99.,George McQuillan (10),7.8905,R
100,101.,Moe Drabowsky (17),7.9031,R
101,102.,Lee Smith+ (18),7.9087,R
102,103.,Tim Keefe+ (14),7.9098,R
103,104.,Vida Blue (17),7.9116,L
104,105.,Nap Rucker (10),7.9151,L
105,106.,Ted Abernathy (14),7.9158,R
106,107.,Allie Reynolds (13),7.9191,R
107,108.,Al Mamaux (12),7.9211,R
108,109.,Eddie Plank+ (17),7.9236,L
109,110.,Christy Mathewson+ (17),7.9293,R
110,111.,Mickey McDermott (12),7.9359,L
