,Rank,"Player (yrs, age)",Runs Scored,Bats
68,69.,Eddie Mathews+ (17),1509,L
69,70.,Roberto Alomar+ (17),1508,B
70,71.,Al Simmons+ (20),1507,R
71,72.,Mike Schmidt+ (18),1506,R
72,73.,Nap Lajoie+ (21),1504,R
73,74.,Harry Stovey (14),1495,R
74,75.,Frank Thomas+ (19),1494,R
75,76.,Goose Goslin+ (18),1482,L
76,77.,Arlie Latham (17),1481,R
77,78.,Sammy Sosa (18),1475,R
78,79.,Dwight Evans (20),1470,R
79,80.,"Miguel Cabrera (18, 37)",1457,R
80,81.,Herman Long (16),1456,L
81,82.,Bobby Abreu (18),1453,L
82,83.,Omar Vizquel (24),1445,B
83,84.,Steve Finley (19),1443,L
84,85.,Harry Hooper+ (17),1429,L
85,85.,Dummy Hoy (14),1429,L
86,87.,Rod Carew+ (19),1424,L
87,88.,Joe Kelley+ (17),1421,R
88,88.,Jimmy Rollins (17),1421,B
89,90.,Ichiro Suzuki (19),1420,L
90,91.,David Ortiz (20),1419,L
91,92.,Roberto Clemente+ (18),1416,R
92,93.,Luis Gonzalez (19),1412,L
93,94.,John Ward+ (17),1410,L
94,94.,Billy Williams+ (18),1410,L
95,96.,Mike Griffin (12),1406,L
96,97.,Todd Helton (17),1401,L
97,98.,Sam Crawford+ (19),1391,L
98,99.,Joe DiMaggio+ (13),1390,R
99,100.,Lou Whitaker (19),1386,L
100,101.,Tony Gwynn+ (20),1383,L
101,102.,Andre Dawson+ (21),1373,R
102,103.,Bernie Williams (16),1366,B
103,104.,Vada Pinson (18),1365,L
104,105.,Brett Butler (17),1359,L
105,106.,Doc Cramer (20),1357,L
106,106.,King Kelly+ (16),1357,R
107,108.,Tommy Leach (19),1355,R
108,108.,Larry Walker+ (17),1355,L
109,110.,Ivan Rodriguez+ (21),1354,R
110,111.,Fred McGriff (19),1349,L
111,112.,Darrell Evans (21),1344,L
112,113.,Lave Cross (21),1338,R
113,113.,Pee Wee Reese+ (16),1338,R
114,115.,Luis Aparicio+ (18),1335,R
115,116.,Barry Larkin+ (19),1329,R
116,117.,Vladimir Guerrero+ (16),1328,R
117,118.,George Gore (14),1327,L
118,119.,Richie Ashburn+ (15),1322,L
119,120.,Patsy Donovan (17),1321,L
120,121.,Jeff Kent (17),1320,R
121,122.,Luke Appling+ (20),1319,R
122,123.,Ryne Sandberg+ (16),1318,R
123,124.,Mike Tiernan (13),1316,L
124,125.,Ernie Banks+ (19),1305,R
125,125.,Kiki Cuyler+ (18),1305,R
126,127.,Tony Phillips (18),1300,B
127,128.,Harold Baines+ (22),1299,L
128,129.,Torii Hunter (19),1296,R
129,129.,Jimmy Sheckard (17),1296,L
130,131.,Harry Heilmann+ (17),1291,R
131,132.,Zack Wheat+ (19),1289,L
132,133.,Heinie Manush+ (17),1288,L
133,134.,Julio Franco (23),1285,R
134,135.,George Sisler+ (15),1284,L
135,136.,Harmon Killebrew+ (22),1283,R
136,137.,Donie Bush (16),1281,B
137,138.,Nellie Fox+ (19),1279,L
138,139.,Fred Tenney (17),1278,L
139,140.,Carlton Fisk+ (24),1276,R
140,141.,Dave Parker (19),1272,L
141,141.,Tony Perez+ (23),1272,R
142,143.,Sam Thompson+ (15),1261,L
143,144.,Duke Snider+ (18),1259,L
144,145.,Bobby Bonds (14),1258,R
145,146.,"Robinson Cano (16, 37)",1257,L
146,146.,Ozzie Smith+ (19),1257,B
147,148.,Rabbit Maranville+ (23),1256,R
148,149.,Ellis Burks (18),1253,R
149,150.,Jim Edmonds (17),1251,L
150,151.,Ray Durham (14),1249,B
151,151.,Jim Rice+ (16),1249,R
152,153.,Enos Slaughter+ (19),1247,L
153,154.,Ian Kinsler (14),1243,R
154,155.,Carlos Delgado (17),1241,L
155,156.,Chili Davis (19),1240,B
156,157.,Stan Hack (16),1239,L
157,157.,Bob Johnson (13),1239,R
158,157.,Willie Randolph (18),1239,R
159,160.,Don Baylor (19),1236,R
160,160.,Joe Kuhel (18),1236,L
161,162.,Joe Cronin+ (20),1233,R
162,163.,Brooks Robinson+ (23),1232,R
163,164.,Alan Trammell+ (20),1231,R
164,165.,Miguel Tejada (16),1230,R
165,166.,Willie McCovey+ (22),1229,L
166,167.,Jason Giambi (20),1227,L
167,167.,Ed McKean (13),1227,R
168,169.,Earl Averill+ (13),1224,L
169,170.,Red Schoendienst+ (19),1223,B
170,171.,Edgar Martinez+ (18),1219,R
171,172.,Willie Davis (18),1217,L
172,172.,Curtis Granderson (16),1217,L
173,172.,Paul Hines (20),1217,R
174,175.,Eddie Yost (18),1215,R
175,176.,Cupid Childs (13),1214,L
176,177.,Scott Rolen (17),1211,R
177,178.,Andruw Jones (17),1204,R
178,179.,Lloyd Waner+ (18),1201,L
179,180.,Edgar Renteria (16),1200,R
180,181.,Joe Medwick+ (17),1198,R
181,182.,Dale Murphy (18),1197,R
182,183.,Mickey Vernon (20),1196,L
183,184.,Andres Galarraga (19),1195,R
184,185.,Willie Stargell+ (21),1194,L
185,186.,Graig Nettles (22),1193,L
186,187.,Tommy Corcoran (18),1189,R
187,187.,Al Oliver (18),1189,L
188,187.,Rusty Staub (23),1189,L
189,190.,George Burns (15),1188,R
190,190.,Brian Downing (20),1188,R
191,192.,Marquis Grissom (17),1187,R
192,193.,Jose Canseco (17),1186,R
193,193.,Will Clark (15),1186,L
194,193.,Earle Combs+ (12),1186,L
195,196.,Joe Judge (20),1184,L
196,197.,Pie Traynor+ (17),1183,R
197,198.,Bert Campaneris (19),1181,R
198,199.,Fielder Jones (15),1180,L
199,199.,Jose Reyes (16),1180,B
200,201.,Mark Grace (16),1179,L
201,202.,Jim Bottomley+ (16),1177,L
202,203.,Yogi Berra+ (19),1175,L
203,204.,Buddy Myer (17),1174,L
204,205.,Arky Vaughan+ (14),1173,L
205,206.,Joe Carter (16),1170,R
206,207.,Willie Wilson (19),1169,B
207,208.,Chuck Klein+ (17),1168,L
208,209.,Mark McGwire (16),1167,R
209,210.,Jack Glasscock (17),1164,R
210,211.,Jim Gilliam (14),1163,B
211,211.,Billy Herman+ (15),1163,R
212,213.,Paul Konerko (18),1162,R
213,214.,Matt Holliday (15),1157,R
214,215.,Lu Blue (13),1152,B
215,215.,Alfonso Soriano (16),1152,R
216,217.,Buddy Bell (18),1151,R
217,218.,Lance Berkman (15),1146,B
218,219.,Ben Chapman (15),1144,R
219,220.,Steve Garvey (19),1143,R
220,221.,Joe Sewell+ (14),1141,L
221,222.,Deacon White+ (20),1140,L
222,223.,John Olerud (17),1139,L
223,224.,Ron Santo+ (15),1138,R
224,225.,Michael Young (14),1137,R
225,226.,Minnie Minoso (17),1136,R
226,227.,Bobby Lowe (18),1135,R
227,228.,Chuck Knoblauch (12),1132,R
228,229.,Orlando Cepeda+ (17),1131,R
229,230.,Dick Bartell (18),1130,R
230,230.,Gary Gaetti (20),1130,R
231,232.,Buck Ewing+ (18),1129,R
232,232.,Shawn Green (15),1129,L
233,232.,Ken Griffey (19),1129,L
234,235.,Hardy Richardson (14),1127,R
235,236.,Carlos Lee (14),1125,R
236,236.,Devon White (17),1125,B
237,238.,Keith Hernandez (17),1124,L
238,238.,Wally Moses (17),1124,L
239,240.,Jay Bell (18),1123,R
240,240.,Reggie Smith (17),1123,B
241,242.,Brian Giles (15),1121,L
242,243.,Bill Terry+ (14),1120,L
243,244.,"Nick Markakis (15, 36)",1119,L
244,245.,Jack Clark (18),1118,R
245,245.,Johnny Mize+ (15),1118,L
246,247.,Jake Daubert (15),1117,L
247,248.,Toby Harrah (17),1115,R
248,249.,Sherry Magee (16),1112,R
249,250.,Moises Alou (17),1109,R
250,251.,Jimmy Dykes (22),1108,R
251,252.,Gil Hodges (18),1105,R
252,252.,Jim Wynn (15),1105,R
253,254.,Ken Boyer (15),1104,R
254,255.,Chase Utley (16),1103,L
255,256.,Dick Allen (15),1099,R
256,256.,"Edwin Encarnacion (16, 37)",1099,R
257,256.,Edd Roush+ (18),1099,L
258,256.,Mark Teixeira (14),1099,B
259,260.,Aramis Ramirez (18),1098,R
260,261.,Adam Dunn (14),1097,L
261,262.,Fred Pfeffer (16),1096,R
262,263.,Bobby Doerr+ (14),1094,R
263,264.,Amos Otis (17),1092,R
264,265.,Johnny Bench+ (17),1091,R
265,266.,Garret Anderson (17),1084,L
266,266.,Bobby Bonilla (16),1084,B
267,266.,Cesar Cedeno (17),1084,R
268,266.,Ruben Sierra (20),1084,B
269,266.,Tommy Tucker (13),1084,B
270,271.,Gary Matthews (16),1083,R
271,272.,Derrek Lee (15),1081,R
272,273.,"Ryan Braun (14, 36)",1080,R
273,273.,Ron Gant (16),1080,R
274,273.,Billy Nash (15),1080,R
275,276.,Bill Buckner (22),1077,L
276,277.,Magglio Ordonez (15),1076,R
277,278.,Juan Pierre (14),1075,L
278,279.,Ted Simmons+ (21),1074,B
279,280.,Kirby Puckett+ (12),1071,R
280,281.,Harlond Clift (12),1070,R
281,282.,Maury Wills (14),1067,B
282,283.,Tommy McCarthy+ (13),1066,R
283,283.,Kip Selbach (13),1066,R
284,285.,Mike Cameron (17),1064,R
285,285.,Al Dark (14),1064,R
286,285.,Bob Elliott (15),1064,R
287,288.,Rafael Furcal (14),1063,B
288,288.,Fred Lynn (17),1063,L
289,290.,Brady Anderson (15),1062,L
290,290.,Charlie Jamieson (18),1062,L
291,290.,B.J. Surhoff (19),1062,L
292,293.,Juan Gonzalez (17),1061,R
293,294.,Tony Fernandez (17),1057,B
294,294.,Bobby Wallace+ (25),1057,R
295,296.,Jimmy Collins+ (14),1055,R
296,296.,Raul Ibanez (19),1055,L
297,298.,Hanley Ramirez (15),1049,R
298,299.,Dave Bancroft+ (16),1048,B
299,299.,Mike Piazza+ (16),1048,R
300,301.,Dom DiMaggio (11),1046,R
301,301.,Hank Greenberg+ (13),1046,R
302,303.,Norm Cash (17),1045,L
303,304.,Mickey Cochrane+ (13),1041,L
304,304.,Paul O'Neill (17),1041,L
305,304.,"Joey Votto (14, 36)",1041,L
306,307.,Dixie Walker (18),1038,L
307,308.,Reggie Sanders (17),1037,R
308,309.,Jose Cruz (19),1036,L
309,310.,Bobby Grich (17),1033,R
310,311.,Jason Kendall (15),1030,R
311,312.,Gary Carter+ (19),1025,R
312,312.,Tom Daly (17),1025,B
313,314.,John McGraw+ (17),1024,L
314,314.,Cy Williams (19),1024,L
315,316.,Davey Lopes (16),1023,R
316,317.,Jose Bautista (15),1022,R
317,317.,Kid Gleason (22),1022,B
318,319.,Joe Mauer (15),1018,L
319,320.,Greg Vaughn (15),1017,R
320,321.,Cecil Cooper (17),1012,L
321,322.,Roy Thomas (13),1011,L
322,323.,Willie McGee (18),1010,B
323,324.,Tino Martinez (16),1009,L
324,324.,Placido Polanco (16),1009,R
325,324.,"Justin Upton (14, 32)",1009,R
326,327.,Marty McManus (15),1008,R
327,328.,Carney Lansford (15),1007,R
328,328.,Don Mattingly (14),1007,L
329,330.,Frankie Crosetti (17),1006,R
330,330.,Roger Peckinpaugh (17),1006,R
331,330.,Robin Ventura (16),1006,L
332,333.,Brandon Phillips (17),1005,R
333,333.,Tony Taylor (19),1005,R
334,335.,Augie Galan (16),1004,B
335,335.,Clyde Milan (16),1004,L
336,337.,Luis Castillo (15),1001,B
337,337.,Harry Davis (22),1001,R
338,337.,Vern Stephens (15),1001,R
339,340.,Carl Crawford (15),998,L
340,341.,Adrian Gonzalez (15),997,L
341,341.,Matt Williams (17),997,R
342,343.,Joe Torre+ (18),996,R
343,343.,Eric Young Sr. (15),996,R
344,345.,Ezra Sutton (18),994,R
345,346.,Dave Concepcion (19),993,R
346,346.,Billy Shindle (13),993,R
347,348.,Charlie Comiskey+ (13),992,R
348,348.,Hughie Jennings+ (18),992,R
349,350.,Phil Cavarretta (22),990,L
350,351.,Larry Bowa (16),987,B
351,352.,George Foster (18),986,R
352,352.,Tony Lazzeri+ (14),986,R
353,352.,Tim Salmon (14),986,R
354,352.,Todd Zeile (16),986,R
355,356.,Felipe Alou (17),985,R
356,356.,Orlando Cabrera (15),985,R
357,356.,Del Ennis (14),985,R
358,356.,Kirk Gibson (17),985,L
359,356.,Ken Singleton (15),985,B
360,361.,Jermaine Dye (14),984,R
361,362.,Sal Bando (16),982,R
362,363.,Hal Chase (15),980,R
363,364.,Ron Cey (17),977,R
364,364.,Jack Doyle (17),977,R
365,366.,Albert Belle (12),974,R
