,Rank,"Player (yrs, age)",Fielding % as 1B,Throws
0,1.,Casey Kotchman (10),.9975,L
1,2.,Kevin Youkilis (10),.9974,R
2,3.,Travis Lee (9),.9967,L
3,4.,Mark Teixeira (14),.9966,R
4,5.,Joe Mauer (15),.9964,R
5,6.,"Paul Goldschmidt (10, 32)",.9963,R
6,6.,Doug Mientkiewicz (12),.9963,R
7,8.,Todd Helton (17),.9962,L
8,9.,Justin Morneau (14),.9960,R
9,10.,Steve Garvey (19),.9959,R
10,10.,"Justin Smoak (11, 33)",.9959,L
11,12.,Don Mattingly (14),.9958,L
12,13.,"Mitch Moreland (11, 34)",.9957,L
13,13.,Wes Parker (9),.9957,L
14,15.,Darin Erstad (14),.9955,L
15,15.,J.T. Snow (16),.9955,L
16,17.,Sean Casey (12),.9954,R
17,17.,Adrian Gonzalez (15),.9954,L
18,17.,John Olerud (17),.9954,L
19,17.,"Anthony Rizzo (10, 30)",.9954,L
20,17.,David Segui (15),.9954,L
21,22.,Rico Brogna (9),.9952,L
22,22.,Paul Konerko (18),.9952,R
23,24.,Lucas Duda (10),.9951,R
24,24.,Tino Martinez (16),.9951,R
25,26.,Dan Driessen (15),.9950,R
26,26.,"Freddie Freeman (11, 30)",.9950,R
27,28.,Jim Spencer (15),.9949,L
28,28.,Mike Squires (10),.9949,L
29,30.,Frank McCormick (13),.9948,R
30,31.,"Chris Davis (13, 34)",.9947,R
31,31.,Mike Hegan (12),.9947,L
32,31.,"Logan Morrison (11, 32)",.9947,L
33,31.,Lyle Overbay (14),.9947,L
34,31.,Gaby Sanchez (7),.9947,R
35,36.,Mark Grace (16),.9946,L
36,36.,John Kruk (10),.9946,L
37,36.,Adam LaRoche (12),.9946,L
38,39.,Todd Benzinger (9),.9944,R
39,39.,Wally Joyner (16),.9944,L
40,39.,Kevin Millar (12),.9944,R
41,42.,Rafael Palmeiro (20),.9943,L
42,42.,Pete Runnels (14),.9943,R
43,42.,Richie Sexson (12),.9943,R
44,45.,"Brandon Belt (10, 32)",.9942,L
45,45.,Keith Hernandez (17),.9942,L
46,45.,Aubrey Huff (13),.9942,R
47,45.,Vic Power (12),.9942,R
48,45.,Carl Yastrzemski+ (23),.9942,R
49,50.,Joe Adcock (17),.9941,R
50,50.,"Eric Hosmer (10, 30)",.9941,L
51,50.,Kent Hrbek (14),.9941,R
52,50.,Bob Robertson (11),.9941,R
53,50.,Pete Rose (24),.9941,R
54,55.,Lance Berkman (15),.9940,L
55,55.,Derrek Lee (15),.9940,R
56,55.,Carlos Pena (14),.9940,L
57,58.,Greg Brock (10),.9939,R
58,59.,Ernie Banks+ (19),.9938,R
59,59.,"Miguel Cabrera (18, 37)",.9938,R
60,59.,Mike Jorgensen (17),.9938,L
61,59.,John Mayberry (15),.9938,L
62,59.,Pete O'Brien (12),.9938,L
63,59.,"Albert Pujols (20, 40)",.9938,R
64,65.,Ed Kranepool (18),.9937,L
65,65.,Lee May (18),.9937,R
66,65.,Paul Sorrento (11),.9937,R
67,68.,Danny Cater (12),.9936,R
68,68.,Dave Magadan (16),.9936,R
69,68.,Hal Morris (13),.9936,L
70,68.,Jim Thome+ (22),.9936,R
71,72.,Leon Durham (10),.9935,L
72,72.,Mike Ivie (11),.9935,R
73,72.,"Carlos Santana (11, 34)",.9935,R
74,75.,"Yonder Alonso (10, 33)",.9934,R
75,75.,James Loney (11),.9934,L
76,75.,Mark McGwire (16),.9934,R
77,75.,"Joey Votto (14, 36)",.9934,R
78,79.,Jeff Bagwell+ (15),.9933,R
79,79.,Adam Lind (12),.9933,L
80,81.,Chris Chambliss (17),.9932,R
81,81.,John Jaha (10),.9932,R
82,83.,Joe Cunningham (12),.9931,L
83,83.,Scott Hatteberg (14),.9931,R
84,83.,Joe Judge (20),.9931,L
85,83.,Joe Pepitone (12),.9931,L
86,87.,Mark Reynolds (13),.9930,R
87,88.,Eric Karros (14),.9929,R
88,88.,Pat Putnam (8),.9929,R
89,88.,Gene Tenace (15),.9929,R
90,88.,Joe Torre+ (18),.9929,R
91,92.,Greg Colbrunn (13),.9928,R
92,92.,Deron Johnson (16),.9928,R
93,92.,Ted Kluszewski (15),.9928,L
94,92.,Eddie Murray+ (21),.9928,R
95,92.,Frank Torre (7),.9928,L
96,92.,Eddie Waitkus (11),.9928,L
97,92.,Greg Walker (9),.9928,R
98,99.,Charlie Grimm (20),.9927,L
99,99.,Ron Jackson (10),.9927,R
100,101.,Tony Clark (15),.9926,R
101,101.,Walter Holke (11),.9926,L
102,101.,Tony Lupien (6),.9926,L
103,104.,Will Clark (15),.9925,L
104,104.,Ike Davis (7),.9925,L
105,104.,Elbie Fletcher (12),.9925,L
106,104.,Julio Franco (23),.9925,R
107,104.,Gil Hodges (18),.9925,R
108,104.,Ricky Jordan (8),.9925,R
109,104.,Stuffy McInnis (19),.9925,R
110,104.,Tony Perez+ (23),.9925,R
111,104.,Andre Thornton (14),.9925,R
112,113.,Zeke Bonura (7),.9924,R
113,113.,Jack Burns (7),.9924,L
114,113.,Jason Thompson (11),.9924,L
115,113.,Bill White (13),.9924,L
116,117.,Enos Cabell (15),.9923,R
117,117.,George McQuinn (12),.9923,L
