,Rank,"Player (yrs, age)",Singles,Bats
654,654.,Candy LaChance (12),1056,B
655,656.,Jackie Robinson+ (10),1054,R
656,657.,Rocky Colavito (14),1052,R
657,658.,Tommy Griffith (13),1051,L
658,658.,Don Mueller (12),1051,L
659,658.,Roy Sievers (17),1051,R
660,661.,Ned Hanlon+ (13),1050,L
661,661.,Ed Kranepool (18),1050,L
662,661.,Jim Wynn (15),1050,R
663,664.,Frank Bolling (12),1048,R
664,664.,Alcides Escobar (11),1048,R
665,666.,Jose Guillen (14),1047,R
666,667.,Brady Anderson (15),1046,L
667,668.,Luke Sewell (20),1045,R
668,669.,Ken Oberkfell (16),1044,L
669,670.,Walter Holke (11),1043,B
670,670.,Jose Vidro (12),1043,B
671,672.,"Erick Aybar (12, 36)",1042,B
672,672.,Paul Blair (17),1042,R
673,672.,Al Cowens (13),1042,R
674,672.,Jimmie Wilson (18),1042,R
675,676.,Darryl Hamilton (13),1041,L
676,676.,Jerry Remy (10),1041,L
677,678.,Alex Johnson (13),1040,R
678,679.,George Wood (13),1039,L
679,680.,Kitty Bransfield (12),1038,R
680,680.,John Titus (11),1038,L
681,682.,Mickey Doolin (13),1036,R
682,682.,Woody English (12),1036,R
683,682.,Elston Howard (14),1036,R
684,682.,Stan Javier (17),1036,B
685,682.,Del Unser (15),1036,L
686,687.,Bibb Falk (12),1035,L
687,688.,Monte Cross (15),1034,R
688,688.,"Daniel Murphy (12, 35)",1034,L
689,690.,Omar Infante (15),1032,R
690,690.,Freddy Parent (12),1032,R
691,690.,Mookie Wilson (12),1032,B
692,693.,Topsy Hartsel (14),1031,L
693,693.,Dick McAuliffe (16),1031,L
694,695.,Horace Clarke (10),1030,B
695,695.,Leo Durocher+ (17),1030,R
696,695.,Ken Keltner (13),1030,R
697,695.,"Evan Longoria (13, 34)",1030,R
698,695.,Melvin Mora (13),1030,R
699,700.,James Loney (11),1029,L
700,701.,"Edwin Encarnacion (16, 37)",1028,R
701,701.,Freddie Patek (14),1028,R
702,701.,Juan Samuel (16),1028,R
703,704.,Willie Jones (15),1027,R
704,704.,Mark Teixeira (14),1027,B
705,706.,Marlon Byrd (15),1025,R
706,706.,Jerry Lumpe (12),1025,L
707,708.,"Eric Hosmer (10, 30)",1024,L
708,708.,Brian Roberts (14),1024,B
709,710.,Bill Doran (12),1023,B
710,710.,Charlie Hemphill (11),1023,L
711,712.,Muddy Ruel (19),1022,R
712,712.,Roy Smalley (13),1022,B
713,714.,Earl Sheely (9),1021,R
714,715.,Ski Melillo (12),1020,R
715,715.,Buck Weaver (9),1020,B
716,717.,Tip O'Neill (10),1019,R
717,718.,George Grantham (13),1018,L
718,719.,"Nelson Cruz (16, 39)",1017,R
719,719.,Chone Figgins (12),1017,B
720,719.,Terry Puhl (15),1017,L
721,722.,Curtis Granderson (16),1015,L
722,723.,Andy Van Slyke (13),1014,L
723,724.,Tito Francona (15),1012,L
724,724.,Tim Salmon (14),1012,R
725,724.,Mo Vaughn (12),1012,L
726,727.,Sandy Alomar (15),1010,B
727,727.,Lou Finney (15),1010,L
728,727.,Patsy Tebeau (13),1010,R
729,730.,Harlond Clift (12),1009,R
730,730.,Red Kress (14),1009,R
731,730.,George McBride (16),1009,R
732,730.,Brian McCann (15),1009,L
733,734.,Jack Smith (15),1008,L
734,734.,J.T. Snow (16),1008,L
735,736.,Neifi Perez (12),1007,B
736,737.,Dan Driessen (15),1006,L
737,737.,Alexei Ramírez (9),1006,R
738,737.,Ben Zobrist (14),1006,B
739,740.,Billy Butler (10),1005,R
740,741.,Henry Larkin (10),1003,R
741,741.,Juan Uribe (16),1003,R
742,743.,Sherm Lollar (18),1002,R
743,743.,Billy Rogell (14),1002,B
744,745.,Clete Boyer (16),1001,R
745,745.,Dick Hoblitzell (11),1001,L
746,745.,Red Rolfe (10),1001,L
747,745.,Rudy York (13),1001,R
748,749.,Kid Elberfeld (14),1000,R
749,749.,Bucky Harris+ (12),1000,R
750,749.,Jorge Posada (17),1000,B
751,752.,Jack Burdock (18),999,R
752,752.,"Justin Upton (14, 32)",999,R
753,752.,Richie Zisk (13),999,R
754,755.,Hod Ford (15),998,R
755,756.,Terry Steinbach (14),997,R
756,757.,Bobby Avila (11),996,R
757,758.,Hick Carpenter (12),995,R
758,758.,Prince Fielder (12),995,L
759,758.,J.J. Hardy (13),995,R
760,758.,Roberto Kelly (14),995,R
761,758.,Ron LeFlore (9),995,R
762,758.,Mike Lowell (13),995,R
763,758.,Mike Sweeney (16),995,R
764,765.,Ken Williams (14),994,L
765,766.,Aaron Hill (13),992,R
766,766.,Barney McCosky (11),992,L
767,768.,Rondell White (15),991,R
768,769.,Al Smith (12),990,R
769,769.,Tillie Walker (13),990,R
770,771.,Jesus Alou (15),988,R
