,Rank,"Player (yrs, age)",Singles,Bats
230,231.,John Olerud (17),1471,L
231,232.,Don Mattingly (14),1469,L
232,233.,Jimmy Collins+ (14),1466,R
233,234.,Bill Madlock (15),1463,R
234,234.,Mickey Mantle+ (18),1463,B
235,236.,Curt Flood (15),1461,R
236,237.,Matty Alou (15),1460,L
237,238.,Pete Runnels (14),1459,L
238,238.,Bobby Veach (14),1459,L
239,240.,Andres Galarraga (19),1458,R
240,241.,Ginger Beaumont (12),1456,L
241,241.,Milt Stock (14),1456,R
242,243.,"Yadier Molina (17, 37)",1453,R
243,243.,Tony Phillips (18),1453,B
244,245.,Manny Ramirez (19),1452,R
245,246.,Jim Gilliam (14),1449,B
246,246.,Jack Tobin (13),1449,L
247,248.,Darrell Evans (21),1444,L
248,248.,Del Pratt (13),1444,R
249,250.,Orlando Cabrera (15),1441,R
250,250.,Ken Singleton (15),1441,B
251,252.,Frank Thomas+ (19),1440,R
252,253.,Gary Gaetti (20),1438,R
253,254.,Phil Cavarretta (22),1436,L
254,254.,Brian Downing (20),1436,R
255,256.,George Burns (16),1430,R
256,257.,Carlos Lee (14),1427,R
257,258.,A.J. Pierzynski (19),1424,L
258,259.,Steve Brodie (12),1423,L
259,260.,Yogi Berra+ (19),1422,L
260,261.,Wally Joyner (16),1421,L
261,262.,Bob Elliott (15),1415,R
262,262.,Magglio Ordonez (15),1415,R
263,262.,Brandon Phillips (17),1415,R
264,265.,Toby Harrah (17),1412,R
265,266.,Edgar Martinez+ (18),1409,R
266,267.,Gary Matthews (16),1407,R
267,268.,Jack Doyle (17),1406,R
268,269.,Will Clark (15),1405,L
269,270.,Bob Boone (19),1404,R
270,271.,Don Baylor (19),1403,R
271,272.,Aramis Ramirez (18),1398,R
272,273.,Dusty Baker (19),1396,R
273,273.,Jose Cardenal (18),1396,R
274,275.,Cupid Childs (13),1395,L
275,276.,Cesar Cedeno (17),1392,R
276,276.,Ozzie Guillen (16),1392,L
277,276.,Wally Pipp (15),1392,L
278,276.,Gee Walker (15),1392,R
279,280.,Larry Doyle (14),1391,L
280,281.,Melky Cabrera (15),1390,B
281,282.,Amos Otis (17),1387,R
282,283.,Frank White (18),1381,R
283,284.,Eddie Mathews+ (17),1377,L
284,284.,Roy Thomas (13),1377,L
285,286.,Royce Clayton (17),1376,R
286,286.,Pinky Higgins (14),1376,R
287,288.,Sammy Sosa (18),1375,R
288,289.,Gary Carter+ (19),1366,R
289,290.,Ossie Bluege (18),1365,R
290,291.,Carl Crawford (15),1363,L
291,292.,Terry Pendleton (15),1362,B
292,293.,Johnny Evers+ (18),1361,L
293,294.,Ruben Sierra (20),1359,B
294,295.,Ron Fairly (21),1358,L
295,295.,Minnie Minoso (17),1358,R
296,295.,Sam Thompson+ (15),1358,L
297,298.,Tim Wallach (17),1357,R
298,299.,Chuck Knoblauch (12),1355,R
299,299.,George Scott (14),1355,R
300,301.,Ben Chapman (15),1354,R
301,302.,Heinie Groh (16),1353,R
302,303.,Bill Dickey+ (17),1352,L
303,303.,Paul O'Neill (17),1352,L
304,305.,Hal McRae (19),1350,R
305,305.,Cy Williams (19),1350,L
306,307.,Bobby Doerr+ (14),1349,R
307,307.,Jim Gantner (17),1349,L
308,309.,Del Ennis (14),1348,R
309,309.,Mike Piazza+ (16),1348,R
310,311.,Jeff Conine (17),1347,R
311,311.,Cy Seymour (16),1347,L
312,313.,Jeff Bagwell+ (15),1345,R
313,313.,Earle Combs+ (12),1345,L
314,315.,Willie Horton (18),1344,R
315,316.,Ray Durham (14),1343,B
316,316.,George Hendrick (18),1343,R
317,318.,Moises Alou (17),1342,R
318,319.,John Anderson (14),1341,B
319,319.,Alfredo Griffin (18),1341,B
320,321.,Carl Furillo (15),1338,R
321,322.,Joe DiMaggio+ (13),1333,R
322,322.,Bing Miller (16),1333,R
323,324.,Eddie Yost (18),1331,R
324,324.,Todd Zeile (16),1331,R
325,326.,Billy Goodman (16),1329,L
326,327.,Felix Millan (12),1328,R
327,328.,Cookie Rojas (16),1327,R
328,329.,Deacon McGuire (26),1326,R
329,330.,Home Run Baker+ (13),1324,L
330,330.,Rafael Furcal (14),1324,B
331,330.,Dale Murphy (18),1324,R
332,333.,Tony Oliva (15),1320,L
333,334.,Marty McManus (15),1317,R
334,334.,Claude Ritchey (13),1317,B
335,334.,Claudell Washington (17),1317,L
336,337.,"Elvis Andrus (12, 31)",1316,R
337,338.,Sam West (16),1315,L
338,339.,Kip Selbach (13),1313,R
339,339.,Mike Tiernan (13),1313,L
340,341.,Jay Bell (18),1307,R
341,342.,Mark Loretta (15),1306,R
342,342.,Lee May (18),1306,R
343,344.,Chuck Klein+ (17),1304,L
344,345.,Joe Carter (16),1303,R
345,346.,Bill Hallman (14),1302,R
346,346.,Ivy Olson (14),1302,R
347,348.,Ernie Lombardi+ (17),1298,R
348,349.,Rick Ferrell+ (18),1295,R
349,349.,Chris Speier (19),1295,R
350,351.,Bob Watson (19),1294,R
351,352.,Adam Jones (14),1292,R
352,352.,Roy White (15),1292,B
353,354.,Mike Griffin (12),1291,L
354,354.,Willie McCovey+ (22),1291,L
355,356.,Ellis Burks (18),1290,R
356,357.,Garry Maddox (15),1286,R
357,357.,Reggie Smith (17),1286,B
358,359.,Ian Kinsler (14),1285,R
359,360.,Adrian Gonzalez (15),1284,L
360,361.,King Kelly+ (16),1283,R
361,361.,Roy McMillan (16),1283,R
362,363.,Sparky Adams (13),1282,R
363,363.,Joe Tinker+ (15),1282,R
364,365.,Mickey Rivers (15),1281,L
365,366.,Matt Holliday (15),1280,R
366,366.,Bobby Murcer (17),1280,L
367,366.,David Ortiz (20),1280,L
368,369.,Willie Stargell+ (21),1279,L
369,369.,Eric Young Sr. (15),1279,R
370,371.,Devon White (17),1277,B
371,372.,Leo Cardenas (16),1273,R
372,372.,Whitey Lockman (15),1273,L
373,374.,Elmer Flick+ (13),1272,L
374,374.,Bob Johnson (13),1272,R
375,376.,Duff Cooley (13),1271,L
376,377.,Billy Jurges (17),1270,R
377,378.,Miller Huggins+ (13),1269,B
378,379.,Enos Cabell (15),1268,R
379,379.,Dave Philley (18),1268,B
380,381.,Duke Snider+ (18),1266,L
381,382.,Hughie Critz (12),1263,R
382,382.,Vern Stephens (15),1263,R
383,384.,Freddie Lindstrom+ (13),1262,R
384,384.,Frank Schulte (15),1262,L
385,386.,Lou Boudreau+ (15),1260,R
386,386.,Harry Davis (22),1260,R
387,388.,Andy Pafko (17),1257,R
388,388.,Lou Piniella (18),1257,R
389,390.,Travis Jackson+ (15),1256,R
390,390.,Mark Kotsay (17),1256,L
391,390.,"Dustin Pedroia (14, 36)",1256,R
392,393.,Tony Cuccinello (15),1255,R
393,393.,Tony Pena (18),1255,R
394,395.,Johnny Bench+ (17),1254,R
395,395.,Bobby Bonilla (16),1254,B
396,395.,Raul Ibanez (19),1254,L
397,398.,Earl Averill+ (13),1252,L
398,399.,Dave Cash (12),1251,R
399,399.,Vic Power (12),1251,R
400,401.,Phil Rizzuto+ (13),1249,R
401,401.,Benito Santiago (20),1249,R
402,401.,Pinky Whitney (12),1249,R
403,404.,Al Lopez+ (19),1247,R
404,404.,Mark McLemore (19),1247,B
405,406.,Larry Walker+ (17),1244,L
406,407.,Shoeless Joe Jackson (13),1243,L
407,408.,Bobby Grich (17),1242,R
408,409.,Gus Bell (15),1240,L
409,409.,Mike Hargrove (12),1240,L
410,411.,Lance Johnson (14),1239,L
411,411.,Jim Thome+ (22),1239,L
412,411.,Robin Ventura (16),1239,L
413,414.,Fred Pfeffer (16),1235,R
414,415.,Davey Lopes (16),1234,R
415,416.,Jim Fregosi (18),1233,R
416,417.,Tim Foli (16),1229,R
417,417.,Manny Trillo (17),1229,R
418,419.,Dom DiMaggio (11),1228,R
419,419.,Howie Kendrick (15),1228,R
420,421.,Charlie Comiskey+ (13),1226,R
421,422.,Jo-Jo Moore (12),1225,L
422,422.,Ezra Sutton (18),1225,R
423,424.,Glenn Beckert (11),1224,R
424,424.,Lu Blue (13),1224,B
425,424.,Darin Erstad (14),1224,L
426,424.,Pete Fox (13),1224,R
427,428.,George Foster (18),1223,R
428,428.,Fred Lynn (17),1223,L
429,428.,Frank McCormick (13),1223,R
430,428.,Randy Winn (13),1223,B
431,432.,Shano Collins (16),1222,R
432,432.,Eddie Foster (13),1222,R
433,434.,Sal Bando (16),1221,R
434,435.,Pete Browning (13),1220,R
435,436.,Mike Schmidt+ (18),1219,R
436,437.,Tommy Dowd (10),1218,R
437,437.,Johnny Temple (13),1218,R
438,439.,High Pockets Kelly+ (16),1217,R
439,440.,Gabby Hartnett+ (20),1216,R
440,441.,Dode Paskert (15),1215,R
441,442.,Bill Bruton (12),1214,L
442,443.,Tony Lazzeri+ (14),1213,R
443,444.,Ralph Garr (13),1211,L
444,444.,Jimmy Johnston (13),1211,R
445,446.,George Gore (14),1210,L
446,446.,Billy Shindle (13),1210,R
447,448.,Baby Doll Jacobson (11),1209,R
448,449.,Gil Hodges (18),1208,R
449,450.,Terry Turner (17),1207,R
450,451.,Tommy McCarthy+ (13),1205,R
451,452.,Dante Bichette (14),1204,R
452,453.,Ron Cey (17),1203,R
453,453.,Chet Lemon (16),1203,R
454,453.,Germany Smith (15),1203,R
455,456.,Johnny Mize+ (15),1202,L
456,457.,Scott Rolen (17),1201,R
457,458.,Tino Martinez (16),1200,L
458,459.,Harmon Killebrew+ (22),1199,R
459,459.,Otis Nixon (17),1199,B
460,461.,Dave Martinez (16),1198,L
461,461.,Billy Nash (15),1198,R
462,463.,Augie Galan (16),1196,B
463,464.,Brad Ausmus (18),1195,R
464,464.,Shawn Green (15),1195,L
465,466.,Jim Piersall (17),1192,R
466,466.,Cesar Tovar (12),1192,R
467,468.,Hardy Richardson (14),1190,R
468,468.,Joe Vosmik (13),1190,R
469,470.,Tito Fuentes (13),1189,B
470,471.,Hughie Jennings+ (18),1188,R
471,472.,Vinny Castilla (16),1187,R
472,472.,Art Fletcher (13),1187,R
473,472.,Joe Start (16),1187,L
474,472.,Bill Virdon (12),1187,L
475,476.,Lou Bierbauer (13),1186,L
476,476.,Bobby Bonds (14),1186,R
477,476.,Duke Farrell (18),1186,B
478,479.,Thurman Munson (11),1184,R
479,480.,Shannon Stewart (14),1182,R
480,481.,Willie Kamm (13),1181,R
481,481.,"Joey Votto (14, 36)",1181,L
482,483.,Rico Carty (15),1178,R
483,483.,George Cutshaw (12),1178,R
484,485.,Harry Steinfeldt (14),1177,R
485,486.,Cecil Travis (12),1174,L
486,487.,Manny Sanguillen (13),1173,R
487,487.,Chick Stahl (10),1173,L
488,489.,Alex Rios (12),1172,R
489,490.,Tommy Harper (15),1171,R
490,490.,Alfonso Soriano (16),1171,R
491,492.,Jose Offerman (15),1170,B
492,493.,Tom Daly (17),1169,B
493,493.,Everett Scott (13),1169,R
494,495.,Travis Fryman (13),1168,R
495,495.,Ted Kluszewski (15),1168,L
496,495.,Hunter Pence (14),1168,R
497,498.,Joe Adcock (17),1166,R
498,498.,Derrek Lee (15),1166,R
499,498.,Jose Vizcaino (18),1166,B
500,501.,Bobby Richardson (12),1165,R
501,502.,Kevin Seitzer (12),1163,R
502,503.,Johnny Pesky (10),1162,L
503,504.,Norm Cash (17),1161,L
504,504.,Richie Hebner (18),1161,L
505,504.,Willie Montanez (14),1161,L
506,504.,Jimmy Slagle (10),1161,L
507,504.,Bill White (13),1161,L
508,509.,"Starlin Castro (11, 30)",1159,R
509,509.,Dan McGann (12),1159,B
510,509.,Jorge Orta (16),1159,L
511,509.,Jhonny Peralta (15),1159,R
512,513.,Chase Utley (16),1157,L
513,514.,Jason Giambi (20),1156,L
514,514.,Boog Powell (17),1156,L
515,514.,Hanley Ramirez (15),1156,R
516,517.,"Ryan Braun (14, 36)",1154,R
517,517.,Dots Miller (12),1154,R
518,519.,Carlos Baerga (14),1153,B
519,520.,Joe Dugan (14),1151,R
520,521.,Delino DeShields (13),1150,L
521,521.,Buddy Lewis (11),1150,L
522,523.,Fred Merkle (16),1148,R
523,524.,"Matt Kemp (15, 35)",1146,R
524,525.,Brian Giles (15),1144,L
525,525.,Ron Hunt (12),1144,R
526,527.,Max Flack (12),1142,L
527,528.,"Jose Altuve (10, 30)",1141,R
528,528.,Yunel Escobar (11),1141,R
529,530.,Gregg Jefferies (14),1140,B
530,530.,Larry Parrish (15),1140,R
531,532.,Hubie Brooks (15),1138,R
532,533.,Mickey Cochrane+ (13),1136,L
533,534.,Vince Coleman (13),1132,B
534,534.,Jack O'Connor (21),1132,R
535,536.,Jack Fournier (15),1130,L
536,537.,Bret Boone (14),1129,R
537,537.,Harry Stovey (14),1129,R
538,539.,Babe Herman (13),1128,L
539,539.,Danny Murphy (16),1128,R
540,539.,Heinie Zimmerman (13),1128,R
541,542.,David Eckstein (10),1127,R
542,542.,Tom Herr (13),1127,B
543,542.,Matt Williams (17),1127,R
544,545.,Buck Ewing+ (18),1126,R
545,545.,Kent Hrbek (14),1126,L
546,545.,Lance Parrish (19),1126,R
547,548.,Rafael Ramirez (13),1124,R
548,549.,Duffy Lewis (11),1123,R
549,550.,Mike Bordick (14),1122,R
550,550.,Jeff Cirillo (14),1122,R
551,550.,Luis Polonia (12),1122,L
552,553.,Johnny Callison (16),1121,L
553,554.,Julian Javier (13),1120,R
554,554.,Greg Luzinski (15),1120,R
555,554.,Ross Youngs+ (10),1120,L
556,557.,Johnny Ray (10),1119,B
557,557.,Jim Sundberg (16),1119,R
558,557.,David Wright (14),1119,R
559,560.,George Case (11),1118,R
560,560.,Frankie Crosetti (17),1118,R
561,560.,Gene Woodling (17),1118,L
562,563.,Jack Clark (18),1115,R
563,563.,Bill Freehan (15),1115,R
564,565.,Aurelio Rodriguez (17),1113,R
565,566.,Frank Howard (16),1112,R
566,567.,Vernon Wells (15),1111,R
567,568.,Burt Shotton (14),1110,L
568,569.,Don Money (16),1109,R
569,570.,Howie Shanks (14),1108,R
570,571.,Bruce Bochte (12),1107,L
571,571.,Pedro Guerrero (15),1107,R
572,571.,Wilbert Robinson+ (17),1107,R
573,574.,Ken Caminiti (15),1106,B
574,575.,Don Blasingame (12),1105,L
575,575.,Eric Karros (14),1105,R
576,575.,Tim McCarver (21),1105,L
577,575.,John McGraw+ (17),1105,L
578,579.,Phil Garner (16),1104,R
579,580.,Marty Marion (13),1103,R
580,581.,Jerry Mumphrey (15),1100,B
581,581.,Bobby Thomson (15),1100,R
