,Rank,"Player (yrs, age)",Errors Committed as OF,Throws
0,1.,Tom Brown (17),492,R
1,2.,Dummy Hoy (14),394,R
2,3.,Paul Hines (20),385,R
3,4.,Jesse Burkett+ (16),383,L
4,5.,George Gore (14),368,R
5,6.,Jimmy Ryan (18),366,L
6,7.,George Van Haltren (17),358,L
7,8.,Ned Hanlon+ (13),350,R
8,9.,Jim O'Rourke+ (23),297,R
9,10.,Tom York (15),291,L
10,11.,Billy Hamilton+ (14),289,R
11,12.,Abner Dalrymple (12),285,R
12,13.,George Wood (13),276,R
13,14.,Ty Cobb+ (24),271,R
14,15.,Pete Browning (13),269,R
15,16.,Tommy McCarthy+ (13),262,R
16,17.,King Kelly+ (16),259,R
17,17.,Orator Shafer (13),259,R
18,19.,Fred Clarke+ (21),256,R
19,20.,Charley Jones (12),253,R
20,21.,Pete Hotaling (9),246,R
21,22.,Blondie Purcell (12),241,R
22,23.,Max Carey+ (20),235,R
23,24.,Harry Stovey (14),230,R
24,25.,Walt Wilmot (10),228,R
25,26.,Tris Speaker+ (22),222,L
26,27.,Hugh Duffy+ (17),220,R
27,28.,Clyde Milan (16),216,R
28,29.,Kip Selbach (13),214,R
29,30.,Goose Goslin+ (18),209,R
30,31.,Emmett Seery (9),203,R
31,32.,Patsy Donovan (17),201,L
32,33.,Mike Smith (14),200,L
33,34.,Jimmy Sheckard (17),197,R
34,35.,Lou Brock+ (19),196,L
35,35.,Jack Manning (12),196,R
36,37.,Cliff Carroll (11),194,R
37,38.,Dick Johnston (8),193,R
38,39.,Ed Swartwood (9),187,R
39,39.,Mike Tiernan (13),187,L
40,41.,Curt Welch (10),185,R
41,42.,Sam Rice+ (20),184,R
42,42.,Burt Shotton (14),184,R
43,44.,Zack Wheat+ (19),183,R
44,45.,Paul Radford (12),179,R
45,46.,Joe Hornung (12),178,R
46,46.,Jack Remsen (10),178,R
47,48.,Cy Seymour (16),177,L
48,49.,Mike Griffin (12),174,R
49,50.,Sam Thompson+ (15),172,R
50,51.,Tip O'Neill (10),169,R
51,52.,John Cassidy (11),168,L
52,53.,Tillie Walker (13),167,R
53,53.,Chicken Wolf (11),167,R
54,55.,Ed Delahanty+ (16),166,R
55,56.,Chief Roseman (7),162,R
56,57.,Jim McTamany (7),161,R
57,58.,Ned Cuthbert (10),160,R
58,59.,Joe Sommer (10),157,R
59,60.,Roy Johnson (10),156,R
60,61.,Mike Dorgan (10),155,R
61,61.,Babe Ruth+ (22),155,L
62,63.,Jimmy McAleer (13),154,R
63,63.,Gee Walker (15),154,R
64,65.,Eddie Burke (8),153,R
65,66.,Harry Hooper+ (17),151,R
66,67.,Bill Crowley (8),150,R
67,67.,Jimmy Slagle (10),150,R
68,67.,Bobby Veach (14),150,R
69,70.,Duff Cooley (13),146,R
70,70.,Dave Eggler (11),146,R
71,70.,Andy Leonard (9),146,R
72,70.,Hugh Nicol (10),146,R
73,74.,Ed Daily (7),145,R
74,74.,Elmer Flick+ (13),145,R
75,74.,Fred Treacey (6),145,R
76,77.,Fielder Jones (15),144,R
77,77.,Joe Kelley+ (17),144,R
78,79.,Sam Crawford+ (19),143,L
79,79.,Ducky Holmes (10),143,R
80,79.,Mike Mansell (5),143,
81,82.,Steve Brodie (12),142,R
82,82.,Patrick Gillespie (8),142,R
83,82.,Reggie Jackson+ (21),142,L
84,82.,Dave Parker (19),142,R
85,86.,Dick Harley (7),141,R
86,86.,Rickey Henderson+ (25),141,L
87,86.,Bob Johnson (13),141,R
88,86.,Willie Mays+ (22),141,R
89,90.,Roberto Clemente+ (18),140,R
90,91.,Ginger Beaumont (12),139,R
91,92.,Willie Keeler+ (19),138,L
92,93.,George Browne (12),137,R
93,93.,John Coleman (8),137,R
94,93.,Tommy Dowd (10),137,R
95,93.,Edd Roush+ (18),137,L
96,93.,Ken Williams (14),137,R
97,98.,Billy Sunday (8),136,R
