,Rank,"Player (yrs, age)",Range Factor/9Inn as 1B,Throws
0,1.,Ron Jackson (10),10.534,R
1,2.,Mike Squires (10),10.493,L
2,3.,Bill Buckner (22),10.329,L
3,4.,Mike Jorgensen (17),10.315,L
4,5.,Rod Carew+ (19),10.294,R
5,6.,Gerald Perry (13),10.261,R
6,7.,Pat Putnam (8),10.251,R
7,8.,Leon Durham (10),10.219,L
8,9.,Chris Chambliss (17),10.207,R
9,10.,Enos Cabell (15),10.206,R
10,11.,Keith Hernandez (17),10.204,L
11,12.,Steve Balboni (11),10.164,R
12,13.,Cecil Cooper (17),10.122,L
13,14.,Sid Bream (12),10.112,L
14,15.,Kevin Young (12),10.093,R
15,16.,Gene Tenace (15),10.060,R
16,17.,Jason Thompson (11),10.030,L
17,18.,Bob Watson (19),10.028,R
18,19.,Pedro Guerrero (15),10.017,R
19,20.,John Mayberry (15),10.013,L
20,21.,Mike Ivie (11),10.006,R
21,22.,Pete O'Brien (12),10.000,L
22,23.,Todd Helton (17),9.997,L
23,23.,George Scott (14),9.997,R
24,25.,Jack Clark (18),9.976,R
25,26.,Will Clark (15),9.964,L
26,27.,Steve Garvey (19),9.949,R
27,28.,Andres Galarraga (19),9.944,R
28,29.,"Albert Pujols (20, 40)",9.925,R
29,30.,Lee Stevens (10),9.907,L
30,31.,Franklin Stubbs (10),9.889,L
31,32.,Carl Yastrzemski+ (23),9.878,R
32,33.,Lee May (18),9.872,R
33,34.,Alvin Davis (9),9.867,R
34,35.,Mike Hargrove (12),9.839,L
35,36.,Eddie Murray+ (21),9.838,R
36,37.,Wally Joyner (16),9.836,L
37,38.,Dave Bergman (17),9.822,L
38,39.,Bruce Bochte (12),9.820,L
39,40.,Andre Thornton (14),9.811,R
40,41.,Julio Franco (23),9.807,R
41,42.,Dave Kingman (16),9.799,R
42,43.,Tony Clark (15),9.798,R
43,44.,Pete Rose (24),9.791,R
44,45.,Mark Grace (16),9.766,L
45,46.,Ricky Jordan (8),9.763,R
46,47.,Willie McCovey+ (22),9.758,L
47,48.,Tony Perez+ (23),9.740,R
48,49.,Kent Hrbek (14),9.734,R
49,50.,Greg Walker (9),9.728,R
50,51.,Cecil Fielder (13),9.718,R
51,52.,Don Mattingly (14),9.713,L
52,53.,Randy Milligan (8),9.708,R
53,54.,Willie Montanez (14),9.707,L
54,55.,Greg Brock (10),9.704,R
55,56.,Darrell Evans (21),9.700,R
56,57.,Mike Sweeney (16),9.681,R
57,58.,Lyle Overbay (14),9.647,L
58,59.,Lance Berkman (15),9.643,L
59,60.,Ben Broussard (7),9.618,L
60,61.,Willie Stargell+ (21),9.616,L
61,62.,Glenn Davis (10),9.601,R
62,63.,Jim Spencer (15),9.595,L
63,64.,Ike Davis (7),9.566,L
64,65.,Willie Upshaw (10),9.550,L
65,66.,Kevin Millar (12),9.549,R
66,67.,Eric Karros (14),9.544,R
67,68.,Jeff Conine (17),9.535,R
68,69.,Jason Giambi (20),9.532,R
69,70.,Justin Morneau (14),9.530,R
70,71.,"Paul Goldschmidt (10, 32)",9.519,R
71,72.,Willie Aikens (8),9.518,R
72,73.,Daric Barton (8),9.502,R
73,73.,John Jaha (10),9.502,R
74,75.,Dan Driessen (15),9.488,R
75,76.,Fred McGriff (19),9.478,L
76,77.,Scott Hatteberg (14),9.463,R
77,78.,Todd Benzinger (9),9.456,R
78,79.,Paul Konerko (18),9.442,R
79,80.,John Kruk (10),9.440,L
80,80.,Travis Lee (9),9.440,L
81,82.,Mark Teixeira (14),9.434,R
82,83.,Doug Mientkiewicz (12),9.411,R
83,84.,Adam LaRoche (12),9.409,L
84,85.,David Segui (15),9.404,L
85,86.,Rafael Palmeiro (20),9.399,L
86,87.,Carlos Delgado (17),9.396,R
87,88.,Gaby Sanchez (7),9.389,R
88,89.,Sean Casey (12),9.383,R
89,89.,Mark Reynolds (13),9.383,R
90,91.,Greg Colbrunn (13),9.372,R
91,92.,Rico Brogna (9),9.371,L
92,93.,Al Oliver (18),9.369,L
93,94.,Richie Sexson (12),9.362,R
