,Rank,"Player (yrs, age)",Double Plays Turned as CF (s.1901),Throws
0,1.,Tris Speaker+ (22),146,L
1,2.,Ty Cobb+ (24),77,R
2,3.,Willie Mays+ (22),59,R
3,4.,Max Carey+ (20),58,R
4,5.,Clyde Milan (16),55,R
5,6.,Dode Paskert (15),48,R
6,7.,Sam West (16),44,L
7,8.,Ken Griffey Jr.+ (22),41,L
8,8.,Edd Roush+ (18),41,L
9,10.,Tommy Leach (19),40,R
10,10.,Cy Seymour (16),40,L
11,12.,Richie Ashburn+ (15),39,R
12,12.,Happy Felsch (6),39,R
13,14.,Hi Myers (14),38,R
14,15.,Steve Finley (19),37,L
15,16.,Joe Birmingham (9),35,R
16,16.,Doc Cramer (20),35,R
17,16.,Vince DiMaggio (10),35,R
18,16.,Amos Otis (17),35,R
19,20.,Ginger Beaumont (12),33,R
20,20.,Kenny Lofton (17),33,L
21,22.,Bill Bruton (12),31,R
22,22.,Jim Edmonds (17),31,L
23,22.,Amos Strunk (17),31,L
24,25.,Dom DiMaggio (11),30,R
25,25.,Fred Lynn (17),30,L
26,25.,Kirby Puckett+ (12),30,R
27,25.,Cy Williams (19),30,L
28,29.,Brett Butler (17),29,L
29,29.,Joe DiMaggio+ (13),29,R
30,29.,Baby Doll Jacobson (11),29,R
31,32.,Earl Averill+ (13),28,R
32,32.,Carlos Beltran (20),28,R
33,32.,Curt Flood (15),28,R
34,32.,Lloyd Waner+ (18),28,R
35,36.,Paul Blair (17),27,R
36,36.,Jim Wynn (15),27,R
37,38.,Fielder Jones (15),26,R
38,38.,Benny Kauff (8),26,L
39,38.,Burt Shotton (14),26,R
40,38.,Roy Thomas (13),26,L
41,42.,Johnny Bates (9),25,L
42,42.,Danny Hoffman (9),25,L
43,42.,Solly Hofman (14),25,R
44,42.,Mickey Mantle+ (18),25,R
45,42.,Jigger Statz (8),25,R
46,47.,Sam Chapman (11),24,R
47,47.,Ira Flagstead (13),24,R
48,47.,Adam Jones (14),24,R
49,47.,Omar Moreno (12),24,L
50,47.,Johnny Mostil (10),24,R
51,52.,Andruw Jones (17),23,R
52,52.,Mark Kotsay (17),23,L
53,52.,Nemo Leibold (13),23,R
54,52.,Terry Moore (11),23,R
55,52.,Bobby Thomson (15),23,R
56,57.,Cesar Cedeno (17),22,R
57,57.,Earle Combs+ (12),22,R
58,57.,Marquis Grissom (17),22,R
59,57.,Johnny Groth (15),22,R
60,57.,Lance Johnson (14),22,L
61,57.,Willie McGee (18),22,R
62,57.,Rebel Oakes (7),22,R
63,57.,Jack Smith (15),22,L
64,57.,Melvin Upton Jr. (12),22,R
65,66.,Ping Bodie (9),21,R
66,66.,Willie Davis (18),21,L
67,66.,Larry Doby+ (13),21,R
68,66.,Dave Henderson (14),21,R
69,66.,Garry Maddox (15),21,R
70,66.,Gary Pettis (11),21,R
71,66.,Fred Schulte (11),21,R
72,66.,Del Unser (15),21,L
73,66.,Tillie Walker (13),21,R
74,66.,Devon White (17),21,R
75,66.,Hack Wilson+ (12),21,R
76,66.,Mookie Wilson (12),21,R
77,78.,Darrin Jackson (12),20,R
78,78.,Rick Monday (19),20,L
79,80.,Mike Cameron (17),19,R
80,80.,Taylor Douthit (11),19,R
81,80.,Doug Glanville (9),19,R
82,80.,Dave Philley (18),19,R
83,84.,"Jackie Bradley Jr. (8, 30)",18,R
84,84.,Lenny Dykstra (12),18,L
85,84.,Carlos Gomez (13),18,R
86,84.,Torii Hunter (19),18,R
87,84.,Charlie Jones (6),18,R
88,84.,Chet Lemon (16),18,R
89,84.,Ray Powell (9),18,R
90,84.,Mickey Rivers (15),18,L
91,84.,Jimmy Slagle (10),18,R
92,84.,Andy Van Slyke (13),18,R
93,94.,Tommie Agee (12),17,R
94,94.,Wally Berger (11),17,R
95,94.,"Jarrod Dyson (11, 35)",17,R
96,94.,Cesar Geronimo (15),17,L
97,94.,Ruppert Jones (12),17,L
98,94.,Mike Kreevich (12),17,R
99,94.,Andy Pafko (17),17,R
100,94.,Duke Snider+ (18),17,R
101,94.,Fred Snodgrass (9),17,R
102,94.,Stan Spence (9),17,L
103,94.,Bill Tuttle (11),17,R
104,94.,Bernie Williams (16),17,R
105,106.,Ethan Allen (13),16,R
106,106.,Jim Busby (13),16,R
107,106.,Mule Haas (12),16,R
108,106.,Jim Landis (11),16,R
109,106.,"Andrew McCutchen (12, 33)",16,R
110,106.,Vada Pinson (18),16,L
111,106.,Bill Virdon (12),16,R
112,113.,Rich Becker (8),15,L
113,113.,Al Burch (6),15,R
114,113.,Jose Cardenal (18),15,R
