,Rank,"Player (yrs, age)",Double Plays Turned as CF (s.1901),Throws
115,113.,Coco Crisp (15),15,R
116,113.,Kiddo Davis (8),15,R
117,113.,"Dexter Fowler (13, 34)",15,R
118,113.,"Matt Kemp (15, 35)",15,R
119,113.,Ron LeFlore (9),15,R
120,113.,Don Lock (8),15,R
121,113.,Armando Marsans (8),15,R
122,113.,Rick Miller (15),15,L
123,113.,Bill North (11),15,R
124,113.,Corey Patterson (12),15,R
125,113.,Sam Rice+ (20),15,R
126,113.,Homer Smoot (5),15,R
127,113.,Denard Span (11),15,L
128,113.,Mickey Stanley (15),15,R
129,130.,Gus Bell (15),14,R
130,130.,Harry Craft (6),14,R
131,130.,Charlie Hemphill (11),14,L
132,130.,Freddy Leach (10),14,R
133,130.,Billy Maloney (6),14,R
134,130.,Johnny Rucker (6),14,R
135,130.,Al Simmons+ (20),14,R
136,130.,Chris Young (13),14,R
137,138.,Harry Bay (8),13,L
138,138.,Carl Everett (14),13,R
139,138.,"Billy Hamilton (8, 29)",13,R
140,138.,Hal Jeffcoat (12),13,R
141,138.,Sam Jethroe (4),13,R
142,138.,Lloyd Moseby (12),13,R
143,138.,Dale Murphy (18),13,R
144,138.,Rube Oldring (13),13,R
145,138.,Tom Oliver (4),13,R
146,138.,Harry Rice (10),13,R
147,138.,Aaron Rowand (11),13,R
148,138.,Denny Sothern (5),13,R
149,138.,Vernon Wells (15),13,R
150,138.,Robin Yount+ (20),13,R
151,152.,Ken Berry (14),12,R
152,152.,Marlon Byrd (15),12,R
153,152.,"Lorenzo Cain (11, 34)",12,R
154,152.,Ben Chapman (15),12,R
155,152.,Endy Chavez (13),12,L
156,152.,Chad Curtis (10),12,R
157,152.,Johnny Damon (18),12,L
158,152.,Andre Dawson+ (21),12,R
159,152.,Jacoby Ellsbury (11),12,L
160,152.,Tommy Holmes (11),12,L
161,152.,Austin Jackson (9),12,R
162,152.,Ben Koehler (2),12,R
163,152.,Lee Magee (9),12,R
164,152.,Brian McRae (10),12,R
165,152.,Juan Pierre (14),12,L
166,152.,Al Shaw (5),12,R
167,152.,Shane Victorino (12),12,R
168,152.,Roy Weatherly (10),12,R
169,152.,Jimmy Welsh (6),12,R
170,171.,Matty Alou (15),11,L
171,171.,Rocco Baldelli (7),11,R
172,171.,Michael Bourn (11),11,R
173,171.,Melky Cabrera (15),11,L
174,171.,Shano Collins (16),11,R
175,171.,Vic Davalillo (16),11,L
176,171.,Chuck Diering (9),11,R
177,171.,Curtis Granderson (16),11,R
178,171.,Darren Lewis (13),11,R
179,171.,Peanuts Lowrey (13),11,R
180,171.,Elliott Maddox (11),11,R
181,171.,Rick Manning (13),11,R
182,171.,Dave May (12),11,R
183,171.,Jerry Mumphrey (15),11,R
184,171.,Dwayne Murphy (12),11,R
185,171.,Chick Stahl (10),11,L
186,171.,Preston Wilson (10),11,R
187,171.,Willie Wilson (19),11,R
188,171.,Marvell Wynne (8),11,L
189,171.,Gerald Young (8),11,R
190,191.,Roger Bresnahan+ (17),10,R
191,191.,Vin Campbell (6),10,R
192,191.,Johnny Cooney (20),10,L
193,191.,Eric Davis (17),10,R
194,191.,Jim Delsing (10),10,R
195,191.,Mike Devereaux (12),10,R
196,191.,Phil Geier (5),10,R
197,191.,Tony Gonzalez (12),10,R
198,191.,Josh Hamilton (9),10,L
199,191.,Myril Hoag (13),10,R
200,191.,Jay Johnstone (20),10,R
201,191.,Roberto Kelly (14),10,R
202,191.,Hank Leiber (10),10,R
203,191.,Les Mann (16),10,R
204,191.,Lee Mazzilli (14),10,R
205,191.,Jim Piersall (17),10,R
206,191.,John Shelby (11),10,R
207,191.,"Mike Trout (10, 28)",10,R
208,191.,Ken Williams (6),10,R
209,191.,Dutch Zwilling (4),10,L
210,211.,Mel Almada (7),9,L
211,211.,Juan Beniquez (17),9,R
212,211.,Al Bumbry (14),9,R
213,211.,Joe Carter (16),9,R
214,211.,Rajai Davis (14),9,R
215,211.,"Odubel Herrera (5, 28)",9,R
216,211.,Stan Javier (17),9,R
217,211.,"Jon Jay (11, 35)",9,L
218,211.,Von Joshua (10),9,L
219,211.,Wally Judnich (7),9,L
220,211.,Ray Lankford (14),9,L
221,211.,"Jake Marisnick (8, 29)",9,R
222,211.,Leonys Martín (9),9,R
223,211.,Oddibe McDowell (7),9,L
224,211.,Jerry Morales (15),9,R
225,211.,Heinie Mueller (11),9,L
226,211.,Al Oliver (18),9,L
227,211.,Angel Pagan (11),9,R
228,211.,Ben Revere (8),9,R
229,211.,Reggie Smith (17),9,R
230,211.,Willy Taveras (7),9,R
231,211.,Gorman Thomas (13),9,R
232,211.,Thurman Tucker (9),9,R
233,211.,Bob Usher (6),9,R
234,211.,Rondell White (15),9,R
235,211.,Whitey Witt (10),9,R
236,237.,Tony Armas (14),8,R
237,237.,Fred Beck (5),8,L
238,237.,Damon Buford (9),8,R
239,237.,Ellis Burks (18),8,R
240,237.,Birdie Cree (8),8,R
241,237.,Leon Culberson (6),8,R
242,237.,Chili Davis (19),8,R
243,237.,Frank Demaree (12),8,R
244,237.,Don Demeter (11),8,R
245,237.,Chick Fullis (8),8,R
246,237.,Liz Funk (4),8,L
247,237.,Carl Furillo (15),8,R
248,237.,Dave Gallagher (9),8,R
249,237.,Billy Hatcher (12),8,R
250,237.,Emmet Heidrick (8),8,R
251,237.,"Aaron Hicks (8, 30)",8,R
252,237.,"Ender Inciarte (7, 29)",8,L
253,237.,"Kevin Kiermaier (8, 30)",8,R
254,237.,Ken Landreaux (11),8,R
255,237.,Dave Martinez (16),8,L
256,237.,"Cameron Maybin (14, 33)",8,R
257,237.,Nate McLouth (10),8,R
258,237.,Alex Metzler (6),8,R
259,237.,Elmer Miller (7),8,R
260,237.,Bobby Murcer (17),8,R
261,237.,Rowland Office (11),8,L
262,237.,Albie Pearson (9),8,L
263,237.,Jim Rivera (10),8,L
264,237.,Ruben Rivera (9),8,R
265,237.,Derrel Thomas (15),8,R
266,237.,Cesar Tovar (12),8,R
267,237.,Ted Uhlaender (8),8,R
268,237.,Harry Walker (11),8,R
269,237.,Gerald Williams (14),8,R
270,237.,Chief Wilson (9),8,R
271,272.,Bob Bailor (11),7,R
272,272.,Jimmy Barrett (10),7,R
273,272.,Beals Becker (8),7,L
274,272.,Milton Bradley (12),7,R
275,272.,Jackie Brandt (11),7,R
276,272.,Chet Chadbourne (5),7,R
277,272.,Brady Clark (9),7,R
278,272.,Jose Cruz (19),7,L
279,272.,Kiki Cuyler+ (18),7,R
280,272.,Mike Donlin (12),7,L
281,272.,Darin Erstad (14),7,L
282,272.,Bobby Estalella (9),7,R
283,272.,Cito Gaston (11),7,R
284,272.,Carden Gillenwater (5),7,R
285,272.,Tom Goodwin (14),7,R
286,272.,Goose Goslin+ (18),7,R
287,272.,Cliff Heathcote (15),7,L
288,272.,George Hendrick (18),7,R
289,272.,Shoeless Joe Jackson (13),7,R
290,272.,Gabe Kapler (12),7,R
291,272.,Rudy Law (7),7,L
292,272.,Heinie Manush+ (17),7,L
293,272.,Pepper Martin (13),7,R
294,272.,Quinton McCracken (12),7,R
295,272.,Kevin McReynolds (12),7,R
296,272.,Eddie Milner (9),7,L
297,272.,Bernie Neis (8),7,R
298,272.,Otis Nixon (17),7,R
299,272.,Irv Noren (11),7,L
300,272.,Jay Payton (12),7,R
301,272.,"AJ Pollock (9, 32)",7,R
302,272.,Jake Powell (11),7,R
303,272.,Carl Reynolds (13),7,R
304,272.,Alex Rios (12),7,R
305,272.,Tony Scott (11),7,R
306,272.,Tuck Stainback (13),7,R
307,272.,Drew Stubbs (9),7,R
308,272.,Dixie Walker (18),7,R
309,272.,Joe Wallis (5),7,R
310,272.,Jo-Jo White (9),7,R
311,272.,Johnny Wyrostek (11),7,R
312,313.,Buster Adams (6),6,R
313,313.,Bob Bescher (11),6,L
314,313.,"Charlie Blackmon (10, 33)",6,L
315,313.,Fred Brickell (8),6,R
316,313.,Dain Clay (4),6,R
317,313.,Ty Cline (12),6,L
318,313.,Bert Daniels (5),6,R
319,313.,David DeJesus (13),6,L
320,313.,Bobby Del Greco (9),6,R
321,313.,Bob Dernier (10),6,R
322,313.,J.D. Drew (14),6,R
323,313.,Vern Duncan (3),6,R
324,313.,George Foster (18),6,R
325,313.,Johnny Frederick (6),6,L
326,313.,Augie Galan (16),6,R
327,313.,"Brett Gardner (13, 36)",6,L
328,313.,Joey Gathright (7),6,R
329,313.,Gary Geiger (12),6,R
330,313.,Craig Gentry (10),6,R
331,313.,Chick Hafey+ (13),6,R
332,313.,Jimmie Hall (8),6,R
333,313.,Ken Henderson (16),6,R
334,313.,Brian Hunter (10),6,R
335,313.,Jimmy Johnston (13),6,R
336,313.,Jerry Martin (11),6,R
337,313.,Luis Matos (7),6,R
338,313.,Gary Matthews (12),6,R
339,313.,Earl McNeely (8),6,R
340,313.,Lloyd Merriman (5),6,L
341,313.,George Metkovich (10),6,L
342,313.,Herbie Moran (7),6,R
343,313.,Al Nixon (9),6,L
344,313.,Fred Osborn (3),6,R
345,313.,Cody Ross (12),6,L
346,313.,Chris Singleton (6),6,L
347,313.,Grady Sizemore (10),6,L
348,313.,Denny Sullivan (4),6,R
349,313.,Frank Thomas (16),6,R
350,313.,Jack Tobin (13),6,L
351,313.,Ty Tyson (3),6,R
352,313.,Ken Williams (14),6,R
353,354.,Brady Anderson (15),5,L
354,354.,Brandon Barnes (6),5,R
355,354.,Red Barnes (4),5,R
356,354.,Derek Bell (11),5,R
357,354.,Rick Bosetti (7),5,R
358,354.,Adrian Brown (9),5,R
359,354.,George Burns (15),5,R
360,354.,Rip Cannell (2),5,R
361,354.,Chuck Carr (8),5,R
362,354.,Sam Crawford+ (19),5,L
363,354.,Bill Cunningham (4),5,R
364,354.,Josh Devore (7),5,R
365,354.,"Adam Eaton (9, 31)",5,L
366,354.,Elmer Flick+ (13),5,R
367,354.,Jim Gosger (10),5,L
368,354.,Franklin Gutierrez (12),5,R
369,354.,Charlie Hanford (2),5,R
370,354.,Larry Harlow (6),5,L
371,354.,Larry Herndon (14),5,R
372,354.,Mike Hershberger (11),5,R
373,354.,Larry Hisle (14),5,R
374,354.,Oris Hockett (7),5,R
375,354.,Thomas Howard (11),5,R
376,354.,Reed Johnson (13),5,R
377,354.,Joe Lovitto (4),5,R
378,354.,Felix Mackiewicz (6),5,R
379,354.,Sherry Magee (16),5,R
380,354.,"Starling Marte (9, 31)",5,R
381,354.,Justin Maxwell (7),5,R
382,354.,Mike McCormick (10),5,R
383,354.,Barney McCosky (11),5,R
384,354.,Bing Miller (16),5,R
385,354.,Nyjer Morgan (7),5,L
386,354.,Stan Musial+ (22),5,L
387,354.,Greasy Neale (8),5,R
388,354.,Adolfo Phillips (8),5,R
389,354.,Ollie Pickering (8),5,R
390,354.,Colby Rasmus (10),5,L
391,354.,Kevin Romine (7),5,R
392,354.,Larry Rosenthal (8),5,L
393,354.,Earl Smith (7),5,R
394,354.,"Michael A. Taylor (7, 29)",5,R
395,354.,Luis Terrero (5),5,R
396,354.,Gee Walker (15),5,R
397,354.,Wally Westlake (10),5,R
398,354.,George Wright (5),5,R
399,354.,Ernie Young (8),5,R
