,Rank,"Player (yrs, age)",On-Base Plus Slugging,Bats
93,94.,Nomar Garciaparra (14),.8821,R
94,95.,Wally Berger (11),.8805,R
95,96.,Will Clark (15),.8801,L
96,96.,Kevin Mitchell (13),.8801,R
97,98.,Dolph Camilli (12),.8800,L
98,99.,Riggs Stephenson (14),.8797,R
99,100.,Al Rosen (10),.8792,R
100,101.,Jeff Heath (14),.8788,L
101,102.,David Justice (14),.8778,L
102,103.,Paul Waner+ (20),.8777,L
103,104.,Sammy Sosa (18),.8775,R
104,105.,"Josh Donaldson (10, 34)",.8771,R
105,106.,Joe Harris (10),.8766,R
106,107.,"Nelson Cruz (16, 39)",.8762,R
107,108.,Larry Doby+ (13),.8760,L
108,109.,John McGraw+ (17),.8757,L
109,110.,Jack Fournier (15),.8754,L
110,111.,Travis Hafner (12),.8742,L
111,112.,Ellis Burks (18),.8737,R
112,113.,J.D. Drew (14),.8732,L
113,114.,Tommy Henrich (11),.8731,L
114,115.,Magglio Ordonez (15),.8710,R
115,116.,Ryan Klesko (16),.8704,L
116,117.,"José Abreu (7, 33)",.8702,R
117,118.,Bobby Abreu (18),.8697,L
118,119.,"Christian Yelich (8, 28)",.8696,L
119,120.,Jim Bottomley+ (16),.8695,L
120,121.,Pete Browning (13),.8694,R
121,121.,Mark Teixeira (14),.8694,B
122,123.,Bill Dickey+ (17),.8681,L
123,124.,Jose Canseco (17),.8673,R
124,124.,Dave Orr (8),.8673,R
125,126.,Zeke Bonura (7),.8672,R
126,127.,David Wright (14),.8671,R
127,128.,Joe Medwick+ (17),.8668,R
128,129.,"Charlie Blackmon (10, 33)",.8651,L
129,130.,Josh Hamilton (9),.8650,L
130,131.,Rusty Greer (9),.8649,L
131,132.,Danny Tartabull (14),.8642,R
132,133.,Ed Morgan (7),.8641,R
133,134.,John Olerud (17),.8629,L
134,135.,Norm Cash (17),.8624,L
135,136.,"Anthony Rendon (8, 30)",.8620,R
136,137.,Darryl Strawberry (17),.8619,L
137,138.,Jesse Burkett+ (16),.8610,L
138,139.,Kevin Youkilis (10),.8606,R
139,140.,Roy Campanella+ (10),.8599,R
140,141.,Kiki Cuyler+ (18),.8598,R
141,142.,Earle Combs+ (12),.8593,L
142,142.,Derrek Lee (15),.8593,R
143,142.,Arky Vaughan+ (14),.8593,L
144,145.,Ryan Howard (13),.8586,L
145,146.,Gabby Hartnett+ (20),.8584,R
146,147.,Bill Lange (7),.8582,R
147,147.,Bernie Williams (16),.8582,B
148,149.,Wade Boggs+ (18),.8577,L
149,150.,Gavvy Cravath (11),.8576,R
150,150.,Honus Wagner+ (21),.8576,R
151,152.,Joe Cronin+ (20),.8574,R
152,153.,"Anthony Rizzo (10, 30)",.8568,L
153,154.,George Brett+ (21),.8567,L
154,155.,Troy Tulowitzki (13),.8556,R
155,156.,Heinie Manush+ (17),.8555,L
156,157.,Al Kaline+ (22),.8552,R
157,157.,Jeff Kent (17),.8552,R
158,159.,Reggie Smith (17),.8549,B
159,160.,Scott Rolen (17),.8547,R
160,161.,Mike Tiernan (13),.8546,L
161,162.,Jim Gentile (9),.8545,L
162,163.,Jack Clark (18),.8543,R
163,163.,"Andrew McCutchen (12, 33)",.8543,R
164,165.,Adam Dunn (14),.8542,L
165,166.,Mike Donlin (12),.8539,L
166,166.,Don Hurst (7),.8539,L
167,166.,Jim Rice+ (16),.8539,R
168,169.,George Grantham (13),.8536,L
169,170.,Eddie Collins+ (25),.8534,L
170,171.,Billy Williams+ (18),.8533,L
171,172.,Joe Kelley+ (17),.8529,R
172,173.,Bob Meusel (11),.8524,R
173,174.,Jay Buhner (15),.8521,R
174,174.,Ripper Collins (9),.8521,B
175,174.,"George Springer (7, 30)",.8521,R
176,177.,Mike Sweeney (16),.8513,R
177,178.,Frank Howard (16),.8510,R
178,179.,Tip O'Neill (10),.8507,R
179,180.,Richie Sexson (12),.8506,R
180,181.,Ted Kluszewski (15),.8504,L
181,182.,Pedro Guerrero (15),.8499,R
182,183.,Shawn Green (15),.8497,L
183,183.,Denny Lyons (13),.8497,R
184,185.,Orlando Cepeda+ (17),.8493,R
185,186.,"Jose Ramirez (8, 27)",.8485,B
186,187.,Jorge Posada (17),.8481,B
187,188.,Minnie Minoso (17),.8480,R
188,189.,Rocky Colavito (14),.8478,R
189,190.,Kent Hrbek (14),.8475,L
190,191.,Troy Glaus (13),.8474,R
191,191.,George Sisler+ (15),.8474,L
192,193.,Bob Nieman (12),.8471,R
193,194.,Tony Gwynn+ (20),.8468,L
194,195.,Nap Lajoie+ (21),.8465,R
195,195.,Hanley Ramirez (15),.8465,R
196,197.,Tony Lazzeri+ (14),.8464,R
197,198.,"Edwin Encarnacion (16, 37)",.8463,R
198,199.,Andres Galarraga (19),.8458,R
199,200.,Gil Hodges (18),.8457,R
200,200.,Reggie Jackson+ (21),.8457,L
201,202.,Luis Gonzalez (19),.8455,L
202,202.,Rudy York (13),.8455,R
203,204.,Brad Hawpe (9),.8448,L
204,205.,Fred Lynn (17),.8445,L
205,206.,"Robinson Cano (16, 37)",.8439,L
206,207.,"Carlos Gonzalez (12, 34)",.8430,L
207,208.,Adrian Gonzalez (15),.8428,L
208,208.,Hank Sauer (15),.8428,R
209,208.,John Stone (11),.8428,L
210,211.,Sid Gordon (13),.8427,R
211,212.,John Kruk (10),.8424,L
212,213.,Carl Yastrzemski+ (23),.8415,L
213,214.,Jason Bay (11),.8411,R
214,215.,Eric Davis (17),.8410,R
215,216.,Cap Anson+ (27),.8406,R
216,217.,Paul Konerko (18),.8405,R
217,217.,Ray Lankford (14),.8405,L
218,219.,Cliff Floyd (17),.8404,L
219,219.,Greg Luzinski (15),.8404,R
220,221.,Nick Johnson (10),.8403,L
221,222.,Dwight Evans (20),.8401,R
