,Rank,"Player (yrs, age)",On-Base Plus Slugging,Bats
617,617.,Mike Epstein (9),.7818,L
618,617.,Julio Franco (23),.7818,R
619,620.,Mike Cameron (17),.7817,R
620,621.,Steve Evans (8),.7815,L
621,621.,Earl Sheely (9),.7815,R
622,623.,Melvin Mora (13),.7814,R
623,623.,Elmer Smith (10),.7814,L
624,625.,Ed McKean (13),.7813,R
625,626.,George Kell+ (15),.7812,R
626,626.,Ryan Ludwick (12),.7812,R
627,628.,Frank McCormick (13),.7811,R
628,629.,Hardy Richardson (14),.7809,R
629,630.,George McQuinn (12),.7808,L
630,631.,Orlando Merced (13),.7807,B
631,632.,"Nick Markakis (15, 36)",.7806,L
632,633.,Mark Reynolds (13),.7804,R
633,634.,Kendrys Morales (13),.7803,B
634,634.,Johnny Pesky (10),.7803,L
635,636.,Sam Chapman (11),.7801,R
636,637.,Danny Litwhiler (11),.7800,R
637,638.,Kevin Seitzer (12),.7797,R
638,639.,Dave Kingman (16),.7795,R
639,639.,Wally Moses (17),.7795,L
640,639.,Troy O'Leary (11),.7795,L
641,639.,Russ Wrightstone (9),.7795,L
642,643.,Ron Kittle (10),.7794,R
643,644.,Johnny Grubb (16),.7792,L
644,645.,Dusty Baker (19),.7787,R
645,645.,Travis Fryman (13),.7787,R
646,645.,Ed Swartwood (9),.7787,L
647,648.,Dave Hollins (12),.7786,B
648,648.,Eric Karros (14),.7786,R
649,650.,Richie Ashburn+ (15),.7785,L
650,650.,Ken Keltner (13),.7785,R
651,650.,Rip Radcliff (10),.7785,L
652,653.,Hoot Evers (12),.7783,R
653,654.,Casey Blake (13),.7779,R
654,654.,Fred Carroll (8),.7779,R
655,654.,Vernon Wells (15),.7779,R
656,657.,Don Baylor (19),.7773,R
657,657.,Jason Kubel (10),.7773,L
658,657.,Socks Seybold (9),.7773,R
659,660.,Ian Kinsler (14),.7770,R
660,661.,Ira Flagstead (13),.7765,R
661,662.,"Dexter Fowler (13, 34)",.7763,B
662,663.,"Wil Myers (8, 29)",.7762,R
663,664.,Jason Varitek (15),.7761,B
664,665.,Lyle Overbay (14),.7760,L
665,666.,Clyde Barnhart (9),.7759,R
666,667.,"Adam Eaton (9, 31)",.7754,L
667,667.,Steve Garvey (19),.7754,R
668,667.,"Pablo Sandoval (13, 33)",.7754,B
669,670.,Gus Bell (15),.7753,L
670,671.,Kevin McReynolds (12),.7752,R
671,672.,Nick Esasky (8),.7751,R
672,672.,Greg Walker (9),.7751,L
673,674.,George Hendrick (18),.7750,R
674,674.,Johnny Hodapp (9),.7750,R
675,674.,Glenn Wright (11),.7750,R
676,677.,Pat Duncan (7),.7749,R
677,678.,Jacque Jones (10),.7747,L
678,679.,Steve Finley (19),.7746,L
679,679.,David Freese (11),.7746,R
680,681.,Ivan Calderon (10),.7745,R
681,681.,Happy Felsch (6),.7745,R
682,681.,Jim O'Rourke+ (23),.7745,R
683,684.,Jose Cruz (19),.7744,L
684,684.,Doug DeCinces (15),.7744,R
685,686.,Elbie Fletcher (12),.7742,L
686,687.,Frank Thomas (16),.7741,R
687,688.,Jocko Milligan (10),.7740,R
688,689.,Billy Herman+ (15),.7738,R
689,690.,"Chris Davis (13, 34)",.7736,L
690,691.,Gary Carter+ (19),.7735,R
691,692.,David Dellucci (13),.7734,L
692,693.,Floyd Robinson (9),.7733,L
693,694.,Billy Southworth+ (13),.7731,L
694,695.,Ellis Valentine (10),.7730,R
695,696.,Johnny Lindell (12),.7728,R
696,697.,Bob Skinner (12),.7727,L
697,698.,Red Rolfe (10),.7726,L
698,699.,Johnny Callison (16),.7725,L
699,699.,Nate Colbert (10),.7725,R
700,701.,Frank Demaree (12),.7721,R
701,702.,Lee May (18),.7720,R
702,703.,Robin Yount+ (20),.7719,R
703,704.,Scott Hatteberg (14),.7718,L
704,704.,"Matthew Joyce (13, 35)",.7718,L
705,704.,Chris Sabo (9),.7718,R
706,704.,Gorman Thomas (13),.7718,R
707,704.,Perry Werden (7),.7718,R
708,709.,Lee Stevens (10),.7716,L
709,710.,John Briggs (12),.7713,L
710,711.,Adam Jones (14),.7709,R
711,712.,Charlie Hickman (12),.7708,R
712,713.,Donn Clendenon (12),.7707,R
713,713.,"Eric Hosmer (10, 30)",.7707,L
714,715.,Joe Carter (16),.7706,R
715,716.,Von Hayes (12),.7703,L
716,716.,Fred Schulte (11),.7703,R
717,718.,Willard Marshall (11),.7697,L
718,719.,Travis Jackson+ (15),.7696,R
719,720.,Todd Zeile (16),.7695,R
720,721.,Vada Pinson (18),.7691,L
721,722.,Jonny Gomes (13),.7689,R
722,723.,Jose Valentin (16),.7688,B
723,724.,Jack Clements (17),.7686,L
724,725.,Dan Pasqua (10),.7685,L
725,726.,Amos Otis (17),.7684,R
726,727.,Ron Fairly (21),.7683,L
727,728.,"Kyle Seager (10, 32)",.7681,L
728,729.,Mike Marshall (11),.7678,R
729,730.,Cody Ross (12),.7676,R
730,731.,Roberto Kelly (14),.7675,R
731,731.,"Mitch Moreland (11, 34)",.7675,L
732,733.,Todd Hollandsworth (12),.7674,L
733,733.,George Scott (14),.7674,R
734,735.,"Todd Frazier (10, 34)",.7671,R
735,735.,Jay Gibbons (9),.7671,L
736,735.,Howie Kendrick (15),.7671,R
737,735.,Red Kress (14),.7671,R
738,739.,Dave Magadan (16),.7669,L
739,740.,Joe Ferguson (14),.7668,R
740,740.,Alan Trammell+ (20),.7668,R
741,742.,Bret Boone (14),.7667,R
742,743.,George Davis+ (20),.7666,B
743,743.,Dan Driessen (15),.7666,L
744,745.,"Brian Dozier (9, 33)",.7665,R
745,746.,Don Demeter (11),.7662,R
746,747.,Rob Deer (11),.7661,R
747,748.,Casey Stengel+ (14),.7660,L
748,748.,Tillie Walker (13),.7660,R
749,750.,Brandon Moss (11),.7658,L
750,750.,Juan Rivera (12),.7658,R
751,752.,Birdie Cree (8),.7657,R
752,752.,Gil McDougald (10),.7657,R
753,754.,Gregg Jefferies (14),.7655,B
754,754.,Eddie Yost (18),.7655,R
755,756.,Steve Henderson (12),.7654,R
756,756.,Aaron Rowand (11),.7654,R
757,758.,Carl Crawford (15),.7653,L
758,759.,Joe Randa (12),.7651,R
759,760.,Bake McBride (11),.7649,L
760,760.,Ruben Sierra (20),.7649,B
761,760.,Shane Victorino (12),.7649,R
762,763.,David Murphy (10),.7648,L
763,764.,Harvey Kuenn (15),.7647,R
764,764.,Doug Mientkiewicz (12),.7647,L
765,766.,Larry Doyle (14),.7646,L
766,766.,Joe Kuhel (18),.7646,L
767,768.,Jimmy Dykes (22),.7644,R
768,769.,Rico Brogna (9),.7643,L
769,769.,"Neil Walker (12, 34)",.7643,B
770,771.,Andy Seminick (15),.7639,R
771,772.,Austin Kearns (12),.7638,R
772,772.,Roy White (15),.7638,B
773,774.,Rickie Weeks (14),.7637,R
774,775.,Roger Bresnahan+ (17),.7635,R
775,775.,Tony Gonzalez (12),.7635,L
776,777.,Tony Phillips (18),.7633,B
777,778.,Darrell Porter (17),.7630,L
778,779.,John Reilly (10),.7629,R
779,780.,Todd Hundley (14),.7627,B
780,780.,Charlie Jamieson (18),.7627,L
781,780.,Jim Northrup (12),.7627,L
782,783.,Charles Johnson (12),.7625,R
783,783.,Michael Tucker (12),.7625,L
784,785.,Eric Hinske (12),.7619,L
785,785.,Kevin Young (12),.7619,R
786,787.,Rich Aurilia (15),.7617,R
787,788.,Pete Fox (13),.7616,R
788,788.,Charlie Hollocher (7),.7616,L
789,790.,Gee Walker (15),.7614,R
790,791.,George Altman (9),.7613,L
791,791.,Al Zarilla (10),.7613,L
792,793.,"Lorenzo Cain (11, 34)",.7612,R
793,794.,David DeJesus (13),.7611,L
794,795.,Tom Brunansky (14),.7610,R
795,795.,Jose Reyes (16),.7610,B
796,797.,Jose Guillen (14),.7609,R
797,797.,Mark Trumbo (10),.7609,R
798,799.,Mule Haas (12),.7606,L
799,800.,Felipe Alou (17),.7605,R
800,800.,Ed Taubensee (11),.7605,L
801,802.,Jim Hickman (13),.7604,R
802,802.,Shea Hillenbrand (7),.7604,R
803,804.,Sal Bando (16),.7603,R
804,804.,Jake Daubert (15),.7603,L
805,804.,Rance Mulliniks (16),.7603,L
806,804.,Randy Velarde (16),.7603,R
807,808.,Sammy Hale (10),.7602,R
808,809.,Toby Harrah (17),.7601,R
809,810.,Tom McCreery (9),.7600,B
810,811.,Jim Russell (10),.7599,B
811,812.,Dummy Hoy (14),.7598,L
812,813.,Vic Saier (8),.7597,L
813,814.,Jeff Blauser (13),.7596,R
814,814.,Jacoby Ellsbury (11),.7596,L
815,816.,Jay Bell (18),.7592,R
816,816.,Marlon Byrd (15),.7592,R
817,818.,Eric Byrnes (11),.7589,R
818,818.,Randy Winn (13),.7589,B
819,820.,Sherm Lollar (18),.7588,R
820,821.,"Jason Heyward (11, 30)",.7582,L
821,821.,John Titus (11),.7582,L
822,823.,Pinky Whitney (12),.7580,R
823,823.,Ty Wigginton (12),.7580,R
824,825.,Juan Encarnacion (11),.7579,R
825,826.,Pete Incaviglia (12),.7578,R
826,826.,Irv Noren (11),.7578,L
827,828.,Wil Cordero (14),.7576,R
828,828.,Eddie Stanky (11),.7576,R
829,830.,Walt Dropo (13),.7575,R
830,831.,Earl Battey (13),.7574,R
831,831.,John Milner (12),.7574,L
832,831.,Dwayne Murphy (12),.7574,L
833,834.,Pedro Alvarez (9),.7573,L
834,834.,Larry Parrish (15),.7573,R
835,836.,Bill Everitt (7),.7570,L
836,836.,Garrett Jones (8),.7570,L
837,838.,Ichiro Suzuki (19),.7569,L
838,839.,Heinie Groh (16),.7568,R
839,840.,Willie Crawford (14),.7566,L
840,841.,Derek Bell (11),.7565,R
841,842.,Thurman Munson (11),.7563,R
842,843.,George Stone (7),.7562,L
843,844.,Mark Whiten (11),.7560,B
844,845.,Bruce Bochte (12),.7559,L
845,845.,Willie Kamm (13),.7559,R
846,847.,"Asdrubal Cabrera (14, 34)",.7558,B
847,847.,Dave Henderson (14),.7558,R
848,847.,Billy Werber (11),.7558,R
849,850.,Ryan Doumit (10),.7557,B
850,851.,Bill Melton (10),.7556,R
851,851.,Brian Roberts (14),.7556,B
852,853.,Sid Bream (12),.7555,L
853,853.,Dion James (11),.7555,L
854,853.,Eric Soderholm (9),.7555,R
855,856.,Mel Hall (13),.7552,L
856,857.,Ralph Garr (13),.7551,L
857,857.,"Wilson Ramos (11, 32)",.7551,R
858,859.,"Jorge Cantu (8, 38)",.7549,R
859,859.,Harry Hooper+ (17),.7549,L
860,859.,Alex Rios (12),.7549,R
861,862.,Rip Repulski (9),.7548,R
862,863.,Ginger Beaumont (12),.7546,L
863,863.,Xavier Nady (12),.7546,R
864,865.,Jimmie Hall (8),.7545,L
865,865.,Shanty Hogan (13),.7545,R
866,867.,Mark Loretta (15),.7544,R
867,868.,Bob Dillinger (6),.7543,R
868,868.,Willie Upshaw (10),.7543,L
869,870.,Carlos Baerga (14),.7542,B
870,871.,Billy Goodman (16),.7541,L
871,872.,Topsy Hartsel (14),.7538,L
872,873.,Willie Jones (15),.7535,R
873,874.,Tom Haller (12),.7534,L
874,874.,Heinie Reitz (7),.7534,L
875,876.,Carney Lansford (15),.7533,R
876,876.,Jimmy Sheckard (17),.7533,L
877,878.,Lance Parrish (19),.7532,R
878,879.,Gary Ward (12),.7531,R
879,880.,Ronnie Belliard (13),.7529,R
880,880.,Brett Butler (17),.7529,L
881,882.,Lou Brock+ (19),.7528,L
882,882.,Pete Runnels (14),.7528,L
883,884.,"Kole Calhoun (9, 32)",.7527,L
884,884.,Woodie Held (14),.7527,R
885,886.,"Mike Moustakas (10, 31)",.7526,L
886,887.,Jo-Jo Moore (12),.7524,L
887,888.,Jimmy Collins+ (14),.7523,R
888,888.,Rico Petrocelli (13),.7523,R
889,890.,Orlando Hudson (11),.7521,B
890,890.,Jhonny Peralta (15),.7521,R
891,892.,Tony Batista (11),.7520,R
892,892.,Cy Seymour (16),.7520,L
893,894.,Gary Redus (13),.7518,R
894,895.,Bill Freehan (15),.7517,R
895,896.,Mike Macfarlane (13),.7516,R
896,897.,"Jonathan Lucroy (11, 34)",.7514,R
897,898.,Aaron Boone (12),.7513,R
898,899.,Jim Dwyer (18),.7512,L
899,900.,Kelly Johnson (11),.7511,L
900,901.,Melky Cabrera (15),.7510,B
901,901.,Mark DeRosa (16),.7510,R
902,901.,"Chris Iannetta (14, 37)",.7510,R
903,904.,Max West (7),.7508,L
904,905.,Leon Roberts (11),.7507,R
905,906.,Miguel Montero (13),.7505,L
906,907.,Bob Bailey (17),.7504,R
907,907.,Danny Green (8),.7504,L
908,907.,"Josh Reddick (12, 33)",.7504,L
909,910.,Dan Ford (11),.7503,R
910,911.,Heinie Zimmerman (13),.7501,R
911,912.,Graig Nettles (22),.7498,L
912,913.,Lee Lacy (16),.7497,R
913,914.,"Jason Kipnis (10, 33)",.7496,L
914,915.,Gabe Kapler (12),.7494,R
915,915.,Don Slaught (16),.7494,R
916,917.,Paul Hines (20),.7493,R
917,918.,George Burns (15),.7492,R
918,919.,Carlos May (10),.7491,L
919,920.,"Salvador Perez (9, 30)",.7490,R
920,921.,Ed Konetchy (15),.7489,R
921,921.,Eric Young Sr. (15),.7489,R
922,923.,Chris Chambliss (17),.7488,L
923,923.,Jeff King (11),.7488,R
924,923.,"Logan Morrison (11, 32)",.7488,L
925,926.,Billy Nash (15),.7487,R
926,926.,Wally Pipp (15),.7487,L
927,926.,Roy Weatherly (10),.7487,L
928,929.,Elston Howard (14),.7486,R
929,930.,"Alex Gordon (14, 36)",.7484,L
930,930.,Don Lock (8),.7484,R
931,932.,Jay Payton (12),.7482,R
932,932.,Del Pratt (13),.7482,R
933,932.,Freddy Sanchez (10),.7482,R
934,935.,Taylor Douthit (11),.7481,R
935,936.,"Didi Gregorius (9, 30)",.7479,L
936,936.,Bob O'Farrell (21),.7479,R
937,938.,Rafael Furcal (14),.7478,B
938,939.,Joe Crede (10),.7477,R
939,939.,"Jed Lowrie (12, 36)",.7477,B
940,941.,Brian Harper (16),.7476,R
941,942.,Scott Spiezio (12),.7475,B
942,943.,"Marcus Semien (8, 29)",.7472,R
943,944.,Bobby Avila (11),.7468,R
944,944.,Buddy Bell (18),.7468,R
945,944.,"Jonathan Schoop (8, 28)",.7468,R
946,944.,Lloyd Waner+ (18),.7468,L
947,948.,Randy Bush (12),.7467,L
948,948.,Max Carey+ (20),.7467,B
949,950.,Dick Bartell (18),.7466,R
950,950.,Martin Prado (14),.7466,R
951,950.,Roy Thomas (13),.7466,L
952,953.,Keith Moreland (12),.7464,R
953,953.,Jorge Orta (16),.7464,L
954,955.,Tony Fernandez (17),.7462,B
955,955.,Tito Francona (15),.7462,L
956,955.,Johnny Groth (15),.7462,R
957,955.,Dick McAuliffe (16),.7462,L
958,959.,Tom Daly (17),.7461,B
959,959.,Terry Steinbach (14),.7461,R
960,961.,James Loney (11),.7460,L
961,962.,Candy Maldonado (15),.7459,R
962,963.,Jim Eisenreich (15),.7458,L
963,963.,Ruppert Jones (12),.7458,L
964,965.,Paul Lo Duca (11),.7456,R
965,965.,Russell Martin (14),.7456,R
966,965.,Lloyd Moseby (12),.7456,L
967,965.,Tom Tresh (9),.7456,B
968,969.,Ethan Allen (13),.7455,R
969,969.,Fred Dunlap (12),.7455,R
970,969.,"Avisail Garcia (9, 29)",.7455,R
971,969.,Darryl Hamilton (13),.7455,L
972,973.,Steve Brodie (12),.7454,L
973,974.,Pete O'Brien (12),.7453,L
974,974.,Colby Rasmus (10),.7453,L
975,974.,B.J. Surhoff (19),.7453,L
976,977.,Jerry Mumphrey (15),.7452,B
977,978.,Chad Curtis (10),.7451,R
978,978.,Harry Danning (10),.7451,R
979,978.,Denard Span (11),.7451,L
980,981.,Claudell Washington (17),.7449,L
981,982.,Travis Lee (9),.7446,L
982,982.,Hector Lopez (12),.7446,R
983,982.,Carmelo Martinez (9),.7446,R
984,985.,Scott Brosius (11),.7445,R
985,985.,Pete Ward (9),.7445,L
986,987.,Dan McGann (12),.7444,B
987,988.,Davey Johnson (13),.7443,R
988,988.,Chief Meyers (9),.7443,R
989,990.,Johnny Bates (9),.7440,L
990,990.,Al Dark (14),.7440,R
991,990.,Jason Kendall (15),.7440,R
992,990.,Manny Mota (20),.7440,R
993,994.,Ramon Hernandez (15),.7439,R
994,995.,Bill Hall (11),.7438,R
995,995.,Chuck Hinton (11),.7438,R
996,997.,Cleon Jones (13),.7437,R
997,998.,Lee Mazzilli (14),.7436,B
998,998.,Sam Mertes (10),.7436,R
