,Rank,"Player (yrs, age)",Range Factor/9Inn as C,Throws
0,1.,"Yan Gomes (9, 32)",9.539,R
1,2.,"Yasmani Grandal (9, 31)",9.537,R
2,3.,"Martin Maldonado (10, 33)",9.073,R
3,4.,"Tucker Barnhart (7, 29)",9.029,R
4,5.,"Mike Zunino (8, 29)",8.914,R
5,6.,A.J. Ellis (11),8.839,R
6,7.,"Wilson Ramos (11, 32)",8.831,R
7,8.,"Tyler Flowers (12, 34)",8.810,R
8,9.,"J.T. Realmuto (7, 29)",8.628,R
9,10.,Francisco Cervelli (13),8.560,R
10,11.,"Buster Posey (11, 33)",8.555,R
11,12.,Jose Molina (15),8.535,R
12,13.,Brian McCann (15),8.517,R
13,14.,Derek Norris (6),8.490,R
14,15.,Geovany Soto (13),8.442,R
15,16.,"Jonathan Lucroy (11, 34)",8.414,R
16,17.,Russell Martin (14),8.410,R
17,18.,"Jeff Mathis (16, 37)",8.391,R
18,19.,"James McCann (7, 30)",8.380,R
19,20.,"Alex Avila (12, 33)",8.339,R
20,21.,David Ross (15),8.331,R
21,22.,Carlos Ruiz (12),8.308,R
22,23.,"Jason Castro (10, 33)",8.298,R
23,24.,Damian Miller (11),8.227,R
24,25.,Ryan Hanigan (11),8.223,R
25,26.,"Salvador Perez (9, 30)",8.200,R
26,27.,Miguel Montero (13),8.186,R
27,28.,"Welington Castillo (10, 33)",8.171,R
28,29.,"Robinson Chirinos (9, 36)",8.123,R
29,30.,"Matt Wieters (12, 34)",8.084,R
30,31.,Dioner Navarro (13),8.024,R
31,32.,"Yadier Molina (17, 37)",7.955,R
32,33.,Nick Hundley (12),7.945,R
33,34.,Jason Varitek (15),7.921,R
34,35.,"Chris Iannetta (14, 37)",7.919,R
35,36.,Einar Diaz (11),7.908,R
36,37.,Michael Barrett (12),7.854,R
37,38.,Chris Snyder (10),7.842,R
38,39.,Brad Ausmus (18),7.838,R
39,40.,Paul Lo Duca (11),7.828,R
40,41.,"Kurt Suzuki (14, 36)",7.823,R
41,42.,Javy Lopez (15),7.818,R
42,43.,Henry Blanco (16),7.769,R
43,44.,"Drew Butera (11, 36)",7.761,R
44,45.,Jarrod Saltalamacchia (12),7.722,R
45,46.,Mike Piazza+ (16),7.687,R
46,47.,Tony Eusebio (9),7.671,R
47,48.,Miguel Olivo (13),7.625,R
48,49.,Mike Lieberthal (14),7.618,R
49,50.,Ronny Paulino (8),7.608,R
50,51.,Rod Barajas (14),7.582,R
51,52.,Yorvit Torrealba (13),7.542,R
52,53.,Paul Bako (12),7.529,R
53,54.,Mike Napoli (12),7.492,R
54,55.,Jorge Posada (17),7.487,R
55,56.,Scott Servais (11),7.467,R
56,57.,Todd Pratt (14),7.455,R
57,58.,Dan Wilson (14),7.450,R
58,59.,Mike Difelice (13),7.425,R
59,60.,A.J. Pierzynski (19),7.395,R
60,61.,Eddie Perez (11),7.394,R
61,62.,Ramon Castro (13),7.361,R
62,63.,Joe Girardi (15),7.357,R
63,64.,Bengie Molina (13),7.355,R
64,65.,Todd Hundley (14),7.328,R
65,66.,Gerald Laird (13),7.327,R
66,67.,Ramon Hernandez (15),7.299,R
67,68.,Charlie O'Brien (15),7.290,R
68,69.,Mike Scioscia (13),7.268,R
69,70.,John Buck (11),7.247,R
70,71.,Ed Taubensee (11),7.239,R
71,72.,Mike Redmond (13),7.236,R
72,73.,Johnny Estrada (8),7.235,R
73,74.,Brian Schneider (13),7.225,R
74,75.,Jason Kendall (15),7.213,R
75,76.,Charles Johnson (12),7.210,R
76,77.,Darrin Fletcher (14),7.197,R
77,78.,Bill Haselman (13),7.193,R
78,79.,Doug Mirabelli (12),7.176,R
79,80.,Gregg Zaun (16),7.162,R
80,81.,Kelly Shoppach (9),7.154,R
81,82.,Lenny Webster (12),7.153,R
82,83.,Victor Martinez (16),7.152,R
83,84.,Joe Oliver (13),7.143,R
84,85.,Ivan Rodriguez+ (21),7.117,R
85,86.,Rick Wilkins (11),7.109,R
86,87.,Josh Bard (10),7.096,R
87,88.,Jorge Fabregas (9),7.081,R
88,89.,Mike Fitzgerald (10),7.054,R
89,90.,Joe Mauer (15),7.026,R
90,91.,Chris Widger (10),7.019,R
91,92.,Tom Lampkin (13),7.000,R
92,93.,Kelly Stinnett (14),6.973,R
93,94.,Geno Petralli (12),6.965,R
94,95.,Alex Trevino (13),6.964,R
95,96.,Mike Matheny (13),6.921,R
96,97.,Pat Borders (17),6.911,R
97,98.,Tony Pena (18),6.907,R
98,99.,Sandy Alomar (20),6.879,R
99,100.,Chad Kreuter (16),6.873,R
100,101.,Brook Fordyce (10),6.872,R
101,101.,Jeff Reed (17),6.872,R
102,103.,Chris Hoiles (10),6.850,R
103,104.,John Flaherty (14),6.837,R
104,105.,Dave Valle (13),6.820,R
105,106.,Bo Diaz (13),6.804,R
106,107.,Jason LaRue (12),6.800,R
107,108.,Rich Gedman (13),6.746,R
108,109.,Gary Carter+ (19),6.730,R
109,110.,Brent Mayne (15),6.722,R
110,111.,Bob Brenly (9),6.690,R
111,112.,Greg Myers (18),6.666,R
112,113.,Ron Karkovice (12),6.662,R
113,114.,Benito Santiago (20),6.655,R
114,115.,Alan Ashby (17),6.651,R
115,116.,Darren Daulton (14),6.644,R
116,117.,Damon Berryhill (10),6.635,R
117,118.,Mike Stanley (15),6.585,R
118,119.,Gary Bennett (13),6.564,R
119,120.,Ryan Doumit (10),6.533,R
120,121.,Toby Hall (9),6.529,R
121,122.,Ozzie Virgil (11),6.520,R
122,123.,Mike Macfarlane (13),6.501,R
123,124.,Jody Davis (10),6.475,R
124,125.,Steve Yeager (15),6.459,R
125,126.,Barry Foote (10),6.451,R
126,127.,Terry Steinbach (14),6.447,R
127,128.,John Stearns (11),6.376,R
128,129.,Kirt Manwaring (13),6.365,R
129,130.,Jamie Quirk (18),6.363,R
130,131.,Joe Ferguson (14),6.327,R
131,132.,Matt Nokes (11),6.307,R
132,132.,Ernie Whitt (15),6.307,R
133,134.,Rick Cerone (18),6.304,R
134,135.,Ron Hassey (14),6.295,R
135,135.,Matt Walbeck (11),6.295,R
136,137.,Lance Parrish (19),6.291,R
137,138.,Brian Harper (16),6.276,R
138,139.,Mike LaValliere (12),6.243,R
139,140.,Don Slaught (16),6.189,R
140,141.,Bob Melvin (10),6.174,R
141,142.,Johnny Bench+ (17),6.151,R
142,143.,Brian Downing (20),6.124,R
143,144.,Marc Hill (14),6.122,R
144,145.,Jim Sundberg (16),6.098,R
145,146.,Jim Essian (12),6.094,R
146,147.,B.J. Surhoff (19),6.088,R
147,148.,Tom Pagnozzi (12),6.087,R
148,149.,Bob Boone (19),6.066,R
149,150.,Bruce Benedict (12),6.048,R
150,151.,Tim Laudner (9),6.022,R
151,152.,Ed Ott (8),5.996,R
152,153.,Milt May (15),5.967,R
153,154.,Junior Ortiz (13),5.965,R
154,155.,Carlton Fisk+ (24),5.960,R
155,156.,Rick Dempsey (24),5.936,R
156,157.,Andy Allanson (8),5.874,R
157,158.,Butch Wynegar (13),5.872,R
158,159.,Mike Heath (14),5.863,R
159,160.,Joel Skinner (9),5.849,R
160,161.,Terry Kennedy (14),5.778,R
161,162.,Thurman Munson (11),5.773,R
162,163.,Gene Tenace (15),5.748,R
163,164.,Manny Sanguillen (13),5.692,R
164,165.,Ted Simmons+ (21),5.668,R
165,166.,Fred Kendall (12),5.654,R
166,167.,Dave Rader (10),5.637,R
167,168.,Mickey Tettleton (14),5.598,R
168,169.,Jeff Newman (9),5.559,R
169,170.,Charlie Moore (15),5.547,R
170,171.,Bob Stinson (12),5.496,R
171,172.,Buck Martinez (17),5.339,R
172,173.,Darrell Porter (17),5.330,R
173,174.,John Wathan (10),4.886,R
