,Rank,"Player (yrs, age)",Defensive WAR,Bats
0,1.,Ozzie Smith+ (19),44.2,B
1,2.,Mark Belanger (18),39.5,R
2,3.,Brooks Robinson+ (23),39.1,R
3,4.,Cal Ripken Jr.+ (21),35.7,R
4,5.,Joe Tinker+ (15),34.3,R
5,6.,Luis Aparicio+ (18),31.8,R
6,7.,Rabbit Maranville+ (23),30.8,R
7,8.,Ivan Rodriguez+ (21),29.6,R
8,9.,Omar Vizquel (24),29.5,B
9,10.,Bobby Wallace+ (25),28.7,R
10,11.,Bill Dahlen (21),28.5,R
11,12.,Art Fletcher (13),28.3,R
12,13.,Adrian Beltre (21),27.2,R
13,14.,"Andrelton Simmons (9, 30)",26.6,R
14,15.,Gary Carter+ (19),26.1,R
15,16.,Bob Boone (19),25.8,R
16,17.,Pee Wee Reese+ (16),25.6,R
17,18.,"Yadier Molina (17, 37)",25.4,R
18,19.,Jim Sundberg (16),25.3,R
19,20.,Marty Marion (13),25.0,R
20,20.,Roger Peckinpaugh (17),25.0,R
21,22.,Andruw Jones (17),24.4,R
22,23.,George Davis+ (20),24.0,B
23,23.,Bill Mazeroski+ (17),24.0,R
24,25.,Buddy Bell (18),23.8,R
25,26.,Dave Bancroft+ (16),23.5,B
26,27.,Lou Boudreau+ (15),23.4,R
27,28.,George McBride (16),23.3,R
28,29.,Ozzie Guillen (16),23.0,L
29,30.,Travis Jackson+ (15),22.9,R
30,30.,Phil Rizzuto+ (13),22.9,R
31,32.,Germany Smith (15),22.8,R
32,33.,Alan Trammell+ (20),22.7,R
33,34.,Billy Jurges (17),22.6,R
34,35.,Joe Gordon+ (11),22.4,R
35,36.,Jack Glasscock (17),22.3,R
36,37.,Frank White (18),21.9,R
37,38.,Everett Scott (13),21.8,R
38,39.,Roy McMillan (16),21.7,R
39,40.,Clete Boyer (16),21.6,R
40,40.,Frankie Frisch+ (19),21.6,B
41,42.,Dave Concepcion (19),21.4,R
42,42.,Graig Nettles (22),21.4,L
43,44.,Honus Wagner+ (21),21.3,R
44,45.,Scott Rolen (17),21.2,R
45,46.,Bert Campaneris (19),21.1,R
46,47.,Nellie Fox+ (19),21.0,L
47,47.,Jack Wilson (12),21.0,R
48,49.,Rey Sanchez (15),20.8,R
49,50.,Ed Brinkman (15),20.4,R
50,51.,Willie Randolph (18),20.2,R
51,52.,Terry Turner (17),20.1,R
52,53.,Tommy Corcoran (18),19.9,R
53,54.,Johnny Bench+ (17),19.7,R
54,55.,Bill Russell (18),19.4,R
55,56.,Larry Bowa (16),19.1,B
56,56.,Greg Gagne (15),19.1,R
57,58.,Luke Appling+ (20),19.0,R
58,58.,Eddie Miller (14),19.0,R
59,58.,Placido Polanco (16),19.0,R
60,61.,Paul Blair (17),18.8,R
61,61.,Craig Counsell (16),18.8,L
62,63.,Brad Ausmus (18),18.7,R
63,64.,Lee Tannehill (10),18.6,R
64,65.,Mike Schmidt+ (18),18.4,R
65,66.,Ray Schalk+ (18),18.3,R
66,67.,Scott Fletcher (15),18.2,R
67,67.,Willie Mays+ (22),18.2,R
68,69.,Hughie Critz (12),18.0,R
69,70.,Mickey Doolin (13),17.9,R
70,70.,Mark Ellis (12),17.9,R
71,70.,Robin Ventura (16),17.9,L
72,73.,Tony Pena (18),17.7,R
73,73.,Chris Speier (19),17.7,R
74,75.,Charlie Bennett (15),17.5,R
75,75.,J.J. Hardy (13),17.5,R
76,77.,Rick Dempsey (24),17.4,R
77,78.,Dick Groat (14),17.3,R
78,79.,Chief Zimmer (19),17.2,R
79,80.,Troy Tulowitzki (13),17.1,R
80,80.,Chase Utley (16),17.1,L
81,82.,Carlton Fisk+ (24),17.0,R
82,83.,Jimmy Collins+ (14),16.8,R
83,83.,Bobby Grich (17),16.8,R
84,83.,Herman Long (16),16.8,L
85,86.,Garry Templeton (16),16.7,B
86,86.,Devon White (17),16.7,B
87,88.,Mike Bordick (14),16.6,R
88,89.,Bucky Dent (12),16.5,R
89,89.,Tim Foli (16),16.5,R
90,91.,Leo Cardenas (16),16.4,R
91,91.,Russell Martin (14),16.4,R
92,93.,Royce Clayton (17),16.3,R
93,93.,Ron Hansen (15),16.3,R
94,93.,Ian Kinsler (14),16.3,R
95,93.,Lou Whitaker (19),16.3,L
96,97.,Bid McPhee+ (18),16.2,R
